avg     	gen	max     	min     	std    	time   
-3131.45	0  	-2426.72	-9999.71	519.616	21.6926
-2930.09	1  	-2416.95	-24668.2	1015.22	30.3288
-2883.14	2  	-2402.61	-24603.9	1672.09	38.6004
-2664.91	3  	-2402.61	-3914.36	175.632	46.8393
-2683.71	4  	-2385.17	-24109.1	1364.99	54.8796
-2885.06	5  	-2352.42	-24361  	2593.3 	63.1956
-2617.05	6  	-2328.47	-25318.6	1409.95	71.5338
-2586.74	7  	-2328.47	-23975.7	1369.97	79.9438
-2727.73	8  	-2315.28	-23961.4	2340.61	88.4832
-2649.91	9  	-2295.49	-23914.8	2137.12	97.0173
-2520.26	10 	-2288.18	-23959.2	1380.42	105.292
-2488.89	11 	-2282.7 	-23928  	1369.59	113.884
-2676.77	12 	-2265.48	-23863.2	2522.52	122.692
-2606.74	13 	-2265.48	-23866  	2180.68	131.186
-2347.11	14 	-2263.78	-3557.86	121.113	139.218
-2535.27	15 	-2253.68	-23812.8	2138.5 	147.664
-2516.65	16 	-2233.73	-23811.8	2137.82	156.096
-2429.03	17 	-2232.95	-23823.1	1664.65	164.368
-2287.62	18 	-2230.79	-3458.72	83.3142	172.863
-2407.99	19 	-2221.54	-23730.9	1657.24	181.206
-2270.21	20 	-2220.11	-2654.95	65.7755	189.628
-2257.23	21 	-2210.63	-2605.22	46.8899	198.307
-2244.2 	22 	-2204.82	-2436.89	22.9837	206.881
-2239.34	23 	-2204.82	-3078.37	44.7118	215.494
-2231.98	24 	-2200.03	-2944.94	47.452 	223.884
-2225.4 	25 	-2191.02	-2441.84	24.9666	231.963
-2220.98	26 	-2187.8 	-2684.65	37.7826	240.373
-2221.2 	27 	-2182.62	-4671.54	118.025	248.712
-2211.25	28 	-2179.99	-2749.8 	47.6457	257.087
-2202.95	29 	-2177.66	-2381.68	22.3792	265.86 
-2197.41	30 	-2177.05	-2490.47	23.4579	274.386
-2190.12	31 	-2175.49	-2271.57	11.6925	282.914
-2187.24	32 	-2173.23	-2442.93	19.9793	291.121
-2183.76	33 	-2169.74	-2342.3 	15.9968	299.466
-2183.59	34 	-2167.04	-2456.96	20.8649	307.818
-2183.23	35 	-2167.04	-2628.05	29.7399	316.197
-2181.43	36 	-2166.14	-2352.15	18.8665	324.523
-2179.47	37 	-2165.58	-2405.87	18.3833	332.6  
-2176.98	38 	-2163.63	-2468.23	20.471 	340.971
-2176.13	39 	-2162.73	-2661.35	28.2693	349.408
-2173.14	40 	-2160.98	-2391.68	20.7177	357.95 
-2169.98	41 	-2159.59	-2355.18	14.4317	366.463
-2168.94	42 	-2158.81	-2312.62	16.2335	375.003
-2166.97	43 	-2156.45	-2359.56	16.4934	383.678
-2166.06	44 	-2153.57	-2653.63	28.7216	392.047
-2162.46	45 	-2152.87	-2243.07	8.93017	400.591
-2162.49	46 	-2152.78	-2328.32	16.4348	409.004
-2160.26	47 	-2152.02	-2401.7 	13.734 	417.558
-2163.08	48 	-2150.49	-2742.48	43.5391	426.083
-2157.57	49 	-2148.27	-2292.41	10.7113	434.445
-2156.05	50 	-2146.32	-2654.96	23.0133	442.971
-2155.79	51 	-2143.1 	-2582.32	24.7862	451.27 
-2154.54	52 	-2143.1 	-2366.72	16.8915	459.839
-2153.93	53 	-2143.1 	-2591.54	27.8331	468.237
-2154.27	54 	-2143.1 	-3018.21	45.187 	476.645
-2150.75	55 	-2142.49	-2499.37	23.9202	485.192
-2148.35	56 	-2142.49	-2347.7 	15.8862	493.396
-2148.61	57 	-2141.81	-2378.94	18.8052	501.858
-2145.5 	58 	-2141.76	-2285.96	10.3718	510.471
-2145.41	59 	-2139   	-2359.08	13.9013	519.07 
-2144.92	60 	-2139   	-2406.39	17.949 	527.539
-2145.54	61 	-2139   	-2652.57	28.6374	535.968
-2146.25	62 	-2137.79	-2406.47	26.024 	544.385
-2149.44	63 	-2137.79	-4480.65	107.203	552.824
-2142.52	64 	-2137.79	-2220.9 	7.93026	561.226
-2142.76	65 	-2137.09	-2376.97	14.8826	569.363
-2141.42	66 	-2137.09	-2238.11	8.60331	577.62 
-2140.81	67 	-2136.61	-2271.97	10.7117	586.201
-2142.23	68 	-2136.45	-2369.57	19.6717	594.714
-2139.67	69 	-2135.91	-2240.29	9.48073	602.857
-2141.64	70 	-2135.91	-2627.63	28.6432	611.419
-2138.62	71 	-2135.78	-2305.24	10.9546	619.967
-2139.49	72 	-2135.78	-2331.22	15.1324	628.444
-2138.92	73 	-2135.21	-2297.75	14.8222	636.757
-2139.29	74 	-2135.21	-2387.64	19.1869	645.237
-2138.04	75 	-2135.21	-2310.54	13.0002	653.715
-2138.17	76 	-2135.21	-2296.03	13.7964	662.441
-2138.64	77 	-2135.21	-2921.31	35.8911	670.845
-2136.64	78 	-2135.21	-2213.85	7.19054	679.302
-2138.99	79 	-2135.21	-2338.86	16.3617	687.663
-2139   	80 	-2135.21	-2576.06	26.3108	696.11 
-2139.91	81 	-2135.21	-2529.19	31.1006	704.57 
-2137.68	82 	-2135.21	-2312.39	13.5962	713.008
-2138.27	83 	-2135.21	-2423.66	19.5876	721.485
-2136.78	84 	-2135.21	-2254.61	8.49135	729.958
-2140.63	85 	-2135.21	-2565.68	33.3546	738.397
-2139.35	86 	-2135.21	-2540.31	26.785 	746.93 
-2137.96	87 	-2135.21	-2403.55	18.9499	755.248
-2138.13	88 	-2135.02	-2704.23	26.8821	763.793
-2136.85	89 	-2135.02	-2284.08	9.89456	772.123
-2137.52	90 	-2134.96	-2284.88	11.8636	780.52 
-2139.26	91 	-2134.96	-2554.75	26.2191	788.726
-2138.53	92 	-2134.96	-2414.45	18.1422	797.332
-2137.03	93 	-2134.96	-2258.94	9.642  	805.534
-2137.19	94 	-2134.96	-2263.12	10.4158	814.037
-2139.25	95 	-2134.96	-2673.18	33.1874	822.676
-2137.04	96 	-2134.96	-2457.93	16.5885	831.501
-2141.8 	97 	-2134.96	-3765.06	75.2427	840.08 
-2140.26	98 	-2134.96	-2735.35	41.2095	848.538
