gen	time   	min     	avg     	max     	std       
0  	3.06809	-2633.29	-2201.61	-2109.07	70.9504   
1  	4.33064	-2248.18	-2151.82	-2104.46	27.0483   
2  	5.55652	-2189.94	-2130.49	-2101.68	13.3477   
3  	6.81497	-2169.07	-2120.86	-2100.61	9.53036   
4  	8.02155	-2161.6 	-2114.19	-2097.81	7.56973   
5  	9.29482	-2145.75	-2109.61	-2097.81	5.89552   
6  	10.5441	-2154.82	-2106.36	-2094.21	5.85856   
7  	11.7715	-2147.51	-2103.27	-2094.21	4.27654   
8  	13.0512	-2655.81	-2102.44	-2094.21	25.0595   
9  	14.3144	-2113.46	-2099.22	-2092.52	2.86898   
10 	15.5767	-2105.19	-2097.11	-2092.03	2.08593   
11 	16.8639	-2102.12	-2095.49	-2090.51	1.73326   
12 	18.0918	-2099.88	-2094.1 	-2088.63	1.6905    
13 	19.3296	-2097.54	-2092.81	-2088.63	1.6126    
14 	20.5517	-2110.39	-2091.64	-2087.9 	1.68478   
15 	21.7628	-2096.22	-2090.43	-2086.96	1.16154   
16 	23.0066	-2094.47	-2089.51	-2086.71	0.977356  
17 	24.2356	-2092.62	-2088.72	-2086.64	0.888925  
18 	25.5138	-2091.1 	-2088.09	-2086.2 	0.778881  
19 	26.7756	-2106.09	-2087.57	-2085.63	1.21179   
20 	28.039 	-2092.65	-2087.02	-2085.63	0.631684  
21 	29.2745	-2088.82	-2086.57	-2085.63	0.541964  
22 	30.5404	-2088.86	-2086.17	-2085.54	0.467415  
23 	31.8035	-2088.12	-2085.84	-2085.54	0.2973    
24 	33.0257	-2087.55	-2085.67	-2085.54	0.20142   
25 	34.2851	-2086.33	-2085.62	-2085.54	0.057284  
26 	35.5363	-2085.63	-2085.59	-2085.54	0.0471788 
27 	36.7877	-2085.63	-2085.56	-2085.54	0.0411501 
28 	38.0057	-2090.73	-2085.56	-2085.54	0.29256   
29 	39.2123	-2085.54	-2085.54	-2085.54	0         
30 	40.4343	-2087.93	-2085.54	-2085.54	0.107132  
31 	41.7007	-2087.06	-2085.54	-2085.54	0.0680371 
