gen	time   	min     	avg     	max     	std     
0  	3.11474	-3033.92	-2296.91	-2184.39	84.0705 
1  	4.3751 	-2435.52	-2245.12	-2170.48	34.0889 
2  	5.62322	-2321.8 	-2221.31	-2156.87	21.318  
3  	6.85741	-2261.73	-2205.62	-2153.3 	18.8579 
4  	8.16128	-2266.51	-2192.84	-2152.58	17.7525 
5  	9.39563	-2251.45	-2179.58	-2150.4 	14.1629 
6  	10.661 	-2222.41	-2170.45	-2148.86	11.6418 
7  	11.8877	-2201.44	-2162.03	-2144.89	8.36934 
8  	13.0915	-2189.96	-2156.31	-2144.85	6.27662 
9  	14.3603	-2179.59	-2151.91	-2142.66	4.28218 
10 	15.6172	-2180.26	-2148.83	-2139.11	3.16027 
11 	16.8788	-2168.85	-2146.52	-2137.8 	2.61425 
12 	18.1461	-2153.35	-2144.44	-2136.28	2.65477 
13 	19.4039	-2151.24	-2142.22	-2132.44	2.7813  
14 	20.6809	-2149.64	-2140.04	-2132.44	2.27018 
15 	21.9365	-2144.78	-2138.25	-2132.05	1.82814 
16 	23.1968	-2142.41	-2136.71	-2132.05	1.63871 
17 	24.4572	-2141.18	-2135.52	-2131.52	1.63365 
18 	25.7386	-2138.15	-2134.25	-2129.77	1.28551 
19 	26.9884	-2138.41	-2133.26	-2129.77	1.0544  
20 	28.2603	-2137.22	-2132.49	-2129.3 	0.9011  
21 	29.5128	-2135.26	-2131.81	-2129.2 	0.963889
22 	30.7953	-2135.35	-2131.16	-2128.51	1.05634 
23 	32.0052	-2134.61	-2130.35	-2128.46	0.960617
24 	33.2686	-2132.52	-2129.69	-2128.46	0.571384
25 	34.5333	-2132.9 	-2129.39	-2128.46	0.380943
26 	35.8038	-2130.04	-2129.11	-2128.41	0.364604
27 	37.0562	-2130.95	-2128.85	-2127.18	0.382307
28 	38.3138	-2130.95	-2128.56	-2126.5 	0.283583
29 	39.5984	-2135.55	-2128.45	-2126.09	0.566324
30 	40.888 	-2130.91	-2128.21	-2125.74	0.647209
31 	42.1804	-2130.43	-2127.72	-2125.74	0.818177
32 	43.4453	-2131.31	-2127.03	-2125.72	0.777855
33 	44.7529	-2134.27	-2126.49	-2125.33	0.522212
34 	46.0269	-2142.81	-2126.27	-2124.91	0.869543
35 	47.3075	-2158.71	-2126.02	-2124.67	1.55248 
36 	48.57  	-2156.34	-2125.78	-2124.27	1.82996 
37 	49.8595	-2203.3 	-2125.88	-2124.27	4.48858 
38 	51.1577	-2203.3 	-2125.97	-2124.27	5.54273 
39 	52.4204	-2362.81	-2126.37	-2124.27	13.1044 
40 	53.6714	-2188.91	-2124.99	-2124.27	3.48558 
41 	54.9345	-2186.04	-2125.06	-2124.27	4.39045 
42 	56.1929	-2211.02	-2124.68	-2124.27	4.00241 
43 	57.4622	-3870.1 	-2128.41	-2123.67	78.0947 
44 	58.7504	-2236.23	-2124.67	-2123.67	5.08205 
45 	60.0368	-2130.68	-2124.43	-2123.67	0.761535
46 	61.2806	-2241.1 	-2125.16	-2123.67	8.14273 
47 	62.5991	-2785.41	-2127.49	-2123.67	33.6671 
48 	63.8668	-2195.59	-2124.44	-2123.67	3.97309 
49 	65.1077	-2164.42	-2124.15	-2123.67	2.72426 
50 	66.4091	-2172.83	-2124.31	-2123.67	3.98449 
51 	67.6711	-2283.81	-2124.64	-2123.67	8.69665 
52 	68.9226	-2225.41	-2124.7 	-2123.67	6.86714 
53 	70.2038	-2401.81	-2124.7 	-2123.67	13.105  
54 	71.4647	-2258.42	-2124.76	-2123.67	7.77717 
55 	72.7098	-2235.09	-2124.45	-2123.67	6.07177 
