"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1",1,0,0,4.93699872493744,140.126556158066,0,0,0,0
"2",2,0,0,3.08127389103174,140.126837121026,0,0,0,0
"3",3,0,0,3.48765802383423,140.12697986871,0,0,0,0
"4",4,0,0,3.41656702756882,140.127308504475,0,0,0,0
"5",5,0,0,3.21796628832817,140.130976810689,0,0,0,0
"6",6,0,0,3.6410351395607,140.137977120612,0,0,0,0
"7",7,0,0,3.24993504583836,140.142820989497,0,0,0,0
"8",8,0,0,3.06426610052586,140.202698575105,0,0,0,0
"9",9,0,0,3.38534241914749,140.216116648839,0,0,0,0
"10",10,0,0,4.44744968414307,140.220262196556,0,0,0,0
"11",11,0,0,3.02038496360183,140.220711204167,0,0,0,0
"12",12,0,0,3.44207245111465,140.238193355014,0,0,0,0
"13",13,0,0,3.21165150403976,140.248995287794,0,0,0,0
"14",14,0,0,3.5142537355423,140.373657971184,0,0,0,0
"15",15,0,0,3.13093928992748,141.431385037116,0,0,0,0
"16",16,0,0,3.30550462007523,153.999862535762,0,0,0,0
"17",17,0,0,3.22468315064907,167.009411747791,0,0,0,0
"18",18,0,0,3.66800308227539,225.828561860561,0,0,0,0
"19",19,0,0,3.11433236300945,350.229821805867,0,0,0,0
"20",20,0,0,3.27935895323753,388.845837761624,0,0,0,0
"21",21,0,0,3.08018068224192,580.665602818395,0,0,0,0
"22",22,0,0,4.77059483528137,1226.53885750898,0,0,0,0
"23",23,0,0,3.40832215547562,1226.54009367468,0,0,0,0
"24",24,0,0,3.10264340788126,1226.55010914622,0,0,0,0
"25",25,0,0,3.74451512098312,1226.55712765453,0,0,0,0
"26",26,0,0,3.0555740185082,1226.5651206619,0,0,0,0
"27",27,0,0,3.48340311646461,1326.57483354362,0,0,0,0
"28",28,0,0,3.37856668233871,1344.74170947772,0,0,0,0
"29",29,0,0,3.21936947107315,1344.77116080018,0,0,0,0
"30",30,0,0,3.33861175179482,1642.70163112792,0,0,0,0
"31",31,0,0,4.87279999256134,2095.66403569949,0,0,0,0
"32",32,0,0,3.33505162596703,2095.66459282156,0,0,0,0
"33",33,0,0,3.43581146001816,2095.66599341775,0,0,0,0
"34",34,0,0,3.74374938011169,2095.66926123684,0,0,0,0
"35",35,0,0,3.10138932615519,2095.671382025,0,0,0,0
"36",36,0,0,3.00073446199531,2095.67228216998,0,0,0,0
"37",37,0,0,4.30810701847076,2095.67774686667,0,0,0,0
"38",38,0,0,4.10458707809448,2095.68139503091,0,0,0,0
"39",39,0,0,3.63422536849976,2095.68260431303,0,0,0,0
"40",40,0,0,3.76208865642548,2095.69667605269,0,0,0,0
"41",41,0,0,3.22420382499695,2095.7030497907,0,0,0,0
"42",42,0,0,3.30597430467606,2095.71092764757,0,0,0,0
"43",43,0,0,3.22459995746613,2095.71971284972,0,0,0,0
"44",44,0,0,3.10604088753462,2095.72056579168,0,0,0,0
"45",45,0,0,4.00034844875336,2095.81699714982,0,0,0,0
