"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1",1,0,0,4.93699872493744,2466.43972396851,0,0,0,0
"2",2,0,0,3.08127389103174,2466.44078899233,0,0,0,0
"3",3,0,0,3.48765802383423,2466.44105107799,0,0,0,0
"4",4,0,0,3.41656702756882,2466.44254184492,0,0,0,0
"5",5,0,0,3.21796628832817,2466.49297440048,0,0,0,0
"6",6,0,0,3.6410351395607,2466.53309099436,0,0,0,0
"7",7,0,0,3.24993504583836,2466.68880205033,0,0,0,0
"8",8,0,0,3.06426610052586,3602.60896357416,0,0,0,0
"9",9,0,0,3.38534241914749,3898.17250449869,0,0,0,0
"10",10,0,0,4.44744968414307,3905.36268009753,0,0,0,0
"11",11,0,0,3.02038496360183,3905.36366344631,0,0,0,0
"12",12,0,0,3.44207245111465,3905.36518038168,0,0,0,0
"13",13,0,0,3.21165150403976,3905.39085610455,0,0,0,0
"14",14,0,0,3.5142537355423,3905.41392738675,0,0,0,0
"15",15,0,0,3.13093928992748,3905.47948477636,0,0,0,0
"16",16,0,0,3.30550462007523,4034.97663503062,0,0,0,0
"17",17,0,0,3.22468315064907,4157.99422750761,0,0,0,0
"18",18,0,0,3.66800308227539,4158.178195953,0,0,0,0
"19",19,0,0,3.11433236300945,4174.98333932523,0,0,0,0
"20",20,0,0,3.27935895323753,4174.98400239091,0,0,0,0
"21",21,0,0,3.08018068224192,4321.18564844376,0,0,0,0
"22",22,0,0,4.77059483528137,4569.74129735164,0,0,0,0
"23",23,0,0,3.40832215547562,4569.74173158802,0,0,0,0
"24",24,0,0,3.10264340788126,4569.74323391473,0,0,0,0
"25",25,0,0,3.74451512098312,4569.74326466501,0,0,0,0
"26",26,0,0,3.0555740185082,4569.74869544707,0,0,0,0
"27",27,0,0,3.48340311646461,4569.75476301176,0,0,0,0
"28",28,0,0,3.37856668233871,4569.75518732253,0,0,0,0
"29",29,0,0,3.21936947107315,4569.77054689962,0,0,0,0
"30",30,0,0,3.33861175179482,4570.20382500537,0,0,0,0
"31",31,0,0,4.87279999256134,4577.34492863953,0,0,0,0
