"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1",1,0,0,4.93699872493744,290.667176246643,0,0,0,0
"2",2,0,0,3.08127389103174,290.677717717615,0,0,0,0
"3",3,0,0,3.48765802383423,290.682265903464,0,0,0,0
"4",4,0,0,3.41656702756882,290.718985224705,0,0,0,0
"5",5,0,0,3.21796628832817,290.721273166192,0,0,0,0
"6",6,0,0,3.6410351395607,290.894541245544,0,0,0,0
"7",7,0,0,3.24993504583836,293.310238574875,0,0,0,0
"8",8,0,0,3.06426610052586,333.110345826859,0,0,0,0
"9",9,0,0,3.38534241914749,358.584701722253,0,0,0,0
"10",10,0,0,4.44744968414307,905.854527990129,0,0,0,0
"11",11,0,0,3.02038496360183,905.874471345291,0,0,0,0
"12",12,0,0,3.44207245111465,905.874928853219,0,0,0,0
"13",13,0,0,3.21165150403976,907.612000181548,0,0,0,0
"14",14,0,0,3.5142537355423,1170.21325273254,0,0,0,0
"15",15,0,0,3.13093928992748,1911.53741903977,0,0,0,0
"16",16,0,0,3.30550462007523,1974.61204299239,0,0,0,0
"17",17,0,0,3.22468315064907,2842.8052559606,0,0,0,0
"18",18,0,0,3.66800308227539,2874.18171866531,0,0,0,0
"19",19,0,0,3.11433236300945,2874.18679979348,0,0,0,0
"20",20,0,0,3.27935895323753,2900.02213080244,0,0,0,0
"21",21,0,0,3.08018068224192,3127.68291783475,0,0,0,0
"22",22,0,0,4.77059483528137,3127.68395260511,0,0,0,0
"23",23,0,0,3.40832215547562,3127.68589428407,0,0,0,0
"24",24,0,0,3.10264340788126,3127.6878125568,0,0,0,0
"25",25,0,0,3.74451512098312,3127.71302271509,0,0,0,0
"26",26,0,0,3.0555740185082,3127.8672945424,0,0,0,0
"27",27,0,0,3.48340311646461,3128.02383591878,0,0,0,0
"28",28,0,0,3.37856668233871,3133.71971224692,0,0,0,0
"29",29,0,0,3.21936947107315,3133.7204083353,0,0,0,0
"30",30,0,0,3.33861175179482,3141.5548222827,0,0,0,0
"31",31,0,0,4.87279999256134,3141.56145314505,0,0,0,0
"32",32,0,0,3.33505162596703,3141.56226264241,0,0,0,0
"33",33,0,0,3.43581146001816,3141.56270003517,0,0,0,0
"34",34,0,0,3.74374938011169,3141.57034174298,0,0,0,0
"35",35,0,0,3.10138932615519,3141.77727102666,0,0,0,0
"36",36,0,0,3.00073446199531,3143.51865368233,0,0,0,0
"37",37,0,0,4.30810701847076,3319.11307311299,0,0,0,0
"38",38,0,0,4.10458707809448,3319.13512376325,0,0,0,0
"39",39,0,0,3.63422536849976,3324.65777367732,0,0,0,0
"40",40,0,0,3.76208865642548,3822.65445538686,0,0,0,0
"41",41,0,0,3.22420382499695,3822.66137943685,0,0,0,0
"42",42,0,0,3.30597430467606,4010.40087230778,0,0,0,0
"43",43,0,0,3.22459995746613,4110.31282606273,0,0,0,0
"44",44,0,0,3.10604088753462,4741.46068204913,0,0,0,0
"45",45,0,0,4.00034844875336,5415.57543863487,0,0,0,0
"46",46,0,0,3.17629852890968,5415.58330028403,0,0,0,0
"47",47,0,0,3.29584422707558,5415.63447177093,0,0,0,0
"48",48,0,0,3.13110674917698,5977.32834460475,0,0,0,0
"49",49,0,0,3.40179508924484,6178.23997385794,0,0,0,0
"50",50,0,0,3.21623334288597,6178.94203108748,0,0,0,0
"51",51,0,0,3.39854645729065,6526.26782480964,0,0,0,0
"52",52,0,0,3.11263958364725,7597.75305025168,0,0,0,0
"53",53,0,0,3.00690638134256,8457.62225150053,0,0,0,0
"54",54,0,0,3.02967318333685,9272.95084293514,0,0,0,0
"55",55,0,0,3.25247001647949,10057.2386539075,0,0,0,0
"56",56,0,0,3.0930592790246,10239.9611728645,0,0,0,0
"57",57,0,0,3.04299938678741,10324.8071598564,0,0,0,0
"58",58,0,0,3.20184715092182,10850.1939842354,0,0,0,0
"59",59,0,0,4.12402963638306,10850.3718542944,0,0,0,0
"60",60,0,0,3.61403930187225,10850.3806945855,0,0,0,0
"61",61,0,0,3.56979215145111,10850.388095142,0,0,0,0
"62",62,0,0,3.01190969906747,10850.7817360683,0,0,0,0
"63",63,0,0,3.24920812249184,10957.2298179861,0,0,0,0
"64",64,0,0,3.07839758694172,11797.7034509101,0,0,0,0
"65",65,0,0,3.8709659576416,11957.1987759289,0,0,0,0
"66",66,0,0,5.10409998893738,12281.895642351,0,0,0,0
"67",67,0,0,3.67822635173798,12281.8997764992,0,0,0,0
