"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1",1,0,0,4.93699872493744,304.028421640396,0,0,0,0
"2",2,0,0,3.08127389103174,304.028684115544,0,0,0,0
"3",3,0,0,3.48765802383423,304.029366196878,0,0,0,0
"4",4,0,0,3.41656702756882,304.031152859083,0,0,0,0
"5",5,0,0,3.21796628832817,613.717947688188,0,0,0,0
"6",6,0,0,3.6410351395607,2402.2802471174,0,0,0,0
"7",7,0,0,3.24993504583836,2402.28276622462,0,0,0,0
"8",8,0,0,3.06426610052586,2595.27077880633,0,0,0,0
"9",9,0,0,3.38534241914749,2595.29911678662,0,0,0,0
"10",10,0,0,4.44744968414307,3258.09283314379,0,0,0,0
"11",11,0,0,3.02038496360183,3258.09363465179,0,0,0,0
"12",12,0,0,3.44207245111465,3258.09518098694,0,0,0,0
"13",13,0,0,3.21165150403976,3258.10220639052,0,0,0,0
"14",14,0,0,3.5142537355423,3258.11473988992,0,0,0,0
"15",15,0,0,3.13093928992748,3258.44346923758,0,0,0,0
"16",16,0,0,3.30550462007523,3433.68691549243,0,0,0,0
"17",17,0,0,3.22468315064907,3895.95386773295,0,0,0,0
"18",18,0,0,3.66800308227539,4160.83341460734,0,0,0,0
"19",19,0,0,3.11433236300945,5632.26232302495,0,0,0,0
"20",20,0,0,3.27935895323753,5871.35705634535,0,0,0,0
"21",21,0,0,3.08018068224192,5982.33223838355,0,0,0,0
"22",22,0,0,4.77059483528137,5983.82264741164,0,0,0,0
"23",23,0,0,3.40832215547562,5983.82461150602,0,0,0,0
"24",24,0,0,3.10264340788126,6488.92498710303,0,0,0,0
"25",25,0,0,3.74451512098312,6925.1666030552,0,0,0,0
"26",26,0,0,3.0555740185082,6925.17626572379,0,0,0,0
"27",27,0,0,3.48340311646461,6925.48133043844,0,0,0,0
"28",28,0,0,3.37856668233871,6925.48951304286,0,0,0,0
"29",29,0,0,3.21936947107315,7104.38325170191,0,0,0,0
"30",30,0,0,3.33861175179482,7291.83253219775,0,0,0,0
"31",31,0,0,4.87279999256134,7572.55786730285,0,0,0,0
"32",32,0,0,3.33505162596703,7572.55984113374,0,0,0,0
"33",33,0,0,3.43581146001816,7572.56091332323,0,0,0,0
"34",34,0,0,3.74374938011169,7572.57560319353,0,0,0,0
"35",35,0,0,3.10138932615519,7572.58684572299,0,0,0,0
"36",36,0,0,3.00073446199531,7573.84038291015,0,0,0,0
"37",37,0,0,4.30810701847076,7577.67965121668,0,0,0,0
"38",38,0,0,4.10458707809448,9259.25121949076,0,0,0,0
"39",39,0,0,3.63422536849976,9259.44052094217,0,0,0,0
"40",40,0,0,3.76208865642548,9259.75897578613,0,0,0,0
"41",41,0,0,3.22420382499695,9259.76044864771,0,0,0,0
"42",42,0,0,3.30597430467606,9690.85387545872,0,0,0,0
"43",43,0,0,3.22459995746613,9840.51697664146,0,0,0,0
"44",44,0,0,3.10604088753462,9993.67713051949,0,0,0,0
"45",45,0,0,4.00034844875336,10308.2331985338,0,0,0,0
"46",46,0,0,3.17629852890968,10308.518541744,0,0,0,0
"47",47,0,0,3.29584422707558,10335.5849914956,0,0,0,0
"48",48,0,0,3.13110674917698,10578.7659504603,0,0,0,0
"49",49,0,0,3.40179508924484,10578.9882774689,0,0,0,0
"50",50,0,0,3.21623334288597,10608.1221488267,0,0,0,0
"51",51,0,0,3.39854645729065,12096.7640249135,0,0,0,0
"52",52,0,0,3.11263958364725,12096.7879431152,0,0,0,0
"53",53,0,0,3.00690638134256,12704.1956983824,0,0,0,0
"54",54,0,0,3.02967318333685,13315.1039171015,0,0,0,0
"55",55,0,0,3.25247001647949,13315.1202932129,0,0,0,0
"56",56,0,0,3.0930592790246,13805.2919976691,0,0,0,0
"57",57,0,0,3.04299938678741,14132.2201174776,0,0,0,0
"58",58,0,0,3.20184715092182,14321.7046275248,0,0,0,0
"59",59,0,0,4.12402963638306,14635.5010991727,0,0,0,0
"60",60,0,0,3.61403930187225,14648.1392137326,0,0,0,0
"61",61,0,0,3.56979215145111,14648.1450231081,0,0,0,0
"62",62,0,0,3.01190969906747,15006.1137973509,0,0,0,0
"63",63,0,0,3.24920812249184,15558.5333850699,0,0,0,0
"64",64,0,0,3.07839758694172,16115.8711047669,0,0,0,0
"65",65,0,0,3.8709659576416,16447.7304951265,0,0,0,0
"66",66,0,0,5.10409998893738,17333.1057999876,0,0,0,0
"67",67,0,0,3.67822635173798,17333.1080965639,0,0,0,0
"68",68,0,0,3.19878599047661,17333.108652986,0,0,0,0
"69",69,0,0,3.58715850114822,17333.1119243718,0,0,0,0
"70",70,0,0,3.03537103906274,17333.1119555594,0,0,0,0
"71",71,0,0,3.28973942995071,17333.129509821,0,0,0,0
"72",72,0,0,3.41698548197746,17333.6030294801,0,0,0,0
"73",73,0,0,5.6111741065979,17333.6081374202,0,0,0,0
"74",74,0,0,3.74335408210754,17333.6084002736,0,0,0,0
"75",75,0,0,3.08548794686794,17333.6087095905,0,0,0,0
"76",76,0,0,4.03586792945862,17333.6088898629,0,0,0,0
"77",77,0,0,3.45964381098747,17333.6088991046,0,0,0,0
"78",78,0,0,3.04836038500071,17333.6100127584,0,0,0,0
"79",79,0,0,4.64407539367676,17333.6105432077,0,0,0,0
"80",80,0,0,3.44725567102432,17333.6105775055,0,0,0,0
"81",81,0,0,3.28498485684395,17333.6106100724,0,0,0,0
"82",82,0,0,3.58834993839264,17333.6106813168,0,0,0,0
"83",83,0,0,5.30056476593018,17333.6109543339,0,0,0,0
"84",84,0,0,3.26079294085503,17333.6115074975,0,0,0,0
"85",85,0,0,3.29970914125443,17333.611663098,0,0,0,0
"86",86,0,0,3.85064494609833,17333.6116717981,0,0,0,0
"87",87,0,0,3.05156510695815,17333.6122519622,0,0,0,0
"88",88,0,0,3.14294031262398,17333.6123371806,0,0,0,0
"89",89,0,0,3.3421625494957,17333.6135204511,0,0,0,0
"90",90,0,0,3.05195436999202,17333.6141594439,0,0,0,0
"91",91,0,0,3.33742427825928,17333.6165441556,0,0,0,0
"92",92,0,0,3.05141443014145,17333.6172353911,0,0,0,0
"93",93,0,0,3.35127934813499,17333.6175039751,0,0,0,0
"94",94,0,0,3.03814928978682,17333.6185524826,0,0,0,0
"95",95,0,0,3.22091740369797,17333.6187879517,0,0,0,0
"96",96,0,0,3.18613629043102,17333.6198591763,0,0,0,0
"97",97,0,0,3.19522450864315,17333.622400043,0,0,0,0
"98",98,0,0,3.55768352746964,17333.6247815281,0,0,0,0
"99",99,0,0,4.27088487148285,17333.6312587377,0,0,0,0
"100",100,0,0,3.67973411083221,17333.6321442535,0,0,0,0
"101",101,0,0,3.35044977068901,17333.6325853485,0,0,0,0
"102",102,0,0,3.03812416270375,17333.6327345456,0,0,0,0
"103",103,0,0,3.11666130274534,17333.633111048,0,0,0,0
