"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1",1,0,0,4.93699872493744,37.5214219093323,0,0,0,0
"2",2,0,0,3.08127389103174,37.522073189288,0,0,0,0
"3",3,0,0,3.48765802383423,37.5292225296607,0,0,0,0
"4",4,0,0,3.41656702756882,37.5723018587517,0,0,0,0
"5",5,0,0,3.21796628832817,37.5798193013278,0,0,0,0
"6",6,0,0,3.6410351395607,37.5900350111078,0,0,0,0
"7",7,0,0,3.24993504583836,37.5904014382437,0,0,0,0
"8",8,0,0,3.06426610052586,37.7287089648136,0,0,0,0
"9",9,0,0,3.38534241914749,37.8510943127389,0,0,0,0
"10",10,0,0,4.44744968414307,37.8517116035408,0,0,0,0
"11",11,0,0,3.02038496360183,37.8532762218608,0,0,0,0
"12",12,0,0,3.44207245111465,37.8564085397463,0,0,0,0
"13",13,0,0,3.21165150403976,37.8583771247857,0,0,0,0
"14",14,0,0,3.5142537355423,38.3496261675703,0,0,0,0
"15",15,0,0,3.13093928992748,370.607161341744,0,0,0,0
"16",16,0,0,3.30550462007523,2142.27377508886,0,0,0,0
"17",17,0,0,3.22468315064907,2173.43077571472,0,0,0,0
"18",18,0,0,3.66800308227539,2692.46473211216,0,0,0,0
"19",19,0,0,3.11433236300945,3144.27802744114,0,0,0,0
"20",20,0,0,3.27935895323753,3738.03755501832,0,0,0,0
"21",21,0,0,3.08018068224192,3738.04093388146,0,0,0,0
"22",22,0,0,4.77059483528137,4812.95615282572,0,0,0,0
"23",23,0,0,3.40832215547562,4812.95616196021,0,0,0,0
"24",24,0,0,3.10264340788126,4812.95862828033,0,0,0,0
"25",25,0,0,3.74451512098312,4812.95976862825,0,0,0,0
"26",26,0,0,3.0555740185082,4812.97296566581,0,0,0,0
"27",27,0,0,3.48340311646461,4813.00288634513,0,0,0,0
"28",28,0,0,3.37856668233871,4813.0106929166,0,0,0,0
"29",29,0,0,3.21936947107315,4813.01922295521,0,0,0,0
"30",30,0,0,3.33861175179482,4813.06158876317,0,0,0,0
"31",31,0,0,4.87279999256134,4813.36242330635,0,0,0,0
"32",32,0,0,3.33505162596703,4813.36398914112,0,0,0,0
"33",33,0,0,3.43581146001816,4813.36474819072,0,0,0,0
"34",34,0,0,3.74374938011169,4813.36496393639,0,0,0,0
"35",35,0,0,3.10138932615519,4813.36934570936,0,0,0,0
"36",36,0,0,3.00073446199531,4813.37336696763,0,0,0,0
"37",37,0,0,4.30810701847076,4813.37464723499,0,0,0,0
"38",38,0,0,4.10458707809448,4813.37644189617,0,0,0,0
"39",39,0,0,3.63422536849976,4813.37732088275,0,0,0,0
"40",40,0,0,3.76208865642548,4813.40519465699,0,0,0,0
"41",41,0,0,3.22420382499695,4813.49464790025,0,0,0,0
"42",42,0,0,3.30597430467606,4813.50039640337,0,0,0,0
"43",43,0,0,3.22459995746613,4923.93721656193,0,0,0,0
"44",44,0,0,3.10604088753462,5086.21455190705,0,0,0,0
"45",45,0,0,4.00034844875336,5335.10594962601,0,0,0,0
"46",46,0,0,3.17629852890968,5335.11881936884,0,0,0,0
"47",47,0,0,3.29584422707558,5929.20620014077,0,0,0,0
"48",48,0,0,3.13110674917698,7477.72553121199,0,0,0,0
"49",49,0,0,3.40179508924484,8053.06437922248,0,0,0,0
"50",50,0,0,3.21623334288597,8053.06680820878,0,0,0,0
"51",51,0,0,3.39854645729065,8259.25774864826,0,0,0,0
"52",52,0,0,3.11263958364725,9133.01797437889,0,0,0,0
"53",53,0,0,3.00690638134256,9286.25891048657,0,0,0,0
"54",54,0,0,3.02967318333685,9334.70191344566,0,0,0,0
"55",55,0,0,3.25247001647949,9379.46135900603,0,0,0,0
"56",56,0,0,3.0930592790246,9416.31172759795,0,0,0,0
"57",57,0,0,3.04299938678741,10058.238609097,0,0,0,0
"58",58,0,0,3.20184715092182,10058.2413620553,0,0,0,0
"59",59,0,0,4.12402963638306,10069.9113427791,0,0,0,0
"60",60,0,0,3.61403930187225,10069.9615584036,0,0,0,0
"61",61,0,0,3.56979215145111,10531.3082286994,0,0,0,0
"62",62,0,0,3.01190969906747,10531.3339369409,0,0,0,0
"63",63,0,0,3.24920812249184,11577.1653826987,0,0,0,0
"64",64,0,0,3.07839758694172,11623.1224312117,0,0,0,0
"65",65,0,0,3.8709659576416,11732.2314627095,0,0,0,0
"66",66,0,0,5.10409998893738,11842.2503730507,0,0,0,0
"67",67,0,0,3.67822635173798,11842.25072956,0,0,0,0
