"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1",1,0,0,4.93699872493744,1191.94006919861,0,0,0,0
"2",2,0,0,3.08127389103174,1191.94209755438,0,0,0,0
"3",3,0,0,3.48765802383423,1191.95147626726,0,0,0,0
"4",4,0,0,3.41656702756882,1191.95838365063,0,0,0,0
"5",5,0,0,3.21796628832817,1192.24933307753,0,0,0,0
"6",6,0,0,3.6410351395607,1200.07734492917,0,0,0,0
"7",7,0,0,3.24993504583836,1272.97522348588,0,0,0,0
"8",8,0,0,3.06426610052586,2565.93240032039,0,0,0,0
"9",9,0,0,3.38534241914749,3604.72868714919,0,0,0,0
"10",10,0,0,4.44744968414307,3711.85074286099,0,0,0,0
"11",11,0,0,3.02038496360183,3711.85563338562,0,0,0,0
"12",12,0,0,3.44207245111465,3711.87744853044,0,0,0,0
"13",13,0,0,3.21165150403976,3711.89222149827,0,0,0,0
"14",14,0,0,3.5142537355423,3981.84818371362,0,0,0,0
"15",15,0,0,3.13093928992748,4526.77577545989,0,0,0,0
"16",16,0,0,3.30550462007523,4719.18992888893,0,0,0,0
"17",17,0,0,3.22468315064907,5525.30137028175,0,0,0,0
"18",18,0,0,3.66800308227539,5705.00078426014,0,0,0,0
"19",19,0,0,3.11433236300945,5926.38356870806,0,0,0,0
"20",20,0,0,3.27935895323753,6062.1651292814,0,0,0,0
"21",21,0,0,3.08018068224192,6363.06361383638,0,0,0,0
"22",22,0,0,4.77059483528137,6420.87390361994,0,0,0,0
"23",23,0,0,3.40832215547562,6420.87459671136,0,0,0,0
"24",24,0,0,3.10264340788126,6479.90404326191,0,0,0,0
"25",25,0,0,3.74451512098312,7099.95087566458,0,0,0,0
"26",26,0,0,3.0555740185082,7385.38517341406,0,0,0,0
"27",27,0,0,3.48340311646461,8122.18662064828,0,0,0,0
"28",28,0,0,3.37856668233871,8371.27164219425,0,0,0,0
"29",29,0,0,3.21936947107315,8482.91508239648,0,0,0,0
"30",30,0,0,3.33861175179482,8483.16654781237,0,0,0,0
"31",31,0,0,4.87279999256134,8483.17925149906,0,0,0,0
"32",32,0,0,3.33505162596703,8483.17975529613,0,0,0,0
"33",33,0,0,3.43581146001816,8483.20128888384,0,0,0,0
"34",34,0,0,3.74374938011169,8483.20563479577,0,0,0,0
"35",35,0,0,3.10138932615519,8483.2106048426,0,0,0,0
"36",36,0,0,3.00073446199531,8483.28150413312,0,0,0,0
"37",37,0,0,4.30810701847076,8483.34630728545,0,0,0,0
"38",38,0,0,4.10458707809448,8483.34669131032,0,0,0,0
"39",39,0,0,3.63422536849976,8483.35169803062,0,0,0,0
"40",40,0,0,3.76208865642548,8500.9018290999,0,0,0,0
"41",41,0,0,3.22420382499695,8502.56448599454,0,0,0,0
"42",42,0,0,3.30597430467606,8544.8193738478,0,0,0,0
"43",43,0,0,3.22459995746613,8869.62620657979,0,0,0,0
"44",44,0,0,3.10604088753462,9040.87268596113,0,0,0,0
"45",45,0,0,4.00034844875336,9088.24552759303,0,0,0,0
"46",46,0,0,3.17629852890968,9824.44341620621,0,0,0,0
"47",47,0,0,3.29584422707558,10250.0944342607,0,0,0,0
"48",48,0,0,3.13110674917698,10780.1462645713,0,0,0,0
"49",49,0,0,3.40179508924484,11204.4172122985,0,0,0,0
"50",50,0,0,3.21623334288597,11560.7305436837,0,0,0,0
"51",51,0,0,3.39854645729065,11745.7380891557,0,0,0,0
"52",52,0,0,3.11263958364725,11770.5953133232,0,0,0,0
"53",53,0,0,3.00690638134256,12037.0480710711,0,0,0,0
"54",54,0,0,3.02967318333685,12166.4402773079,0,0,0,0
"55",55,0,0,3.25247001647949,12911.5229690352,0,0,0,0
"56",56,0,0,3.0930592790246,14470.7820088425,0,0,0,0
"57",57,0,0,3.04299938678741,14591.9793964646,0,0,0,0
"58",58,0,0,3.20184715092182,15937.2202568725,0,0,0,0
"59",59,0,0,4.12402963638306,15958.5458838456,0,0,0,0
"60",60,0,0,3.61403930187225,15958.5468785577,0,0,0,0
"61",61,0,0,3.56979215145111,15958.6277418637,0,0,0,0
"62",62,0,0,3.01190969906747,16034.1008854595,0,0,0,0
"63",63,0,0,3.24920812249184,16887.7220875095,0,0,0,0
"64",64,0,0,3.07839758694172,17556.301401336,0,0,0,0
"65",65,0,0,3.8709659576416,18154.1193236321,0,0,0,0
"66",66,0,0,5.10409998893738,18543.5538925055,0,0,0,0
"67",67,0,0,3.67822635173798,18543.5546597831,0,0,0,0
"68",68,0,0,3.19878599047661,18543.5564656025,0,0,0,0
"69",69,0,0,3.58715850114822,18543.5575857814,0,0,0,0
"70",70,0,0,3.03537103906274,18543.5651717809,0,0,0,0
"71",71,0,0,3.28973942995071,18543.5656205325,0,0,0,0
"72",72,0,0,3.41698548197746,18543.5673999947,0,0,0,0
"73",73,0,0,5.6111741065979,18543.5708285904,0,0,0,0
"74",74,0,0,3.74335408210754,18543.5713432779,0,0,0,0
"75",75,0,0,3.08548794686794,18543.5713532736,0,0,0,0
"76",76,0,0,4.03586792945862,18543.5718460578,0,0,0,0
"77",77,0,0,3.45964381098747,18543.571889309,0,0,0,0
"78",78,0,0,3.04836038500071,18543.5718920575,0,0,0,0
"79",79,0,0,4.64407539367676,18543.572015382,0,0,0,0
"80",80,0,0,3.44725567102432,18543.5721183209,0,0,0,0
"81",81,0,0,3.28498485684395,18543.5728731495,0,0,0,0
"82",82,0,0,3.58834993839264,18543.5730670135,0,0,0,0
"83",83,0,0,5.30056476593018,18543.5735237273,0,0,0,0
"84",84,0,0,3.26079294085503,18543.5736254844,0,0,0,0
"85",85,0,0,3.29970914125443,18543.5737768425,0,0,0,0
"86",86,0,0,3.85064494609833,18543.574222806,0,0,0,0
"87",87,0,0,3.05156510695815,18543.5744368544,0,0,0,0
"88",88,0,0,3.14294031262398,18543.5746672648,0,0,0,0
"89",89,0,0,3.3421625494957,18543.5746954437,0,0,0,0
"90",90,0,0,3.05195436999202,18543.5752201486,0,0,0,0
"91",91,0,0,3.33742427825928,18543.575326127,0,0,0,0
"92",92,0,0,3.05141443014145,18543.5765998683,0,0,0,0
"93",93,0,0,3.35127934813499,18543.5767643238,0,0,0,0
"94",94,0,0,3.03814928978682,18543.5772674198,0,0,0,0
"95",95,0,0,3.22091740369797,18543.5775282249,0,0,0,0
"96",96,0,0,3.18613629043102,18543.577776053,0,0,0,0
"97",97,0,0,3.19522450864315,18543.5779108291,0,0,0,0
"98",98,0,0,3.55768352746964,18543.5783838185,0,0,0,0
"99",99,0,0,4.27088487148285,18543.5785200792,0,0,0,0
