"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1",1,0,0,4.93699872493744,863.723516464233,0,0,0,0
"2",2,0,0,3.08127389103174,863.730952191011,0,0,0,0
"3",3,0,0,3.48765802383423,863.739913289092,0,0,0,0
"4",4,0,0,3.41656702756882,863.749647123899,0,0,0,0
"5",5,0,0,3.21796628832817,863.759855302777,0,0,0,0
"6",6,0,0,3.6410351395607,863.761449147487,0,0,0,0
"7",7,0,0,3.24993504583836,863.778689308866,0,0,0,0
"8",8,0,0,3.06426610052586,863.780430569367,0,0,0,0
"9",9,0,0,3.38534241914749,863.794162386888,0,0,0,0
"10",10,0,0,4.44744968414307,865.257950579817,0,0,0,0
"11",11,0,0,3.02038496360183,865.26491158666,0,0,0,0
"12",12,0,0,3.44207245111465,865.324252754492,0,0,0,0
"13",13,0,0,3.21165150403976,869.455539735332,0,0,0,0
"14",14,0,0,3.5142537355423,1009.76308551144,0,0,0,0
"15",15,0,0,3.13093928992748,1150.71705237021,0,0,0,0
"16",16,0,0,3.30550462007523,1279.18618691032,0,0,0,0
"17",17,0,0,3.22468315064907,1596.7939350771,0,0,0,0
"18",18,0,0,3.66800308227539,2332.02499548177,0,0,0,0
"19",19,0,0,3.11433236300945,2526.50796180039,0,0,0,0
"20",20,0,0,3.27935895323753,2595.96097104458,0,0,0,0
"21",21,0,0,3.08018068224192,2608.55614031755,0,0,0,0
"22",22,0,0,4.77059483528137,2830.31205250048,0,0,0,0
"23",23,0,0,3.40832215547562,2830.31228260287,0,0,0,0
"24",24,0,0,3.10264340788126,2830.3151374531,0,0,0,0
"25",25,0,0,3.74451512098312,2830.32441955962,0,0,0,0
"26",26,0,0,3.0555740185082,2830.37820487794,0,0,0,0
"27",27,0,0,3.48340311646461,2836.49725495568,0,0,0,0
"28",28,0,0,3.37856668233871,2847.77819021315,0,0,0,0
"29",29,0,0,3.21936947107315,3118.87444162745,0,0,0,0
"30",30,0,0,3.33861175179482,3207.82482977451,0,0,0,0
"31",31,0,0,4.87279999256134,3666.68418211971,0,0,0,0
"32",32,0,0,3.33505162596703,3666.68467434076,0,0,0,0
"33",33,0,0,3.43581146001816,3666.68479379965,0,0,0,0
"34",34,0,0,3.74374938011169,3666.68515840262,0,0,0,0
"35",35,0,0,3.10138932615519,3666.68660400345,0,0,0,0
"36",36,0,0,3.00073446199531,3666.68963053068,0,0,0,0
"37",37,0,0,4.30810701847076,3666.69570016466,0,0,0,0
"38",38,0,0,4.10458707809448,3666.69597310448,0,0,0,0
"39",39,0,0,3.63422536849976,3666.70910346849,0,0,0,0
"40",40,0,0,3.76208865642548,3666.73034904716,0,0,0,0
"41",41,0,0,3.22420382499695,3666.73968657652,0,0,0,0
"42",42,0,0,3.30597430467606,3666.7873549099,0,0,0,0
"43",43,0,0,3.22459995746613,3666.99702348286,0,0,0,0
"44",44,0,0,3.10604088753462,3667.00139875514,0,0,0,0
"45",45,0,0,4.00034844875336,4233.85429466275,0,0,0,0
"46",46,0,0,3.17629852890968,4406.20398100068,0,0,0,0
"47",47,0,0,3.29584422707558,4444.70884904632,0,0,0,0
"48",48,0,0,3.13110674917698,4485.35889635588,0,0,0,0
"49",49,0,0,3.40179508924484,5065.17460702609,0,0,0,0
"50",50,0,0,3.21623334288597,5124.6695271507,0,0,0,0
"51",51,0,0,3.39854645729065,5906.50162649437,0,0,0,0
"52",52,0,0,3.11263958364725,6059.73100638633,0,0,0,0
"53",53,0,0,3.00690638134256,6715.3150931791,0,0,0,0
"54",54,0,0,3.02967318333685,7258.13419882172,0,0,0,0
"55",55,0,0,3.25247001647949,8034.85106260694,0,0,0,0
"56",56,0,0,3.0930592790246,8077.83777901959,0,0,0,0
"57",57,0,0,3.04299938678741,8095.63102603212,0,0,0,0
"58",58,0,0,3.20184715092182,8170.67112010345,0,0,0,0
"59",59,0,0,4.12402963638306,9200.61196712397,0,0,0,0
"60",60,0,0,3.61403930187225,9206.11036050886,0,0,0,0
"61",61,0,0,3.56979215145111,9337.94179875927,0,0,0,0
"62",62,0,0,3.01190969906747,9418.95081811188,0,0,0,0
"63",63,0,0,3.24920812249184,9750.67649833938,0,0,0,0
"64",64,0,0,3.07839758694172,10227.94937623,0,0,0,0
