"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1",1,0,0,4.93699872493744,220.150321722031,0,0,0,0
"2",2,0,0,3.08127389103174,220.15175016335,0,0,0,0
"3",3,0,0,3.48765802383423,220.154619010051,0,0,0,0
"4",4,0,0,3.41656702756882,220.262416800835,0,0,0,0
"5",5,0,0,3.21796628832817,220.497002343848,0,0,0,0
"6",6,0,0,3.6410351395607,221.705683182322,0,0,0,0
"7",7,0,0,3.24993504583836,245.835338817147,0,0,0,0
"8",8,0,0,3.06426610052586,612.414463925656,0,0,0,0
"9",9,0,0,3.38534241914749,873.404791929372,0,0,0,0
"10",10,0,0,4.44744968414307,1079.4824649394,0,0,0,0
"11",11,0,0,3.02038496360183,1229.71068325668,0,0,0,0
"12",12,0,0,3.44207245111465,2021.8344923779,0,0,0,0
"13",13,0,0,3.21165150403976,2463.87898544582,0,0,0,0
"14",14,0,0,3.5142537355423,2509.78296113216,0,0,0,0
"15",15,0,0,3.13093928992748,2660.86781242118,0,0,0,0
"16",16,0,0,3.30550462007523,2693.00619351873,0,0,0,0
"17",17,0,0,3.22468315064907,2974.33585876006,0,0,0,0
"18",18,0,0,3.66800308227539,3234.65049728779,0,0,0,0
"19",19,0,0,3.11433236300945,3573.46263813599,0,0,0,0
"20",20,0,0,3.27935895323753,3618.80059110178,0,0,0,0
"21",21,0,0,3.08018068224192,3882.15447148293,0,0,0,0
"22",22,0,0,4.77059483528137,4023.39534576957,0,0,0,0
"23",23,0,0,3.40832215547562,4023.39563962614,0,0,0,0
"24",24,0,0,3.10264340788126,4023.39617490142,0,0,0,0
"25",25,0,0,3.74451512098312,4023.39923145024,0,0,0,0
"26",26,0,0,3.0555740185082,4023.41098809006,0,0,0,0
"27",27,0,0,3.48340311646461,4023.41442320774,0,0,0,0
"28",28,0,0,3.37856668233871,4023.50342368038,0,0,0,0
"29",29,0,0,3.21936947107315,4023.51505142184,0,0,0,0
"30",30,0,0,3.33861175179482,4023.65661218178,0,0,0,0
"31",31,0,0,4.87279999256134,4023.68013318218,0,0,0,0
"32",32,0,0,3.33505162596703,4023.68662653157,0,0,0,0
"33",33,0,0,3.43581146001816,4023.690654476,0,0,0,0
"34",34,0,0,3.74374938011169,4023.70497093067,0,0,0,0
"35",35,0,0,3.10138932615519,4023.73205278713,0,0,0,0
"36",36,0,0,3.00073446199531,4023.75257846135,0,0,0,0
"37",37,0,0,4.30810701847076,4024.07255699427,0,0,0,0
"38",38,0,0,4.10458707809448,4024.13071346709,0,0,0,0
"39",39,0,0,3.63422536849976,4024.43645238237,0,0,0,0
"40",40,0,0,3.76208865642548,4024.43935200814,0,0,0,0
"41",41,0,0,3.22420382499695,4025.93735904986,0,0,0,0
"42",42,0,0,3.30597430467606,4837.5234962424,0,0,0,0
"43",43,0,0,3.22459995746613,5002.65704118922,0,0,0,0
"44",44,0,0,3.10604088753462,5141.84303075036,0,0,0,0
"45",45,0,0,4.00034844875336,5883.56359162036,0,0,0,0
"46",46,0,0,3.17629852890968,5883.56421344003,0,0,0,0
"47",47,0,0,3.29584422707558,6012.68868370898,0,0,0,0
"48",48,0,0,3.13110674917698,6265.89227189522,0,0,0,0
"49",49,0,0,3.40179508924484,6577.02091362627,0,0,0,0
"50",50,0,0,3.21623334288597,6577.04521171449,0,0,0,0
"51",51,0,0,3.39854645729065,7305.28211025086,0,0,0,0
"52",52,0,0,3.11263958364725,8742.17123001434,0,0,0,0
"53",53,0,0,3.00690638134256,9403.58004643889,0,0,0,0
"54",54,0,0,3.02967318333685,9886.41582192132,0,0,0,0
"55",55,0,0,3.25247001647949,10670.8913076521,0,0,0,0
"56",56,0,0,3.0930592790246,12360.7132964978,0,0,0,0
"57",57,0,0,3.04299938678741,12901.2301195662,0,0,0,0
"58",58,0,0,3.20184715092182,13202.4927356949,0,0,0,0
"59",59,0,0,4.12402963638306,13234.1395225549,0,0,0,0
"60",60,0,0,3.61403930187225,13234.1395537293,0,0,0,0
"61",61,0,0,3.56979215145111,13234.1586890295,0,0,0,0
"62",62,0,0,3.01190969906747,13234.6685377756,0,0,0,0
"63",63,0,0,3.24920812249184,13831.9263529095,0,0,0,0
"64",64,0,0,3.07839758694172,13840.8341314914,0,0,0,0
"65",65,0,0,3.8709659576416,15307.4565980566,0,0,0,0
"66",66,0,0,5.10409998893738,15308.7319281734,0,0,0,0
"67",67,0,0,3.67822635173798,15308.73354345,0,0,0,0
"68",68,0,0,3.19878599047661,15308.7384878421,0,0,0,0
"69",69,0,0,3.58715850114822,15308.7569928481,0,0,0,0
"70",70,0,0,3.03537103906274,15308.7591456674,0,0,0,0
"71",71,0,0,3.28973942995071,15308.7806481036,0,0,0,0
"72",72,0,0,3.41698548197746,15308.8012214739,0,0,0,0
"73",73,0,0,5.6111741065979,15309.0900945435,0,0,0,0
"74",74,0,0,3.74335408210754,15309.0902000842,0,0,0,0
"75",75,0,0,3.08548794686794,15309.0906976857,0,0,0,0
"76",76,0,0,4.03586792945862,15309.0907892525,0,0,0,0
"77",77,0,0,3.45964381098747,15309.0911230933,0,0,0,0
"78",78,0,0,3.04836038500071,15309.0916767288,0,0,0,0
"79",79,0,0,4.64407539367676,15309.0918694886,0,0,0,0
