gen	time   	min     	avg     	max     	std    
0  	1.81592	-13575.2	-6092.11	-3712.61	2078.42
1  	2.56248	-24985.6	-6236.98	-3693.99	4629.79
2  	3.28064	-29755.5	-5847.48	-3614   	4493.41
3  	4.03968	-13430.4	-5042.75	-3614   	1490.09
4  	4.72246	-7988.89	-4753.82	-3614   	894.657
5  	5.4017 	-49656.8	-6328.98	-3590.54	7509.98
6  	6.11262	-19245.7	-5493.52	-3590.54	2559.73
7  	6.81065	-9022.85	-5019.49	-3561.92	1346.64
8  	7.48347	-17643.9	-5277.02	-3559.15	2534.54
9  	8.19645	-62921.5	-5935.71	-3559.15	8198.33
gen	time   	min     	avg     	max     	std    
0  	1.58714	-11989.9	-5727.56	-4050.22	1596.56
1  	2.31965	-21780.4	-5958.31	-4040.94	3213.35
2  	3.05178	-9677.68	-5381.56	-4040.94	1338.02
3  	3.75543	-11018.9	-5239.9 	-3957.33	1196.37
4  	4.55648	-61622.8	-6326.6 	-3957.33	8033.97
5  	5.2312 	-11915.6	-5424.32	-3957.33	1742.11
6  	5.98599	-15643.4	-5680.04	-3957.33	2021.18
7  	6.69988	-17359.7	-5789.57	-3957.33	2548.54
8  	7.38403	-8908.41	-5123.24	-3957.33	1051.84
9  	8.08382	-14779.8	-5348.93	-3957.33	1930.1 
gen	time   	min     	avg     	max     	std    
0  	1.53582	-55189.7	-8675.77	-4195.45	8349.65
1  	2.29381	-23335.2	-6485.2 	-4045.56	3855.34
2  	3.00274	-36484.2	-6848.91	-3854.37	6278.11
3  	3.59659	-8521.8 	-4823.18	-3854.37	804.277
4  	4.26503	-16296  	-5317.44	-3854.37	2246.01
5  	4.91036	-27887.5	-6443.71	-3791.13	4579.04
6  	5.57888	-25292.9	-5780.78	-3791.13	3375.81
7  	6.29347	-56339.4	-6333.24	-3765.46	7376.95
8  	6.94332	-8396.21	-4878.05	-3719.22	1175.5 
9  	7.63778	-18167.3	-4849.2 	-3453.69	2086.73
gen	time   	min     	avg     	max     	std    
0  	2.00096	-293088 	-17022.1	-3880.81	52390.2
1  	3.05393	-23607.4	-6056.01	-3671.35	3498.33
2  	4.04835	-21670.1	-5884.43	-3671.35	3232.66
3  	4.83784	-10757.8	-4791.57	-3671.35	1098.12
4  	5.58075	-8348.93	-4576.82	-3485.53	880.961
5  	6.2831 	-20766.6	-5623.75	-3485.53	3288.62
6  	6.98783	-31026.4	-5623.88	-3482.67	4521.37
7  	7.63056	-16058.9	-4850.24	-3442.41	2311.02
8  	8.32035	-11089.3	-4446.37	-3390.7 	1451.57
9  	9.00639	-10549.5	-4470.06	-3390.7 	1254.78
gen	time   	min     	avg     	max     	std    
0  	1.46651	-11543.2	-5696.76	-3558.73	1923.7 
1  	2.13334	-14319.1	-5134.42	-3558.73	1700.09
2  	2.95045	-49769.4	-5972.86	-3527.7 	6558.89
3  	3.74462	-6871.33	-4336.51	-3477.38	659.797
4  	4.51359	-6999.48	-4329.3 	-3477.38	775.937
5  	5.20103	-28645.5	-4975.9 	-3476.47	3838.71
6  	5.87675	-14367.4	-4448.81	-3474.97	1716.44
7  	6.54268	-8013.08	-4293.07	-3439.91	926.787
8  	7.24438	-18876.8	-4546.6 	-3439.91	2304.31
9  	7.93688	-12497.8	-4183.4 	-3365.12	1329.92
gen	time   	min     	avg     	max     	std    
0  	1.47551	-13592.5	-6051.37	-4121.46	1721.78
1  	2.20439	-9651.75	-5273.68	-4017.67	1308.42
2  	2.88214	-17358.6	-5099.65	-4017.67	1934.87
3  	3.55404	-9531.56	-4971.5 	-3931.19	1275.1 
4  	4.23781	-7650.54	-4961.04	-3627.89	1022.11
5  	4.90648	-10138.7	-4654.8 	-3627.89	1091.14
6  	5.57509	-7278.7 	-4484.84	-3627.89	733.899
7  	6.25276	-13627.9	-5188.53	-3627.89	1891.18
8  	6.92444	-6942.45	-4530.01	-3627.89	760.046
9  	7.60937	-8550.81	-4576.56	-3596.3 	1028.68
gen	time   	min     	avg     	max     	std    
0  	1.52178	-20766.8	-7091.86	-4068.8 	2508.07
1  	2.21089	-18835.1	-6532.3 	-3938.77	2365.65
2  	2.92813	-14512.6	-5961.59	-3938.77	2007.7 
3  	3.61212	-8872.39	-5309.77	-3938.77	1080.64
4  	4.33813	-15789  	-5733.92	-3938.77	2493.09
5  	5.06771	-14033.7	-5548.73	-3938.77	1746.58
6  	5.75213	-9114.27	-5552.54	-3938.77	1255.34
