gen	depth	min     	avg     	max     	std    
0  	60   	-16597.1	-4616.65	-3016.3 	1313.66
1  	60   	-12090.9	-3940.6 	-2957.46	823.248
2  	60   	-8181.87	-3523.83	-2911.76	435.65 
3  	60   	-7376.99	-3301.54	-2708.92	366.367
4  	60   	-35591  	-3341.24	-2708.92	1970.08
5  	60   	-7148.85	-3055.18	-2628.76	369.979
6  	60   	-10573.3	-3005.31	-2506.3 	668.962
7  	60   	-9024.96	-2878.37	-2506.3 	400.963
8  	60   	-8689.86	-2799.78	-2416.4 	392.632
9  	60   	-8119.86	-2710.85	-2397.35	343.006
10 	60   	-12172.6	-2662.51	-2397.35	566.94 
11 	60   	-7924.23	-2616.2 	-2350.44	403.644
12 	60   	-4299.87	-2523.52	-2347.21	154.857
13 	60   	-6062.18	-2493.04	-2313.35	268.86 
14 	60   	-5268.59	-2468.79	-2313.35	220.443
15 	60   	-4668.29	-2429.88	-2270.06	164.05 
16 	60   	-4312.26	-2393.2 	-2240.46	151.737
17 	60   	-6059.55	-2373.58	-2220.59	247.491
18 	60   	-8227.65	-2388.87	-2220.59	486.302
19 	60   	-9474.23	-2353.36	-2207.46	453.98 
20 	60   	-7216.07	-2327.39	-2207.46	357.787
21 	60   	-4281.71	-2287.9 	-2196.78	176.55 
22 	60   	-7655.53	-2299.16	-2191.5 	392.604
23 	60   	-3639.44	-2250.1 	-2175.66	137.083
24 	60   	-12585.1	-2295.8 	-2162.24	645.416
25 	60   	-5113.17	-2239.69	-2151.84	237.197
26 	60   	-5822.87	-2219.9 	-2143.13	205.297
27 	60   	-10971.2	-2229   	-2139.4 	418.922
28 	60   	-3696.17	-2201.07	-2133.31	143.296
29 	60   	-6707.2 	-2196.89	-2120.98	247.892
30 	60   	-6042.71	-2190.36	-2109.97	222.743
31 	60   	-8220.94	-2186.69	-2107.53	372.693
32 	60   	-9033.22	-2168.53	-2101.54	324.438
33 	60   	-5208.74	-2155.86	-2092.06	189.178
34 	60   	-5741.82	-2151.28	-2086.35	205.061
35 	60   	-24441.4	-2197.39	-2077.07	1049.38
36 	60   	-4980.97	-2144.54	-2074.95	222.615
37 	60   	-3960.08	-2128.04	-2064.66	160.272
38 	60   	-8183.3 	-2135.15	-2063.03	335.354
39 	60   	-7271.5 	-2125.82	-2056.72	294.413
40 	60   	-3354.36	-2105.84	-2052.33	128.666
41 	60   	-3422.59	-2094.56	-2051.35	105.862
42 	60   	-5862.6 	-2095.34	-2047.6 	220.086
43 	60   	-7107.25	-2107.96	-2046.59	340.879
44 	60   	-7102.16	-2097.1 	-2043.07	310.207
45 	60   	-16544.8	-2137.82	-2039.9 	752.517
46 	60   	-3845.76	-2081.75	-2037   	160.092
47 	60   	-3536.47	-2073.59	-2036.24	121.19 
48 	60   	-2897.85	-2061.68	-2030.46	83.4067
49 	60   	-3862.12	-2063.99	-2030.46	121.469
50 	60   	-2890.56	-2059.19	-2023.57	75.3104
51 	60   	-3333.2 	-2072.82	-2023.57	146.856
52 	60   	-4106.25	-2060.18	-2017.94	159.349
53 	60   	-8523.95	-2072.2 	-2017.94	365.99 
54 	60   	-6481.4 	-2064.14	-2017.94	261.862
55 	60   	-2538.76	-2036.03	-2017.94	48.972 
56 	60   	-3362.24	-2052.96	-2015.14	122.454
57 	60   	-6297.3 	-2060.92	-2014.51	267.839
58 	60   	-4076.09	-2049.22	-2014.4 	151.912
59 	60   	-10227.3	-2087.37	-2014.3 	559.496
60 	60   	-10940.9	-2083.4 	-2012.43	485.516
61 	60   	-3034.77	-2045.71	-2010.98	106.378
62 	60   	-5613.9 	-2054.31	-2008.74	232.965
63 	60   	-5631.62	-2049.05	-2006.42	199.839
64 	60   	-3138.17	-2041.73	-2006.29	121.894
65 	60   	-8386.77	-2062.79	-2004.77	345.2  
66 	60   	-3602.95	-2043.9 	-2004.77	146.411
67 	60   	-4191.73	-2036.53	-1999.85	154.502
68 	60   	-3733.35	-2032.72	-1999.85	132.158
69 	60   	-3475.89	-2026.53	-1993.5 	95.4263
70 	60   	-3552.78	-2029.73	-1993.5 	127.588
71 	60   	-73626.7	-2165.74	-1993.1 	3201.24
72 	60   	-4052.63	-2024.96	-1992.4 	133.288
73 	60   	-6175.6 	-2037.32	-1992.4 	288.401
74 	60   	-11451.8	-2057.39	-1992.35	482.281
75 	60   	-3787.19	-2030.44	-1988.93	161.105
76 	60   	-3328.2 	-2016.92	-1988.53	109.475
77 	60   	-5493.29	-2024.13	-1987.41	195.155
78 	60   	-3052.73	-2021.52	-1987.08	118.314
79 	60   	-4082.88	-2012.73	-1985.25	140.273
80 	60   	-3084.74	-2013.89	-1983.86	103.475
81 	60   	-4161.28	-2016.17	-1983.86	158.953
82 	60   	-3604.84	-2004.57	-1983.86	110.216
83 	60   	-3855.22	-2006.27	-1983.86	132.568
84 	60   	-3330.08	-2008.49	-1983.16	124.513
85 	60   	-5248.97	-2020.57	-1983.16	247.781
86 	60   	-7279.98	-2029.98	-1982.79	345.989
87 	60   	-2930.71	-2003.02	-1982.79	93.0068
88 	60   	-3207.25	-2005.06	-1979.16	101.072
89 	60   	-3752.84	-2005.14	-1971.31	136.166
90 	60   	-5239.45	-2015.87	-1969.23	226.504
91 	60   	-3853.53	-2010.74	-1969.23	160.672
92 	60   	-3663.21	-1998.71	-1969.23	102.338
93 	60   	-3752.23	-2004.67	-1967.34	152.802
94 	60   	-5603.06	-2000.19	-1967.34	198.185
