gen	time   	min     	avg     	max     	std    
0  	9.28545	-8809.47	-1810.08	-1652.53	393.305
1  	13.8053	-5116.03	-1724.61	-1649.29	157.491
2  	18.1593	-2043.29	-1691.98	-1640.47	37.0647
3  	22.5201	-2264.43	-1679.08	-1638.9 	48.8657
4  	26.9068	-2995.78	-1668.17	-1636.03	62.7655
5  	31.3075	-2050.22	-1658.59	-1635.11	29.3977
6  	35.6636	-1986.72	-1651.92	-1633.33	21.7221
7  	39.9558	-2140.07	-1647.05	-1631.72	26.535 
8  	44.3974	-2023.33	-1643.6 	-1631.27	22.6028
9  	48.7601	-2045.7 	-1641.42	-1629.04	23.3559
10 	53.0065	-1776.97	-1637.45	-1627.48	10.6759
11 	57.407 	-1963.26	-1637.52	-1624.5 	20.8054
12 	61.8358	-2072.91	-1635.84	-1624.5 	27.8861
13 	66.3037	-2543.1 	-1636.15	-1624.5 	44.1685
14 	70.8123	-2033.33	-1634.3 	-1623.52	26.1851
15 	75.2276	-1870.16	-1631.53	-1622.91	15.3729
16 	79.5892	-1746.42	-1629.38	-1622.91	7.56234
17 	84.0775	-1746.33	-1627.87	-1621.35	7.87988
18 	88.2918	-1850.09	-1628.03	-1619.98	16.373 
19 	92.8204	-2178.52	-1627.76	-1619.55	32.509 
20 	97.3049	-2095.14	-1626.42	-1618.91	30.6175
21 	101.771	-1905.26	-1624.07	-1618.13	14.8662
22 	106.22 	-2057.99	-1622.93	-1617.43	20.3883
23 	110.64 	-2234.64	-1624.77	-1616.77	35.6338
24 	114.914	-1918.91	-1621.5 	-1616.76	17.0467
25 	119.314	-2328.71	-1621.47	-1615.48	32.7254
26 	123.562	-1722.48	-1619.43	-1615.25	7.84925
27 	127.981	-1884.8 	-1619.67	-1615.25	17.008 
28 	132.479	-1709.57	-1618.54	-1614.78	6.34353
29 	136.801	-1805.56	-1618.37	-1614.13	11.0555
30 	141.151	-3393.99	-1622.83	-1613.73	82.218 
31 	145.451	-2060.57	-1618.76	-1613.43	23.8124
32 	149.929	-1715.27	-1616.7 	-1613.43	8.50717
33 	154.302	-1713.41	-1615.84	-1612.16	6.54439
34 	158.677	-1751.43	-1616.36	-1611.97	12.0356
35 	163.063	-1715.32	-1615.51	-1611.34	9.69463
36 	167.374	-1730.23	-1614.66	-1611.34	7.19272
37 	171.814	-1885.95	-1614.47	-1611.34	12.6606
38 	176.221	-1839.33	-1615.15	-1610.81	14.2601
39 	180.692	-1687.73	-1613.53	-1610.64	5.64617
40 	185.11 	-1770.26	-1614.08	-1610.64	12.3697
41 	189.486	-1754.52	-1612.99	-1610.34	9.08245
42 	193.857	-1660.77	-1612.38	-1609.94	4.62322
43 	198.116	-1656.25	-1612.09	-1609.94	4.30187
44 	202.577	-1960.32	-1613.11	-1609.23	21.5073
45 	206.974	-1841.55	-1613.04	-1609.23	17.1088
46 	211.32 	-1711.49	-1612.03	-1608.94	8.80911
47 	215.577	-1644.18	-1610.57	-1608.24	3.12039
48 	220.026	-1977.27	-1611.57	-1608.17	17.7792
49 	224.288	-1801.95	-1610.37	-1607.89	9.62235
50 	228.598	-1741.08	-1610.23	-1607.67	7.90646
51 	232.978	-1653.84	-1609.53	-1607.59	3.82334
52 	237.401	-1736.42	-1609.67	-1607.47	8.71307
53 	241.819	-1739.79	-1609.73	-1607.47	9.20289
54 	246.152	-1695.28	-1609.12	-1607.19	7.33144
55 	250.489	-1749.44	-1609.07	-1607.19	9.01752
56 	254.852	-2299.7 	-1609.88	-1607.19	31.255 
57 	259.18 	-1677.92	-1608.55	-1606.85	5.83792
58 	263.599	-1639.5 	-1608.15	-1606.85	3.65447
59 	267.879	-1654.15	-1607.94	-1606.85	3.30809
60 	272.301	-1692.73	-1608.16	-1606.85	5.39903
61 	276.674	-1650.7 	-1607.72	-1606.8 	3.16383
62 	280.94 	-1663.89	-1608.09	-1606.8 	5.36964
63 	285.361	-1655.71	-1607.85	-1606.4 	3.96387
64 	289.749	-1779.54	-1608.36	-1606.4 	9.98302
65 	294.058	-1814.37	-1608.03	-1606.4 	9.8066 
66 	298.509	-1682.47	-1608.01	-1606.4 	6.27993
67 	302.779	-1795.29	-1608.13	-1606.4 	12.1008
68 	307.079	-1768.44	-1607.91	-1606.4 	10.3859
69 	311.519	-1705.84	-1607.93	-1606.4 	7.55639
70 	315.963	-1712.22	-1607.54	-1606.4 	7.24013
71 	320.271	-1713.09	-1607.65	-1606.14	7.74086
72 	324.609	-1641.26	-1607.12	-1606.07	3.66071
73 	329.009	-1708.95	-1607.5 	-1606.07	7.15836
74 	333.416	-1692.71	-1607.4 	-1606.07	6.07359
75 	337.741	-1809.05	-1607.21	-1606.07	9.41298
76 	342.009	-1678.65	-1607.45	-1606.05	6.41405
77 	346.237	-1728.87	-1607.81	-1606.05	9.66387
78 	350.532	-1982.09	-1608.31	-1605.93	18.6073
79 	355.062	-1883.57	-1607.67	-1605.93	13.4977
80 	359.548	-1845.84	-1607.55	-1605.93	12.687 
81 	363.861	-1852.21	-1607.48	-1605.53	11.7806
82 	368.321	-1879.5 	-1608.18	-1605.53	17.5915
83 	372.658	-1646.74	-1606.86	-1605.53	3.8134 
84 	376.915	-1652.35	-1606.9 	-1605.37	4.1966 
85 	381.353	-1752.15	-1607.11	-1605.37	7.86221
86 	385.608	-1655.5 	-1606.64	-1605.35	4.08087
87 	389.901	-1646.31	-1606.34	-1605.13	3.17422
88 	394.134	-2185.64	-1607.95	-1605.13	27.4202
89 	398.49 	-1648.32	-1606.49	-1605.13	4.26002
90 	402.788	-1691.3 	-1606.46	-1605.1 	5.7113 
91 	407.267	-1669.99	-1606.05	-1605.1 	4.03457
92 	411.77 	-1685.89	-1606.24	-1605.1 	5.83301
93 	416.025	-1743.12	-1606.51	-1605.1 	8.8607 
94 	420.447	-1617.21	-1605.51	-1605.1 	1.29068
95 	424.753	-1632.88	-1605.69	-1604.83	2.73576
96 	429.147	-1668.62	-1606   	-1604.83	5.04141
97 	433.301	-1688.32	-1606.28	-1604.73	6.74406
98 	437.749	-1747.89	-1605.87	-1604.73	7.22921
99 	442.16 	-1695.72	-1606.08	-1604.7 	6.29838
gen	time   	min     	avg     	max     	std    
0  	9.25743	-2720.73	-1786.46	-1652.16	115.271
1  	13.652 	-2050.02	-1722.96	-1651.82	47.4183
2  	18.2118	-2054.91	-1694.39	-1645.13	32.0533
3  	22.6629	-2672.38	-1679.39	-1639.3 	54.8437
4  	27.0347	-3165.05	-1667.55	-1636.1 	70.2658
5  	31.3587	-2009.37	-1657.9 	-1629.96	29.493 
6  	35.707 	-2102.12	-1650.33	-1629.96	23.4195
7  	40.1754	-1798.06	-1645.14	-1627.98	14.4843
8  	44.6354	-1698.79	-1640.4 	-1627.4 	8.19145
