gen	depth	min     	avg     	max     	std    
0  	25   	-3486.54	-1804.59	-1658.17	150.201
1  	25   	-1930.15	-1726.1 	-1657.78	40.8681
2  	25   	-2789.56	-1705.46	-1644.22	73.446 
3  	25   	-2102.73	-1685.68	-1639.77	30.595 
4  	25   	-2954.49	-1674.01	-1635.58	60.5647
5  	25   	-1849.61	-1661.57	-1635.49	16.432 
6  	25   	-2086.66	-1656.84	-1634.06	28.7878
7  	25   	-1870.06	-1649.64	-1633.71	16.8934
8  	25   	-1757.55	-1643.84	-1629.04	9.07827
9  	25   	-2023.9 	-1643.05	-1626.77	29.8946
10 	25   	-1848.84	-1638.67	-1626.77	14.0509
11 	25   	-2286.61	-1638.5 	-1624.72	40.0299
12 	25   	-2008.58	-1633.63	-1624.72	19.1549
13 	25   	-3368.27	-1635.91	-1622.83	80.9555
14 	25   	-1944.07	-1631.15	-1622.83	20.8518
15 	25   	-1868.66	-1628.37	-1622.41	11.6186
16 	25   	-1770.68	-1627.8 	-1621.36	8.94955
17 	25   	-1860.09	-1628.15	-1620.79	17.419 
18 	25   	-1675.78	-1625.33	-1620.13	5.1828 
19 	25   	-1688.93	-1624.32	-1619.83	5.29754
20 	25   	-2295.74	-1625.21	-1619.54	30.9521
21 	25   	-1915.49	-1624.99	-1618.84	20.0319
22 	25   	-1817.28	-1622.81	-1618.19	12.3303
23 	25   	-1794.16	-1622.24	-1616.9 	10.709 
24 	25   	-1765.26	-1621.37	-1616.9 	10.2692
25 	25   	-2025.13	-1622.17	-1616.33	22.769 
26 	25   	-1720.55	-1619.7 	-1616.33	7.45293
27 	25   	-1935.76	-1620.42	-1615.84	18.7275
28 	25   	-1964.95	-1620   	-1615.84	21.3733
29 	25   	-1712.19	-1617.99	-1615.84	6.89487
30 	25   	-1767.13	-1618.37	-1615.22	10.898 
31 	25   	-1879.75	-1618.66	-1614.55	18.1548
32 	25   	-1846.72	-1618.02	-1614.16	12.7614
33 	25   	-1838.64	-1617.81	-1614.16	12.9334
34 	25   	-1798.52	-1617.26	-1613.76	10.8803
35 	25   	-1706.86	-1616.14	-1613.76	5.28129
36 	25   	-2337.1 	-1618.47	-1613.28	33.8976
37 	25   	-1925.7 	-1616.77	-1613.28	16.8852
38 	25   	-1954.15	-1615.92	-1613.16	15.9395
39 	25   	-1731.68	-1615.73	-1612.63	9.6634 
40 	25   	-1803.82	-1614.95	-1611.81	9.42162
41 	25   	-1793.5 	-1614.95	-1611.81	11.0135
42 	25   	-1722.96	-1614.77	-1611.46	8.14237
43 	25   	-2321.55	-1617.02	-1611.36	40.0601
44 	25   	-2023.51	-1614.86	-1610.81	20.9441
45 	25   	-1676.47	-1613.7 	-1610.81	5.92083
46 	25   	-1812.2 	-1614.86	-1610.67	17.7698
47 	25   	-1832.66	-1613.89	-1610.11	13.6355
48 	25   	-2042.81	-1615.19	-1610.11	29.463 
49 	25   	-1756.11	-1612.54	-1609.35	8.56978
50 	25   	-1690.1 	-1611.94	-1609.35	5.00847
51 	25   	-1732.54	-1612.06	-1609.35	8.19042
52 	25   	-1747.73	-1611.38	-1609.23	7.57643
53 	25   	-1987.38	-1612.47	-1608.97	20.4425
54 	25   	-1730.39	-1610.51	-1608.89	7.5545 
55 	25   	-1753.18	-1610.52	-1608.53	8.41614
56 	25   	-1697.67	-1610.6 	-1608.19	7.3854 
57 	25   	-2331.17	-1612.33	-1608.19	33.2415
58 	25   	-1720.83	-1610.68	-1608.14	9.86372
59 	25   	-1727.48	-1610.13	-1607.49	9.50921
60 	25   	-1644.8 	-1609.4 	-1607.49	3.77793
61 	25   	-1714.61	-1609.29	-1607.44	6.58473
62 	25   	-1673.01	-1608.89	-1607.44	4.62132
63 	25   	-1820.71	-1609.27	-1607.44	11.3962
64 	25   	-1834.38	-1609.05	-1607.34	11.9582
65 	25   	-1627.54	-1608.17	-1606.94	2.2579 
66 	25   	-1868.59	-1609.11	-1606.94	14.0344
67 	25   	-1663.75	-1608.35	-1606.24	4.40894
68 	25   	-1646.37	-1608   	-1606.24	3.4026 
69 	25   	-1724.21	-1608.38	-1606.24	7.39313
70 	25   	-1646   	-1607.72	-1606.24	3.51049
71 	25   	-1721.2 	-1607.77	-1606.24	6.3755 
72 	25   	-1783.84	-1607.77	-1606.03	8.84869
73 	25   	-1653.61	-1607.68	-1606.03	5.34307
74 	25   	-1684.53	-1607.16	-1606.03	4.80595
75 	25   	-1624.35	-1606.57	-1606.03	1.84364
76 	25   	-1722.46	-1607.11	-1606.03	6.64846
77 	25   	-1743.67	-1607.27	-1605.64	8.98409
78 	25   	-1662.6 	-1606.38	-1605.64	2.96731
79 	25   	-1647.51	-1606.8 	-1605.64	3.63952
80 	25   	-1678.2 	-1606.96	-1605.64	5.97438
81 	25   	-1774.88	-1607.01	-1605.4 	9.44173
82 	25   	-1643.93	-1606.2 	-1604.94	2.67549
83 	25   	-1662.47	-1606.35	-1604.94	4.4961 
84 	25   	-3821.9 	-1610.82	-1604.85	99.1515
85 	25   	-1675.53	-1606.35	-1604.85	4.63096
86 	25   	-1656.48	-1606.32	-1604.7 	4.49054
87 	25   	-1623.41	-1605.59	-1604.7 	1.68515
88 	25   	-1656.02	-1605.79	-1604.54	4.55033
89 	25   	-1655.43	-1605.5 	-1604.54	3.91849
90 	25   	-1657.93	-1605.56	-1604.54	4.21005
91 	25   	-1911.06	-1607.15	-1604.54	18.6953
92 	25   	-1649.27	-1605.34	-1604.54	3.62268
93 	25   	-1652.28	-1605.69	-1604.54	4.71068
94 	25   	-1751.34	-1606.16	-1604.54	10.1355
95 	25   	-1638.42	-1605.22	-1604.54	3.10437
96 	25   	-1636.27	-1604.99	-1604.54	2.2258 
97 	25   	-1740.67	-1605.55	-1604.54	7.35464
