gen	time   	min     	avg     	max     	std     
0  	11.403 	-2531.65	-2120.16	-2043.98	70.4187 
1  	16.8793	-2227.55	-2079.02	-2043.33	23.1503 
2  	22.241 	-2186.02	-2065.08	-2042.3 	14.9357 
3  	27.6294	-2282.21	-2056.64	-2038.82	15.8803 
4  	32.9861	-2113.48	-2050.66	-2038   	8.27957 
5  	38.4991	-2177.56	-2047.72	-2037.3 	11.6452 
6  	43.9926	-2142.81	-2044.33	-2037.03	8.40527 
7  	49.4602	-2108.84	-2042.13	-2035.5 	5.3241  
8  	54.9058	-2133.53	-2041.08	-2033.61	7.57698 
9  	60.4514	-2206.89	-2039.97	-2033.11	9.34501 
10 	65.8507	-2174.58	-2038.38	-2031.71	6.98911 
11 	71.3977	-2173.83	-2037.49	-2031.71	7.19659 
12 	76.7894	-2212   	-2036.52	-2031.71	8.75274 
13 	82.1769	-2107.05	-2035.42	-2031.71	4.58578 
14 	87.6827	-2342.37	-2035.77	-2031.71	18.2872 
15 	93.0643	-2177.37	-2033.8 	-2031.51	8.39886 
16 	98.2259	-2117.46	-2033.01	-2030.88	4.30435 
17 	103.707	-2187.16	-2033.1 	-2030.88	9.02811 
18 	109.201	-2101.8 	-2032.59	-2030.18	4.43668 
19 	114.757	-2097.63	-2032.41	-2030.18	4.52616 
20 	120.289	-2250.94	-2032.94	-2029.99	13.3435 
21 	125.719	-2335.95	-2032.75	-2029.99	16.2141 
22 	131.197	-2111.22	-2031.63	-2029.98	5.88814 
23 	136.558	-2079.04	-2030.8 	-2029.92	2.43327 
24 	141.923	-2093.15	-2030.83	-2029.92	4.65213 
25 	147.192	-2055.52	-2030.46	-2029.49	1.95318 
26 	152.649	-2105.78	-2030.54	-2029.49	4.0519  
27 	157.966	-2200.16	-2030.85	-2029.47	8.41091 
28 	163.342	-2063.6 	-2030.39	-2029.47	2.92153 
29 	168.474	-2082.48	-2030.27	-2029.47	3.36814 
30 	174.008	-2068.53	-2029.9 	-2029.44	2.19881 
31 	179.579	-2082.85	-2030.14	-2029.44	4.34203 
32 	184.877	-2073.55	-2029.85	-2029.29	2.61226 
33 	190.312	-2110.53	-2030.09	-2028.97	4.75584 
34 	195.735	-2099.58	-2030.37	-2028.92	6.28423 
35 	201.253	-2075.6 	-2030.07	-2028.92	3.66431 
36 	206.655	-2162.96	-2029.97	-2028.79	6.16072 
37 	212.148	-2903.05	-2032.21	-2028.57	39.7584 
38 	217.701	-2075.01	-2029.58	-2028.39	2.44419 
39 	223.162	-2081.31	-2029.54	-2028.37	3.43056 
40 	228.591	-2125.59	-2029.64	-2028.29	5.5739  
41 	233.974	-2311.84	-2029.95	-2028.1 	13.305  
42 	239.384	-2074.31	-2028.96	-2028.1 	2.63036 
43 	244.828	-2046.01	-2028.83	-2027.88	1.64417 
44 	250.277	-2094.26	-2029.08	-2027.88	5.423   
45 	255.565	-2118.07	-2028.87	-2027.88	4.71766 
46 	260.841	-2118.79	-2028.73	-2027.88	5.05073 
47 	266.272	-2063.55	-2028.73	-2027.88	3.76738 
48 	271.786	-2284.33	-2028.87	-2027.88	11.9419 
49 	277.407	-2124.05	-2028.71	-2027.88	5.36625 
