gen	time   	min     	avg     	max     	std    
0  	11.2924	-2654.22	-2142.61	-2056.02	69.1676
1  	16.7935	-2259.84	-2099.31	-2051.94	26.5345
2  	22.324 	-2278.02	-2083.17	-2049.98	22.7467
3  	27.8146	-2268.85	-2072.01	-2049.3 	17.1947
4  	33.25  	-2680.77	-2065.26	-2046.6 	34.7848
5  	38.6719	-2170.81	-2057.47	-2045.89	8.91606
6  	44.0915	-2115.5 	-2053.45	-2044.54	6.73484
7  	49.564 	-2190.82	-2051.04	-2042.54	7.87313
8  	55.223 	-2117.07	-2048.93	-2040.7 	5.03953
9  	60.5953	-2097   	-2047.34	-2040.7 	4.4443 
10 	65.884 	-2124.17	-2046.34	-2040.7 	6.81348
11 	71.3295	-2262.11	-2046.6 	-2038.19	17.8192
12 	76.7406	-2111.23	-2043.14	-2037.08	4.17229
13 	82.1725	-2144.59	-2042.93	-2036.89	9.15518
14 	87.4194	-2080.96	-2041.19	-2036.18	3.66165
15 	92.8856	-2314.57	-2041.35	-2035.34	15.5803
16 	98.2137	-2086.88	-2038.96	-2035.3 	4.40879
17 	103.867	-2252.51	-2038.4 	-2034.92	11.9497
18 	109.404	-2088.27	-2037.42	-2034.22	4.22413
19 	114.95 	-2392.33	-2037.74	-2034.22	17.0833
20 	120.324	-2165.23	-2036.94	-2034.22	8.65317
21 	125.648	-2195.33	-2036.15	-2033.95	8.29247
22 	131.046	-2426.19	-2036.8 	-2033.15	19.3922
23 	136.351	-2374.93	-2036.04	-2033.15	15.93  
24 	141.766	-2094.26	-2035.01	-2033.15	4.05345
25 	147.299	-2097.36	-2034.79	-2033.15	4.34449
26 	152.903	-2072.28	-2034.68	-2033.15	3.13691
27 	158.47 	-2058.79	-2034.23	-2033.15	2.35661
28 	164.143	-2082.98	-2034.18	-2032.87	4.15916
29 	169.489	-2103.6 	-2033.65	-2032.47	3.52177
30 	174.932	-2092.67	-2033.77	-2032.47	4.30062
31 	180.493	-2055.73	-2033.52	-2032.47	2.29439
32 	186.152	-2214.4 	-2034.48	-2032.47	11.2374
33 	191.67 	-2049.91	-2033.15	-2032.45	1.53332
34 	197.099	-2157.31	-2033.62	-2032.45	7.00136
35 	202.39 	-2103.98	-2033.69	-2032.45	6.32632
36 	207.98 	-2083.93	-2033.41	-2032.45	4.10827
37 	213.49 	-2069.15	-2033.1 	-2032.07	2.95947
38 	218.993	-2274.13	-2033.81	-2031.75	12.8461
39 	224.522	-2218.29	-2033.53	-2031.75	11.0619
40 	230.11 	-2327.19	-2033.47	-2031.75	14.0527
41 	235.46 	-2057.04	-2032.55	-2031.75	2.05773
42 	240.916	-2189.61	-2032.83	-2031.75	7.71347
43 	246.381	-2108.83	-2032.51	-2031.46	4.97451
44 	251.915	-2186.45	-2032.73	-2031.46	8.18504
45 	257.459	-2075.8 	-2032.35	-2031.46	3.41939
46 	263.04 	-2074.52	-2032.16	-2031.46	2.8689 
47 	268.516	-2071.08	-2032.26	-2031.46	2.90138
48 	273.867	-2068.49	-2032.16	-2031.46	3.04054
49 	279.28 	-2100.72	-2032.34	-2031.46	4.80744
50 	284.674	-2146.06	-2032.13	-2031.46	5.5851 
51 	290.125	-2141.54	-2032.24	-2031.46	6.04226
52 	295.633	-2072.82	-2031.78	-2031.46	2.30605
53 	301.112	-2143.03	-2032.72	-2031.46	7.45986
54 	306.625	-2057.34	-2031.8 	-2031.46	1.81476
55 	311.986	-2081.97	-2032.09	-2031.46	4.32725
56 	317.518	-2125.09	-2032.32	-2031.46	6.24846
57 	322.992	-2465.18	-2032.59	-2031.46	19.4254
58 	328.634	-2125.64	-2032.5 	-2031.46	6.57379
59 	334.158	-2112.56	-2032.22	-2031.46	5.43232
60 	339.655	-2079.58	-2031.74	-2031.46	2.45129
61 	344.854	-2136.53	-2032.18	-2031.46	5.71304
62 	350.217	-2104.57	-2031.86	-2031.46	3.57128
63 	355.517	-2077.27	-2031.99	-2031.46	3.6524 
64 	361.056	-2081.98	-2032.03	-2031.46	3.75049
65 	366.385	-2765.64	-2033.24	-2031.46	32.8279
66 	371.646	-2098.98	-2032.02	-2031.46	3.93707
67 	377.11 	-2058.21	-2031.85	-2031.46	2.17226
68 	382.524	-2088.98	-2031.8 	-2031.46	3.14353
69 	387.866	-2132.83	-2032.26	-2031.46	5.65545
70 	393.324	-2204.78	-2032.45	-2031.46	9.57939
71 	398.764	-2182.79	-2032.36	-2031.46	8.00009
72 	404.312	-2131.79	-2031.91	-2031.46	4.76986
73 	409.576	-2050.21	-2031.7 	-2031.46	1.43348
74 	415.108	-2086.29	-2032.17	-2031.46	4.55641
75 	420.565	-2149.23	-2032.04	-2031.46	5.54649
76 	425.912	-2092.65	-2032.25	-2031.46	4.53444
77 	431.376	-2064.61	-2031.96	-2031.46	2.8026 
78 	436.981	-2103.43	-2032.02	-2031.46	4.61336
