gen	depth	min     	avg     	max     	std     
0  	60   	-2218.41	-2043.04	-2027.22	18.5252 
1  	60   	-2083.91	-2033.89	-2027.22	5.30891 
2  	60   	-2040.08	-2030.58	-2026.4 	2.15456 
3  	60   	-2061.12	-2029.22	-2025.7 	2.35128 
4  	60   	-2117.55	-2028.31	-2025.7 	4.2562  
5  	60   	-2036.85	-2027.48	-2025.7 	0.966693
6  	60   	-2170.23	-2027.23	-2025.7 	6.46892 
7  	60   	-2047.6 	-2026.59	-2025.7 	1.1575  
8  	60   	-2037.55	-2026.34	-2025.7 	0.720209
9  	60   	-2030.85	-2026.11	-2025.7 	0.537556
10 	60   	-2032.74	-2025.88	-2025.7 	0.567092
11 	60   	-2030.62	-2025.79	-2025.7 	0.425175
12 	60   	-2059.43	-2025.95	-2025   	2.18982 
13 	60   	-2039.49	-2025.84	-2025   	0.962543
14 	60   	-2033   	-2025.78	-2025   	0.510184
15 	60   	-2032.05	-2025.76	-2025   	0.540071
16 	60   	-2035.89	-2025.74	-2025   	0.633246
17 	60   	-2036.85	-2025.74	-2025   	0.915593
18 	60   	-2035.62	-2025.65	-2025   	0.786853
19 	60   	-2057.46	-2025.53	-2025   	1.81904 
20 	60   	-2029.22	-2025.18	-2025   	0.387397
21 	60   	-2043.68	-2025.18	-2025   	1.28984 
22 	60   	-2041.72	-2025.11	-2025   	0.951526
23 	60   	-2031.68	-2025.08	-2025   	0.508517
24 	60   	-2045.64	-2025.16	-2025   	1.24764 
25 	60   	-2035.89	-2025.09	-2025   	0.615215
26 	60   	-2056.47	-2025.09	-2025   	1.41931 
27 	60   	-2029   	-2025.06	-2025   	0.325493
28 	60   	-2028.3 	-2025.04	-2025   	0.236111
29 	60   	-2029.22	-2025.04	-2025   	0.272852
30 	60   	-2033   	-2025.08	-2025   	0.531292
31 	60   	-2032.05	-2025.05	-2025   	0.482853
32 	60   	-2033.96	-2025.1 	-2025   	0.706181
33 	60   	-2030.15	-2025.06	-2025   	0.4411  
34 	60   	-2035.89	-2025.08	-2025   	0.669857
35 	60   	-2027.4 	-2025.03	-2025   	0.199386
36 	60   	-2055.48	-2025.12	-2025   	1.50916 
37 	60   	-2028.3 	-2025.06	-2025   	0.3286  
38 	60   	-2027.4 	-2025.05	-2025   	0.280069
39 	60   	-2030.15	-2025.07	-2025   	0.397634
40 	60   	-2064.91	-2025.17	-2025   	2.07667 
41 	60   	-2053.51	-2025.18	-2025   	1.85916 
42 	60   	-2052.52	-2025.11	-2025   	1.26091 
43 	60   	-2061.41	-2025.13	-2025   	1.66483 
44 	60   	-2047.32	-2025.11	-2025   	1.15294 
45 	60   	-2042.92	-2025.17	-2025   	1.23694 
46 	60   	-2773.12	-2026.67	-2025   	33.436  
47 	60   	-2031.1 	-2025.05	-2025   	0.383286
48 	60   	-2035.89	-2025.08	-2025   	0.612234
49 	60   	-2029.22	-2025.06	-2025   	0.342238
50 	60   	-2029.22	-2025.04	-2025   	0.304281
51 	60   	-2051.09	-2025.24	-2025   	1.69564 
52 	60   	-2030.15	-2025.05	-2025   	0.355257
53 	60   	-2028.3 	-2025.04	-2025   	0.240644
54 	60   	-2035.89	-2025.14	-2025   	0.918441
55 	60   	-2050.11	-2025.17	-2025   	1.56672 
56 	60   	-2028.3 	-2025.04	-2025   	0.243919
57 	60   	-2028.1 	-2025.05	-2025   	0.292708
58 	60   	-2084.21	-2025.25	-2025   	2.89353 
59 	60   	-2049.57	-2025.21	-2025   	1.80434 
60 	60   	-2032.74	-2025.09	-2025   	0.668069
61 	60   	-2033   	-2025.12	-2025   	0.715481
62 	60   	-2030.15	-2025.04	-2025   	0.363215
63 	60   	-2034.92	-2025.1 	-2025   	0.724132
64 	60   	-2033.57	-2025.06	-2025   	0.529569
65 	60   	-2034.92	-2025.07	-2025   	0.554164
66 	60   	-2033.96	-2025.08	-2025   	0.576135
67 	60   	-2109.59	-2025.32	-2025   	4.43296 
68 	60   	-2040.74	-2025.13	-2025   	1.04579 
69 	60   	-2038.22	-2025.08	-2025   	0.736131
70 	60   	-2033.96	-2025.08	-2025   	0.604077
71 	60   	-2034.92	-2025.05	-2025   	0.558804
72 	60   	-2042.7 	-2025.05	-2025   	0.79622 
73 	60   	-2037.82	-2025.17	-2025   	0.950296
74 	60   	-2040.47	-2025.19	-2025   	1.30325 
75 	60   	-2028.3 	-2025.02	-2025   	0.193403
76 	60   	-2031.1 	-2025.07	-2025   	0.445818
77 	60   	-2035.89	-2025.07	-2025   	0.591433
78 	60   	-2032.05	-2025.05	-2025   	0.393348
79 	60   	-2029.92	-2025.08	-2025   	0.423188
80 	60   	-2029.22	-2025.06	-2025   	0.34469 
81 	60   	-2033   	-2025.07	-2025   	0.492294
82 	60   	-2028.3 	-2025.03	-2025   	0.200325
83 	60   	-2034.92	-2025.09	-2025   	0.719457
84 	60   	-2033.96	-2025.13	-2025   	0.735131
85 	60   	-2051.54	-2025.11	-2025   	1.25798 
86 	60   	-2030.15	-2025.04	-2025   	0.339003
87 	60   	-2047.32	-2025.11	-2025   	1.1166  
88 	60   	-2033.96	-2025.08	-2025   	0.604266
89 	60   	-2041.98	-2025.11	-2025   	0.94278 
90 	60   	-2041.72	-2025.08	-2025   	0.892379
91 	60   	-2028.3 	-2025.03	-2025   	0.225027
92 	60   	-2031.1 	-2025.04	-2025   	0.356625
93 	60   	-2036.85	-2025.06	-2025   	0.591003
94 	60   	-2032.05	-2025.05	-2025   	0.441568
95 	60   	-2030.15	-2025.06	-2025   	0.379171
96 	60   	-2039.77	-2025.07	-2025   	0.745466
97 	60   	-2030.15	-2025.07	-2025   	0.418641
98 	60   	-2041.12	-2025.1 	-2025   	0.868432
99 	60   	-2033   	-2025.08	-2025   	0.559291
gen	depth	min     	avg     	max     	std     
0  	60   	-2140.63	-2039.51	-2027.22	12.3771 
1  	60   	-2054.11	-2032.76	-2026.4 	3.95521 
2  	60   	-2041.74	-2030.1 	-2025.7 	2.27896 
3  	60   	-2036.1 	-2028.46	-2025.7 	1.46397 
4  	60   	-2030.85	-2027.37	-2025.7 	0.847575
5  	60   	-2052.49	-2026.96	-2025.7 	1.95213 
6  	60   	-2049.57	-2026.51	-2025   	1.53146 
7  	60   	-2091.86	-2026.24	-2025   	3.09456 
8  	60   	-2035.62	-2025.82	-2025   	0.649427
9  	60   	-2037.55	-2025.73	-2025   	0.667126
10 	60   	-2029.92	-2025.55	-2025   	0.449557
11 	60   	-2028.3 	-2025.32	-2025   	0.416486
12 	60   	-2043.07	-2025.24	-2025   	1.30206 
13 	60   	-2028.3 	-2025.04	-2025   	0.28856 
14 	60   	-2034.92	-2025.06	-2025   	0.506726
15 	60   	-2032.05	-2025.06	-2025   	0.406208
16 	60   	-2035.89	-2025.15	-2025   	1.1204  
17 	60   	-2031.1 	-2025.1 	-2025   	0.544869
18 	60   	-2030.15	-2025.07	-2025   	0.392689
19 	60   	-2033.96	-2025.07	-2025   	0.500431
20 	60   	-2060.42	-2025.09	-2025   	1.58933 
21 	60   	-2030.15	-2025.09	-2025   	0.491997
22 	60   	-2034.92	-2025.09	-2025   	0.691182
23 	60   	-2113.04	-2025.37	-2025   	4.21238 
24 	60   	-2048.3 	-2025.15	-2025   	1.31183 
25 	60   	-2053.49	-2025.13	-2025   	1.35098 
26 	60   	-2035.89	-2025.12	-2025   	0.923452
27 	60   	-2033   	-2025.07	-2025   	0.476324
28 	60   	-2028.92	-2025.03	-2025   	0.263884
29 	60   	-2031.1 	-2025.09	-2025   	0.532885
30 	60   	-2029.22	-2025.04	-2025   	0.306502
31 	60   	-2032.05	-2025.08	-2025   	0.577531
32 	60   	-2030.15	-2025.07	-2025   	0.447075
33 	60   	-2046.62	-2025.15	-2025   	1.30367 
34 	60   	-2026.52	-2025.03	-2025   	0.160847
35 	60   	-2074.28	-2025.21	-2025   	2.36944 
36 	60   	-2032.05	-2025.04	-2025   	0.386748
37 	60   	-2038.8 	-2025.11	-2025   	0.858424
38 	60   	-2086.19	-2025.2 	-2025   	2.80588 
39 	60   	-2030.15	-2025.03	-2025   	0.295697
40 	60   	-2047.32	-2025.16	-2025   	1.58994 
41 	60   	-2032.05	-2025.08	-2025   	0.589533
42 	60   	-2030.15	-2025.05	-2025   	0.339977
43 	60   	-2038.8 	-2025.1 	-2025   	0.725771
44 	60   	-2041.72	-2025.12	-2025   	0.976037
45 	60   	-2031.1 	-2025.05	-2025   	0.384506
46 	60   	-2038.8 	-2025.08	-2025   	0.732711
47 	60   	-2056.47	-2025.21	-2025   	2.06939 
48 	60   	-2029   	-2025.06	-2025   	0.366877
49 	60   	-2040.74	-2025.12	-2025   	0.959191
50 	60   	-2044.66	-2025.11	-2025   	1.03489 
51 	60   	-2036.59	-2025.07	-2025   	0.688188
52 	60   	-2028.3 	-2025.05	-2025   	0.297836
53 	60   	-2033.96	-2025.07	-2025   	0.520257
54 	60   	-2029.22	-2025.05	-2025   	0.312505
55 	60   	-2031.1 	-2025.06	-2025   	0.419839
56 	60   	-2033   	-2025.09	-2025   	0.670957
57 	60   	-2033.96	-2025.08	-2025   	0.602387
58 	60   	-2027.4 	-2025.04	-2025   	0.245591
59 	60   	-2078.25	-2025.17	-2025   	2.42306 
60 	60   	-2036.85	-2025.08	-2025   	0.614245
61 	60   	-2041.72	-2025.08	-2025   	0.792359
62 	60   	-2029   	-2025.03	-2025   	0.243237
63 	60   	-2046.62	-2025.15	-2025   	1.28086 
64 	60   	-2029.22	-2025.04	-2025   	0.309322
65 	60   	-2032.05	-2025.05	-2025   	0.417796
66 	60   	-2028.3 	-2025.07	-2025   	0.37379 
67 	60   	-2033.57	-2025.07	-2025   	0.57029 
68 	60   	-2035.89	-2025.09	-2025   	0.79864 
69 	60   	-2034.92	-2025.06	-2025   	0.54267 
70 	60   	-2029.22	-2025.05	-2025   	0.324331
71 	60   	-2051.54	-2025.11	-2025   	1.2386  
72 	60   	-2032.05	-2025.08	-2025   	0.547408
73 	60   	-2034.92	-2025.08	-2025   	0.646297
74 	60   	-2029.82	-2025.04	-2025   	0.313099
75 	60   	-2036.59	-2025.07	-2025   	0.562501
76 	60   	-2033.96	-2025.06	-2025   	0.501309
77 	60   	-2058.44	-2025.11	-2025   	1.51826 
78 	60   	-2030.15	-2025.04	-2025   	0.334951
79 	60   	-2031.1 	-2025.07	-2025   	0.514936
80 	60   	-2038.8 	-2025.08	-2025   	0.748218
81 	60   	-2032.05	-2025.04	-2025   	0.399119
82 	60   	-2028.3 	-2025.04	-2025   	0.247139
83 	60   	-2034.92	-2025.09	-2025   	0.588379
84 	60   	-2032.05	-2025.08	-2025   	0.603074
85 	60   	-2066.36	-2025.2 	-2025   	2.22855 
86 	60   	-2028.3 	-2025.05	-2025   	0.330165
87 	60   	-2036.85	-2025.07	-2025   	0.680549
88 	60   	-2032.05	-2025.07	-2025   	0.555034
89 	60   	-2033   	-2025.09	-2025   	0.581806
90 	60   	-2027.4 	-2025.04	-2025   	0.270807
91 	60   	-2033.57	-2025.08	-2025   	0.620501
92 	60   	-2031.1 	-2025.07	-2025   	0.500737
93 	60   	-2031.1 	-2025.07	-2025   	0.475303
94 	60   	-2057.46	-2025.17	-2025   	1.67267 
95 	60   	-2033   	-2025.07	-2025   	0.519256
96 	60   	-2028.3 	-2025.05	-2025   	0.306795
97 	60   	-2028.3 	-2025.03	-2025   	0.250443
98 	60   	-2044.66	-2025.12	-2025   	1.03613 
99 	60   	-2028.3 	-2025.04	-2025   	0.236939
gen	depth	min     	avg     	max     	std     
0  	60   	-2158.18	-2040.81	-2028.05	12.8793 
1  	60   	-2050.29	-2033.91	-2027.22	4.01846 
2  	60   	-2039.95	-2031.11	-2026.52	2.15089 
3  	60   	-2042.97	-2029.62	-2026.4 	1.73545 
4  	60   	-2040.19	-2028.42	-2025.7 	1.24659 
5  	60   	-2117.13	-2028.11	-2025.7 	5.66676 
6  	60   	-2059.89	-2027.11	-2025.7 	1.85303 
7  	60   	-2036.85	-2026.58	-2025.7 	0.982331
8  	60   	-2046.62	-2026.22	-2025.7 	1.36667 
9  	60   	-2056.47	-2026   	-2025   	1.53616 
10 	60   	-2040.47	-2025.87	-2025   	1.07994 
11 	60   	-2053.51	-2025.91	-2025   	1.7147  
12 	60   	-2037.82	-2025.85	-2025   	0.997902
13 	60   	-2030.85	-2025.74	-2025   	0.361479
14 	60   	-2049.57	-2025.85	-2025   	1.45612 
15 	60   	-2050.55	-2025.83	-2025   	1.61789 
16 	60   	-2030.85	-2025.67	-2025   	0.376285
17 	60   	-2033.57	-2025.65	-2025   	0.644115
18 	60   	-2042.7 	-2025.58	-2025   	1.20879 
19 	60   	-2041.19	-2025.31	-2025   	0.975556
20 	60   	-2070.32	-2025.22	-2025   	2.15899 
21 	60   	-2030.15	-2025.05	-2025   	0.377629
22 	60   	-2030.15	-2025.08	-2025   	0.508315
23 	60   	-2033.96	-2025.1 	-2025   	0.579102
24 	60   	-2033   	-2025.11	-2025   	0.665672
25 	60   	-2029.22	-2025.04	-2025   	0.304527
26 	60   	-2048.3 	-2025.14	-2025   	1.29369 
27 	60   	-2035.89	-2025.13	-2025   	0.775336
28 	60   	-2031.1 	-2025.06	-2025   	0.427656
29 	60   	-2029.22	-2025.06	-2025   	0.36946 
30 	60   	-2033.96	-2025.08	-2025   	0.607657
31 	60   	-2037.82	-2025.13	-2025   	1.03906 
32 	60   	-2033.96	-2025.08	-2025   	0.550735
33 	60   	-2029.22	-2025.05	-2025   	0.325946
34 	60   	-2029.22	-2025.07	-2025   	0.370671
35 	60   	-2035.89	-2025.1 	-2025   	0.705058
36 	60   	-2044.66	-2025.13	-2025   	1.07186 
37 	60   	-2033.96	-2025.06	-2025   	0.508099
38 	60   	-2040.74	-2025.1 	-2025   	0.985576
39 	60   	-2042.7 	-2025.08	-2025   	0.91006 
40 	60   	-2039.77	-2025.12	-2025   	0.898502
41 	60   	-2043.68	-2025.12	-2025   	1.1061  
42 	60   	-2031.1 	-2025.11	-2025   	0.621138
43 	60   	-2107.07	-2025.42	-2025   	5.1366  
44 	60   	-2044.66	-2025.11	-2025   	1.03496 
45 	60   	-2028.3 	-2025.07	-2025   	0.349649
46 	60   	-2049.57	-2025.11	-2025   	1.24514 
47 	60   	-2030.15	-2025.07	-2025   	0.512608
48 	60   	-2032.05	-2025.05	-2025   	0.392783
49 	60   	-2030.15	-2025.07	-2025   	0.416934
50 	60   	-2029.22	-2025.04	-2025   	0.291021
51 	60   	-2033.96	-2025.09	-2025   	0.582976
52 	60   	-2041.72	-2025.15	-2025   	1.03316 
53 	60   	-2048.59	-2025.11	-2025   	1.15261 
54 	60   	-2033.96	-2025.08	-2025   	0.662728
55 	60   	-2060.42	-2025.21	-2025   	1.91118 
56 	60   	-2033.96	-2025.06	-2025   	0.494309
57 	60   	-2053.92	-2025.14	-2025   	1.38079 
58 	60   	-2034.92	-2025.07	-2025   	0.523775
59 	60   	-2034.92	-2025.09	-2025   	0.728673
60 	60   	-2028.3 	-2025.07	-2025   	0.375028
61 	60   	-2031.1 	-2025.07	-2025   	0.484996
62 	60   	-2043.68	-2025.09	-2025   	0.917749
63 	60   	-2035.89	-2025.12	-2025   	0.82388 
64 	60   	-2031.68	-2025.08	-2025   	0.484118
65 	60   	-2030.15	-2025.11	-2025   	0.544901
66 	60   	-2040.47	-2025.16	-2025   	1.10108 
67 	60   	-2035.89	-2025.12	-2025   	0.823208
68 	60   	-2039.35	-2025.12	-2025   	0.872283
69 	60   	-2034.92	-2025.06	-2025   	0.524844
70 	60   	-2039.77	-2025.16	-2025   	1.1699  
71 	60   	-2031.1 	-2025.06	-2025   	0.436153
72 	60   	-2038.8 	-2025.13	-2025   	0.907758
73 	60   	-2036.85	-2025.11	-2025   	0.809007
74 	60   	-2031.1 	-2025.11	-2025   	0.596608
75 	60   	-2070.32	-2025.24	-2025   	2.40022 
76 	60   	-2031.4 	-2025.07	-2025   	0.517685
77 	60   	-2033.96	-2025.08	-2025   	0.491876
78 	60   	-2053.51	-2025.09	-2025   	1.30967 
79 	60   	-2028.3 	-2025.05	-2025   	0.288348
80 	60   	-2037.82	-2025.14	-2025   	1.02778 
81 	60   	-2031.1 	-2025.07	-2025   	0.425104
82 	60   	-2422.4 	-2026.05	-2025   	17.9115 
83 	60   	-2028.3 	-2025.03	-2025   	0.246872
84 	60   	-2045.64	-2025.19	-2025   	1.45615 
85 	60   	-2032.05	-2025.1 	-2025   	0.605632
86 	60   	-2037.82	-2025.15	-2025   	0.923835
87 	60   	-2042.7 	-2025.13	-2025   	1.12381 
88 	60   	-2055.48	-2025.15	-2025   	1.49079 
89 	60   	-2040.74	-2025.15	-2025   	0.932619
90 	60   	-2028.3 	-2025.04	-2025   	0.257033
91 	60   	-2031.1 	-2025.07	-2025   	0.472437
92 	60   	-2038.8 	-2025.14	-2025   	1.11409 
93 	60   	-2032.05	-2025.09	-2025   	0.559461
94 	60   	-2030.85	-2025.06	-2025   	0.431276
95 	60   	-2029.22	-2025.03	-2025   	0.236299
96 	60   	-2031.1 	-2025.1 	-2025   	0.599689
97 	60   	-2028.3 	-2025.05	-2025   	0.296318
98 	60   	-2036.85	-2025.14	-2025   	0.939546
99 	60   	-2027.4 	-2025.04	-2025   	0.229479
gen	depth	min     	avg     	max     	std      
