gen	depth	min     	avg     	max     	std    
0  	25   	-2863.06	-2177.57	-2062.72	97.8468
1  	25   	-3233.6 	-2121.26	-2057.99	67.6476
2  	25   	-2593.37	-2094.24	-2053.84	41.7087
3  	25   	-2243.2 	-2078.46	-2050.41	15.2095
4  	25   	-2891.75	-2072.26	-2049.63	41.0299
5  	25   	-2699.17	-2067.93	-2049.63	36.4436
6  	25   	-2237.79	-2061.02	-2046.96	12.2775
7  	25   	-2100.72	-2056.21	-2046.96	5.4671 
8  	25   	-2355.6 	-2054.22	-2045.57	14.8535
9  	25   	-2116.17	-2052.01	-2043.87	7.22912
10 	25   	-2201.83	-2050.69	-2043.83	9.00152
11 	25   	-2180.12	-2049.81	-2042.82	8.89817
12 	25   	-2278.42	-2048.94	-2042.52	13.9643
13 	25   	-2212.65	-2047.21	-2042.52	10.6367
14 	25   	-2156.12	-2045.01	-2042.52	6.00383
15 	25   	-2520.82	-2045.87	-2042.52	29.549 
16 	25   	-2122.02	-2044.08	-2042.12	6.91165
17 	25   	-2333.97	-2043.98	-2042.12	13.8088
18 	25   	-2096.76	-2043.24	-2042.12	4.12688
19 	25   	-2143.25	-2043.05	-2042.12	4.892  
20 	25   	-2170.65	-2043.29	-2042.12	6.68726
21 	25   	-2237.21	-2043.4 	-2042.12	10.1602
22 	25   	-2227.59	-2043.38	-2042.12	12.3295
23 	25   	-2160.04	-2043   	-2042.12	6.63422
24 	25   	-3167.9 	-2045.46	-2041.66	51.1188
25 	25   	-2323.09	-2043.24	-2040.92	14.2674
26 	25   	-2113.86	-2042.83	-2040.77	5.49911
27 	25   	-2229.57	-2042.66	-2040.77	8.75857
28 	25   	-2094.52	-2042.35	-2040.77	3.89063
29 	25   	-2148.66	-2042.52	-2040.77	7.18359
30 	25   	-2627.37	-2042.77	-2040.77	26.4474
31 	25   	-2115.58	-2041.7 	-2040.77	6.05904
32 	25   	-2872.17	-2043.2 	-2040.77	37.8407
33 	25   	-2107.61	-2041.69	-2040.77	5.81685
34 	25   	-2173.74	-2042.01	-2040.77	8.68412
35 	25   	-2221.72	-2041.62	-2040.77	8.70061
36 	25   	-2149.74	-2041.55	-2040.77	6.1117 
37 	25   	-2119.78	-2041.48	-2040.77	5.16888
38 	25   	-2098.66	-2041.32	-2040.77	3.60358
39 	25   	-2258.32	-2043.1 	-2040.77	16.3536
40 	25   	-2279.54	-2042.4 	-2040.77	15.426 
41 	25   	-2126.91	-2041.62	-2040.77	5.90926
42 	25   	-2078.63	-2041.24	-2040.77	3.01861
