gen	time   	min     	avg     	max     	std    
0  	5.80085	-3596.03	-1110.89	-897.089	222.015
1  	8.56348	-1419.78	-980.502	-891.923	61.8871
2  	11.3238	-1653   	-943.865	-882.612	47.1052
3  	14.0736	-1094.09	-921.953	-881.064	22.259 
4  	16.8164	-1732.22	-909.592	-872.105	41.2992
5  	19.4828	-1242.83	-898.458	-872.105	22.5244
6  	22.2233	-1153.51	-890.327	-871.415	18.86  
7  	24.7979	-1783.4 	-885.702	-869.892	45.6445
8  	27.5429	-1451.92	-883.119	-868.607	44.9175
9  	30.3092	-1343.88	-875.748	-868.001	22.7204
10 	33.0858	-1198.88	-874.358	-868.001	22.9704
11 	36.307 	-3005.86	-877.582	-866.005	97.4404
12 	39.1447	-3991.97	-878.368	-866.005	140.806
13 	41.9974	-1704.66	-872.345	-864.155	40.102 
14 	45.272 	-1021.46	-869.559	-864.155	10.6689
15 	48.2652	-1374.56	-870.212	-862.846	26.0844
16 	51.1812	-1033.11	-868.795	-861.658	15.026 
17 	53.9849	-1144.35	-867.499	-861.658	16.8252
18 	56.9157	-1213.89	-867.273	-859.805	21.2366
19 	59.8099	-1110.8 	-865.275	-858.665	15.4477
20 	62.7414	-2039.8 	-868.39 	-858.665	59.2282
21 	65.5782	-1218.81	-864.091	-858.665	23.2365
22 	68.4112	-980.286	-862.114	-858.568	8.66157
23 	71.2438	-1014.28	-861.543	-857.267	11.4913
24 	74.1444	-984.334	-860.952	-857.267	9.38888
25 	77.0458	-3039.66	-865.842	-857.267	100.977
26 	79.9367	-1402.01	-861.89 	-856.163	32.0345
27 	82.7392	-1066.74	-859.358	-856.163	11.6099
28 	85.588 	-1042.46	-859.724	-855.772	13.9675
29 	88.5523	-965.805	-858.118	-855.772	7.15378
30 	91.5456	-1209.75	-859.988	-855.772	25.2736
31 	94.5911	-1078   	-858.722	-855.464	16.1635
32 	97.6219	-1983.09	-860.371	-855.367	53.7055
33 	100.599	-2997.11	-864.385	-854.976	106.54 
34 	103.581	-1186.08	-857.343	-853.969	16.4434
35 	106.347	-1480.11	-858.45 	-853.812	33.2557
36 	109.189	-974.607	-856.621	-853.474	9.22627
37 	112.044	-998.353	-855.669	-853.173	7.62464
38 	114.927	-1911.48	-859.078	-852.775	53.0469
39 	117.814	-954.843	-854.915	-852.775	6.75948
40 	120.622	-1110.59	-855.381	-852.775	14.6018
41 	123.513	-1154.75	-855.303	-852.775	17.4679
42 	126.456	-899.416	-853.588	-852.775	3.67021
43 	129.316	-1014.37	-854.18 	-852.775	9.14593
44 	132.251	-1462.5 	-856.263	-852.508	32.1256
45 	135.215	-945.681	-853.72 	-852.353	5.94097
46 	138.144	-1149.46	-857.229	-852.325	27.4503
47 	141.053	-1404.97	-855.754	-852.325	30.1796
48 	143.923	-1016.61	-854.815	-852.325	14.788 
49 	5114.96	-1320.55	-856.765	-852.325	36.0278
50 	5118.33	-1156.78	-854.688	-852.325	18.9591
51 	5121.51	-1011.79	-853.93 	-852.325	11.8297
52 	5124.69	-1420.82	-856.067	-852.325	34.3715
53 	5127.56	-1150.23	-855.58 	-852.325	25.0449
54 	5130.52	-1199.06	-854.567	-852.254	20.5982
55 	5133.31	-1164.96	-854.956	-852.254	21.2491
56 	5136.3 	-1945.5 	-858.618	-852.254	62.5183
57 	5138.93	-962.36 	-853.878	-852.254	10.7536
58 	5141.82	-1171.32	-855.49 	-852.254	20.1528
59 	5144.65	-1023.69	-853.863	-852.206	12.0761
60 	5147.64	-1530.2 	-857.632	-852.206	43.5683
61 	5150.58	-2610.25	-861.424	-852.206	106.307
62 	5153.33	-1050.35	-854.167	-852.157	13.8465
63 	5156.22	-1785.93	-856.055	-852.157	44.1236
64 	5158.99	-1382.38	-855.547	-852.157	33.8262
65 	5161.96	-1042.03	-853.972	-852.109	12.0027
66 	5164.8 	-967.65 	-853.891	-852.109	10.3651
67 	5167.67	-1207.11	-856.165	-852.109	30.2282
68 	5170.73	-1098.79	-854.516	-852.109	16.5495
69 	5173.7 	-1899.17	-856.774	-852.109	49.5973
70 	5176.69	-1258.09	-855.095	-852.109	25.0662
71 	5179.83	-1063.24	-854.896	-852.109	18.3324
72 	5182.88	-990.492	-854.368	-852.109	12.427 
73 	5185.75	-952.794	-853.139	-852.109	6.80481
74 	5188.64	-1010.74	-854.096	-852.109	13.6226
75 	5191.36	-1006.05	-853.882	-852.109	12.6151
76 	5194.05	-943.344	-853.176	-852.109	6.66254
77 	5197   	-1067.01	-854.522	-852.109	16.0909
78 	5199.69	-930.431	-852.949	-852.109	5.74795
79 	5202.59	-967.536	-854.248	-852.109	11.0703
80 	5205.66	-901.262	-852.814	-852.109	4.4039 
81 	5208.67	-1069.25	-854.449	-852.109	15.5353
82 	5211.73	-1153.43	-854.651	-852.109	18.7968
83 	5214.75	-1353.3 	-855.959	-852.109	34.1413
84 	5217.77	-976.691	-853.582	-852.109	8.68807
85 	5220.82	-1122.94	-854.417	-852.109	17.6542
86 	5223.67	-1043.32	-854.01 	-852.109	14.4771
87 	5226.55	-1072.73	-854.244	-852.109	16.562 
88 	5229.3 	-1032.87	-853.938	-852.109	11.8109
89 	5232.1 	-1312.42	-855.699	-852.109	26.4133
90 	5234.87	-943.688	-852.974	-852.109	7.38283
91 	5237.79	-985.948	-853.386	-852.109	9.08297
92 	5240.75	-1351.44	-857.345	-852.109	41.524 
93 	5243.59	-1081.88	-853.528	-852.109	12.081 
94 	5246.55	-996.937	-853.334	-852.109	9.7912 
95 	5249.6 	-915.103	-852.993	-852.109	5.2394 
96 	5252.56	-950.171	-853.397	-852.109	7.46683
97 	5255.26	-1241.7 	-854.494	-852.109	21.9546
98 	5258.07	-985.932	-853.862	-852.109	11.5746
99 	5260.92	-1205.7 	-854.727	-852.109	19.748 
gen	time   	min     	avg     	max     	std    
0  	5.99932	-3711.68	-1091.11	-881.876	238.144
1  	8.90748	-1922.99	-977.49 	-880.604	77.2294
2  	11.717 	-1211.02	-932.655	-880.604	32.8089
3  	14.6145	-1598.97	-915.781	-879.86 	51.6135
4  	17.5462	-1327.49	-898.94 	-872.119	30.1961
5  	20.6327	-1014.96	-888.377	-872.119	13.4067
6  	23.308 	-1167.64	-883.621	-871.292	17.2722
7  	26.0674	-1987.93	-885.274	-869.694	63.2636
8  	28.8366	-1075.95	-880.145	-869.694	14.0236
9  	31.6199	-1024.67	-877.814	-864.023	13.9494
10 	34.4755	-1111.88	-876.165	-863.595	17.4125
11 	37.3008	-1293.39	-873.528	-863.595	21.7333
12 	40.0607	-2564.67	-874.457	-862.789	76.5742
13 	42.7924	-937.164	-868.2  	-862.217	5.95475
14 	45.7773	-1338.49	-870.171	-859.023	36.5605
15 	48.6599	-964.431	-864.524	-859.023	6.6594 
16 	51.5731	-1260.27	-865.779	-859.023	24.9115
17 	54.7645	-1478.84	-867.417	-858.363	39.4156
18 	57.9189	-1227.85	-863.173	-857.608	21.8173
19 	60.9029	-1395.84	-863.647	-857.33 	33.3115
20 	63.6866	-1072.23	-861.429	-856.829	14.0398
21 	66.5299	-1140.55	-861.128	-855.47 	19.3018
22 	69.3186	-1114.51	-861.276	-855.448	19.8467
23 	72.1404	-1305.12	-860.494	-854.516	30.6146
24 	74.8381	-1405.27	-859.627	-853.947	28.4482
25 	77.6852	-920.354	-856.82 	-853.947	4.59986
26 	80.5829	-977.03 	-857.072	-853.828	9.57921
27 	83.3539	-1127.38	-857.334	-853.828	15.1132
28 	86.194 	-1137.1 	-857.206	-853.549	16.3506
29 	89.0749	-1331.21	-857.804	-853.549	29.1924
30 	91.8542	-1300.01	-855.868	-853.129	22.3005
31 	94.6914	-1169.76	-855.641	-853.129	15.4346
32 	97.5987	-1039.26	-855.383	-852.85 	11.3129
33 	100.737	-1209.72	-855.937	-852.85 	20.3463
34 	103.867	-1318.53	-857.877	-852.731	31.345 
35 	106.729	-2111.85	-858.308	-852.646	57.9099
36 	109.472	-1465.24	-856.18 	-852.646	33.411 
37 	112.279	-967.261	-853.574	-852.597	5.92166
38 	115.091	-906.367	-853.449	-852.464	4.42132
39 	117.838	-1096.4 	-854.75 	-852.344	16.4976
40 	120.693	-1106.11	-854.408	-852.344	14.5668
41 	123.657	-1021.81	-853.601	-852.273	8.43655
42 	126.51 	-945.448	-852.899	-852.273	4.33505
43 	129.36 	-999.573	-853.227	-852.148	7.73204
44 	132.196	-1118.71	-854.049	-852.148	15.7281
45 	135.139	-918.233	-852.763	-852.148	4.06488
