gen	depth	min     	avg     	max     	std    
0  	60   	-6835.8 	-2127.04	-1192.13	731.727
1  	60   	-3392.26	-1648.89	-1192.13	251.146
2  	60   	-9747.24	-1500.87	-1192.13	423.062
3  	60   	-2777.35	-1380.38	-1181.76	140.795
4  	60   	-2397.76	-1304.25	-1178.75	88.2703
5  	60   	-3499.12	-1256.35	-1163.84	122.033
6  	60   	-2881.58	-1218.76	-1141.65	105.173
7  	60   	-3816.2 	-1211.28	-1141.42	181.96 
8  	60   	-2988.27	-1185.7 	-1093.64	92.7842
9  	60   	-4268.91	-1178.92	-1080.99	180.904
10 	60   	-1625.81	-1153.19	-1080.99	49.3878
11 	60   	-8523.97	-1152.67	-1080.04	357.009
12 	60   	-2040.19	-1115.33	-1074.31	70.7051
13 	60   	-3571.13	-1107.49	-1074.31	141.393
14 	60   	-2123.79	-1095.76	-1069.51	73.9953
15 	60   	-2051.25	-1089.81	-1069.51	74.4141
16 	60   	-4032.3 	-1089.17	-1044.61	150.525
17 	60   	-1640.38	-1079.68	-1044.61	44.7043
18 	60   	-1228.19	-1072.4 	-1041.2 	15.7452
19 	60   	-2347.47	-1076.79	-1040.38	81.6497
20 	60   	-1365.21	-1062.11	-1038.81	26.2798
21 	60   	-1468.82	-1058.07	-1036.14	35.5309
22 	60   	-2051.99	-1053.11	-1034.61	59.511 
23 	60   	-3872   	-1056.51	-1031.75	139.119
24 	60   	-1429.53	-1042.47	-1031.75	22.0777
25 	60   	-1317.8 	-1041.07	-1029.39	23.5595
26 	60   	-1450.01	-1038.49	-1029.07	24.4772
27 	60   	-1613.35	-1038.8 	-1027.57	37.7753
28 	60   	-1260.18	-1035.56	-1025.33	22.742 
29 	60   	-1792.04	-1034.74	-1023.86	40.983 
30 	60   	-1182.47	-1030.06	-1019.14	10.9466
31 	60   	-1498.34	-1032.76	-1017.48	34.6261
32 	60   	-1481.9 	-1028.23	-1016.78	25.5904
33 	60   	-1695.47	-1028.75	-1014.43	39.7668
34 	60   	-1212.93	-1023.98	-1012.21	15.9787
35 	60   	-2174.53	-1024.57	-1012.21	54.9514
36 	60   	-2317.89	-1027.96	-1012.21	92.7807
37 	60   	-1382.28	-1020.05	-1009.7 	26.8522
38 	60   	-1372.65	-1016.9 	-1008.18	18.124 
39 	60   	-1706.37	-1020.53	-1008.18	45.3296
40 	60   	-1698.23	-1019.16	-1008.05	45.7537
41 	60   	-1805.14	-1016.56	-1007.44	40.5341
42 	60   	-1271.77	-1012.78	-1004.72	15.1806
43 	60   	-3050   	-1015.97	-1004.39	92.1865
44 	60   	-1421.37	-1013.21	-1004.39	32.3627
45 	60   	-5511.89	-1024.89	-1001.52	216.692
46 	60   	-1978.12	-1011.04	-1001.52	47.0884
47 	60   	-1483.21	-1008.43	-999.999	26.7907
48 	60   	-1359.24	-1009.13	-999.999	29.3475
49 	60   	-1180.03	-1004.97	-999.755	10.9779
50 	60   	-2087.95	-1010.48	-998.601	61.5242
51 	60   	-1212.11	-1003.94	-998.255	16.5353
52 	60   	-2090.81	-1008.25	-998.13 	59.5465
53 	60   	-1344.72	-1003.26	-998.13 	21.0131
54 	60   	-1208.02	-1002   	-995.618	15.3851
55 	60   	-2466.85	-1008.37	-995.618	91.7104
56 	60   	-1102.97	-1000.19	-994.737	8.63764
57 	60   	-3757.68	-1008.28	-994.572	140.213
58 	60   	-1125.89	-999.393	-994.572	12.4968
59 	60   	-1279.04	-999.385	-993.941	19.6391
60 	60   	-2167.32	-999.631	-992.68 	54.6126
61 	60   	-3920.37	-1009.45	-991.844	149.785
62 	60   	-5988.41	-1010.93	-991.844	227.496
63 	60   	-2209.18	-1000.6 	-991.844	60.9466
64 	60   	-2388.42	-1002.4 	-991.844	84.7707
65 	60   	-1646.63	-1000.33	-991.282	44.1455
66 	60   	-1648.21	-998.768	-991.048	48.0516
67 	60   	-1341.3 	-995.714	-990.35 	24.7232
68 	60   	-1318.6 	-994.891	-990.35 	23.6724
69 	60   	-1082.96	-993.394	-990.048	9.46441
70 	60   	-1869.41	-999.968	-989.554	66.0095
71 	60   	-4843.78	-1004.92	-989.463	192.728
72 	60   	-1494.81	-996.541	-988.57 	38.8293
73 	60   	-1234.13	-992.864	-987.712	18.4109
74 	60   	-1490.04	-993.707	-987.712	30.5024
75 	60   	-1352.54	-992.262	-987.639	23.548 
76 	60   	-1481.18	-992.158	-987.218	26.7745
77 	60   	-1416.52	-992.931	-986.94 	32.0689
78 	60   	-1386.6 	-992.034	-986.94 	30.2182
79 	60   	-2138.8 	-994.644	-986.616	62.8029
80 	60   	-2051.15	-993.835	-986.616	57.985 
81 	60   	-1847.4 	-992.315	-986.241	48.7602
82 	60   	-1330.48	-990.827	-985.422	23.4256
83 	60   	-1422.65	-989.722	-985.422	23.4383
84 	60   	-1629.32	-991.245	-985.422	37.6256
85 	60   	-5206.01	-999.19 	-984.853	191.021
86 	60   	-2071.68	-992.174	-984.853	54.1701
87 	60   	-2150.22	-992.504	-984.843	65.7138
88 	60   	-2844.48	-994.694	-984.843	96.6252
89 	60   	-1734.28	-990.371	-984.843	43.5573
90 	60   	-1543.85	-988.966	-984.154	31.0103
91 	60   	-1115.44	-986.234	-983.778	8.67758
92 	60   	-1304.81	-988.423	-983.778	23.2679
93 	60   	-1315.52	-987.366	-983.685	19.1247
94 	60   	-1305.99	-987.679	-983.685	22.4621
95 	60   	-1533.91	-988.568	-983.31 	32.5399
96 	60   	-2431.72	-991.753	-983.31 	73.1351
97 	60   	-1399.41	-989.341	-983.31 	38.721 
98 	60   	-1181.82	-985.574	-983.06 	13.1035
99 	60   	-1302.03	-985.842	-983.06 	22.2101
gen	depth	min     	avg     	max     	std    
0  	60   	-6355.52	-2096   	-1207.1 	678.132
1  	60   	-3161.46	-1668.89	-1145.04	255.449
2  	60   	-13604.5	-1522.3 	-1145.04	625.34 
3  	60   	-3392.53	-1390.3 	-1145.04	187.57 
4  	60   	-1548.62	-1288.03	-1134.5 	77.5283
5  	60   	-3290.78	-1242.84	-1126.49	167.713
6  	60   	-1684.49	-1192.68	-1110.93	48.7577
7  	60   	-2106.92	-1168.19	-1102.43	65.0821
8  	60   	-1862.44	-1145.21	-1087.16	42.4204
9  	60   	-4489.57	-1147.29	-1074.61	181.688
10 	60   	-1539.44	-1120.51	-1074.54	30.5512
11 	60   	-8185.66	-1137.14	-1066.07	370.02 
12 	60   	-1542.1 	-1101.77	-1057.77	34.9869
13 	60   	-2705.57	-1102.02	-1054.33	97.5122
14 	60   	-1552.37	-1083.22	-1054.33	30.2594
15 	60   	-2253.25	-1077.89	-1048.17	60.5281
16 	60   	-2264.5 	-1072.45	-1032.49	67.0547
