gen	time   	min     	avg     	max     	std    
0  	8.94555	-2110.07	-1696.35	-1624.64	64.9796
1  	13.2593	-1946.2 	-1659.09	-1621.39	30.222 
2  	17.6808	-1722.27	-1643.1 	-1620.47	13.1187
3  	22.0885	-1816.92	-1635.91	-1616.19	15.1205
4  	26.4699	-1843.91	-1631.46	-1614.75	19.1149
5  	30.7748	-1730.75	-1626.53	-1614.75	7.98194
6  	34.8923	-1832.73	-1624.19	-1614.02	12.6245
7  	39.0902	-2520.38	-1622.86	-1611.54	41.0835
8  	43.4387	-1656.76	-1619.28	-1610.72	4.82147
9  	47.7526	-1714.26	-1617.81	-1610.02	7.02094
10 	51.9666	-1912.99	-1616.96	-1609.55	17.2341
11 	56.4   	-1768.35	-1614.92	-1609.54	8.02984
12 	60.6097	-1694.76	-1613.93	-1608.46	6.75904
13 	64.8919	-1670.89	-1612.75	-1607.8 	5.64325
14 	69.2154	-1674.71	-1611.63	-1607.8 	4.0869 
15 	73.56  	-1861.26	-1611.7 	-1607.1 	12.652 
16 	78.0512	-1878.55	-1611.16	-1607.1 	14.1031
17 	82.3861	-1702.89	-1609.98	-1607.1 	5.34181
18 	86.7849	-2007.93	-1610.08	-1606.97	18.0025
19 	91.109 	-1716.64	-1609.17	-1606.32	7.2398 
20 	95.5384	-1670.48	-1608.59	-1606.27	5.43136
21 	99.9208	-1792.28	-1608.16	-1606.27	8.52739
22 	104.281	-1669.99	-1607.93	-1605.8 	4.94504
23 	108.54 	-1712.17	-1607.77	-1605.44	5.71276
24 	112.964	-1663.25	-1607.63	-1605.44	4.52204
25 	117.33 	-1659.44	-1607.27	-1604.74	3.77225
26 	121.74 	-1713.34	-1607.34	-1604.74	6.01463
27 	126.108	-1641.15	-1606.85	-1604.62	3.32493
28 	130.452	-1668.89	-1606.31	-1604.62	3.74119
29 	134.923	-1658   	-1606.24	-1604.62	4.36638
30 	139.317	-1680.08	-1605.66	-1604.32	3.6838 
31 	143.615	-1761.84	-1606.1 	-1603.92	10.1378
32 	148.075	-1700.33	-1605.64	-1603.92	5.29825
33 	152.393	-1704.38	-1605.68	-1603.92	7.20172
34 	156.863	-1869.67	-1606.39	-1603.92	15.4788
35 	161.298	-1714.04	-1605.49	-1603.92	6.7863 
36 	165.765	-1651.22	-1605.04	-1603.8 	3.54289
37 	170.077	-1636.19	-1604.81	-1603.62	2.71476
38 	174.483	-1626.93	-1604.47	-1603.62	1.69545
39 	178.817	-1678.5 	-1604.34	-1603.62	3.51823
40 	183.159	-1690.57	-1604.38	-1603.4 	4.42015
41 	187.453	-1618.47	-1604.13	-1603.05	1.41466
42 	191.764	-1655.65	-1604.21	-1603.05	3.3639 
43 	196.129	-1662.61	-1604.45	-1602.92	4.69514
44 	200.609	-1639.51	-1604.1 	-1602.92	2.97762
45 	205.015	-1640.32	-1604.12	-1602.92	3.34947
46 	209.322	-1724.92	-1604.12	-1602.92	6.18895
47 	213.652	-1708.36	-1603.99	-1602.4 	6.74504
48 	218.101	-1717.96	-1604.1 	-1602.4 	7.53541
49 	222.432	-1634.01	-1603.57	-1602.4 	2.90595
50 	226.77 	-1660.61	-1603.55	-1602.4 	3.98493
51 	231.194	-1671.66	-1603.42	-1602.4 	4.49358
52 	235.461	-1642.76	-1603.07	-1602.22	2.71358
53 	239.793	-1713.64	-1602.99	-1602.22	5.29022
54 	244.112	-1653.95	-1603.01	-1602.22	4.11869
55 	248.435	-1634.85	-1602.79	-1602.22	2.68745
56 	252.832	-1631.19	-1602.58	-1602.22	1.78923
57 	256.937	-1619.17	-1602.55	-1602.22	1.45201
58 	261.237	-1671.66	-1602.73	-1602.22	4.34812
59 	265.494	-1690.29	-1602.89	-1602.22	4.64438
60 	269.836	-1658.91	-1602.69	-1602.22	3.47384
61 	273.916	-1658.45	-1602.8 	-1602.22	3.79713
62 	278.19 	-1620.24	-1602.51	-1602.22	1.53852
63 	282.461	-1624.32	-1602.57	-1602.22	1.95831
64 	286.775	-1640.77	-1602.85	-1602.22	3.53128
65 	291.098	-1762.06	-1602.76	-1602.22	7.21085
66 	295.412	-1656.36	-1602.68	-1602.22	2.89198
67 	299.686	-1617.7 	-1602.53	-1602.22	1.45209
68 	304.069	-1618.72	-1602.5 	-1602.22	1.36999
69 	308.494	-1624.74	-1602.51	-1602.22	1.66506
70 	312.835	-1673.12	-1602.72	-1602.22	3.7838 
71 	317.283	-1623.99	-1602.54	-1602.22	1.82275
72 	321.539	-1666.1 	-1602.92	-1602.22	4.99764
73 	325.864	-1647.32	-1602.57	-1602.22	2.37982
74 	330.122	-1661.89	-1602.55	-1602.22	2.97378
75 	334.45 	-1715.63	-1602.89	-1602.22	5.91936
76 	338.738	-1755.97	-1602.87	-1602   	7.3022 
77 	342.949	-1619.8 	-1602.59	-1602   	1.6692 
78 	347.253	-1686.75	-1602.99	-1602   	6.02434
79 	351.667	-1697.01	-1602.83	-1602   	4.82445
80 	356.028	-1644.69	-1602.71	-1602   	3.3073 
81 	360.42 	-1658.91	-1602.56	-1602   	3.32338
82 	364.768	-1634.15	-1602.46	-1602   	2.16679
83 	369.044	-1698.7 	-1602.87	-1602   	6.58805
84 	373.325	-1684.37	-1602.69	-1601.7 	4.95257
85 	377.693	-1899.04	-1603.59	-1601.7 	15.9558
86 	382.195	-1632.17	-1602.54	-1601.6 	3.22935
87 	386.583	-1641.34	-1602.5 	-1601.6 	2.68506
88 	390.889	-2061.33	-1603.48	-1601.52	21.1829
89 	395.24 	-1653.15	-1602.59	-1601.3 	4.66725
90 	399.549	-1615.47	-1602.14	-1601.3 	1.59907
91 	403.833	-1618.6 	-1601.87	-1601.3 	1.05906
92 	408.1  	-1628.89	-1601.89	-1601.3 	1.86792
93 	412.36 	-1686.76	-1602.09	-1601.3 	4.69688
94 	416.72 	-1623.9 	-1601.82	-1601.3 	2.18158
95 	421.025	-1614.12	-1601.56	-1601.3 	1.11109
96 	425.303	-1613.15	-1601.57	-1601.3 	1.30396
97 	429.596	-1710.47	-1601.76	-1601.3 	5.09222
98 	434.024	-1623.3 	-1601.64	-1601.3 	1.76204
99 	438.413	-1626.85	-1601.6 	-1601.3 	1.92078
gen	time   	min     	avg     	max     	std    
0  	8.98191	-2257.82	-1694.45	-1623.05	68.2076
1  	13.3227	-1837.68	-1658.7 	-1622.3 	22.4898
2  	17.6077	-2035.99	-1645.05	-1621.59	23.2112
3  	21.9455	-1987.54	-1637.64	-1617.33	28.2249
4  	26.3595	-1847.98	-1630.44	-1615.93	14.9102
5  	30.6299	-1766.85	-1627.08	-1615.48	10.846 
6  	34.8858	-1648.6 	-1623.18	-1611.18	4.53359
7  	39.0228	-1831.34	-1622.1 	-1609.46	16.4388
8  	43.2988	-1634.64	-1617.93	-1609.46	3.38255
9  	47.4441	-2272.16	-1618.6 	-1609.27	38.5678
10 	51.8684	-1730.69	-1614.53	-1608.76	6.74086
11 	56.3407	-1633.98	-1612.21	-1607.81	2.3551 
12 	60.8512	-1726.5 	-1611.82	-1607.81	7.15374
13 	65.2279	-1665.44	-1610.71	-1606.62	4.97287
14 	69.4447	-1729.09	-1610.23	-1606.62	6.96084
15 	73.7294	-1636.34	-1609.12	-1606.42	2.59535
16 	77.9996	-1656.36	-1608.97	-1605.62	4.23029
17 	82.4699	-2095.12	-1609.91	-1605.44	26.2983
18 	86.7415	-1757.6 	-1608.73	-1605.44	11.6084
19 	90.9717	-1655.66	-1607.29	-1605.02	3.70465
20 	95.3746	-1961.54	-1607.49	-1604.89	16.6429
21 	99.7078	-1768.8 	-1607   	-1604.74	11.0713
22 	104.055	-1663.68	-1606.21	-1604.74	3.78982
23 	108.454	-1624.11	-1605.82	-1604.62	1.89383
24 	112.847	-1828.54	-1606.63	-1604.49	11.9826
25 	117.296	-1688.68	-1605.96	-1604.49	4.7839 
26 	121.669	-1667.86	-1605.75	-1604.1 	3.70436
27 	125.984	-1708.18	-1605.98	-1603.92	6.8367 
28 	130.541	-1666.28	-1605.56	-1603.92	4.42804
29 	134.794	-1705.77	-1605.21	-1603.82	5.10147
30 	139.057	-1998.4 	-1606.53	-1603.8 	18.9895
31 	143.546	-1653.17	-1604.87	-1603.8 	3.83754
32 	147.913	-1729.11	-1605.59	-1603.62	9.68229
33 	152.302	-1628.32	-1604.38	-1603.62	1.92152
34 	156.766	-1653.95	-1604.56	-1603.4 	3.74632
35 	161.008	-1677.32	-1604.79	-1603.4 	5.48806
36 	165.398	-1670.56	-1604.45	-1603.4 	4.70321
37 	169.666	-1645.8 	-1604.01	-1603.1 	2.39382
38 	174.035	-1806.78	-1604.38	-1602.7 	9.54227
39 	178.263	-1700.72	-1604.18	-1602.7 	5.08604
40 	182.676	-1651.39	-1604.06	-1602.7 	3.67054
41 	187.118	-1644.57	-1603.96	-1602.7 	3.30108
42 	191.521	-1647.03	-1603.71	-1602.7 	3.46607
43 	195.827	-1627.24	-1603.26	-1602.7 	1.48978
44 	200.091	-1661.91	-1603.41	-1602.1 	3.93195
45 	204.295	-1634.55	-1603.22	-1602.1 	2.83978
46 	208.654	-1679.89	-1603.26	-1602.1 	4.37713
47 	212.993	-1656.93	-1603.17	-1602   	3.26093
48 	217.256	-1629.52	-1602.9 	-1602   	1.97601
49 	221.535	-1651.75	-1602.73	-1601.3 	2.49402
50 	225.939	-1667.03	-1602.7 	-1601.3 	3.6125 
51 	230.261	-1621.34	-1602.21	-1601.3 	1.318  
52 	234.569	-1627.65	-1602.16	-1601.3 	2.41407
53 	238.745	-1732.57	-1602.04	-1601.3 	6.10969
54 	243.034	-1663.02	-1601.99	-1601   	4.31183
55 	247.204	-1669.84	-1601.68	-1601   	3.35265
56 	251.529	-1628.92	-1601.62	-1601   	1.85514
57 	255.852	-1619.66	-1601.64	-1601   	1.74744
58 	260.192	-1612.59	-1601.48	-1601   	1.29437
59 	264.55 	-1645.58	-1601.5 	-1601   	2.87407
60 	268.81 	-1629.51	-1601.55	-1600.9 	2.46339
