gen	depth	min     	avg     	max     	std    
0  	100  	-3200.28	-1928.49	-1712.86	176.712
1  	100  	-2860.75	-1835.13	-1700.97	94.9588
2  	100  	-2144.42	-1785.69	-1686.98	52.3202
3  	100  	-3623.44	-1763.35	-1671.38	95.6658
4  	100  	-2158.26	-1737.77	-1671.38	36.548 
5  	100  	-2351.02	-1721.31	-1668.23	44.5868
6  	100  	-2919.56	-1718.36	-1662.92	99.9134
7  	100  	-2252.77	-1696.75	-1661.52	43.3679
8  	100  	-2169.12	-1686.01	-1660.77	35.6258
9  	100  	-4163.63	-1685.35	-1655.51	114.948
10 	100  	-2077.76	-1674.32	-1655.51	24.8261
11 	100  	-2435.94	-1674.13	-1653.07	53.477 
12 	100  	-2467.02	-1669.1 	-1651.97	43.0126
13 	100  	-3882.43	-1675.63	-1647.29	126.944
14 	100  	-2098.01	-1662.55	-1644.26	30.4793
15 	100  	-2614.86	-1662.5 	-1644.12	54.6618
16 	100  	-2021.89	-1658.38	-1641.27	27.0314
17 	100  	-1740.93	-1652.57	-1639.31	8.27251
18 	100  	-2435.97	-1654.18	-1639.31	39.4524
19 	100  	-2702.94	-1656.4 	-1638.79	71.0732
20 	100  	-4960.49	-1656.78	-1636.22	152.106
21 	100  	-2068.68	-1648.84	-1635.97	32.5051
22 	100  	-1911.03	-1645.93	-1635.74	21.8305
23 	100  	-2427.73	-1646.03	-1633.31	47.1495
24 	100  	-2581.39	-1644.42	-1632.3 	46.0963
25 	100  	-1888.59	-1640.61	-1631.82	17.8444
26 	100  	-1958.34	-1639.32	-1631.54	20.818 
27 	100  	-1887.95	-1638.49	-1630.83	17.1475
28 	100  	-1717.19	-1636.44	-1628.73	9.42067
29 	100  	-1827.11	-1636.32	-1628.52	16.1924
30 	100  	-1817.45	-1635.83	-1628.32	15.5493
31 	100  	-2516.2 	-1639.16	-1628.02	54.724 
32 	100  	-1762.48	-1633.14	-1627.7 	9.68436
33 	100  	-1884.1 	-1633.96	-1626.4 	19.9658
34 	100  	-1798.26	-1632.76	-1625.69	13.9662
35 	100  	-3464.81	-1637.23	-1625.22	87.8178
36 	100  	-1931.36	-1631.06	-1624.53	17.7002
37 	100  	-2056.77	-1630.55	-1623.75	21.5541
38 	100  	-1855.69	-1630.15	-1623.75	16.6288
39 	100  	-1866.54	-1628.62	-1623.75	12.9974
40 	100  	-2048.62	-1631.08	-1623.58	33.2829
41 	100  	-1810.43	-1627.44	-1622.88	13.2142
42 	100  	-1845.98	-1626.91	-1622.19	12.532 
43 	100  	-2012.36	-1626.83	-1621.18	19.9281
44 	100  	-1888.75	-1627.51	-1621.18	18.832 
45 	100  	-2108.7 	-1629.82	-1621.18	34.7328
46 	100  	-3547.64	-1630.68	-1621.18	91.7279
47 	100  	-1713.66	-1624.1 	-1620.48	8.56753
48 	100  	-1767.61	-1623.77	-1620.48	11.0154
49 	100  	-1906.22	-1625.07	-1620.08	21.2395
50 	100  	-1728.06	-1622.85	-1619.15	7.61859
51 	100  	-1751.07	-1622.63	-1619.15	9.47267
52 	100  	-1875.59	-1624.45	-1618.68	23.1056
53 	100  	-1748.8 	-1622.35	-1618.68	10.4313
54 	100  	-4205   	-1628.48	-1618.68	118.363
55 	100  	-2665.16	-1625.24	-1618.68	49.5976
56 	100  	-1767.67	-1622.5 	-1618.68	15.9891
57 	100  	-2034.49	-1621.87	-1618.68	24.5219
58 	100  	-1948.31	-1622.31	-1617.86	22.9241
59 	100  	-1815.85	-1620.51	-1617.86	12.3917
60 	100  	-1700.75	-1620.37	-1617.86	8.24506
61 	100  	-1761.13	-1621.05	-1617.45	13.2195
62 	100  	-1903.1 	-1621.91	-1616.83	21.0231
63 	100  	-1857.56	-1620.53	-1616.63	14.0324
64 	100  	-1708.71	-1619.6 	-1616.34	7.64238
65 	100  	-1926.56	-1621.29	-1616   	23.2731
66 	100  	-1814.43	-1619.89	-1615.72	13.7751
67 	100  	-1999.69	-1621.88	-1615.51	26.7568
68 	100  	-1715.92	-1619.46	-1615.3 	11.3735
69 	100  	-1700.58	-1618.25	-1613.78	7.2402 
70 	100  	-1931.45	-1619.56	-1613.78	17.9577
71 	100  	-1867.78	-1619.82	-1613.78	21.6055
72 	100  	-1743.62	-1617.84	-1613.78	11.5065
73 	100  	-1839.12	-1618.16	-1613.78	14.4987
74 	100  	-1847.88	-1617.86	-1613.78	14.781 
75 	100  	-1762.77	-1617.9 	-1613.78	12.0192
76 	100  	-4360.34	-1628.97	-1613.78	169.133
77 	100  	-1898.93	-1618.78	-1613.78	21.2486
78 	100  	-1759.14	-1617.4 	-1613.78	13.3822
79 	100  	-1689.63	-1615.61	-1613.78	7.29816
80 	100  	-1790.83	-1615.83	-1613.66	11.7776
81 	100  	-1834.08	-1616.12	-1613.66	13.4934
82 	100  	-1796.97	-1615.99	-1613.66	13.2228
83 	100  	-1808.78	-1615.68	-1613.08	12.1055
84 	100  	-1668.07	-1615.04	-1612.96	5.08757
85 	100  	-1679.72	-1614.99	-1612.96	5.54413
86 	100  	-1941.86	-1616.01	-1612.31	17.0625
87 	100  	-1748.3 	-1615.04	-1612.31	9.49647
88 	100  	-1852.47	-1616   	-1612.31	16.0462
89 	100  	-2469.2 	-1616.66	-1612.31	39.678 
90 	100  	-1819.93	-1615.85	-1612.31	16.4252
91 	100  	-1816.71	-1615.27	-1612.31	15.9471
92 	100  	-1681.05	-1613.62	-1611.61	5.43575
93 	100  	-1743.32	-1614.09	-1611.61	8.8831 
94 	100  	-1784.51	-1615.28	-1611.61	15.6083
95 	100  	-1944.68	-1616.03	-1611.61	24.2773
96 	100  	-1709.29	-1613.94	-1611.21	8.65166
97 	100  	-2029.41	-1615.65	-1611.21	25.4157
98 	100  	-1970.3 	-1614.27	-1610.91	19.1276
99 	100  	-1732.11	-1613.41	-1610.91	9.09432
gen	depth	min     	avg     	max     	std    
0  	100  	-10685.3	-1945.88	-1699.04	451.655
1  	100  	-2193.97	-1810.93	-1699.04	64.4892
2  	100  	-2196.52	-1773.39	-1690.09	44.5167
3  	100  	-2203.03	-1753.32	-1686.2 	52.5381
4  	100  	-2385.26	-1735.1 	-1675.8 	48.3102
5  	100  	-1940.23	-1720.33	-1675.8 	28.6179
6  	100  	-2311.61	-1710.42	-1669.64	47.0616
7  	100  	-2366.64	-1700.8 	-1663.53	40.6518
8  	100  	-2748.9 	-1691.45	-1652.66	55.1644
9  	100  	-3055.73	-1688.86	-1652.66	82.0689
10 	100  	-2048.3 	-1676.13	-1651.39	27.274 
11 	100  	-2310.62	-1672.35	-1644.29	36.8048
12 	100  	-1937.31	-1667.07	-1644.29	23.9775
13 	100  	-1890.37	-1662.76	-1644.29	19.4584
14 	100  	-2161.86	-1661.32	-1644   	29.8166
15 	100  	-7444.97	-1678.31	-1640.28	318.211
16 	100  	-2160.03	-1654.34	-1639.87	28.9766
17 	100  	-3018.87	-1658.18	-1638.49	81.9999
18 	100  	-1958.19	-1649.19	-1637.67	18.5899
19 	100  	-2986.28	-1651.95	-1636.88	79.709 
20 	100  	-1736.3 	-1644.44	-1635.74	7.46056
21 	100  	-2525.13	-1647.44	-1635.74	46.4694
22 	100  	-1991.55	-1643.32	-1633.89	19.5291
23 	100  	-5661.1 	-1652.04	-1632.89	189.806
24 	100  	-2089.94	-1642.44	-1629.79	33.3328
25 	100  	-1749.71	-1638.43	-1629.79	8.87916
26 	100  	-1782.58	-1637.72	-1629.26	12.0747
27 	100  	-2075.93	-1638.05	-1629.26	23.7325
28 	100  	-1904.97	-1637.75	-1627.94	22.66  
29 	100  	-2113.54	-1638.98	-1627.24	38.0073
30 	100  	-2058.2 	-1634.41	-1626.57	21.2381
31 	100  	-2040.64	-1634.21	-1624.92	23.3228
32 	100  	-2201.37	-1635.78	-1624.92	42.1553
33 	100  	-1988.66	-1632.5 	-1624.92	24.2156
34 	100  	-1829.77	-1630.28	-1623.4 	13.3508
35 	100  	-1755.84	-1629.45	-1623.02	11.4857
36 	100  	-1912.03	-1630.49	-1622.24	22.6224
37 	100  	-1780.21	-1628.11	-1622.24	13.6561
38 	100  	-1852.38	-1628.08	-1621.79	19.018 
39 	100  	-1776.47	-1626.83	-1621.36	14.682 
40 	100  	-2180.01	-1627.99	-1621.36	35.1007
41 	100  	-1779.57	-1626.26	-1620.66	16.0406
42 	100  	-1979.6 	-1625.18	-1620.66	20.1962
43 	100  	-2146.2 	-1625.76	-1620.27	27.1332
44 	100  	-1922.37	-1623.51	-1620.27	14.838 
45 	100  	-1894.62	-1624.39	-1620.1 	20.3965
46 	100  	-1936.89	-1625.64	-1619.62	29.6264
47 	100  	-1820.31	-1622.77	-1619.62	12.8224
48 	100  	-1747.38	-1622.69	-1619.62	11.3094
49 	100  	-1822.79	-1623.27	-1619.4 	14.8448
50 	100  	-1690.09	-1621.07	-1619.22	5.52981
51 	100  	-2556.37	-1624.19	-1618.97	44.7285
52 	100  	-1877.86	-1621.69	-1618.97	13.9243
53 	100  	-1877.43	-1622.67	-1618.97	19.8236
54 	100  	-2004.2 	-1623.59	-1618.97	24.9422
55 	100  	-1832.29	-1621.17	-1618.7 	12.7105
56 	100  	-1689.97	-1621.47	-1618.7 	8.59483
57 	100  	-2068.41	-1621.69	-1618.6 	21.7778
58 	100  	-2317.98	-1624.19	-1618   	37.3003
59 	100  	-2533.32	-1623.77	-1617.88	46.0679
60 	100  	-2043.39	-1622.58	-1617.18	25.9445
61 	100  	-2366.75	-1623.4 	-1617.18	38.7402
62 	100  	-1984.73	-1621.96	-1617.18	23.7301
63 	100  	-1860.35	-1620.97	-1617.18	16.7398
64 	100  	-1815.21	-1620.67	-1617.18	16.0381
65 	100  	-1950.8 	-1621.53	-1617.08	25.2517
66 	100  	-2374.48	-1623.37	-1617.08	44.3521
67 	100  	-1935.06	-1619.82	-1617.08	17.6356
68 	100  	-3770.28	-1625.8 	-1616.38	100.379
69 	100  	-2034.49	-1622.41	-1616.38	27.5254
70 	100  	-1709.99	-1619.01	-1616.3 	8.41646
71 	100  	-1776.05	-1619.5 	-1616.3 	13.8909
72 	100  	-1801.91	-1618.38	-1616.3 	11.6045
