gen	depth	min     	avg     	max     	std     
0  	25   	-1966.13	-1664.24	-1608.71	47.8037 
1  	25   	-1806.68	-1637.14	-1608.71	17.962  
2  	25   	-1783.76	-1627.39	-1607.19	13.2794 
3  	25   	-1767.66	-1621.33	-1607.19	11.3265 
4  	25   	-1808.16	-1617.64	-1606.49	13.6567 
5  	25   	-1731.63	-1614.49	-1606.42	7.93957 
6  	25   	-1631.91	-1611.62	-1606.42	3.03526 
7  	25   	-1682.24	-1610.04	-1605.4 	4.50587 
8  	25   	-1718.44	-1608.92	-1604.84	6.04211 
9  	25   	-1655.82	-1607.84	-1604.7 	4.45952 
10 	25   	-1661.54	-1606.94	-1604.62	3.8197  
11 	25   	-1739.77	-1606.62	-1604.14	7.88732 
12 	25   	-1704.28	-1605.86	-1603.49	4.60349 
13 	25   	-1700.22	-1605.76	-1603.49	5.45008 
14 	25   	-1649.85	-1605.19	-1603.49	2.88815 
15 	25   	-1791.34	-1605.29	-1603.3 	8.78102 
16 	25   	-1760.19	-1605.06	-1602.8 	7.78754 
17 	25   	-1639.2 	-1604.45	-1602.8 	2.24479 
18 	25   	-1619.64	-1604.23	-1602.8 	1.34841 
19 	25   	-1624.08	-1604.2 	-1602.8 	1.91683 
20 	25   	-1617.84	-1603.87	-1602.8 	1.62045 
21 	25   	-1882.44	-1604.23	-1602.4 	12.7427 
22 	25   	-1630.61	-1603.46	-1602.4 	2.14071 
23 	25   	-1631.3 	-1603.2 	-1602.1 	2.15221 
24 	25   	-1625.7 	-1602.94	-1602.1 	1.26685 
25 	25   	-1619.52	-1603.02	-1602.1 	1.50914 
26 	25   	-1624.72	-1602.83	-1602.1 	1.31152 
27 	25   	-1641.76	-1602.83	-1602.1 	2.78976 
28 	25   	-1659.62	-1602.65	-1601.4 	3.24253 
29 	25   	-1624.57	-1602.49	-1601.4 	1.994   
30 	25   	-1687.15	-1602.76	-1601.4 	4.7606  
31 	25   	-1614.22	-1602.3 	-1601.4 	1.14545 
32 	25   	-1623.3 	-1602.35	-1601.4 	1.64915 
33 	25   	-1676.1 	-1602.62	-1601.4 	4.86099 
34 	25   	-1613.52	-1602.16	-1601.4 	1.02855 
35 	25   	-1616.06	-1602.14	-1601.4 	1.42124 
36 	25   	-1649.98	-1602.02	-1601.4 	2.70214 
37 	25   	-1633.98	-1601.85	-1601.4 	2.22818 
38 	25   	-1613.52	-1601.63	-1601.4 	1.24982 
39 	25   	-1631.88	-1601.81	-1601.4 	2.25901 
