gen	time   	min     	avg     	max     	std     
0  	8.94905	-2646.85	-1689.46	-1614.34	71.6947 
1  	13.3182	-2181.62	-1654.62	-1614.34	31.445  
2  	17.7146	-1706.69	-1638.81	-1610.64	12.8227 
3  	22.223 	-1680.19	-1630.12	-1610.64	9.29734 
4  	26.5231	-1720.55	-1624.36	-1608.99	8.35762 
5  	30.7829	-1691.62	-1619.73	-1608.24	6.57631 
6  	35.1551	-1771.89	-1617.54	-1607.42	11.3113 
7  	39.4268	-1759.72	-1614.18	-1606.72	9.05123 
8  	43.7897	-1639.19	-1611.94	-1606.72	3.54892 
9  	48.2244	-1657.88	-1610.47	-1606.42	4.02442 
10 	52.513 	-1666.92	-1609.43	-1604.44	4.15904 
11 	56.8152	-2020.7 	-1610.05	-1604.44	21.2661 
12 	61.104 	-1641.57	-1607.97	-1604.44	3.08775 
13 	65.3925	-1701.44	-1607.92	-1604.32	6.52024 
14 	69.5083	-1701.16	-1606.98	-1603.74	5.60467 
15 	73.8408	-1653.9 	-1606.16	-1603.62	3.34657 
16 	78.1339	-1647.95	-1605.76	-1603.49	3.66778 
17 	82.5419	-1667.67	-1605.19	-1603.1 	3.46249 
18 	86.9671	-1680.89	-1605.5 	-1603.1 	6.03377 
19 	91.1149	-1640.08	-1604.74	-1603.1 	2.75025 
20 	95.4458	-1713.57	-1604.71	-1602.92	5.74624 
21 	99.7546	-1673.82	-1604.44	-1602.8 	4.39511 
22 	104.033	-1689.27	-1604.02	-1602.8 	4.10293 
23 	108.114	-1633.11	-1603.85	-1602.8 	2.49898 
24 	112.369	-1638.32	-1603.76	-1602.8 	2.66604 
25 	116.763	-1664.98	-1603.95	-1602.1 	4.9946  
26 	121.187	-1714.14	-1603.69	-1602.1 	5.96969 
27 	125.517	-1671.61	-1603.58	-1602.1 	4.54394 
28 	129.928	-1694.95	-1603.62	-1602.1 	6.8919  
29 	134.237	-1645.79	-1603.21	-1602.1 	3.31919 
30 	138.53 	-1615.7 	-1602.72	-1601.4 	1.35573 
31 	142.954	-1691.74	-1602.81	-1601.4 	4.59007 
32 	147.374	-1661.6 	-1602.45	-1601.4 	3.16718 
33 	151.723	-1624.94	-1602.42	-1601.4 	2.16184 
34 	155.947	-1638.48	-1602.55	-1601.4 	2.89828 
35 	160.174	-1626.25	-1602.18	-1601.4 	1.60249 
36 	164.488	-1736.96	-1602.54	-1601   	7.40225 
37 	168.748	-1696.11	-1602.1 	-1601   	4.76023 
38 	173.044	-1659.56	-1601.92	-1601   	3.61732 
39 	177.305	-2044.75	-1602.63	-1601   	19.9382 
40 	181.608	-1627.94	-1601.8 	-1600.7 	2.10096 
41 	185.801	-1648.02	-1601.78	-1600.7 	3.03439 
42 	190.095	-1619.4 	-1601.39	-1600.7 	1.29448 
43 	194.462	-1619.38	-1601.34	-1600.7 	1.64375 
44 	198.746	-1623.02	-1601.34	-1600.7 	1.89605 
45 	203.144	-1636.71	-1601.28	-1600.7 	2.25442 
46 	207.453	-1626.27	-1601.12	-1600.7 	1.85955 
47 	211.578	-1641.07	-1601.01	-1600.7 	2.08567 
48 	215.832	-1633.15	-1601.26	-1600.7 	3.09083 
49 	220.063	-1629.21	-1600.93	-1600.7 	1.61011 
50 	224.421	-1650.97	-1601.25	-1600.7 	3.58468 
51 	228.614	-1624.57	-1600.99	-1600.7 	1.62975 
52 	232.823	-1642.65	-1601.23	-1600.7 	3.00019 
53 	237.04 	-1630.48	-1601.14	-1600.7 	2.19361 
54 	241.279	-1683.47	-1601.33	-1600.7 	4.56626 
55 	245.563	-1679.79	-1601.15	-1600.7 	3.93159 
56 	249.823	-1641.48	-1601.19	-1600.7 	2.74336 
57 	254.192	-1669.84	-1601.14	-1600.7 	3.42218 
58 	258.562	-1606.8 	-1600.8 	-1600.7 	0.499276
59 	263.05 	-1612.55	-1600.98	-1600.7 	1.23664 
60 	267.178	-1619.96	-1601.04	-1600.7 	1.74608 
61 	271.391	-1612.82	-1600.93	-1600.7 	1.14289 
62 	275.686	-1618.12	-1601   	-1600.7 	1.53221 
63 	279.99 	-1633.46	-1601.11	-1600.7 	2.56563 
64 	284.374	-1623.3 	-1600.92	-1600.7 	1.52361 
65 	288.746	-1627.47	-1600.98	-1600.7 	1.74608 
66 	292.85 	-1636.12	-1601.32	-1600.7 	3.51339 
67 	297.15 	-1638.74	-1601.01	-1600.7 	2.19755 
68 	301.427	-1693.41	-1601.4 	-1600.7 	4.87865 
69 	305.711	-1619.74	-1601   	-1600.7 	1.83391 
70 	310.035	-1658.22	-1601.16	-1600.7 	3.15246 
71 	314.244	-1607.3 	-1600.84	-1600.7 	0.660814
72 	318.354	-1622.32	-1601.1 	-1600.7 	1.9107  
73 	322.661	-1662.78	-1601.39	-1600.7 	4.1071  
