gen	time   	min     	avg     	max     	std    
0  	8.78318	-2466.49	-1732.58	-1631.11	102.978
1  	13.0147	-2114.54	-1681.42	-1627.19	36.9622
2  	17.1869	-1997   	-1662.5 	-1627.19	33.0477
3  	21.3832	-1815.12	-1648.92	-1623.11	16.7565
4  	25.6822	-1751.48	-1640.33	-1623.08	11.0747
5  	30.0548	-1894.05	-1637.42	-1623.08	21.2333
6  	34.4091	-1937.12	-1633.21	-1621.3 	17.7281
7  	38.6962	-1710.21	-1629.78	-1619.48	6.63228
8  	42.935 	-2209.54	-1629.7 	-1613.94	28.9466
9  	47.0603	-1845.17	-1626.92	-1613.94	12.4734
10 	51.4053	-6990.76	-1642.63	-1612.94	287.268
11 	55.6829	-1851.04	-1623.34	-1612.94	15.566 
12 	59.8783	-1659.29	-1620.19	-1612.94	4.74995
13 	64.1165	-1707.42	-1618.87	-1612.36	7.4195 
14 	68.2959	-1711.28	-1616.7 	-1611.54	8.06537
15 	72.4205	-1663.1 	-1614.9 	-1609.64	3.96008
16 	76.5246	-2600.59	-1618.61	-1609.62	54.4351
17 	80.7737	-2117.48	-1615.27	-1608.94	28.1789
18 	84.9895	-1659.51	-1612.6 	-1608.32	4.08245
19 	89.3049	-1761.17	-1612.68	-1608.1 	10.9229
20 	93.6143	-1673.29	-1611.32	-1607.62	5.32511
21 	97.7668	-1689.32	-1611.11	-1606.92	8.02269
22 	102.143	-1677.27	-1609.79	-1606.14	5.02572
23 	106.45 	-1765.28	-1609.83	-1606.14	8.87395
24 	110.664	-1666.23	-1608.69	-1606.14	4.2688 
25 	115.037	-1792.16	-1609.33	-1606.14	14.6124
26 	119.199	-1670.25	-1607.64	-1605.89	4.53444
27 	123.589	-1626.32	-1606.88	-1605.89	1.73946
28 	127.92 	-1650.28	-1606.72	-1605.89	2.67048
29 	132.079	-1999.92	-1607.51	-1605.44	17.7567
30 	136.216	-1668.38	-1606.9 	-1605.17	4.85707
31 	140.603	-1666.81	-1606.68	-1605.17	4.12877
32 	144.861	-2820.53	-1611.43	-1605.14	69.4047
33 	149.082	-1637.35	-1606.33	-1604.74	2.82223
34 	153.347	-1670.77	-1606.31	-1603.8 	4.4906 
35 	157.533	-1644.76	-1605.95	-1603.8 	3.34112
36 	161.785	-1690.98	-1605.81	-1603.74	5.05548
37 	165.998	-1628.63	-1605.09	-1603.35	1.77516
38 	170.176	-1712.77	-1605.44	-1603.35	6.36371
39 	174.314	-1637   	-1604.85	-1603.1 	2.8432 
40 	178.637	-1793.34	-1605.23	-1603.1 	9.88507
41 	183.021	-1731.1 	-1604.96	-1602.95	8.24641
42 	187.298	-1793.04	-1604.87	-1602.95	10.0602
43 	191.519	-1639.36	-1603.88	-1602.95	2.4017 
44 	195.781	-1712.21	-1604.08	-1602.95	6.26078
45 	200.128	-1679.2 	-1603.66	-1602.4 	4.10206
46 	204.476	-1732.82	-1604.21	-1602.4 	7.4949 
47 	208.688	-1711.88	-1603.87	-1602.4 	6.51309
48 	212.802	-1649.11	-1603.49	-1602.4 	2.85512
49 	216.837	-1628.63	-1603.34	-1602.25	2.16857
50 	221.02 	-1627.02	-1603.29	-1602.25	2.29478
51 	225.28 	-1644.06	-1603.29	-1602.25	3.14128
52 	229.547	-1613.06	-1602.87	-1602.25	1.32838
53 	233.72 	-1771.27	-1603.48	-1602.1 	9.38204
54 	237.807	-1629.22	-1602.8 	-1602.1 	2.39571
55 	242.007	-1625.98	-1602.71	-1602.1 	2.08037
56 	246.326	-1658.48	-1602.9 	-1602.1 	3.95795
57 	250.479	-1657.75	-1602.75	-1602.1 	3.28163
58 	254.539	-1680.19	-1602.73	-1602.1 	4.1676 
59 	258.769	-1674.33	-1602.94	-1602.1 	4.61452
60 	263.04 	-1728.28	-1603.16	-1602.1 	6.97691
61 	267.412	-1692.13	-1603.13	-1602.1 	6.30803
62 	271.517	-1612.36	-1602.34	-1602.1 	1.12269
63 	275.773	-1698.4 	-1602.8 	-1602.1 	5.35209
64 	280.004	-1647.51	-1602.81	-1602.1 	4.15417
65 	284.255	-1623.02	-1602.57	-1602.1 	2.15008
66 	288.444	-1665.17	-1602.9 	-1602.1 	4.33091
67 	292.674	-1622.58	-1602.46	-1601.9 	1.88614
68 	296.868	-1724.6 	-1602.72	-1601.9 	5.93139
69 	301.13 	-1686.45	-1602.68	-1601.9 	4.69243
70 	305.361	-1736.78	-1603.5 	-1601.4 	8.96217
71 	309.666	-1624.12	-1602.48	-1601.4 	1.8771 
72 	313.962	-1623.02	-1602.41	-1601.4 	1.85648
73 	318.219	-1704.38	-1602.76	-1601.4 	5.06177
74 	322.563	-1719.62	-1602.72	-1601.4 	6.04432
75 	326.719	-1671.53	-1602.04	-1601.4 	3.32387
76 	330.797	-1627.49	-1601.88	-1601.4 	2.0578 
77 	334.865	-1630.7 	-1601.74	-1601.4 	1.94673
78 	339.108	-1639.09	-1601.92	-1601.2 	3.10982
79 	343.288	-1643.55	-1601.86	-1601.2 	2.63243
80 	347.444	-1623.36	-1601.86	-1601.2 	2.25787
81 	351.632	-1710.95	-1602.2 	-1601.2 	6.29892
82 	355.859	-1659.21	-1601.94	-1601.2 	3.54031
83 	360.048	-1642.19	-1601.96	-1601.2 	3.4876 
84 	364.279	-1654.46	-1601.95	-1601.2 	3.98475
85 	368.524	-1635.69	-1601.61	-1601.2 	2.2568 
86 	372.745	-1663.19	-1601.89	-1601.2 	4.05247
87 	377.02 	-1652.37	-1601.73	-1601.2 	3.31947
88 	381.232	-1657.22	-1601.74	-1601.2 	3.23114
89 	385.417	-1642.76	-1601.71	-1601.2 	2.9852 
90 	389.52 	-1644.04	-1601.64	-1601.2 	2.52149
91 	393.695	-1634.65	-1601.75	-1601.2 	2.82812
92 	397.895	-1618.4 	-1601.51	-1601.2 	1.46772
93 	402.168	-1712.95	-1602.04	-1601.2 	6.03622
94 	406.484	-1654.65	-1601.93	-1601.2 	4.25356
95 	410.778	-1643.09	-1601.73	-1601.2 	2.93195
96 	414.915	-1757.5 	-1601.97	-1601.2 	7.88948
97 	419.091	-1649.28	-1601.66	-1601.2 	2.87211
98 	423.206	-1754.8 	-1602   	-1601.2 	8.17569
99 	427.35 	-1626.51	-1601.7 	-1601.2 	2.57912
gen	time   	min     	avg     	max     	std    
0  	8.66321	-2073.61	-1718.98	-1625.76	68.5375
1  	12.773 	-1892.88	-1674.24	-1625.76	28.5832
