gen	depth	min     	avg     	max     	std    
0  	100  	-2199.49	-1754.35	-1634.69	91.1011
1  	100  	-1818.57	-1696.06	-1634.69	31.7748
2  	100  	-2038.19	-1675.04	-1632.82	27.9445
3  	100  	-1901.46	-1661.71	-1628.09	21.0301
4  	100  	-1830.72	-1651.77	-1626.74	16.4892
5  	100  	-2484.18	-1648.28	-1625.55	53.9102
6  	100  	-1927.45	-1639.41	-1623.37	16.0733
7  	100  	-2681.41	-1637.49	-1620.72	48.4796
8  	100  	-1814.04	-1631.5 	-1618.91	10.71  
9  	100  	-1790.04	-1628.86	-1618.42	10.7957
10 	100  	-2251.38	-1627.5 	-1616.46	29.4483
11 	100  	-1791.49	-1624.34	-1613.86	11.9228
12 	100  	-1723.92	-1621.69	-1613.34	6.98941
13 	100  	-2371.62	-1624.21	-1611.54	50.193 
14 	100  	-1713.09	-1619.1 	-1611.54	7.27813
15 	100  	-1779.18	-1618.44	-1611.36	10.346 
16 	100  	-1726.15	-1617.04	-1610.42	8.28714
17 	100  	-1681.02	-1615.23	-1610.29	4.53986
18 	100  	-1737.11	-1614.79	-1610.14	8.45995
19 	100  	-1781.3 	-1614.18	-1609.89	12.7269
20 	100  	-1740.28	-1613.13	-1609.72	7.77735
21 	100  	-1696.3 	-1612.39	-1609.54	6.23454
22 	100  	-1743.98	-1612.76	-1609.02	9.36507
23 	100  	-1659.29	-1611.42	-1609.02	3.76535
24 	100  	-1684.94	-1611.3 	-1608.29	5.21377
25 	100  	-2042.48	-1612.84	-1608.29	24.9354
26 	100  	-1681.61	-1611.26	-1607.49	6.77188
27 	100  	-1644.85	-1610.32	-1607.49	3.69527
28 	100  	-1938.34	-1610.88	-1607.32	16.0334
29 	100  	-1736.9 	-1609.92	-1607.32	7.85711
30 	100  	-1654.1 	-1608.97	-1606.92	3.34207
31 	100  	-1777.61	-1609.47	-1606.8 	9.13506
32 	100  	-1665.22	-1608.37	-1606.8 	4.05904
33 	100  	-1733.78	-1608.54	-1606.8 	7.05076
34 	100  	-1745.87	-1608.53	-1606.8 	8.0524 
35 	100  	-1731.78	-1608.55	-1606.8 	8.42669
36 	100  	-2903.9 	-1611.53	-1606.59	59.2569
37 	100  	-1755.34	-1608.22	-1606.1 	8.53318
38 	100  	-1788.92	-1608.33	-1606.1 	11.7915
39 	100  	-1639.91	-1607.7 	-1606.1 	3.42697
40 	100  	-2264.1 	-1609.07	-1606.1 	30.2297
41 	100  	-1656.45	-1607.43	-1606.1 	4.2869 
42 	100  	-1697.92	-1607.18	-1606.1 	4.71685
43 	100  	-1740.08	-1607.48	-1606.1 	7.54626
44 	100  	-1723.02	-1607.07	-1606.1 	6.55854
