gen	depth	min     	avg     	max     	std     
0  	25   	-2199.69	-2058.87	-2030.32	22.436  
1  	25   	-2111.48	-2045.07	-2030.32	9.01389 
2  	25   	-2073.87	-2038.98	-2027.92	4.81756 
3  	25   	-2075.22	-2036.08	-2027.92	4.52602 
4  	25   	-2064.33	-2033.28	-2027.74	3.19175 
5  	25   	-2064.62	-2031.32	-2027.22	2.69539 
6  	25   	-2101.34	-2030.48	-2027.22	4.97582 
7  	25   	-2146.54	-2029.39	-2027.05	5.75992 
8  	25   	-2073.86	-2028.55	-2026.7 	2.27269 
9  	25   	-2074.82	-2028.02	-2026.7 	2.22993 
10 	25   	-2073.36	-2027.73	-2026.7 	2.34652 
11 	25   	-2091.1 	-2027.58	-2026.4 	3.83867 
12 	25   	-2029.92	-2027.06	-2026.4 	0.449178
13 	25   	-2052.24	-2027.06	-2026.4 	2.07442 
14 	25   	-2039.49	-2026.78	-2026.4 	1.06436 
15 	25   	-2035.07	-2026.56	-2026.4 	0.721869
16 	25   	-2225.39	-2026.87	-2026.4 	8.90361 
17 	25   	-2071.73	-2026.86	-2026.4 	3.5336  
18 	25   	-2040.74	-2026.55	-2026.4 	1.0334  
19 	25   	-2054.26	-2026.61	-2026.4 	1.72802 
20 	25   	-2105.44	-2027.13	-2026.4 	5.78772 
21 	25   	-2068.05	-2026.69	-2026.4 	2.41459 
22 	25   	-2035.62	-2026.56	-2026   	0.91141 
23 	25   	-2073   	-2026.63	-2026   	2.46618 
24 	25   	-2053.92	-2026.55	-2026   	1.38788 
25 	25   	-2034.96	-2026.57	-2026   	0.95135 
26 	25   	-2037.55	-2026.53	-2026   	0.936756
27 	25   	-2072.02	-2026.75	-2025.7 	2.9929  
28 	25   	-2035.54	-2026.39	-2025.7 	0.729146
29 	25   	-2052.52	-2026.41	-2025.7 	1.68045 
30 	25   	-2054.51	-2026.22	-2025.7 	1.54157 
31 	25   	-2031.8 	-2026.02	-2025.7 	0.496073
32 	25   	-2042.74	-2026.08	-2025.7 	1.34752 
33 	25   	-2054.44	-2026.1 	-2025.7 	2.46034 
34 	25   	-2034.92	-2025.89	-2025.7 	0.94268 
35 	25   	-2035.62	-2025.85	-2025.7 	0.85062 
36 	25   	-2041.72	-2025.85	-2025.7 	0.950839
37 	25   	-2035.62	-2025.86	-2025.7 	0.892885
38 	25   	-2034.74	-2025.79	-2025.7 	0.624049
39 	25   	-2042.7 	-2025.89	-2025.7 	1.07799 
40 	25   	-2035.62	-2025.84	-2025.7 	0.808138
41 	25   	-2057.46	-2025.92	-2025.7 	1.79731 
42 	25   	-2035.62	-2025.85	-2025.7 	0.735725
43 	25   	-2051.08	-2025.85	-2025.7 	1.35259 
44 	25   	-2029.92	-2025.77	-2025.7 	0.421575
45 	25   	-2093.55	-2026.14	-2025.7 	4.16072 
46 	25   	-2039.77	-2025.85	-2025.7 	1.06039 
47 	25   	-2039.79	-2025.81	-2025.7 	0.929851
48 	25   	-2034.26	-2025.79	-2025.3 	0.627505
49 	25   	-2093.85	-2026.06	-2025.3 	4.0564  
50 	25   	-2030.15	-2025.76	-2025.3 	0.431944
51 	25   	-2071.02	-2025.96	-2025.3 	2.37421 
52 	25   	-2077.26	-2025.9 	-2025.3 	2.68294 
53 	25   	-2039.22	-2025.84	-2025.3 	1.21248 
54 	25   	-2051.25	-2025.81	-2025.3 	1.81393 
55 	25   	-2030.15	-2025.52	-2025.3 	0.495355
56 	25   	-2031.8 	-2025.43	-2025.3 	0.605669
57 	25   	-2054.21	-2025.59	-2025.3 	2.38729 
58 	25   	-2047.6 	-2025.45	-2025.3 	1.20576 
59 	25   	-2041.72	-2025.47	-2025.3 	1.17727 
60 	25   	-2038.8 	-2025.42	-2025.3 	0.76897 
61 	25   	-2039.77	-2025.42	-2025.3 	0.892372
62 	25   	-2035.89	-2025.49	-2025.3 	0.981972
63 	25   	-2033   	-2025.42	-2025.3 	0.648809
64 	25   	-2033.7 	-2025.38	-2025.3 	0.53253 
65 	25   	-2050.55	-2025.53	-2025.3 	1.86769 
66 	25   	-2031.4 	-2025.36	-2025.3 	0.423559
67 	25   	-2039.77	-2025.47	-2025.3 	1.10036 
68 	25   	-2035.89	-2025.43	-2025.3 	0.777937
69 	25   	-2035.89	-2025.4 	-2025.3 	0.687758
70 	25   	-2043.98	-2025.47	-2025.3 	1.23255 
71 	25   	-2032.05	-2025.43	-2025.3 	0.70786 
72 	25   	-2039.77	-2025.43	-2025.3 	0.946058
73 	25   	-2047.32	-2025.43	-2025.3 	1.28782 
74 	25   	-2049.57	-2025.43	-2025.3 	1.27612 
75 	25   	-2031.1 	-2025.4 	-2025.3 	0.554867
76 	25   	-2030.15	-2025.36	-2025.3 	0.350663
77 	25   	-2035.89	-2025.41	-2025.3 	0.722008
78 	25   	-2063.39	-2025.45	-2025.3 	1.84404 
79 	25   	-2039.1 	-2025.43	-2025.3 	0.80597 
80 	25   	-2028.6 	-2025.35	-2025.3 	0.290391
81 	25   	-2040.36	-2025.48	-2025.3 	0.919997
82 	25   	-2085.75	-2025.54	-2025.3 	2.91552 
83 	25   	-2030.46	-2025.36	-2025.3 	0.400814
84 	25   	-2030.15	-2025.36	-2025.3 	0.363017
85 	25   	-2032.05	-2025.42	-2025.3 	0.596246
86 	25   	-2043.68	-2025.55	-2025.3 	1.49433 
87 	25   	-2116.03	-2025.69	-2025.3 	4.58737 
88 	25   	-2094.84	-2025.55	-2025.3 	3.17567 
