gen	depth	min     	avg     	max    	std      
0  	60   	-2145.91	-2031.45	-2025.7	10.1467  
1  	60   	-2092.15	-2027.67	-2025.7	3.55286  
2  	60   	-2048.59	-2026.51	-2025  	1.36228  
3  	60   	-2027.4 	-2025.93	-2025  	0.398216 
4  	60   	-2026.52	-2025.72	-2025  	0.24326  
5  	60   	-2029.22	-2025.66	-2025  	0.369089 
6  	60   	-2049.57	-2025.63	-2025  	1.37415  
7  	60   	-2028.1 	-2025.31	-2025  	0.410351 
8  	60   	-2032.05	-2025.11	-2025  	0.449969 
9  	60   	-2033   	-2025.03	-2025  	0.382954 
10 	60   	-2027.4 	-2025.03	-2025  	0.20931  
11 	60   	-2030.74	-2025.03	-2025  	0.310062 
12 	60   	-2030.15	-2025.05	-2025  	0.371961 
13 	60   	-2028.3 	-2025.03	-2025  	0.2709   
14 	60   	-2029.22	-2025.04	-2025  	0.285315 
15 	60   	-2033   	-2025.07	-2025  	0.536244 
16 	60   	-2027.4 	-2025.02	-2025  	0.167386 
17 	60   	-2029.22	-2025.04	-2025  	0.315914 
18 	60   	-2032.05	-2025.04	-2025  	0.438649 
19 	60   	-2059.43	-2025.1 	-2025  	1.59438  
20 	60   	-2029.22	-2025.02	-2025  	0.228079 
21 	60   	-2030.15	-2025.03	-2025  	0.27931  
22 	60   	-2030.15	-2025.04	-2025  	0.391129 
23 	60   	-2043.68	-2025.07	-2025  	0.950266 
24 	60   	-2031.1 	-2025.04	-2025  	0.341154 
25 	60   	-2033   	-2025.03	-2025  	0.383175 
26 	60   	-2030.15	-2025.06	-2025  	0.447236 
27 	60   	-2030.15	-2025.02	-2025  	0.249512 
28 	60   	-2033   	-2025.05	-2025  	0.439813 
29 	60   	-2050.55	-2025.12	-2025  	1.29707  
30 	60   	-2027.4 	-2025.03	-2025  	0.20068  
31 	60   	-2026.52	-2025.01	-2025  	0.0920445
32 	60   	-2027.4 	-2025.03	-2025  	0.221756 
33 	60   	-2034.92	-2025.05	-2025  	0.534033 
34 	60   	-2029.22	-2025.04	-2025  	0.280089 
35 	60   	-2028.3 	-2025.03	-2025  	0.226576 
36 	60   	-2030.15	-2025.03	-2025  	0.326156 
37 	60   	-2028.3 	-2025.03	-2025  	0.268029 
38 	60   	-2056.02	-2025.11	-2025  	1.42429  
39 	60   	-2028.3 	-2025.02	-2025  	0.189689 
40 	60   	-2030.85	-2025.02	-2025  	0.284064 
41 	60   	-2030.15	-2025.02	-2025  	0.247657 
42 	60   	-2025.7 	-2025.01	-2025  	0.0695466
43 	60   	-2026.52	-2025.01	-2025  	0.122187 
44 	60   	-2026.52	-2025.01	-2025  	0.101835 
45 	60   	-2045.64	-2025.12	-2025  	1.35203  
46 	60   	-2028.3 	-2025.02	-2025  	0.205811 
47 	60   	-2031.1 	-2025.05	-2025  	0.419441 
48 	60   	-2036.85	-2025.06	-2025  	0.663882 
49 	60   	-2032.05	-2025.06	-2025  	0.497418 
50 	60   	-2033   	-2025.03	-2025  	0.405549 
51 	60   	-2027.4 	-2025.02	-2025  	0.159484 
52 	60   	-2029.22	-2025.05	-2025  	0.339889 
53 	60   	-2033   	-2025.05	-2025  	0.455523 
54 	60   	-2030.15	-2025.03	-2025  	0.291787 
55 	60   	-2027.4 	-2025.02	-2025  	0.167651 
56 	60   	-2028.3 	-2025.03	-2025  	0.239169 
57 	60   	-2031.1 	-2025.03	-2025  	0.326715 
58 	60   	-2025.7 	-2025.01	-2025  	0.0695466
59 	60   	-2026.52	-2025.02	-2025  	0.140272 
60 	60   	-2028.3 	-2025.02	-2025  	0.208023 
61 	60   	-2042.7 	-2025.07	-2025  	0.863786 
62 	60   	-2029.22	-2025.02	-2025  	0.252319 
63 	60   	-2028.3 	-2025.03	-2025  	0.248317 
64 	60   	-2026.52	-2025.01	-2025  	0.101835 
65 	60   	-2031.1 	-2025.06	-2025  	0.509278 
66 	60   	-2031.1 	-2025.04	-2025  	0.354714 
67 	60   	-2029.22	-2025.03	-2025  	0.302375 
68 	60   	-2033   	-2025.05	-2025  	0.425394 
69 	60   	-2026.52	-2025.02	-2025  	0.136163 
70 	60   	-2033   	-2025.05	-2025  	0.421376 
71 	60   	-2033.96	-2025.04	-2025  	0.428224 
72 	60   	-2041.72	-2025.07	-2025  	0.818684 
73 	60   	-2029.22	-2025.03	-2025  	0.268034 
74 	60   	-2035.89	-2025.05	-2025  	0.599226 
75 	60   	-2033   	-2025.04	-2025  	0.425279 
76 	60   	-2027.4 	-2025.02	-2025  	0.180379 
77 	60   	-2029.22	-2025.02	-2025  	0.230075 
78 	60   	-2038.8 	-2025.08	-2025  	0.822632 
79 	60   	-2032.05	-2025.03	-2025  	0.358839 
80 	60   	-2041.72	-2025.06	-2025  	0.791609 
81 	60   	-2026.52	-2025.01	-2025  	0.0867021
82 	60   	-2028.3 	-2025.01	-2025  	0.165625 
83 	60   	-2052.52	-2025.13	-2025  	1.44633  
84 	60   	-2041.72	-2025.06	-2025  	0.808933 
85 	60   	-2027.4 	-2025.02	-2025  	0.166166 
86 	60   	-2029.22	-2025.03	-2025  	0.254107 
87 	60   	-2025.7 	-2025.01	-2025  	0.0761075
88 	60   	-2028.3 	-2025.02	-2025  	0.19102  
89 	60   	-2026.52	-2025.01	-2025  	0.0970732
90 	60   	-2026.52	-2025.01	-2025  	0.122187 
91 	60   	-2036.85	-2025.08	-2025  	0.79751  
92 	60   	-2030.15	-2025.03	-2025  	0.263588 
93 	60   	-2027.4 	-2025.02	-2025  	0.176678 
94 	60   	-2026.52	-2025.02	-2025  	0.118826 
95 	60   	-2031.1 	-2025.02	-2025  	0.280626 
96 	60   	-2045.64	-2025.07	-2025  	0.975623 
97 	60   	-2050.55	-2025.1 	-2025  	1.28436  
98 	60   	-2026.52	-2025.01	-2025  	0.100983 
99 	60   	-2027.4 	-2025.02	-2025  	0.172809 
gen	depth	min     	avg     	max  	std      
0  	60   	-2092.15	-2030.29	-2025	5.66924  
1  	60   	-2035.89	-2027.22	-2025	1.47392  
2  	60   	-2040.74	-2026.27	-2025	0.969088 
3  	60   	-2030.85	-2025.78	-2025	0.441343 
