gen	depth	min     	avg     	max     	std    
0  	100  	-2462.99	-2113   	-2047.04	62.7626
1  	100  	-2325.28	-2079.26	-2041.17	25.7732
2  	100  	-2213.48	-2064.27	-2041.17	15.9559
3  	100  	-2208.28	-2055.66	-2040.5 	12.6474
4  	100  	-2162.34	-2050.22	-2037.11	8.61334
5  	100  	-2513.73	-2048.48	-2036.95	24.4323
6  	100  	-2178.91	-2045.55	-2035.93	12.0451
7  	100  	-2144.41	-2042.64	-2035.54	7.65352
8  	100  	-2113.68	-2040.7 	-2035.44	5.56849
9  	100  	-2099.17	-2039.43	-2032.62	5.28225
10 	100  	-2134.92	-2038.45	-2032.62	7.17211
11 	100  	-2079.36	-2036.68	-2031.42	3.26046
12 	100  	-2074.46	-2035.87	-2031.3 	3.34826
13 	100  	-2327.19	-2036.53	-2031.02	16.5437
14 	100  	-2183.56	-2035.28	-2030.54	9.85702
15 	100  	-2087.52	-2034.07	-2030.54	4.14664
16 	100  	-2097.76	-2033.53	-2030.54	5.08438
17 	100  	-2084.36	-2032.64	-2029.92	2.9564 
18 	100  	-2100.22	-2032.19	-2029.84	3.59807
19 	100  	-2084.21	-2032.01	-2028.92	4.55832
20 	100  	-2241.06	-2031.69	-2028.92	9.62888
21 	100  	-2072.7 	-2031.02	-2028.49	3.60029
22 	100  	-2058.42	-2030.54	-2028.49	2.53267
23 	100  	-2051.26	-2030.08	-2027.8 	1.92227
24 	100  	-2427.58	-2030.95	-2027.8 	19.3994
25 	100  	-2072.26	-2029.34	-2027.12	2.63623
26 	100  	-2090.51	-2029.44	-2027.12	4.96286
27 	100  	-2055.89	-2028.8 	-2027.12	2.54106
28 	100  	-2072.66	-2028.61	-2027.12	3.42266
29 	100  	-2105.08	-2028.25	-2027.12	3.87795
30 	100  	-2101.81	-2028.19	-2027.1 	4.6885 
31 	100  	-2068.34	-2028.01	-2026.52	3.21423
32 	100  	-2098.93	-2028.03	-2026.52	4.5332 
33 	100  	-2055.54	-2027.55	-2026.52	2.06105
34 	100  	-2275   	-2028.11	-2026.4 	11.571 
35 	100  	-2057.17	-2027.44	-2026.4 	1.93876
36 	100  	-2082.71	-2027.65	-2026.4 	3.7834 
37 	100  	-2091.86	-2027.39	-2026.4 	3.9793 
38 	100  	-2059.55	-2027.11	-2026.4 	2.62462
39 	100  	-2080.68	-2027.28	-2026.4 	4.58582
40 	100  	-2073.7 	-2026.93	-2026.4 	3.08422
41 	100  	-2787.81	-2028.38	-2026.3 	34.1993
42 	100  	-2044.11	-2026.74	-2026.3 	1.7765 
43 	100  	-2052.94	-2026.76	-2026.3 	1.92045
44 	100  	-2048.3 	-2026.71	-2026.3 	1.68318
45 	100  	-2311.24	-2027.77	-2026.3 	14.4711
46 	100  	-2047.64	-2026.73	-2026.3 	1.86748
47 	100  	-2063.17	-2026.74	-2026.3 	2.52552
48 	100  	-2075.97	-2026.91	-2026.3 	3.28409
49 	100  	-2105.78	-2027   	-2026.3 	5.78172
50 	100  	-2185.62	-2026.84	-2026.3 	7.22327
51 	100  	-2109.76	-2026.72	-2026.3 	4.00908
52 	100  	-2061.41	-2026.81	-2026.3 	3.01691
53 	100  	-2042.72	-2026.58	-2026.3 	1.41473
54 	100  	-2266.61	-2027.22	-2026.3 	11.1223
55 	100  	-2040.89	-2026.53	-2026.3 	1.20272
56 	100  	-2084.21	-2026.82	-2026   	3.89956
57 	100  	-2053.52	-2026.61	-2026   	1.98651
58 	100  	-2049.28	-2026.56	-2026   	1.55382
59 	100  	-2048.59	-2026.63	-2026   	1.77263
60 	100  	-2047.92	-2026.52	-2025.7 	1.63134
61 	100  	-2258.33	-2027.18	-2025.7 	11.9326
62 	100  	-2046.36	-2026.37	-2025.7 	1.58032
63 	100  	-2080.06	-2026.41	-2025.7 	3.06661
64 	100  	-2036.59	-2026.17	-2025.7 	1.2654 
65 	100  	-2038.8 	-2026.04	-2025.7 	1.13265
66 	100  	-2047.6 	-2026.02	-2025.7 	1.72807
67 	100  	-2064.09	-2026.07	-2025.7 	2.2399 
68 	100  	-2047.32	-2026.06	-2025.7 	1.86908
69 	100  	-2093.15	-2026.24	-2025.7 	3.86099
70 	100  	-2042.79	-2025.99	-2025.7 	1.47729
71 	100  	-2044.38	-2025.97	-2025.7 	1.43294
72 	100  	-2093.15	-2026.19	-2025.7 	3.55612
73 	100  	-2051.55	-2025.99	-2025.7 	1.67686
74 	100  	-2084.61	-2026.28	-2025.7 	4.04944
75 	100  	-2044.38	-2026   	-2025.7 	1.50274
76 	100  	-2058.15	-2026.02	-2025.7 	2.0681 
77 	100  	-2057.76	-2026.22	-2025.7 	2.56341
78 	100  	-2306.25	-2026.76	-2025.7 	12.9708
79 	100  	-2054.21	-2025.94	-2025.7 	1.73529
80 	100  	-2067.75	-2026.07	-2025.7 	2.45208
81 	100  	-2061.4 	-2026.25	-2025.7 	2.56427
82 	100  	-2141.62	-2026.52	-2025.7 	5.79161
83 	100  	-2052.65	-2026.06	-2025.7 	2.17772
84 	100  	-2062.52	-2026.17	-2025.7 	2.81919
85 	100  	-2062.38	-2026.41	-2025.7 	3.74087
86 	100  	-2061.02	-2026.03	-2025.7 	2.46529
87 	100  	-2120.72	-2026.26	-2025.7 	4.91793
88 	100  	-2049.89	-2026.02	-2025.7 	1.72232
89 	100  	-2215.02	-2026.84	-2025.7 	10.0221
90 	100  	-2100.71	-2026.21	-2025.7 	3.89276
91 	100  	-2049.89	-2026.21	-2025.7 	2.27898
92 	100  	-2130.67	-2026.26	-2025.7 	5.13253
93 	100  	-2046.34	-2026.02	-2025.7 	1.52613
94 	100  	-2047.32	-2026.11	-2025.7 	1.94277
95 	100  	-2049.87	-2026.06	-2025.7 	2.04138
96 	100  	-2164.55	-2026.54	-2025.7 	7.19256
97 	100  	-2062.44	-2026.11	-2025.7 	2.45449
98 	100  	-2046.88	-2026.02	-2025.7 	1.64801
99 	100  	-2038.8 	-2025.99	-2025.7 	1.32344
gen	depth	min     	avg     	max     	std    
0  	100  	-2742.26	-2104.49	-2042.19	60.8495
1  	100  	-2209.4 	-2075.05	-2042.19	19.3766
2  	100  	-2201.6 	-2063.21	-2042.19	15.8602
3  	100  	-2242.81	-2054.63	-2037.11	12.7904
4  	100  	-2089.66	-2048.89	-2037.11	5.77983
5  	100  	-2121.04	-2045.82	-2037.11	6.76488
6  	100  	-2096.82	-2043.19	-2034.62	5.03692
7  	100  	-2157.98	-2041.52	-2033.42	7.71182
8  	100  	-2656.02	-2042.11	-2033.42	34.0425
9  	100  	-2136.88	-2038.59	-2033.22	6.92425
10 	100  	-2368.71	-2037.96	-2032.92	15.7197
11 	100  	-2140.67	-2036.89	-2032.62	6.50402
12 	100  	-2113.68	-2036.09	-2032.24	5.55893
13 	100  	-2148.72	-2035.31	-2032.1 	6.34359
14 	100  	-2246.33	-2035.23	-2031.72	13.8698
15 	100  	-2101.45	-2034.08	-2030.54	4.45004
16 	100  	-2106.01	-2033.72	-2030.32	4.63254
17 	100  	-2094.2 	-2033.49	-2029.84	5.04165
18 	100  	-2051.52	-2032.49	-2029.84	1.69031
19 	100  	-2091.51	-2032.33	-2029.49	4.20808
20 	100  	-2113.89	-2031.99	-2029.44	6.09039
21 	100  	-2072.72	-2031   	-2029.32	2.57337
22 	100  	-2619.32	-2032.11	-2029.32	26.625 
23 	100  	-2065.48	-2030.62	-2029.14	3.12147
24 	100  	-2068.87	-2030.23	-2029.14	2.97301
25 	100  	-2081.93	-2030.2 	-2028.49	3.72848
26 	100  	-2208.56	-2030.56	-2028.49	10.3824
27 	100  	-2056.95	-2029.67	-2028.44	2.25442
28 	100  	-2053.35	-2029.46	-2028.44	2.11734
29 	100  	-2056.25	-2029.41	-2028.05	2.37185
30 	100  	-2166.35	-2029.82	-2027.92	8.97622
31 	100  	-2060.25	-2029.15	-2027.8 	2.81711
32 	100  	-2182.6 	-2029.09	-2027.8 	7.18481
33 	100  	-2109.29	-2029   	-2027.8 	4.62027
34 	100  	-2158.79	-2029.15	-2027.74	7.23228
35 	100  	-2068.29	-2028.76	-2027.1 	3.66309
36 	100  	-2067.17	-2028.32	-2027.1 	2.39157
37 	100  	-2060.26	-2028.25	-2027.1 	2.35668
38 	100  	-2076.38	-2028.09	-2027.1 	2.83693
39 	100  	-2104.19	-2028.21	-2027.1 	4.5614 
40 	100  	-2106.48	-2028.02	-2026.7 	5.26841
41 	100  	-2044.1 	-2027.51	-2026.7 	1.60222
42 	100  	-2055.03	-2027.6 	-2026.52	2.49341
43 	100  	-2321.62	-2028.14	-2026.52	13.4831
44 	100  	-2062.52	-2027.73	-2026.4 	3.57476
45 	100  	-2178.51	-2027.82	-2026.4 	7.19489
46 	100  	-2045.08	-2027.25	-2026.4 	1.34225
47 	100  	-2130.97	-2027.48	-2026.4 	5.06244
