gen	time   	min     	avg     	max    	std     
0  	11.2802	-2150.71	-2052.77	-2029  	17.3836 
1  	16.8387	-2263.14	-2042.55	-2028.1	14.2392 
2  	22.3087	-2060.95	-2036.48	-2027.8	3.98283 
3  	27.7788	-2077.74	-2034.05	-2027.8	3.50012 
4  	33.3661	-2067.24	-2032.06	-2027.8	3.02375 
5  	38.7955	-2053.12	-2030.57	-2027.8	1.83093 
6  	44.0917	-2045.36	-2029.42	-2027.1	1.48936 
7  	49.5448	-2048.17	-2028.74	-2027.1	1.68767 
8  	54.8186	-2040.08	-2028.2 	-2027.1	1.17841 
9  	60.4121	-2034.66	-2027.84	-2026.4	0.590339
10 	65.6938	-2099.81	-2027.87	-2026.4	3.53364 
11 	71.0752	-2042.14	-2027.45	-2026.4	1.07027 
12 	76.4912	-2036.85	-2027.11	-2026.4	0.80137 
13 	81.9257	-2035.92	-2026.86	-2026.4	0.739768
14 	87.5108	-2096.83	-2026.79	-2026  	3.35918 
15 	92.9848	-2074.98	-2026.69	-2025.7	2.47532 
16 	98.3793	-2032.05	-2026.48	-2025.7	0.493646
17 	103.753	-2082.92	-2026.71	-2025.7	3.15001 
18 	109.246	-2060.13	-2026.62	-2025.7	2.64768 
19 	114.699	-2034.96	-2026.29	-2025.7	0.749364
20 	120.114	-2073.99	-2026.28	-2025.7	3.03998 
21 	125.469	-2035.62	-2025.93	-2025.7	0.797506
22 	130.801	-2063.8 	-2025.96	-2025.7	1.979   
23 	136.234	-2038.48	-2025.86	-2025.7	1.01661 
24 	141.73 	-2042.42	-2025.88	-2025.7	1.12829 
25 	147.139	-2143.62	-2026.05	-2025.7	5.40911 
26 	152.792	-2033.89	-2025.81	-2025.7	0.680118
27 	158.387	-2042.7 	-2025.85	-2025.7	1.19107 
28 	163.829	-2036.85	-2025.81	-2025.7	0.697691
29 	169.34 	-2045.36	-2025.86	-2025.7	1.28038 
30 	174.712	-2058.16	-2025.88	-2025.7	1.57802 
31 	179.983	-2035.07	-2025.81	-2025.7	0.736953
32 	185.478	-2036.89	-2025.86	-2025.7	0.968272
33 	191.026	-2039.77	-2025.84	-2025.7	0.81602 
34 	196.556	-2034.92	-2025.79	-2025.7	0.598522
35 	202.023	-2034   	-2025.79	-2025.7	0.633947
36 	207.521	-2034.92	-2025.82	-2025.7	0.676911
37 	212.938	-2041.44	-2025.85	-2025.7	0.990369
38 	218.307	-2058.44	-2025.91	-2025.7	1.69307 
39 	223.821	-2041.44	-2025.9 	-2025.7	1.20845 
40 	229.338	-2037.55	-2025.85	-2025.7	0.928449
41 	234.663	-2047.6 	-2025.82	-2025.7	1.13249 
42 	240.142	-2052.82	-2025.91	-2025.7	1.57824 
43 	245.481	-2034.66	-2025.86	-2025.7	0.903994
44 	250.784	-2057.17	-2025.92	-2025.7	1.75956 
45 	256.256	-2041.44	-2025.96	-2025.7	1.61648 
46 	261.48 	-2051.84	-2025.87	-2025.7	1.37608 
47 	267.025	-2043.62	-2025.92	-2025.7	1.37935 
48 	272.522	-2045.36	-2025.88	-2025.7	1.28343 
49 	278.108	-2039.49	-2025.81	-2025.7	0.749152
50 	283.595	-2088.18	-2026.09	-2025.7	3.98772 
51 	289.097	-2052.82	-2026.07	-2025.7	2.19924 
52 	294.782	-2034.26	-2025.82	-2025.7	0.594499
53 	300.141	-2057.17	-2026.07	-2025.7	2.44681 
54 	305.463	-2035.62	-2025.78	-2025.7	0.553268
55 	310.912	-2040.47	-2025.79	-2025.7	0.782019
56 	316.168	-2071.31	-2026   	-2025.7	2.92044 
57 	321.59 	-2044.66	-2025.9 	-2025.7	1.437   
58 	327.095	-2048.15	-2025.83	-2025.7	1.304   
59 	332.533	-2033.7 	-2025.81	-2025.7	0.597298
60 	337.99 	-2030.49	-2025.78	-2025.7	0.409405
61 	343.324	-2049.41	-2025.81	-2025.7	1.13451 
62 	348.678	-2041.7 	-2025.87	-2025.7	1.12362 
63 	354.148	-2040.74	-2025.85	-2025.7	1.08834 
64 	359.555	-2043.68	-2025.86	-2025.7	1.30738 
65 	365.168	-2040.74	-2025.95	-2025.7	1.43172 
66 	370.538	-2043.4 	-2025.88	-2025.7	1.15033 
67 	375.906	-2056.21	-2025.87	-2025.7	1.60317 
68 	381.062	-2065.37	-2025.95	-2025.7	2.03189 
69 	386.463	-2048.44	-2025.88	-2025.7	1.3173  
70 	391.608	-2044.38	-2025.84	-2025.7	1.09504 
71 	396.863	-2040.47	-2025.79	-2025.7	0.782225
72 	402.31 	-2054.49	-2025.93	-2025.7	1.76418 
73 	407.747	-2029.52	-2025.76	-2025.7	0.356665
74 	413.086	-2032.3 	-2025.79	-2025.7	0.53636 
75 	418.59 	-2066.07	-2025.97	-2025.7	2.14494 
76 	423.923	-2039.77	-2025.85	-2025.7	1.03262 
77 	429.446	-2039.77	-2025.83	-2025.7	0.931428
78 	434.883	-2030.85	-2025.78	-2025.7	0.482804
79 	440.414	-2032.35	-2025.8 	-2025.7	0.569431
80 	445.911	-2049.57	-2025.94	-2025.7	1.73216 
81 	451.235	-2045.94	-2025.91	-2025.7	1.39586 
82 	456.667	-2075.97	-2025.95	-2025.7	3.08566 
83 	462.15 	-2034.26	-2025.82	-2025.7	0.716056
84 	467.672	-2031.8 	-2025.77	-2025.7	0.433023
85 	473.026	-2042.66	-2025.8 	-2025.7	0.897224
86 	478.515	-2031.8 	-2025.75	-2025.7	0.379165
87 	483.812	-2045.64	-2025.93	-2025.7	1.51778 
88 	489.316	-2054.8 	-2025.88	-2025.7	1.61608 
89 	494.793	-2046.62	-2025.85	-2025.7	1.11014 
90 	500.183	-2039.77	-2025.96	-2025.7	1.31799 
91 	505.533	-2044.38	-2025.81	-2025.7	1.00142 
92 	510.904	-2046.62	-2025.87	-2025.7	1.21753 
93 	516.316	-2033.49	-2025.83	-2025.7	0.65647 
94 	521.553	-2033   	-2025.81	-2025.7	0.637186
95 	526.943	-2052.08	-2025.95	-2025.7	1.80307 
96 	532.37 	-2031.1 	-2025.78	-2025.3	0.516396
97 	537.922	-2045.64	-2025.9 	-2025.3	1.456   
98 	543.424	-2050.38	-2025.91	-2025.3	1.59852 
99 	548.801	-2030.46	-2025.78	-2025.3	0.542231
gen	time   	min     	avg     	max     	std     
0  	11.3424	-2405.25	-2057.06	-2029.92	33.003  
1  	16.4715	-2162.96	-2041.45	-2029.92	9.07093 
2  	22.0406	-2071.42	-2036.51	-2028.74	4.76394 
3  	27.319 	-2068.46	-2033.33	-2028.1 	3.21509 
4  	32.8219	-2043.29	-2031.5 	-2027.74	1.70085 
5  	38.1481	-2388.06	-2031.7 	-2027.74	16.3293 
6  	43.6046	-2126.39	-2030.15	-2027.4 	5.8309  
7  	49.0116	-2053.52	-2029.08	-2027.1 	2.00451 
8  	54.3596	-2126.8 	-2028.93	-2027.05	5.6047  
9  	59.7976	-2065.91	-2028.17	-2027.05	1.93502 
10 	65.1212	-2047.2 	-2027.84	-2026.4 	1.18418 
11 	70.5163	-2152.29	-2027.92	-2026   	5.94622 
12 	75.9883	-2058.15	-2027.37	-2026   	1.607   
13 	81.3577	-2032.74	-2027.09	-2026   	0.539089
14 	86.8837	-2054.91	-2027   	-2026   	1.53753 
15 	92.2695	-2097.88	-2026.98	-2026   	3.48043 
16 	97.7827	-2139.23	-2026.68	-2025.7 	5.07698 
17 	103.189	-2070.33	-2026.55	-2025.7 	3.13424 
18 	108.781	-2039.8 	-2026.2 	-2025.7 	1.22199 
19 	114.132	-2060.72	-2026.21	-2025.7 	1.9811  
20 	119.626	-2060.43	-2026.2 	-2025.7 	1.95651 
21 	124.979	-2038.8 	-2026   	-2025.7 	0.911512
22 	130.415	-2055.48	-2025.99	-2025.7 	1.92968 
23 	135.792	-2059.14	-2025.85	-2025.7 	1.62955 
24 	141.022	-2030.15	-2025.76	-2025.3 	0.370302
