gen	depth	min     	avg     	max  	std      
0  	60   	-2070.03	-2031.13	-2025	5.84289  
1  	60   	-2034.52	-2027.71	-2025	1.52946  
2  	60   	-2031.8 	-2026.55	-2025	0.854889 
3  	60   	-2030.15	-2025.98	-2025	0.575319 
4  	60   	-2028.3 	-2025.64	-2025	0.410914 
5  	60   	-2028.1 	-2025.39	-2025	0.410995 
6  	60   	-2031.1 	-2025.15	-2025	0.431255 
7  	60   	-2030.15	-2025.03	-2025	0.349265 
8  	60   	-2028.3 	-2025.03	-2025	0.220605 
9  	60   	-2030.15	-2025.05	-2025	0.372698 
10 	60   	-2028.3 	-2025.05	-2025	0.350811 
11 	60   	-2027.4 	-2025.01	-2025	0.123696 
12 	60   	-2034.92	-2025.04	-2025	0.511299 
13 	60   	-2026.52	-2025.01	-2025	0.0970732
14 	60   	-2025.7 	-2025.01	-2025	0.0929288
15 	60   	-2025.7 	-2025.02	-2025	0.106977 
16 	60   	-2030.15	-2025.05	-2025	0.37542  
17 	60   	-2028.3 	-2025.03	-2025	0.239556 
18 	60   	-2027.4 	-2025.02	-2025	0.156249 
19 	60   	-2026.52	-2025.01	-2025	0.122187 
20 	60   	-2029.22	-2025.04	-2025	0.356406 
21 	60   	-2037.82	-2025.08	-2025	0.798617 
22 	60   	-2026.52	-2025.02	-2025	0.142817 
23 	60   	-2026.52	-2025.02	-2025	0.160455 
24 	60   	-2028.3 	-2025.03	-2025	0.276917 
25 	60   	-2029.22	-2025.04	-2025	0.285612 
26 	60   	-2026.52	-2025.01	-2025	0.101835 
27 	60   	-2033.96	-2025.07	-2025	0.587855 
28 	60   	-2032.05	-2025.03	-2025	0.362537 
29 	60   	-2031.1 	-2025.05	-2025	0.426405 
30 	60   	-2029.22	-2025.03	-2025	0.271077 
31 	60   	-2032.05	-2025.04	-2025	0.369915 
32 	60   	-2058.44	-2025.08	-2025	1.50138  
33 	60   	-2031.1 	-2025.03	-2025	0.343241 
34 	60   	-2027.4 	-2025.02	-2025	0.156574 
35 	60   	-2030.15	-2025.03	-2025	0.296989 
36 	60   	-2035.89	-2025.05	-2025	0.559004 
37 	60   	-2037.82	-2025.06	-2025	0.731968 
38 	60   	-2031.1 	-2025.04	-2025	0.412534 
39 	60   	-2026.52	-2025.01	-2025	0.106665 
40 	60   	-2029.22	-2025.02	-2025	0.231034 
41 	60   	-2036.85	-2025.05	-2025	0.630492 
42 	60   	-2029.22	-2025.04	-2025	0.330595 
43 	60   	-2030.15	-2025.03	-2025	0.268606 
44 	60   	-2033   	-2025.05	-2025	0.451476 
45 	60   	-2027.4 	-2025.02	-2025	0.195975 
46 	60   	-2029.22	-2025.05	-2025	0.342439 
47 	60   	-2106.08	-2025.26	-2025	3.78723  
48 	60   	-2033   	-2025.05	-2025	0.519278 
49 	60   	-2035.89	-2025.07	-2025	0.703398 
50 	60   	-2036.85	-2025.05	-2025	0.556945 
51 	60   	-2031.1 	-2025.04	-2025	0.421495 
52 	60   	-2027.4 	-2025.02	-2025	0.170125 
53 	60   	-2027.4 	-2025.02	-2025	0.170353 
54 	60   	-2030.15	-2025.03	-2025	0.299968 
55 	60   	-2028.3 	-2025.02	-2025	0.19897  
56 	60   	-2075.28	-2025.19	-2025	2.47825  
57 	60   	-2029.22	-2025.02	-2025	0.228079 
58 	60   	-2028.3 	-2025.03	-2025	0.244688 
59 	60   	-2034.92	-2025.07	-2025	0.646418 
60 	60   	-2036.85	-2025.05	-2025	0.670361 
61 	60   	-2036.85	-2025.08	-2025	0.734277 
62 	60   	-2028.3 	-2025.02	-2025	0.188596 
63 	60   	-2029.22	-2025.03	-2025	0.267378 
64 	60   	-2028.1 	-2025.02	-2025	0.203759 
65 	60   	-2027.4 	-2025.04	-2025	0.267239 
