gen	depth	min     	avg     	max     	std    
0  	100  	-1306.75	-908.731	-821.44 	63.3686
1  	100  	-1176.36	-871.254	-821.44 	28.7327
2  	100  	-983.127	-854.822	-821.44 	17.3424
3  	100  	-1076.65	-845.423	-817.336	21.3783
4  	100  	-3291.75	-843.26 	-817.336	116.083
5  	100  	-1104.19	-830.563	-817.336	18.6661
6  	100  	-987.751	-825.834	-817.212	12.6251
7  	100  	-1008.34	-823.221	-815.609	11.7032
8  	100  	-976.718	-821.747	-814.616	11.4248
9  	100  	-1133.43	-819.936	-813.917	15.1385
10 	100  	-999.782	-819.018	-812.513	11.8108
11 	100  	-875.104	-816.852	-812.513	4.68477
12 	100  	-873.474	-816.385	-811.814	5.78587
13 	100  	-1031.98	-815.941	-810.984	13.3308
14 	100  	-991.319	-814.914	-810.461	11.6182
15 	100  	-1009.15	-814.266	-810.461	10.6925
16 	100  	-894.636	-812.889	-810.173	5.39747
17 	100  	-871.055	-812.439	-809.336	5.05007
18 	100  	-940.805	-812.921	-808.939	10.5354
19 	100  	-889.078	-811.265	-808.939	3.74274
20 	100  	-873.833	-811.58 	-808.939	4.53425
21 	100  	-929.544	-812.125	-807.939	8.90716
22 	100  	-858.214	-810.704	-807.939	3.72586
23 	100  	-897.973	-810.999	-807.814	7.92626
24 	100  	-875.833	-809.902	-807.814	3.91998
25 	100  	-972.713	-810.742	-807.398	11.1872
26 	100  	-921.681	-809.79 	-807.24 	7.95531
27 	100  	-1086.14	-810.704	-807.115	19.6495
28 	100  	-1045.93	-809.651	-807.063	12.8545
29 	100  	-889.67 	-808.763	-806.541	5.46093
30 	100  	-840.438	-808.167	-806.541	2.79722
31 	100  	-874.859	-808.173	-806.416	4.87938
32 	100  	-962.936	-808.786	-806.416	11.049 
33 	100  	-866.042	-807.705	-806.416	3.77817
34 	100  	-857.571	-807.801	-805.842	4.72001
35 	100  	-995.73 	-807.972	-805.717	10.132 
36 	100  	-938.756	-807.805	-805.717	8.65523
37 	100  	-926.049	-807.579	-805.717	7.44677
38 	100  	-882.939	-807.126	-805.717	5.13881
39 	100  	-872.945	-807.238	-805.018	5.49051
40 	100  	-871.878	-806.754	-805.018	4.87535
41 	100  	-887.162	-806.67 	-805.018	5.2288 
42 	100  	-907.081	-806.431	-805.018	5.07337
43 	100  	-878.137	-806.595	-805.018	5.28554
44 	100  	-1010.17	-806.897	-804.893	11.6129
45 	100  	-924.319	-806.017	-804.893	6.251  
46 	100  	-871.905	-805.84 	-804.796	4.62745
47 	100  	-869.891	-805.866	-804.796	4.35717
48 	100  	-897.508	-806.186	-804.319	6.84144
49 	100  	-920.243	-806.238	-804.319	7.91887
50 	100  	-1073.46	-806.354	-804.319	13.2474
51 	100  	-907.465	-806.392	-804.319	7.61988
52 	100  	-1488.96	-807.18 	-804.319	31.4425
53 	100  	-859.025	-805.351	-804.319	3.77625
54 	100  	-836.887	-805.101	-804.097	3.0716 
55 	100  	-838.052	-804.907	-803.495	2.80121
56 	100  	-850.191	-804.797	-803.495	3.30096
57 	100  	-1015.46	-805.551	-803.495	11.0373
58 	100  	-897.93 	-804.76 	-802.921	4.63327
59 	100  	-830.319	-804.573	-802.921	2.5114 
60 	100  	-864.115	-804.47 	-802.921	3.49575
61 	100  	-1027.44	-805.119	-802.921	13.8822
62 	100  	-823.559	-803.832	-802.796	2.07164
63 	100  	-850.097	-803.953	-802.796	3.37285
64 	100  	-897.231	-803.956	-802.796	6.29601
65 	100  	-838.388	-803.352	-802.796	2.34442
66 	100  	-838.506	-803.514	-802.796	3.32752
67 	100  	-878.313	-804.087	-802.796	6.69399
68 	100  	-859.509	-803.666	-802.699	4.80734
69 	100  	-919.315	-803.675	-802.699	7.52026
70 	100  	-858.928	-803.291	-802.699	3.06404
71 	100  	-887.449	-803.586	-802.699	5.15372
72 	100  	-999.794	-803.882	-802.699	11.444 
73 	100  	-828.252	-803.232	-802.699	2.23682
74 	100  	-1083.94	-804.191	-802.699	14.3241
75 	100  	-877.205	-803.562	-802.699	5.50214
76 	100  	-832.194	-803.131	-802.097	2.47254
77 	100  	-869.74 	-803.147	-802.097	3.72616
78 	100  	-856.635	-803.415	-802.097	4.42835
79 	100  	-871.678	-803.204	-802.097	4.12642
80 	100  	-868.45 	-803.161	-802.097	4.2926 
81 	100  	-844.997	-802.923	-802.097	2.84924
82 	100  	-935.389	-803.176	-802.097	8.57315
83 	100  	-849.398	-802.688	-802.097	3.13691
84 	100  	-857.627	-802.513	-802.097	3.12451
85 	100  	-869.252	-802.916	-802.097	5.23594
86 	100  	-834.553	-802.518	-802.097	2.25706
87 	100  	-845.764	-802.712	-802.097	3.16948
88 	100  	-872.234	-802.875	-802.097	4.29602
89 	100  	-813.658	-802.303	-802.097	1.07118
90 	100  	-953.506	-803.031	-802.097	7.62143
91 	100  	-929.476	-803.024	-802.097	7.45982
92 	100  	-859.15 	-802.675	-802.097	3.56024
93 	100  	-814.87 	-802.369	-802.097	1.28943
94 	100  	-959.89 	-803.104	-802.097	7.84209
95 	100  	-944.933	-802.812	-802.097	6.89082
96 	100  	-826.951	-802.52 	-802.097	2.11041
97 	100  	-2467.18	-806.366	-802.097	74.7102
98 	100  	-943.936	-803.186	-802.097	9.48692
99 	100  	-830.143	-802.49 	-802.097	2.07219
gen	depth	min     	avg     	max     	std     
0  	100  	-1350.32	-915.737	-828.989	70.7719 
1  	100  	-1065.65	-869.35 	-828.989	28.2995 
2  	100  	-1012.03	-852.094	-823.328	15.7692 
3  	100  	-989.312	-843.225	-821.303	12.4915 
4  	100  	-1513.01	-839.027	-821.303	34.5439 
5  	100  	-953.768	-832.988	-821.19 	9.40925 
6  	100  	-1112.41	-832.483	-818.412	25.9539 
7  	100  	-863.124	-826.663	-816.889	4.57443 
