gen	time   	min     	avg     	max     	std     
0  	4.39515	-990.968	-833.523	-807.717	23.5635 
1  	6.49065	-913.732	-819.779	-805.893	9.94562 
2  	8.57661	-913.331	-814.09 	-804.62 	6.43401 
3  	10.7268	-870.137	-810.987	-804.62 	4.46645 
4  	12.9323	-817.416	-808.842	-804.444	1.95265 
5  	15.036 	-845.059	-807.623	-803.62 	2.56096 
6  	17.1991	-835.018	-806.405	-803.62 	2.24994 
7  	19.2959	-838.796	-805.679	-803.097	2.77471 
8  	21.4524	-816.292	-804.854	-803.097	1.0904  
9  	23.5546	-832.003	-804.554	-803.097	1.63363 
10 	25.681 	-833.402	-804.324	-803.097	1.98972 
11 	27.8265	-818.818	-803.905	-802.921	1.12006 
12 	29.9727	-819.377	-803.761	-802.222	1.66021 
13 	32.1371	-904.67 	-803.773	-801.523	5.51791 
14 	34.2948	-851.967	-803.566	-801.523	3.2102  
15 	36.4203	-841.029	-803.252	-801.523	1.917   
16 	38.4916	-837.651	-803.166	-801.523	1.96161 
17 	40.5812	-816.991	-802.855	-801.523	0.918188
18 	42.761 	-813.284	-802.641	-801.523	0.915163
19 	44.8634	-831.879	-802.522	-801.523	1.96815 
20 	46.9697	-816.745	-802.302	-801.523	1.15197 
21 	49.0323	-822.319	-802.381	-801.523	1.92368 
22 	51.199 	-816.444	-801.949	-801.523	1.08182 
23 	53.3324	-850.276	-802.048	-801.523	2.90169 
24 	55.4238	-835.83 	-801.837	-801.523	2.14267 
25 	57.5142	-849.284	-801.902	-801.523	2.96163 
26 	59.6387	-825.807	-801.82 	-801.523	1.69182 
27 	61.7785	-876.102	-802.326	-801.523	6.25203 
28 	63.8837	-863.879	-801.962	-801.523	3.7864  
29 	66.0202	-836.288	-801.748	-801.523	2.16724 
30 	68.1292	-826.252	-801.81 	-801.523	1.93495 
31 	70.2848	-899.69 	-802.035	-801.523	4.99023 
32 	72.4177	-833.69 	-801.866	-801.523	2.49057 
33 	74.5028	-811.319	-801.735	-801.523	0.907141
34 	76.5885	-845.027	-801.733	-801.523	2.0377  
35 	78.6912	-807.495	-801.673	-801.523	0.665039
36 	80.7694	-816.721	-801.727	-801.523	1.23082 
37 	82.9245	-817.42 	-801.751	-801.398	1.2394  
38 	85.0753	-855.936	-801.839	-801.398	2.70695 
39 	87.192 	-816.292	-801.799	-801.398	1.44468 
40 	89.3192	-848.991	-801.826	-801.398	2.64451 
41 	91.3312	-835.131	-801.831	-801.398	2.36741 
42 	93.4611	-820.076	-801.643	-801.398	1.32698 
43 	95.5778	-811.854	-801.614	-801.398	1.04003 
44 	97.6817	-868.553	-801.938	-801.398	4.4895  
45 	99.7954	-903.381	-801.856	-801.398	4.90293 
46 	101.973	-876.801	-801.84 	-801.398	3.94673 
47 	104.157	-814.495	-801.541	-801.398	0.928979
48 	106.276	-816.444	-801.582	-801.398	1.2429  
49 	108.381	-840.076	-801.643	-801.398	2.12443 
50 	110.514	-818.678	-801.634	-801.398	1.40468 
51 	112.611	-838.097	-801.675	-801.398	2.15298 
52 	114.771	-823.585	-801.624	-801.398	1.5657  
53 	116.853	-840.076	-801.805	-801.398	2.7316  
54 	118.935	-866.565	-801.911	-801.398	3.79475 
55 	121.021	-810.357	-801.529	-801.398	0.72791 
56 	123.166	-839.086	-801.681	-800.699	2.18792 
57 	125.318	-822.319	-801.714	-800.699	1.79716 
58 	127.381	-880.78 	-801.735	-800.699	3.77111 
59 	129.505	-839.086	-801.792	-800.699	3.25769 
60 	131.566	-849.398	-801.595	-800.699	2.34543 
61 	133.723	-817.42 	-801.528	-800.699	1.36052 
62 	135.833	-818.119	-801.289	-800.699	1.08582 
63 	137.965	-917.322	-801.304	-800.699	5.27319 
64 	140.17 	-844.036	-800.948	-800.699	2.20971 
65 	142.31 	-822.79 	-801.01 	-800.699	1.93371 
66 	144.424	-813.796	-800.913	-800.699	1.22813 
67 	146.491	-836.119	-800.966	-800.699	2.20827 
68 	148.646	-813.252	-800.918	-800.699	1.17612 
69 	150.787	-906.662	-801.182	-800.699	5.06913 
70 	152.872	-806.097	-800.776	-800.699	0.468674
71 	154.927	-879.086	-800.999	-800.699	3.65194 
72 	156.978	-883.764	-800.976	-800.699	3.79565 
73 	159.079	-808.959	-800.793	-800.699	0.562585
74 	161.172	-810.398	-800.766	-800.699	0.580679
75 	163.234	-884.06 	-800.989	-800.699	3.81532 
76 	165.292	-809.398	-800.816	-800.699	0.719927
77 	167.379	-833.444	-801.11 	-800.699	2.95794 
78 	169.564	-808.959	-800.802	-800.699	0.626149
79 	171.663	-820.517	-800.961	-800.699	1.56011 
80 	173.786	-821.337	-800.919	-800.699	1.45411 
81 	175.879	-818.678	-800.922	-800.699	1.33872 
82 	177.923	-811.854	-800.848	-800.699	0.846683
83 	180.037	-814.495	-800.878	-800.699	1.09548 
84 	182.138	-808.699	-800.802	-800.699	0.630374
85 	184.193	-804.921	-800.769	-800.699	0.386798
86 	186.341	-864.873	-801.091	-800.699	4.04596 
87 	188.415	-824.569	-800.929	-800.699	1.59119 
88 	190.516	-833.155	-800.979	-800.699	2.1225  
89 	192.615	-809.921	-800.81 	-800.699	0.682104
90 	194.69 	-812.553	-800.828	-800.699	0.82933 
91 	196.823	-815.745	-800.883	-800.699	1.22351 
92 	198.943	-804.222	-800.777	-800.699	0.381281
93 	200.989	-814.076	-800.85 	-800.699	1.03924 
94 	203.05 	-820.638	-800.87 	-800.699	1.23977 
95 	205.14 	-885.881	-801.098	-800.699	4.05236 
96 	207.233	-870.836	-801.168	-800.699	3.8932  
97 	209.379	-848.991	-800.931	-800.699	2.29262 
98 	211.415	-812.284	-800.798	-800.699	0.817498
99 	213.51 	-824.569	-800.868	-800.699	1.37492 
gen	time   	min     	avg     	max     	std     
0  	5.77132	-993.544	-835.801	-803.921	26.675  
1  	7.8528 	-979.599	-820.049	-803.921	12.4699 
