ngen	time   	min     	avg     	max     	std    
    	14.5317	-75825.8	-65892.9	-56464.4	3260.03
    	19.3183	-74412.6	-64702.8	-52425.8	3535.16
    	23.8708	-73317.8	-63894.5	-52425.8	3407.94
    	28.9893	-71155.7	-63537.8	-52425.8	2923.82
    	34.0668	-72058.4	-63483.3	-52425.8	3044.89
    	38.6681	-72754.9	-64275.7	-52425.8	3772.96
    	43.3503	-75148.7	-64627.6	-52425.8	3697.65
    	47.9548	-74972.7	-64361.3	-52425.8	3628.93
    	52.5718	-74363.2	-64783.3	-52425.8	3704.19
    	57.6146	-74743.7	-65282  	-52425.8	3611.09
    	62.5027	-75563.4	-66737.5	-52425.8	3943.15
    	67.3116	-74109.4	-65204.6	-52425.8	3798.52
    	72.6214	-77504  	-67188.1	-52425.8	4147.9 
    	77.7948	-79630.4	-68386.9	-52425.8	4758.75
    	82.5146	-77088  	-67358.4	-52425.8	3748.44
    	87.7028	-79948.9	-68478.6	-52425.8	4517.42
    	92.6678	-78429.3	-67360.9	-52425.8	3808.97
    	97.3177	-76490.5	-67024.5	-52425.8	3770.93
    	102.108	-76097.4	-68387.1	-52425.8	3149.21
    	106.758	-75799.8	-66877.5	-52425.8	3072.22
    	111.714	-75904.2	-66304  	-52425.8	3233.04
    	116.866	-74722.7	-65587.9	-52425.8	2967.74
    	121.358	-77245.1	-69242.5	-52425.8	3445.07
    	126.349	-75192.5	-68333.8	-52425.8	2919.97
    	131.543	-77515  	-69601.7	-52425.8	4051.13
    	136.846	-78193.4	-69933.7	-52425.8	3557.68
    	141.924	-78217.9	-67434.1	-52425.8	3653.37
    	146.676	-77473.6	-69212.4	-52425.8	4105.44
    	151.919	-80674.2	-72635.2	-52425.8	4275.49
    	157.211	-74841.1	-67016.8	-52425.8	3145.47
    	162.242	-74904.1	-67935  	-52425.8	2968.96
    	167.35 	-82436.5	-70652.2	-52425.8	4115.9 
    	172.353	-76460.6	-67503.3	-52425.8	3357.76
    	177.586	-84193.3	-69646.7	-52425.8	4344.88
    	183.005	-76949.5	-68626.5	-52425.8	3100.29
    	188.098	-74715.8	-66092.1	-52425.8	2721.5 
    	193.399	-73844  	-67608.3	-52425.8	2679.06
    	198.254	-74738.7	-68005.5	-52425.8	3173.5 
    	203.387	-80850.1	-72011.8	-52425.8	3950.39
    	208.603	-78763.9	-68923.5	-52425.8	4464.23
    	213.659	-78082.6	-70560.7	-52425.8	3020.28
    	218.8  	-76285.1	-64751  	-52425.8	4087.21
    	223.434	-78541.4	-68590.6	-52425.8	3971.19
    	228.068	-80402.9	-69827.8	-52425.8	4915.16
    	232.527	-72380.6	-66450.9	-52425.8	2623.11
    	237.132	-74409.3	-67616.8	-52425.8	2566.34
    	242.071	-74783.9	-69156.4	-52425.8	2775.9 
    	246.603	-78217.4	-69350.4	-52425.8	3088.21
    	251.303	-80876.6	-73023.5	-52425.8	3381.82
    	255.861	-76381.2	-70123.1	-52425.8	3274.4 
    	260.568	-73637  	-67631  	-52425.8	2998.22
    	265.053	-73157  	-67309.3	-52425.8	2881.19
    	269.824	-76323.8	-69390.4	-52425.8	3247.37
    	274.769	-75314.1	-68225.8	-52425.8	2660.55
    	278.989	-73489.1	-64310.4	-52425.8	2964.52
    	283.543	-77974.1	-68416.5	-52425.8	3260.58
    	288.289	-76475.2	-71975.5	-52425.8	2572.86
    	292.871	-78961.1	-66982.2	-52425.8	2603.9 
    	297.637	-76331.3	-66743.6	-52425.8	2295.04
    	303.083	-74640.4	-67730.4	-52425.8	2658.74
    	308.099	-74498.5	-68878.7	-52425.8	2110.08
    	312.789	-75175  	-68392.8	-52425.8	2391.48
    	317.99 	-73919.7	-69953.8	-52425.8	1774.52
    	322.539	-76750  	-70113  	-52425.8	2843.53
    	327.434	-81492.8	-73466.8	-52425.8	2660   
    	331.896	-76784.2	-71631.4	-52425.8	2309.04
    	336.52 	-77800.8	-70329.3	-52425.8	3708.9 
    	341.614	-76872  	-70267.4	-52425.8	2756.63
    	346.387	-76118.8	-69977.5	-52425.8	2372.12
    	351.139	-81434.5	-66559.5	-52425.8	3028.61
    	356.527	-76973.8	-68411.8	-52425.8	2551.95
    	361.61 	-72998.6	-66669.5	-52425.8	2553.82
