ngen	time   	min     	avg     	max     	std    
0   	8.3302 	-2571.37	-1552.74	-1155.82	292.742
1   	10.9443	-2731.68	-1421.4 	-1102.08	232.254
2   	13.7738	-2373.33	-1399.03	-1102.08	255.619
3   	16.496 	-2613.11	-1434.99	-1095.19	293.617
4   	19.2626	-2596.11	-1388.27	-1095.19	261.654
5   	21.8301	-2591.28	-1564.22	-1095.19	388.099
6   	24.6378	-2699.03	-1537.09	-1095.19	349.124
7   	27.5467	-2625.96	-1545.25	-1095.19	360.955
8   	30.1424	-2802.85	-1578.11	-1095.19	349.356
9   	32.8268	-2698.74	-1614.34	-1095.19	354.323
10  	35.5175	-2727.95	-1636.61	-1095.19	349.577
11  	38.35  	-2767.71	-1586.11	-1095.19	354.329
12  	41.1897	-2458.65	-1462.39	-1071.09	244.261
13  	43.7989	-2643.18	-1512.95	-1071.09	335.309
14  	46.369 	-2518.38	-1667.37	-1071.09	356.533
15  	49.1087	-2341.27	-1480.74	-1071.09	222.395
16  	51.8157	-2712.7 	-1534.58	-1071.09	361.1  
17  	54.4792	-2701.36	-1606.09	-1071.09	254.334
18  	57.033 	-2645.02	-1614.6 	-1071.09	404.5  
19  	59.5831	-2794.67	-1675.49	-1071.09	478.441
20  	62.1071	-2447.58	-1409.74	-1071.09	234.023
21  	64.8567	-2504.48	-1516.91	-1071.09	183.342
22  	67.3988	-2541.33	-1580.68	-1071.09	172.55 
23  	69.9268	-1992.46	-1582.42	-1071.09	200.71 
24  	72.4936	-2416.19	-1574.47	-1071.09	230.226
25  	75.1412	-2318.31	-1539.31	-1071.09	197.889
26  	77.8627	-2636.7 	-1584.38	-1071.09	201.267
27  	80.5885	-2722.89	-1531.31	-1071.09	135.908
28  	83.472 	-2270.22	-1501.02	-1071.09	195.246
29  	86.2986	-2063.87	-1771.26	-1071.09	156.47 
30  	88.9832	-2641.17	-1458.57	-1071.09	183.93 
31  	91.6645	-2043.19	-1740.13	-1071.09	185.196
32  	94.352 	-2651.24	-1639.12	-1071.09	183.826
33  	96.9288	-2431.23	-1517.56	-1071.09	185.545
34  	99.5524	-2034.48	-1462.18	-1071.09	178.51 
35  	102.28 	-2310.25	-1470.37	-1071.09	174.651
36  	104.927	-2028.38	-1478.53	-1071.09	155.654
37  	107.685	-1975.6 	-1566.26	-1071.09	172.807
38  	110.257	-1829.93	-1547.27	-1071.09	108.428
39  	112.978	-2104.86	-1455.99	-1071.09	135.034
40  	115.612	-1912.75	-1516.56	-1071.09	201.631
41  	118.267	-1816.97	-1417.36	-1071.09	153.762
42  	120.997	-1884.98	-1527.69	-1071.09	200.449
43  	123.54 	-1964.45	-1536.03	-1071.09	203.095
44  	126.266	-1906.29	-1687.54	-1071.09	114.488
45  	128.919	-2336.38	-1633.23	-1071.09	158.982
46  	131.58 	-2064.72	-1552.8 	-1071.09	180.015
47  	134.495	-2596.16	-1554.08	-1071.09	142.091
48  	137.229	-2609.28	-1765.81	-1071.09	123.502
49  	139.849	-2911.22	-1808.7 	-1071.09	265.702
50  	142.456	-2765.77	-1819.45	-1071.09	140.743
51  	145.156	-2185.24	-1316.36	-1071.09	170.088
52  	147.957	-2717.71	-1510.84	-1071.09	221.782
53  	150.68 	-2582.37	-1457.74	-1071.09	135.172
54  	153.149	-1593.18	-1459.96	-1071.09	54.9072
55  	155.699	-1959.81	-1473.08	-1071.09	88.0465
56  	158.386	-2228.6 	-1341.92	-1071.09	68.1143
57  	161.009	-2280.55	-1410.95	-1071.09	215.427
58  	163.569	-2307.73	-1491.81	-1071.09	200.749
59  	166.45 	-2625.53	-1758.11	-1071.09	154.916
60  	169.068	-1813.65	-1541.05	-1071.09	181.998
61  	171.926	-1833.05	-1570.75	-1071.09	121.379
62  	174.644	-1832.26	-1729.78	-1071.09	107.848
63  	177.271	-1789.46	-1562.63	-1071.09	96.3993
64  	179.983	-2517.5 	-1548.35	-1071.09	151.536
65  	182.576	-1821.41	-1511.22	-1071.09	71.0689
66  	185.418	-1575.9 	-1408.64	-1071.09	65.222 
67  	188.235	-2638.15	-1714.73	-1071.09	183.396
68  	191.057	-2014.7 	-1783.49	-1071.09	108.533
69  	193.666	-1858.45	-1388.04	-1071.09	123.493
70  	196.384	-1771.74	-1580.21	-1071.09	81.9384
71  	199.151	-1779.1 	-1471.56	-1071.09	128.38 
72  	201.829	-1769.74	-1502.27	-1071.09	144.443
73  	204.417	-1652.17	-1533.92	-1071.09	83.2928
74  	207.088	-1621.43	-1389.38	-1071.09	70.273 
75  	209.799	-2416.13	-1679.84	-1071.09	145.952
76  	212.574	-2037.23	-1610.33	-1071.09	176.478
77  	215.45 	-2457.91	-1593.47	-1071.09	95.8572
78  	218.14 	-2535.64	-1680.99	-1071.09	153.473
79  	220.727	-1768.11	-1425.62	-1071.09	86.985 
80  	223.304	-1864.67	-1494.07	-1071.09	55.0731
81  	225.894	-1515.5 	-1290.34	-1071.09	73.95  
82  	228.692	-1588.72	-1454.57	-1071.09	74.3568
83  	231.472	-2267.93	-1473.8 	-1071.09	77.3909
84  	234.145	-1892.88	-1560.9 	-1071.09	171.038
85  	236.728	-1783.04	-1391.42	-1071.09	49.3206
86  	239.242	-1426.13	-1358.97	-1071.09	21.8131
87  	241.873	-1904.15	-1766.32	-1071.09	171.536
88  	244.655	-2557.29	-1597.09	-1071.09	109.91 
89  	247.301	-1629.98	-1288.44	-1071.09	56.5524
90  	250.127	-2502.36	-1317.16	-1071.09	58.6035
91  	252.789	-1790.43	-1546.53	-1071.09	81.4624
92  	255.442	-1689.04	-1594.71	-1071.09	64.4745
93  	258.041	-2653.7 	-1698.91	-1071.09	171.27 
94  	260.569	-2403.18	-1376.05	-1071.09	142.914
95  	263.123	-1894.57	-1629.9 	-1071.09	116.989
96  	265.948	-1683.7 	-1557.22	-1071.09	73.1381
97  	268.611	-1630.59	-1331.84	-1071.09	88.2345
98  	271.124	-2329.04	-1454.27	-1071.09	329.253
99  	273.89 	-2402.94	-1800.26	-1071.09	204.616
ngen	time   	min     	avg     	max     	std    
0   	8.3368 	-2705.3 	-1567.08	-1117.62	317.01 
1   	11.1431	-2504.14	-1494.96	-1117.62	319.766
2   	13.9952	-2528.87	-1435.54	-1117.62	296.294
3   	16.628 	-2627.28	-1537.24	-1117.62	382.409
4   	19.3161	-2499.92	-1512.26	-1117.62	264.461
5   	22.0322	-2709.65	-1529.52	-1117.62	326.611
6   	24.525 	-2537.92	-1525.2 	-1117.62	306.788
7   	27.3584	-2654.46	-1569.9 	-1117.62	362.417
