gen	depth	min     	avg     	max     	std    
   	25   	-2590.73	-1582.35	-1132.44	312.502
   	25   	-2685.91	-1469.04	-1125.57	276.065
   	25   	-2488.37	-1386.77	-1090.78	225.664
   	25   	-2549.36	-1451.92	-1030.22	320.438
   	25   	-2603.33	-1506.2 	-1030.22	344.458
   	25   	-2735.71	-1433.42	-1030.22	339.709
   	25   	-2565.34	-1503.62	-1030.22	330.982
   	25   	-2539.43	-1449.59	-1030.22	180.825
   	25   	-2501.37	-1533.22	-1030.22	278.496
   	25   	-2316.6 	-1479.22	-1030.22	189.065
   	25   	-2603.93	-1462.15	-1030.22	321.204
   	25   	-2673.21	-1464.82	-1030.22	266.962
   	25   	-2644.94	-1631.9 	-1030.22	267.217
   	25   	-2774.03	-1888.74	-1030.22	470.274
   	25   	-2828.52	-1808.49	-1030.22	406.17 
   	25   	-2737.66	-1805.35	-1030.22	456.198
   	25   	-2796.56	-1714.7 	-1030.22	365.183
   	25   	-2864.25	-1791.13	-1030.22	390.434
   	25   	-2762.92	-1692.09	-1030.22	431.51 
   	25   	-2787.25	-1658.77	-1030.22	447.306
   	25   	-2712.25	-1748.99	-1030.22	455.21 
   	25   	-2565.77	-1632.46	-1030.22	343.686
   	25   	-2510.27	-1479.92	-1030.22	245.437
   	25   	-2785.73	-1610.65	-1030.22	235.725
   	25   	-2812.58	-1623.23	-1030.22	190.955
   	25   	-2808.37	-1638.81	-1030.22	415.57 
   	25   	-2614.77	-1452.63	-1030.22	273.912
   	25   	-2653.8 	-1528.72	-1030.22	301.725
   	25   	-2709.09	-1710.31	-1030.22	383.83 
   	25   	-2576.6 	-1938.72	-1030.22	454.768
   	25   	-2829.39	-1689.55	-1030.22	437.364
   	25   	-2878.95	-2054.97	-1030.22	461.398
   	25   	-2661.4 	-1890.57	-1030.22	411.452
   	25   	-2577.36	-1530.37	-1030.22	240.895
   	25   	-2857.18	-1652.58	-1030.22	374.787
   	25   	-2463.49	-1598.58	-1030.22	197.375
   	25   	-2488.17	-1488.23	-1030.22	366.936
   	25   	-2804.38	-2277.55	-1030.22	397.408
   	25   	-2542.01	-1524.53	-1030.22	248.41 
   	25   	-2713.35	-1803.84	-1030.22	452.299
   	25   	-2834.32	-1748.65	-1030.22	268.716
   	25   	-2757.34	-2002.76	-1030.22	515.942
   	25   	-2499.56	-1464.52	-1030.22	259.07 
   	25   	-2732.7 	-1704.51	-1030.22	209.607
   	25   	-2782   	-2267.17	-1030.22	381.371
   	25   	-2570.83	-1749.22	-1030.22	217.966
   	25   	-2831.57	-1890.27	-1030.22	394.016
   	25   	-2468.1 	-1836.37	-1030.22	413.028
   	25   	-2607.75	-1675.61	-1030.22	416.443
   	25   	-2791.08	-1695.77	-1030.22	297.827
   	25   	-2794.57	-2076.23	-1030.22	519.659
   	25   	-2822.71	-2505.95	-1030.22	350.642
   	25   	-2731.89	-2067.09	-1030.22	406.367
   	25   	-2892.74	-2256.3 	-1030.22	390.67 
   	25   	-2758.17	-2023.66	-1030.22	400.88 
   	25   	-2438.05	-1669.8 	-1030.22	235.399
   	25   	-2445.52	-1728.09	-1030.22	381.128
   	25   	-3001.17	-2463.83	-1030.22	460.697
   	25   	-2822.09	-2360.07	-1030.22	221.991
   	25   	-2475.46	-1708.56	-1030.22	237.391
   	25   	-2923.41	-2303.31	-1030.22	299.301
   	25   	-2695.61	-2116.91	-1030.22	407.227
   	25   	-2609.57	-1642.43	-1030.22	399.857
   	25   	-2496.42	-1542.42	-1030.22	236.675
   	25   	-2399.06	-1565.17	-1030.22	188.385
   	25   	-2426.55	-1382.08	-1030.22	213.088
   	25   	-2624.17	-1765.7 	-1030.22	399.676
   	25   	-2651.31	-1913.03	-1030.22	463.3  
   	25   	-2915.27	-1990.97	-1030.22	459.367
   	25   	-2664.2 	-1514.1 	-1030.22	163.492
   	25   	-2828.1 	-2239.96	-1030.22	494.192
   	25   	-2688.79	-1455.76	-1030.22	245.056
   	25   	-2879.48	-1614.39	-1030.22	392.632
   	25   	-2785.97	-1804.68	-1030.22	343.096
   	25   	-2845.16	-2434.93	-1030.22	415.829
   	25   	-2904.81	-2279.23	-1030.22	383.999
   	25   	-2520.92	-1584.95	-1030.22	228.645
   	25   	-2678.47	-1626.12	-1030.22	388.577
   	25   	-2861.36	-2287.03	-1030.22	329.038
   	25   	-2827.21	-1924.83	-1030.22	407.656
   	25   	-2503.4 	-1679.29	-1030.22	140.917
   	25   	-2704.79	-1559.93	-1030.22	231.18 
   	25   	-1744.12	-1407.17	-1030.22	103.659
   	25   	-2735.79	-2408.5 	-1030.22	378.733
   	25   	-2561.33	-2136.47	-1030.22	184.753
   	25   	-2201.17	-1553.89	-1030.22	256.733
   	25   	-2768.42	-1613.24	-1030.22	315.904
   	25   	-2349.77	-2136.58	-1030.22	317.47 
   	25   	-2665.66	-2474.05	-1030.22	250.819
   	25   	-2588.23	-1800.93	-1030.22	464.427
   	25   	-2367.66	-1450.54	-1030.22	112.838
   	25   	-2486.7 	-2257.89	-1030.22	238.406
   	25   	-2836.99	-2407.2 	-1030.22	175.385
   	25   	-2783.81	-2342.28	-1030.22	351.224
   	25   	-2639.58	-1787.94	-1030.22	170.671
   	25   	-2640.71	-1714.51	-1030.22	123.73 
   	25   	-1792.61	-1481.73	-1030.22	70.8468
   	25   	-2526.21	-2305.65	-1030.22	277.401
   	25   	-2431.66	-2303.57	-1030.22	120.481
