ngen	time   	min     	avg     	max     	std    
0   	8.09151	-729.204	-645.18 	-580.106	22.782 
1   	10.914 	-698.73 	-634.88 	-578.102	20.0459
2   	13.5199	-706.571	-632.564	-578.102	24.2405
3   	16.2539	-701.059	-626.444	-578.102	20.6749
4   	18.8438	-711.543	-635.937	-574.367	25.0269
5   	21.5199	-705.853	-637.984	-558.554	26.2367
6   	24.0451	-718.174	-637.46 	-558.554	25.713 
7   	26.6285	-708.087	-638.374	-558.554	23.9033
8   	29.2181	-697.078	-637.196	-558.554	22.956 
9   	31.7449	-715.247	-637.118	-558.554	23.3246
10  	34.2992	-712.935	-638.794	-558.554	22.3151
11  	37.0919	-727.835	-647.553	-558.554	25.3883
12  	39.8198	-737.092	-655.737	-558.554	25.1296
13  	42.3836	-718.817	-652.355	-558.554	24.6814
14  	45.0526	-722.527	-650.914	-558.554	27.732 
15  	47.646 	-714.702	-645.567	-558.554	21.3699
16  	50.2926	-719.795	-645.458	-558.554	31.1151
17  	53.0816	-739.89 	-647.601	-558.554	25.5461
18  	55.7033	-738.329	-662.429	-558.554	29.1717
19  	58.2696	-728.444	-653.416	-558.554	26.8347
20  	60.8875	-740.423	-662.005	-558.554	28.8944
21  	63.5806	-725.455	-667.632	-558.554	27.0809
22  	66.0363	-728.389	-665.582	-558.554	25.5706
23  	68.6702	-752.657	-662.418	-558.554	27.2538
24  	71.3258	-725.597	-663.457	-558.554	22.672 
25  	74.1087	-730.96 	-663.381	-558.554	20.7621
26  	76.9817	-719.523	-658.727	-558.554	20.5148
27  	79.6299	-704.212	-655.229	-558.554	19.6997
28  	82.4275	-754.862	-660.159	-558.554	27.0238
29  	85.2045	-726.028	-669.619	-558.554	25.0072
30  	87.8965	-732.572	-654.242	-558.554	26.6024
31  	90.5828	-717.463	-648.502	-558.554	21.9359
32  	93.3263	-732.053	-672.673	-558.554	22.0918
33  	96.126 	-740.523	-668.413	-558.554	30.1684
34  	98.8822	-730.976	-676.903	-558.554	22.6573
35  	101.424	-745.964	-686.868	-558.554	24.5722
36  	104.122	-788.169	-710.85 	-558.554	32.7822
37  	106.863	-725.246	-661.003	-558.554	22.6529
38  	109.378	-708.259	-659.39 	-558.554	19.1892
39  	111.984	-728.986	-656.154	-558.554	23.8186
40  	114.661	-721.082	-660.544	-558.554	25.8888
41  	117.212	-716.062	-661.279	-558.554	21.6485
42  	119.973	-713.653	-668.558	-558.554	18.2792
43  	122.446	-740.838	-658.833	-558.554	22.5551
44  	125.063	-724.798	-659.418	-558.554	20.7678
45  	127.739	-726.17 	-665.469	-558.554	24.9793
46  	130.316	-741.515	-666.537	-558.554	26.5402
47  	132.961	-700.645	-650.918	-558.554	19.2757
48  	135.51 	-709.033	-626.446	-558.554	19.8134
49  	138.257	-711.739	-653.544	-558.554	22.3605
50  	140.74 	-712.233	-648.603	-558.554	24.834 
51  	143.438	-685.156	-623.804	-558.554	16.7739
52  	146.239	-728.768	-644.371	-558.554	20.8721
53  	148.669	-700.04 	-662.096	-558.554	22.0656
54  	151.232	-740.829	-678.08 	-558.554	23.3435
55  	153.825	-714.492	-654.217	-558.554	21.8743
56  	156.555	-734.728	-684.694	-558.554	23.8896
57  	158.939	-712.202	-671.739	-558.554	19.0936
58  	161.399	-695.834	-645.851	-558.554	16.0822
59  	164.064	-681.342	-656.266	-558.554	13.186 
60  	166.732	-707.409	-671.356	-558.554	14.7392
61  	169.366	-714.857	-660.915	-558.554	17.0964
62  	171.961	-710.056	-679.548	-558.554	17.4385
63  	174.478	-690.689	-642.478	-558.554	15.7945
64  	177.018	-723.598	-677.813	-558.554	17.1631
65  	179.535	-714.169	-675.523	-558.554	12.8188
66  	182.41 	-688.08 	-648.658	-558.554	11.1652
67  	184.84 	-709.835	-649.758	-558.554	13.4849
68  	187.325	-703.974	-661.071	-558.554	12.2592
69  	189.791	-677.892	-654.165	-558.554	8.94152
70  	192.332	-712.306	-687.077	-558.554	18.3796
71  	194.83 	-700.657	-640.848	-558.554	17.1978
72  	197.318	-705.829	-673.015	-558.554	20.7494
73  	199.804	-733.457	-703.214	-558.554	24.508 
74  	202.267	-713.251	-654.266	-558.554	17.9275
75  	204.869	-696.541	-666.902	-558.554	17.4044
76  	207.748	-729.864	-689.744	-558.554	17.3337
77  	210.119	-701.257	-636.15 	-558.554	23.0493
78  	212.718	-666.435	-635.599	-558.554	17.2169
79  	215.152	-707.65 	-618.047	-558.554	16.2918
80  	217.672	-696.55 	-644.579	-558.554	20.7692
81  	220.188	-717.492	-668.48 	-558.554	22.4334
82  	222.644	-692.959	-638.414	-558.554	12.446 
83  	225.327	-717.763	-661.337	-558.554	15.8149
84  	228.019	-679.374	-658.732	-558.554	9.15769
85  	230.553	-662.122	-630.501	-558.554	13.2512
86  	233.17 	-698.227	-659.145	-558.554	16.3238
87  	235.687	-694.593	-669.023	-558.554	14.9345
88  	238.342	-705.109	-655.037	-558.554	14.2009
89  	241.108	-715.687	-651.844	-558.554	13.2487
90  	243.681	-687.081	-653.603	-558.554	14.7433
91  	246.246	-677.783	-649.453	-558.554	12.798 
92  	248.838	-692.666	-660.166	-558.554	15.2952
93  	251.594	-720.69 	-662.416	-558.554	19.583 
94  	254.234	-694.047	-652.929	-558.554	14.7247
95  	256.813	-709.331	-667.909	-558.554	19.4869
96  	259.511	-680.182	-653.996	-558.554	12.8641
97  	262.206	-717.001	-689.595	-558.554	18.7027
98  	264.757	-700.165	-666.107	-558.554	13.2629
99  	267.34 	-714.055	-683.439	-558.554	16.3486
ngen	time   	min     	avg     	max     	std    
0   	8.01103	-708.667	-643.452	-578.957	22.454 
1   	10.6526	-706.959	-635.62 	-576.632	23.4787
2   	13.1778	-700.204	-631.167	-571.969	23.9732
3   	15.8038	-711.876	-628.881	-563.551	23.1189
4   	18.3154	-703.093	-627.862	-563.551	22.02  
5   	20.7294	-695.936	-628.302	-563.551	22.8303
6   	23.533 	-721.111	-645.01 	-563.551	28.9938
7   	26.0924	-717.729	-641.986	-563.551	25.6475
8   	28.7211	-692.948	-635.191	-563.551	22.2348
9   	31.5608	-703.783	-638.293	-563.551	23.3958
10  	34.1013	-727.266	-648.245	-563.551	35.0906
11  	36.9025	-731.405	-647.677	-563.551	30.3041
12  	39.6531	-755.165	-658.399	-563.551	29.9783
13  	42.3863	-722.057	-654.734	-563.551	28.6193
14  	45.0025	-740.437	-661.323	-563.551	27.2708
15  	47.6364	-746.162	-672.926	-563.551	34.9189
16  	50.4292	-757.239	-661.857	-563.551	30.1658
17  	52.951 	-751.273	-660.503	-563.551	37.9827
18  	55.7271	-742.274	-660.008	-563.551	26.9992
19  	58.5247	-724.344	-657.919	-563.551	22.4677
20  	61.2673	-738.055	-666.971	-563.551	25.7373
21  	63.8253	-744.668	-675.414	-563.551	30.6294
22  	66.4358	-735.695	-656.949	-563.551	27.8743
23  	69.0956	-723.611	-651.109	-563.551	24.4641
24  	71.5265	-740.505	-667.657	-563.551	26.5699
25  	74.1466	-767.193	-649.816	-563.551	39.0363
26  	76.7828	-735.95 	-664.25 	-563.551	23.1379
27  	79.3864	-741.557	-675.12 	-563.551	22.0388
28  	81.8692	-771.886	-701.704	-563.551	34.2594
29  	84.4341	-743.807	-683.679	-563.551	29.2964
30  	86.992 	-743.029	-682.184	-563.551	22.8812
31  	89.6896	-721.902	-646.849	-563.551	22.7434
32  	92.3056	-721.556	-670.271	-563.551	23.5094
33  	95.1717	-705.256	-636.704	-563.551	22.8677
34  	97.7085	-723.853	-657.961	-563.551	23.0527
35  	100.414	-761.99 	-693.395	-563.551	21.0153
36  	103.119	-704.128	-645.728	-563.551	19.4099
37  	105.876	-734.034	-688.81 	-563.551	31.0094
38  	108.356	-711.899	-639.267	-563.551	34.0275
39  	111.105	-735.969	-682.473	-563.551	28.6743
40  	113.652	-699.942	-657.043	-563.551	15.5696
41  	116.459	-717.342	-660.382	-563.551	21.7989
42  	119.018	-730.487	-680.428	-563.551	18.7232
43  	121.672	-691.965	-654.669	-563.551	19.127 
44  	124.437	-723.62 	-676.698	-563.551	19.337 
45  	126.904	-703.967	-670.816	-563.551	17.8174
46  	129.574	-732.593	-662.697	-563.551	19.1545
47  	132.068	-770.053	-728.696	-563.551	29.9487
48  	134.738	-744.152	-668.506	-563.551	21.7871
49  	137.425	-737.94 	-684.05 	-563.551	20.87  
50  	139.992	-713.686	-669.104	-563.551	14.8152
51  	142.624	-713.848	-667.97 	-563.551	16.2815
52  	145.157	-722.785	-659.805	-563.551	18.1744
53  	147.875	-704.459	-647.721	-563.551	17.4545
54  	150.394	-708.002	-680.794	-563.551	18.2719
55  	153.011	-700.488	-673.623	-563.551	14.3152
56  	155.847	-699.487	-658.138	-563.551	14.1731
57  	158.642	-692.699	-665.939	-563.551	16.3704
58  	161.379	-687.088	-658.049	-563.551	10.0499
59  	164.174	-737.409	-678.676	-563.551	17.3595
60  	166.939	-719.274	-662.007	-563.551	11.8295
61  	169.662	-699.53 	-665.506	-563.551	13.23  
62  	172.25 	-705.42 	-652.486	-563.551	11.8639
63  	174.814	-663.013	-626.019	-563.551	12.3677
