gen	depth	min     	avg     	max     	std    
   	25   	-717.29 	-645.051	-592.66 	21.6161
   	25   	-696.344	-633.383	-565.713	20.8003
   	25   	-690.894	-626.972	-565.713	21.1299
   	25   	-695.118	-631.229	-565.713	22.3921
   	25   	-704.332	-632.474	-565.713	24.0824
   	25   	-707.233	-634.139	-565.713	25.4943
   	25   	-739.723	-644.464	-565.713	29.4579
   	25   	-722.182	-637.231	-565.713	25.9856
   	25   	-702.02 	-641.952	-565.713	24.6774
   	25   	-712.234	-641.653	-565.713	25.6874
   	25   	-704.305	-643.06 	-565.713	24.6521
   	25   	-700.992	-637.936	-565.713	20.3456
   	25   	-731.688	-643.482	-562.786	26.5519
   	25   	-725.216	-644.187	-562.786	23.5544
   	25   	-721.017	-649.583	-562.786	22.1182
   	25   	-734.318	-657.654	-562.786	27.5659
   	25   	-734.963	-670.974	-562.786	27.6862
   	25   	-728.535	-655.647	-562.786	25.6661
   	25   	-748.785	-642.736	-552.407	29.3948
   	25   	-728.298	-655.997	-552.407	28.1028
   	25   	-726.748	-651.986	-552.407	24.1097
   	25   	-737.584	-667.635	-552.407	26.0081
   	25   	-721.297	-651.902	-552.407	21.726 
   	25   	-720.997	-653.976	-552.407	29.5965
   	25   	-728.504	-662.978	-552.407	29.5433
   	25   	-739.841	-639.503	-552.407	33.5803
   	25   	-728.83 	-654.709	-552.407	28.4896
   	25   	-758.931	-676.993	-552.407	34.4664
   	25   	-721.387	-660.796	-552.407	24.4461
   	25   	-763.329	-671.292	-552.407	27.6475
   	25   	-752.556	-677.281	-552.407	33.8366
   	25   	-746.409	-673.39 	-552.407	27.3872
   	25   	-741.936	-667.411	-552.407	26.5468
   	25   	-751.692	-663.465	-552.407	24.2269
   	25   	-736.538	-671.631	-552.407	24.6902
   	25   	-706.626	-645.002	-552.407	23.835 
   	25   	-749.151	-683.648	-552.407	33.0106
   	25   	-719.997	-643.57 	-552.407	25.3161
   	25   	-737.896	-669.197	-552.407	34.4082
   	25   	-747.25 	-677.398	-552.407	26.3245
   	25   	-709.093	-662.327	-552.407	19.4621
   	25   	-701.219	-644.114	-552.407	18.0161
   	25   	-686.664	-642.249	-552.407	19.868 
   	25   	-773.794	-677.031	-552.407	35.0184
   	25   	-726.88 	-658.126	-552.407	28.4869
   	25   	-685.58 	-627.25 	-552.407	21.4448
   	25   	-725.888	-661.726	-552.407	23.6049
   	25   	-715.285	-649.952	-552.407	30.2852
   	25   	-712.219	-674.083	-552.407	22.6431
   	25   	-725.169	-661.24 	-552.407	24.8611
   	25   	-711.141	-631.781	-552.407	19.2805
   	25   	-666.288	-619.986	-552.407	13.0062
   	25   	-720.972	-662.231	-552.407	24.8597
   	25   	-683.497	-639.606	-552.407	18.1487
   	25   	-707.409	-656.756	-552.407	23.3043
   	25   	-699.548	-652.579	-552.407	16.1291
   	25   	-730.513	-671.925	-552.407	20.6435
   	25   	-724.432	-678.07 	-552.407	18.5184
   	25   	-718.442	-681.703	-552.407	17.0465
   	25   	-732.017	-677.055	-552.407	19.9853
   	25   	-722.119	-649.362	-552.407	23.396 
   	25   	-683.313	-640.881	-552.407	16.8699
   	25   	-692.164	-655.643	-552.407	16.1928
   	25   	-740.406	-691.315	-552.407	21.7801
   	25   	-736.85 	-683.74 	-552.407	19.7834
   	25   	-690.319	-639.742	-552.407	15.9363
   	25   	-730.485	-698.656	-552.407	29.8927
   	25   	-716.534	-655.016	-552.407	23.0618
   	25   	-713.763	-666.982	-552.407	18.8006
   	25   	-689.051	-664.156	-552.407	10.563 
   	25   	-711.09 	-679.581	-552.407	17.0256
   	25   	-741.195	-672.857	-552.407	13.0429
   	25   	-696.593	-661.488	-552.407	16.7411
   	25   	-730.94 	-694.089	-552.407	18.809 
   	25   	-701.745	-653.525	-552.407	20.365 
   	25   	-745.096	-704.706	-552.407	23.6445
   	25   	-741.573	-695.143	-552.407	15.7163
   	25   	-718.209	-691.074	-552.407	14.8389
   	25   	-707.05 	-639.712	-552.407	27.3491
   	25   	-704.99 	-671.68 	-552.407	23.2086
   	25   	-723.957	-685.085	-552.407	20.1439
   	25   	-708.477	-646.77 	-552.407	16.1154
   	25   	-690.71 	-655.088	-552.407	14.3647
   	25   	-706.352	-637.928	-552.407	21.1819
   	25   	-711.616	-665.016	-552.407	19.1995
   	25   	-695.222	-657.363	-552.407	15.5178
   	25   	-709.25 	-650.779	-552.407	22.8117
   	25   	-689.578	-667.608	-552.407	16.0604
   	25   	-675.312	-648.91 	-552.407	10.4739
   	25   	-734.517	-699.597	-552.407	24.9298
   	25   	-716.793	-649.744	-552.407	21.9736
   	25   	-686.859	-640.378	-552.407	12.8319
   	25   	-685.564	-661.883	-552.407	14.3616
   	25   	-678.023	-622.426	-552.407	13.5938
   	25   	-700.667	-663.118	-552.407	25.1524
   	25   	-713.281	-688.193	-552.407	21.9925
   	25   	-717.417	-651.403	-552.407	19.0877
   	25   	-708.669	-682.456	-552.407	17.6194
   	25   	-688.43 	-640.769	-552.407	13.7313
   	25   	-715.029	-661.171	-552.407	14.2218
gen	depth	min     	avg     	max     	std    
   	25   	-718.636	-641.436	-583.74 	22.2465
   	25   	-693.044	-631.307	-583.74 	21.222 
   	25   	-681.96 	-626.773	-567.067	20.3163
   	25   	-705.719	-636.143	-567.067	24.9316
   	25   	-703.793	-640.724	-567.067	23.906 
   	25   	-697.853	-633.774	-567.067	21.1684
   	25   	-710.99 	-636.089	-567.067	24.5269
   	25   	-708.252	-638.236	-567.067	24.4372
   	25   	-708.686	-640.426	-567.067	22.8872
   	25   	-704.884	-647.158	-567.067	23.5459
   	25   	-723.882	-651.219	-567.067	25.3509
   	25   	-732.192	-647.785	-567.067	25.3539
   	25   	-713.769	-648.593	-567.067	22.9971
   	25   	-761.773	-657.029	-567.067	29.403 
   	25   	-727.645	-654.491	-567.067	25.9148
   	25   	-717.935	-653.845	-567.067	24.3494
   	25   	-711.215	-645.307	-567.067	23.0599
   	25   	-744.634	-662.428	-567.067	29.7073
   	25   	-742.503	-667.972	-567.067	27.9625
   	25   	-710.518	-641.016	-567.067	24.2826
   	25   	-710.517	-630.363	-547.975	32.1974
   	25   	-726.716	-665.85 	-547.975	33.5673
   	25   	-761.301	-680.458	-547.975	36.9897
   	25   	-737.97 	-665.624	-547.975	24.1829
   	25   	-746.062	-652.261	-547.975	27.3392
   	25   	-731.652	-658.076	-547.975	22.9732
   	25   	-718.767	-666.564	-547.975	23.3582
   	25   	-752.454	-676.864	-547.975	29.0859
   	25   	-735.148	-655.379	-547.975	26.8759
   	25   	-710.104	-657.47 	-547.975	20.7437
   	25   	-722.534	-672.022	-547.975	22.5837
   	25   	-715.374	-652.484	-547.975	23.6415
   	25   	-713.364	-660.98 	-547.975	21.796 
   	25   	-698.099	-651.416	-547.975	17.1589
   	25   	-695.658	-640.402	-547.975	15.8733
   	25   	-711.986	-664.857	-547.975	24.3135
   	25   	-741.299	-653.548	-547.975	21.6807
   	25   	-688.573	-641.8  	-547.975	15.6795
   	25   	-730.698	-640.771	-547.975	21.4935
   	25   	-701.906	-657.883	-547.975	20.4293
   	25   	-732.98 	-665.854	-547.975	22.9742
   	25   	-690.672	-643.379	-547.975	22.3439
   	25   	-703.662	-633.335	-547.975	17.5778
   	25   	-712.887	-657.998	-547.975	17.9684
   	25   	-678.449	-642.728	-547.975	14.4392
   	25   	-677.635	-631.931	-547.975	17.6656
   	25   	-722.376	-653.534	-547.975	25.3354
   	25   	-666.626	-633.589	-547.975	13.7177
   	25   	-691.646	-665.109	-547.975	18.9373
   	25   	-698.884	-638.705	-547.975	21.5733
   	25   	-664.752	-629.71 	-547.975	16.0119
   	25   	-710.205	-669.652	-547.975	25.0167
   	25   	-686.005	-645.421	-547.975	16.8626
   	25   	-718.505	-683.873	-547.975	20.9767
   	25   	-700.223	-650.674	-547.975	17.58  
   	25   	-668.07 	-633.404	-547.975	10.5872
   	25   	-684.057	-643.117	-547.975	15.0789
   	25   	-675.595	-625.041	-547.975	17.932 
   	25   	-678.206	-651.236	-547.975	16.9393
   	25   	-685.719	-643.928	-547.975	23.041 
   	25   	-716.465	-682.251	-547.975	18.9833
   	25   	-696.284	-659.597	-547.975	23.8367
   	25   	-692.354	-655.444	-547.975	16.6697
   	25   	-680.101	-641.207	-547.975	12.4375
   	25   	-705.28 	-651.91 	-547.975	19.9248
   	25   	-691.261	-652.655	-547.975	11.3317
   	25   	-686.718	-646.744	-547.975	12.8333
   	25   	-706.77 	-679.731	-547.975	18.2775
   	25   	-684.294	-646.994	-547.975	13.145 
   	25   	-660.276	-646.829	-547.975	10.5195
   	25   	-679.827	-639.285	-547.975	16.0438
   	25   	-715.174	-668.018	-547.975	20.6033
   	25   	-697.962	-642.162	-547.975	12.2435
