ngen	time   	min     	avg     	max     	std    
0   	10.2758	-810.703	-730.77 	-670.941	25.5279
1   	13.6692	-804.403	-719.006	-670.941	23.414 
2   	16.7939	-801.767	-715.356	-666.196	26.703 
3   	20.2274	-797.841	-716.646	-658.875	25.989 
4   	23.4335	-820.939	-726.116	-648.322	34.0113
5   	26.593 	-829.075	-735.457	-648.322	36.5283
6   	29.7053	-814.298	-725.943	-648.322	29.9745
7   	33.0265	-799.958	-722.502	-648.322	27.261 
8   	36.481 	-871.305	-733.379	-648.322	39.7399
9   	39.8029	-821.905	-725.577	-648.322	30.8173
10  	43.0672	-819.652	-732.845	-648.322	28.5688
11  	46.0755	-813.04 	-719.759	-648.322	28.1746
12  	49.183 	-836.043	-732.043	-648.322	34.001 
13  	52.6213	-835.143	-744.223	-648.322	37.1964
14  	55.7234	-824.523	-755.092	-648.322	32.2153
15  	59.1844	-798.978	-747.337	-648.322	23.3719
16  	62.4268	-815.012	-742.811	-648.322	25.6618
17  	65.9104	-823.793	-745.494	-648.322	31.3636
18  	69.0738	-820.79 	-740.138	-648.322	26.6066
19  	72.236 	-808.247	-735.373	-648.322	27.1759
20  	75.8049	-831.45 	-740.854	-648.322	25.8083
21  	79.0431	-803.148	-741.671	-648.322	27.8288
22  	82.3977	-822.381	-749.706	-648.322	34.103 
23  	85.6979	-803.58 	-738.659	-648.322	25.107 
24  	89.2013	-814.46 	-738.909	-648.322	29.3947
25  	92.7022	-808.251	-733.769	-648.322	28.6129
26  	95.8332	-805.945	-729.022	-648.322	25.8601
27  	99.181 	-818.527	-733.844	-648.322	22.0661
28  	102.64 	-816.724	-744.401	-648.322	33.5846
29  	106.034	-821.218	-740.89 	-648.322	28.1427
30  	109.266	-812.363	-730.387	-648.322	22.2017
31  	112.79 	-837.218	-766.617	-648.322	32.2932
32  	115.926	-819.85 	-751.786	-648.322	38.8923
33  	119.12 	-810.087	-739.84 	-648.322	29.2663
34  	122.305	-819.068	-738.087	-648.322	25.1704
35  	125.721	-830.047	-783.072	-648.322	32.2563
36  	128.873	-809.349	-760.369	-648.322	27.3358
37  	132.156	-784.274	-710.931	-648.322	20.8494
38  	135.321	-761.089	-697.271	-648.322	23.6627
39  	138.614	-807.901	-720.968	-648.322	31.0728
40  	141.95 	-810.414	-753.398	-648.322	31.4585
41  	145.121	-809.278	-753.091	-648.322	24.4748
42  	148.417	-826.388	-761.229	-648.322	34.0675
43  	151.557	-805.318	-747.005	-648.322	28.2187
44  	155.106	-783.171	-742.456	-648.322	19.0366
45  	158.457	-816.749	-785.991	-648.322	22.1413
46  	161.689	-800.593	-754.334	-648.322	22.2094
47  	165.214	-808.972	-736.056	-648.322	24.4555
48  	168.486	-801.156	-759.58 	-648.322	25.0143
49  	171.617	-803.517	-755.687	-648.322	23.1155
50  	174.875	-781.254	-722.992	-648.322	15.3044
51  	178.15 	-802.949	-756.799	-648.322	19.9569
52  	181.261	-808.333	-734.175	-648.322	14.1097
