gen	depth	min     	avg     	max     	std    
   	25   	-1234.91	-828.702	-702.502	122.057
   	25   	-1236.38	-804.328	-702.502	115.419
   	25   	-1223.99	-784.374	-702.502	89.643 
   	25   	-1211.14	-785.132	-702.502	97.3296
   	25   	-1236.34	-844.09 	-696.872	171.957
   	25   	-1235.13	-849.866	-696.872	158.613
   	25   	-1257.39	-943.229	-696.872	195.922
   	25   	-1257.21	-939.573	-696.872	195.34 
   	25   	-1239.1 	-840.741	-696.872	151.506
   	25   	-1280.17	-852.153	-696.872	155.527
   	25   	-1258.49	-909.026	-696.872	190.439
   	25   	-1280.1 	-1019.27	-696.872	213.196
   	25   	-1271.47	-918.981	-696.872	177.285
   	25   	-1250.78	-905.136	-696.872	167.588
   	25   	-1267.78	-967.08 	-696.872	205.539
   	25   	-1260.85	-853.916	-696.872	165.873
   	25   	-1244.71	-927.356	-696.872	173.527
   	25   	-1244.97	-837.739	-696.872	115.182
   	25   	-1246.58	-847.111	-696.872	110.222
   	25   	-1229.3 	-877.736	-696.872	99.1983
   	25   	-1233.11	-849.857	-696.872	140.543
   	25   	-1237.88	-990.983	-696.872	217.132
   	25   	-1248.81	-957.209	-696.872	217.215
   	25   	-1258.96	-892.148	-696.872	174.504
   	25   	-1253.97	-996.354	-696.872	205.128
   	25   	-1239.06	-881.764	-696.872	119.891
   	25   	-1272.45	-1059.88	-696.872	219.317
   	25   	-1225.75	-821.311	-696.872	66.081 
   	25   	-1261.39	-1017.9 	-696.872	212.677
   	25   	-1236.17	-980.183	-696.872	176.137
   	25   	-1220.93	-829.487	-696.872	108.714
   	25   	-1235.32	-810.004	-696.872	53.4577
   	25   	-1244.87	-1178.29	-696.872	114.267
   	25   	-1214.15	-848.441	-696.872	102.762
   	25   	-1215.46	-802.316	-696.872	64.9969
   	25   	-1231.3 	-795.51 	-696.872	93.8549
   	25   	-1272.69	-1206.74	-696.872	122.507
   	25   	-1242.05	-827.009	-696.872	90.1783
   	25   	-1255.79	-1088.37	-696.872	188.794
   	25   	-1263.58	-1208.33	-696.872	104.261
   	25   	-1258.5 	-865.854	-696.872	129.526
   	25   	-1230.71	-871.617	-696.872	124.655
   	25   	-1233.22	-1171.34	-696.872	106.437
   	25   	-1222.38	-850.288	-696.872	144.385
   	25   	-1230.17	-797.329	-696.872	73.9275
