ngen	time   	min     	avg     	max     	std    
0   	5.68341	-6001.58	-2777.27	-1405.8 	867.787
1   	7.58242	-5736.59	-2408.84	-1405.8 	738.04 
2   	9.25689	-5533.13	-2283.15	-1401.09	592.706
3   	10.876 	-5549.13	-2198.7 	-1401.09	649.439
4   	12.525 	-6476.78	-2175.06	-1349   	777.704
5   	14.304 	-5262.27	-2230.06	-1349   	782.212
6   	16.1864	-5122.58	-2533.35	-1349   	777.946
7   	17.9442	-5715.28	-2774.62	-1349   	1077.48
8   	19.7613	-5648.36	-2747.2 	-1349   	1052.72
9   	21.47  	-5729.57	-2946.91	-1349   	1208.5 
10  	23.175 	-5486.93	-2683.36	-1349   	806.084
11  	24.9108	-6089.93	-3195.53	-1349   	1018.3 
12  	26.6703	-6035.9 	-3127.99	-1349   	1010.3 
13  	28.4429	-5665.94	-3061.26	-1349   	963.5  
14  	30.0622	-6006.41	-2939.48	-1349   	1086.43
15  	31.6355	-6124.13	-3270.59	-1349   	1027.9 
16  	33.2418	-6489.06	-3110.91	-1349   	1057.98
17  	34.9315	-6554.83	-3367.34	-1349   	1145.86
18  	36.5638	-6334.4 	-3559.45	-1349   	1274.79
19  	38.3497	-6862.4 	-4360.57	-1349   	1384.09
20  	40.1227	-5963.88	-3306.87	-1349   	1167.43
21  	41.7414	-5534.56	-2966.25	-1349   	997.59 
22  	43.4506	-5832.86	-4063.7 	-1349   	1274.65
23  	45.0728	-6573.5 	-4222.21	-1349   	1318.26
24  	46.683 	-5660.79	-3098.83	-1349   	754.307
25  	48.4128	-6229.6 	-3635.42	-1349   	775.701
26  	50.0968	-6629.9 	-3916.27	-1349   	1318.29
27  	51.8288	-5613.99	-2711.18	-1349   	929.969
28  	53.4785	-6272.14	-4335.71	-1349   	1260.97
29  	55.1145	-5508.31	-4051.66	-1349   	952.588
30  	56.852 	-6042.57	-3211.49	-1349   	768.566
31  	58.5189	-5311.49	-2229.21	-1349   	791.892
32  	60.147 	-6017.05	-4180.37	-1349   	1144.14
33  	61.9333	-6710.62	-3501.13	-1349   	1124.9 
34  	63.677 	-5012.43	-2920.55	-1349   	1269.07
35  	65.4904	-5956.5 	-4710.24	-1349   	1240.27
36  	67.0818	-5711.77	-2895.29	-1349   	727.078
37  	68.8765	-5162.91	-3739.72	-1349   	961.617
38  	70.6907	-4313.32	-2276.06	-1349   	333.246
