gen	depth	min     	avg     	max     	std    
   	100  	-5815.53	-2662.58	-1509.22	758.17 
   	100  	-5247.21	-2417.07	-1476.95	697.092
   	100  	-5150.09	-2299.63	-1428.85	704.79 
   	100  	-4734.38	-2346.23	-1428.85	782.849
   	100  	-5959.59	-2308.94	-1428.85	765.279
   	100  	-5107.15	-2415.21	-1428.85	705.744
   	100  	-5316.63	-2391.81	-1428.85	808.579
   	100  	-5723.92	-2852.55	-1428.85	1161.14
   	100  	-6008.4 	-2634.72	-1428.85	913.201
   	100  	-6418.27	-2956.46	-1428.85	1166.66
   	100  	-5720.28	-2430.76	-1428.85	888.667
   	100  	-5559.37	-2638.22	-1428.85	879.117
   	100  	-6121.26	-3084.45	-1421.14	1331.24
   	100  	-5960.42	-2751.39	-1421.14	845.324
   	100  	-6029.84	-3323.27	-1421.14	1199.43
   	100  	-5859.34	-2941.13	-1421.14	897.961
   	100  	-6315.79	-3036.43	-1421.14	992.517
   	100  	-6419.35	-3020.63	-1421.14	1120.37
   	100  	-5892.56	-3322.46	-1421.14	1125.09
   	100  	-6096.1 	-2832.39	-1421.14	1016.87
   	100  	-6180.64	-3563.65	-1421.14	1274.4 
   	100  	-6222.17	-3501.46	-1421.14	1033.3 
   	100  	-6252.4 	-3432.29	-1407.09	1292.35
   	100  	-6803.36	-3554.64	-1407.09	1277.61
   	100  	-6440.78	-3971.13	-1407.09	1322.54
   	100  	-6181.9 	-3748.46	-1407.09	1043.79
   	100  	-6118.89	-4534.28	-1407.09	934.739
   	100  	-6276.3 	-4302.53	-1407.09	1117.12
   	100  	-5675.71	-3009.71	-1407.09	1194.39
   	100  	-5877.51	-2822.25	-1407.09	840.266
   	100  	-5973.77	-3511.28	-1407.09	827.939
   	100  	-5540.34	-3513.03	-1407.09	795.994
   	100  	-6106.49	-2954.61	-1407.09	860.08 
   	100  	-6359.01	-3293.16	-1407.09	885.982
   	100  	-5774.58	-3238.64	-1407.09	1067.4 
   	100  	-6563.7 	-3711.24	-1407.09	1343.4 
   	100  	-5781.55	-3961.52	-1407.09	1284.11
   	100  	-5737.99	-3956.11	-1407.09	994.346
   	100  	-5141.69	-2942.92	-1407.09	1325.68
   	100  	-5498.92	-2983.13	-1397.1 	1357.93
   	100  	-5810.16	-2834.91	-1397.1 	1116.7 
   	100  	-5920.24	-3746.11	-1397.1 	1236.76
   	100  	-5868.17	-2503.29	-1397.1 	770.63 
   	100  	-6356.04	-4182.17	-1397.1 	1441.22
   	100  	-6189.39	-3268.69	-1397.1 	653.879
   	100  	-6843.15	-4620.87	-1397.1 	1212.22
   	100  	-6117.08	-3776.95	-1397.1 	1057.7 
   	100  	-5212.95	-2579.24	-1397.1 	714.967
   	100  	-5685.29	-4619.74	-1397.1 	970.183
   	100  	-5736.13	-3884.32	-1397.1 	974.807
   	100  	-5465.65	-2829.08	-1397.1 	1086.63
   	100  	-6199.48	-2923.37	-1397.1 	1026.11
   	100  	-6435.33	-4007.5 	-1397.1 	1258.85
   	100  	-6724.6 	-5187.77	-1397.1 	1027.47
   	100  	-6845.03	-3612.88	-1397.1 	1208.17
   	100  	-4970.27	-3430.32	-1397.1 	412.369
   	100  	-4127.94	-2370.76	-1397.1 	676.146
   	100  	-5095.09	-3543.6 	-1397.1 	1144.02
   	100  	-6976.4 	-4667.16	-1397.1 	1466.82
   	100  	-6834.25	-4258.1 	-1397.1 	1395.54
   	100  	-6102.12	-5334.23	-1397.1 	795.166
   	100  	-6185.54	-4949.97	-1397.1 	499.074
   	100  	-5269.79	-2407.16	-1397.1 	732.398
   	100  	-6661.35	-3439   	-1397.1 	1020.42
   	100  	-6425.88	-4156.57	-1397.1 	1081.33
   	100  	-5831.83	-3195.1 	-1397.1 	1202.93
   	100  	-6129.65	-4088.41	-1397.1 	846.55 
   	100  	-6416.91	-5217.04	-1397.1 	748.702
   	100  	-5443.03	-2477.68	-1397.1 	783.053
   	100  	-5558.45	-2423.55	-1397.1 	780.044
   	100  	-3164.93	-2998.68	-1397.1 	287.673
   	100  	-3678.61	-3382.37	-1397.1 	245.743
   	100  	-5373.9 	-4588.71	-1397.1 	577.507
   	100  	-4783.14	-2634.19	-1397.1 	742.325
   	100  	-2674.7 	-1664.77	-1397.1 	312.492
   	100  	-5490.54	-3742.01	-1397.1 	650.018
   	100  	-5147.57	-2676.6 	-1397.1 	586.629
   	100  	-5146.63	-2652.8 	-1397.1 	281.52 
   	100  	-5395.87	-4987.12	-1397.1 	916.351
   	100  	-5353.1 	-2937.49	-1397.1 	756.78 
   	100  	-5146.61	-4330.15	-1397.1 	602.31 
   	100  	-4530.31	-2809.41	-1397.1 	495.344
   	100  	-3485.35	-2811.57	-1397.1 	443.646
   	100  	-5617.28	-5112.7 	-1397.1 	1029   
   	100  	-5698.91	-5455.57	-1397.1 	452.22 
   	100  	-5541.43	-4593.37	-1397.1 	373.003
   	100  	-4503.85	-2897.1 	-1397.1 	552.791
   	100  	-3836.54	-3592.49	-1397.1 	394.28 
   	100  	-4862.65	-3388.23	-1397.1 	1472.82
   	100  	-4809.85	-2584.96	-1397.1 	373.586
   	100  	-3688.25	-2703.6 	-1397.1 	206.444
   	100  	-4784.95	-4196.22	-1397.1 	646.104
   	100  	-4412.72	-2800.21	-1397.1 	397.157
   	100  	-6339.15	-5160.34	-1397.1 	1363.58
   	100  	-6335.84	-2144.32	-1397.1 	849.063
   	100  	-4375.46	-4104.18	-1397.1 	726.003
   	100  	-4330.34	-1967.33	-1397.1 	736.649
   	100  	-4860.74	-2560.69	-1397.1 	844.77 
   	100  	-4414.84	-3747.79	-1397.1 	686.059
   	100  	-5730.77	-3363.42	-1397.1 	1185.52
gen	depth	min     	avg     	max     	std    
   	100  	-5891.49	-2677.9 	-1446.66	844.285
   	100  	-5739.55	-2252.89	-1420.62	708.454
   	100  	-5254.36	-2216.54	-1415.31	855.374
   	100  	-4923.66	-2252.74	-1415.31	733.875
   	100  	-5532.33	-2526.71	-1415.31	1105.37
   	100  	-5086.48	-2300.04	-1415.31	861.076
   	100  	-5389.66	-2485.48	-1415.31	874.494
   	100  	-5529.09	-2527.93	-1408.54	1094.93
   	100  	-5654.96	-2550.08	-1406.59	1008.64
   	100  	-4796.53	-2393.83	-1406.59	861.752
   	100  	-5515.62	-2719.1 	-1406.59	1054.18
   	100  	-5423.26	-2721.77	-1406.59	1030.24
   	100  	-5731.77	-2680.63	-1406.59	1188.64
   	100  	-5852.61	-2921.79	-1406.59	1048.87
   	100  	-5474.41	-2317.43	-1406.59	650.803
