gen	depth	min     	avg     	max     	std    
   	60   	-840.035	-742.35 	-661.437	34.2486
   	60   	-832.736	-727.932	-639.813	30.4994
   	60   	-825.341	-721.613	-639.813	30.9089
   	60   	-820.047	-729.748	-639.813	32.7899
   	60   	-858.831	-741.562	-639.813	42.2055
   	60   	-842.505	-739.13 	-639.813	37.4466
   	60   	-831.313	-727.605	-637.211	34.6859
   	60   	-843.668	-746.717	-637.211	40.3383
   	60   	-823.328	-732.233	-637.211	33.1965
   	60   	-825.313	-732.581	-637.211	33.2919
   	60   	-826.899	-724.967	-637.211	30.9572
   	60   	-843.541	-742.466	-637.211	41.6456
   	60   	-823.492	-728.102	-637.211	35.4897
   	60   	-817.464	-741.046	-637.211	29.1876
   	60   	-846.353	-747.271	-637.211	34.8102
   	60   	-858.186	-758.946	-637.211	41.6674
   	60   	-845.023	-744.204	-637.211	37.1359
   	60   	-877.644	-763.625	-637.211	43.265 
   	60   	-848.147	-768.234	-637.211	29.7991
   	60   	-902.009	-809.451	-637.211	34.7816
   	60   	-855.978	-779.027	-637.211	31.5961
   	60   	-907.804	-809.873	-637.211	48.5108
   	60   	-853.354	-767.503	-637.211	31.4544
   	60   	-905.593	-780.052	-637.211	40.2599
   	60   	-849.114	-762.77 	-637.211	39.5807
   	60   	-851.978	-770.526	-637.211	33.6905
   	60   	-867.255	-768.252	-637.211	41.6014
   	60   	-871.389	-767.447	-637.211	39.8168
   	60   	-868.186	-769.566	-637.211	37.5594
   	60   	-885.819	-775.822	-637.211	38.1556
   	60   	-856.366	-786.72 	-637.211	30.7104
   	60   	-870.222	-767.131	-637.211	37.2606
   	60   	-857.781	-770.852	-637.211	30.2604
   	60   	-869.751	-778.068	-637.211	35.4725
   	60   	-837.934	-763.753	-637.211	29.066 
   	60   	-858.309	-780.601	-637.211	33.4062
   	60   	-863.368	-788.526	-637.211	29.7886
   	60   	-885.536	-777.549	-637.211	48.1153
   	60   	-908.235	-771.248	-637.211	33.151 
   	60   	-876.558	-770.073	-637.211	39.7243
   	60   	-854.602	-761.533	-637.211	30.4253
   	60   	-863.276	-761.271	-637.211	27.416 
   	60   	-832.421	-724.24 	-637.211	32.2264
   	60   	-826.893	-758.721	-637.211	22.922 
   	60   	-843.13 	-804.403	-637.211	27.8394
   	60   	-867.52 	-813.792	-637.211	28.1093
   	60   	-870.794	-759.816	-637.211	37.604 
   	60   	-856.793	-788.644	-637.211	31.2812
   	60   	-805.695	-755.397	-637.211	20.3401
   	60   	-897.139	-796.392	-637.211	47.2838
   	60   	-856.476	-755.935	-637.211	24.3255
   	60   	-862.359	-804.399	-637.211	32.0256
   	60   	-903.839	-829.444	-637.211	35.078 
   	60   	-913.346	-835.279	-637.211	23.2859
   	60   	-845.895	-754.427	-637.211	32.3629
   	60   	-790.508	-735.042	-637.211	14.7573
   	60   	-867    	-806.052	-637.211	30.5073
   	60   	-824.007	-723.327	-637.211	25.7348
   	60   	-857.403	-774.881	-637.211	30.757 
   	60   	-839.114	-796.179	-637.211	20.4531
   	60   	-813.412	-702.182	-637.211	32.8509
   	60   	-799.697	-737.124	-637.211	24.1369
   	60   	-783.792	-738.05 	-637.211	24.2703
   	60   	-868.836	-817.953	-637.211	34.637 
   	60   	-833.266	-767.129	-637.211	19.1595
   	60   	-872.047	-827.584	-637.211	30.4656
   	60   	-843.812	-767.296	-637.211	21.2777
   	60   	-838.553	-782.921	-637.211	20.9613
   	60   	-786.694	-720.094	-637.211	20.824 
   	60   	-827.844	-801.696	-637.211	25.6727
   	60   	-812.842	-753.279	-637.211	19.9553
   	60   	-832.739	-774.353	-637.211	20.8078
   	60   	-846.506	-810.89 	-637.211	30.4053
   	60   	-835.187	-736.893	-637.211	23.6742
   	60   	-833.557	-775.424	-637.211	31.3015
   	60   	-788.724	-726.208	-637.211	18.3044
   	60   	-843.017	-791.663	-637.211	29.0775
   	60   	-808.084	-768.257	-637.211	20.6185
   	60   	-812.743	-750.21 	-637.211	22.2804
   	60   	-891.178	-828.858	-637.211	46.5878
   	60   	-864.559	-766.627	-637.211	24.4326
   	60   	-774.928	-742.061	-637.211	12.9604
   	60   	-885.601	-843.719	-637.211	38.1355
   	60   	-866.335	-786.513	-637.211	29.0165
   	60   	-854.422	-819.383	-637.211	25.5287
   	60   	-831.573	-791.832	-637.211	17.5343
   	60   	-831.225	-791    	-637.211	16.4571
   	60   	-829.334	-781.92 	-637.211	14.4971
   	60   	-791.515	-739.717	-637.211	21.024 
   	60   	-829.875	-784.338	-637.211	26.588 
   	60   	-874.257	-833.218	-637.211	30.2971
   	60   	-848.753	-765.338	-637.211	23.5296
   	60   	-772.15 	-736.905	-637.211	13.2593
   	60   	-864.64 	-815.63 	-637.211	33.6844
   	60   	-841.42 	-773.111	-637.211	24.1123
   	60   	-839.523	-776.672	-637.211	20.5705
   	60   	-843.516	-769.077	-637.211	21.1285
   	60   	-803.958	-755.891	-637.211	14.7084
   	60   	-767.01 	-691.696	-637.211	18.8918
   	60   	-763.059	-735.441	-637.211	20.88  
gen	depth	min     	avg     	max     	std    
   	60   	-849.408	-747.956	-662.88 	31.2503
   	60   	-843.87 	-731.682	-646.542	29.2074
   	60   	-825.868	-719.842	-644.349	29.8371
   	60   	-800.851	-714.446	-644.349	27.6785
   	60   	-836.991	-717.29 	-635.365	30.9135
   	60   	-832.231	-732.077	-635.365	34.7652
   	60   	-850.166	-750.772	-635.365	42.7543
   	60   	-880.192	-752.392	-635.365	42.4411
   	60   	-842.569	-731.233	-635.365	34.0457
   	60   	-875.023	-752.255	-635.365	39.1978
   	60   	-875.771	-750.86 	-635.365	36.8747
   	60   	-843.715	-731.649	-635.365	35.8892
   	60   	-896.956	-765.217	-635.365	47.308 
   	60   	-877.208	-751.204	-635.365	34.0484
   	60   	-909.854	-780.284	-635.365	51.0653
   	60   	-866.171	-769.491	-635.365	39.3834
   	60   	-903.757	-787.979	-635.365	37.8659
   	60   	-851.728	-762.812	-635.365	29.6866
   	60   	-850.846	-749.181	-635.365	37.8873
   	60   	-874.173	-760.998	-635.365	36.1074
   	60   	-850.195	-753.452	-635.365	25.8317
   	60   	-854.825	-752.909	-635.365	38.7661
   	60   	-833.169	-742.072	-635.365	33.4398
   	60   	-838.351	-738.997	-635.365	24.9941
   	60   	-908.445	-833.059	-635.365	45.0845
   	60   	-882.33 	-783.254	-635.365	31.9122
   	60   	-864.891	-770.636	-635.365	26.488 
   	60   	-807.891	-754.012	-635.365	25.1153
   	60   	-872.586	-785.15 	-635.365	38.0022
   	60   	-851.921	-771.33 	-635.365	31.759 
   	60   	-891.276	-765.425	-635.365	34.9581
   	60   	-864.146	-769.015	-635.365	30.1675
   	60   	-932.118	-839.347	-635.365	43.2617
   	60   	-876.938	-810.782	-635.365	26.6806
   	60   	-911.455	-833.695	-635.365	29.2795
   	60   	-848.491	-799.379	-635.365	25.6808
   	60   	-832.927	-731.572	-635.365	33.5979
   	60   	-836.682	-774.751	-635.365	28.112 
   	60   	-887.542	-785.67 	-635.365	37.289 
   	60   	-899.172	-808.908	-635.365	37.4341
   	60   	-897.872	-827.662	-635.365	38.3854
   	60   	-916.076	-860.06 	-635.365	29.6713
   	60   	-878.528	-749.741	-635.365	36.8847
   	60   	-879.373	-792.916	-635.365	29.2836
   	60   	-878.671	-799.322	-635.365	31.922 
   	60   	-903.94 	-787.546	-635.365	32.2186
   	60   	-883.818	-757.464	-635.365	19.6252
   	60   	-858.036	-793.786	-635.365	28.4247
   	60   	-831.235	-759.885	-635.365	26.4475
   	60   	-870.318	-794.052	-635.365	35.5195
   	60   	-872.969	-803.268	-635.365	24.9145
   	60   	-873.08 	-786.37 	-635.365	25.3697
   	60   	-862.517	-762.715	-635.365	21.4968
   	60   	-873.843	-818.524	-635.365	34.9389
   	60   	-907.411	-809.018	-635.365	31.7849
   	60   	-845.733	-728.313	-635.365	27.1317
   	60   	-832.672	-762.554	-635.365	29.709 
   	60   	-816.041	-765.566	-635.365	22.172 
   	60   	-883.152	-825.922	-635.365	35.0704
   	60   	-839.28 	-764.583	-635.365	24.0741
   	60   	-797.656	-753.771	-635.365	17.802 
   	60   	-790.785	-733.176	-635.365	19.9221
   	60   	-826.546	-706.576	-635.365	16.9488
   	60   	-860.361	-780.926	-635.365	34.6921
   	60   	-856.809	-775.538	-635.365	23.6736
   	60   	-826.386	-711.437	-635.365	20.6042
   	60   	-824.116	-717.785	-635.365	15.4474
   	60   	-838.628	-793.311	-635.365	32.7413
   	60   	-838.628	-783.161	-635.365	18.4877
   	60   	-792.518	-738.599	-635.365	19.3126
   	60   	-835.289	-786.113	-635.365	21.3146
   	60   	-829.294	-788.548	-635.365	17.493 
   	60   	-867.028	-794.388	-635.365	20.1373
   	60   	-801.84 	-750.124	-635.365	14.5492
   	60   	-863.747	-820.943	-635.365	30.9988
   	60   	-836.319	-776.292	-635.365	24.5746
   	60   	-842.241	-759.901	-635.365	21.7318
   	60   	-915.81 	-800.982	-635.365	44.6971
   	60   	-899.329	-765.637	-635.365	22.935 
   	60   	-916.794	-838.698	-635.365	29.1299
   	60   	-937.455	-789.009	-635.365	24.2361
   	60   	-872.426	-743.676	-635.365	16.7404
   	60   	-934.923	-770.795	-635.365	20.831 
   	60   	-925.995	-800.819	-635.365	20.799 
   	60   	-853.983	-809.405	-635.365	15.309 
   	60   	-926.746	-831.721	-635.365	19.955 
   	60   	-857.473	-698.044	-635.365	42.296 
   	60   	-865.39 	-797.108	-635.365	40.5084
   	60   	-813.41 	-775.971	-635.365	19.0623
   	60   	-879.638	-775.43 	-635.365	14.3172
   	60   	-792.826	-733.104	-635.365	21.1391
   	60   	-895.862	-828.072	-635.365	40.7302
   	60   	-899.794	-793.083	-635.365	17.7784
   	60   	-907.416	-814.182	-635.365	17.2593
   	60   	-869.373	-773.723	-635.365	19.8835
   	60   	-900.81 	-832.848	-635.365	28.6793
   	60   	-848.819	-698.907	-635.365	45.2576
   	60   	-846.706	-720.393	-635.365	16.7535
   	60   	-858.501	-702.181	-635.365	18.0434
   	60   	-835.787	-814.017	-635.365	40.3472
gen	depth	min     	avg     	max     	std    
   	60   	-837.655	-744.905	-652.455	33.0909
   	60   	-849.172	-729.95 	-646.234	29.1554
   	60   	-822.287	-724.288	-646.234	29.7825
   	60   	-793.092	-716.317	-638.434	27.991 
   	60   	-807.202	-714.467	-638.434	29.2679
   	60   	-802.31 	-716.307	-638.434	29.7901
   	60   	-820.339	-727.408	-638.434	34.5948
   	60   	-864.392	-745.832	-638.434	40.4776
   	60   	-843.007	-740.107	-638.434	32.1341
   	60   	-850.577	-753.436	-638.434	36.7523
   	60   	-838.088	-749.991	-638.434	34.288 
   	60   	-842.966	-735.574	-638.434	40.0033
   	60   	-853.529	-758.098	-638.434	36.3104
   	60   	-866.246	-761.491	-638.434	37.8242
   	60   	-892.656	-769.822	-638.434	45.4853
   	60   	-908.883	-793.623	-638.434	43.9902
   	60   	-854.469	-754.443	-638.434	37.7537
   	60   	-847.522	-752.119	-638.434	35.273 
   	60   	-875.584	-782.294	-638.434	36.3761
   	60   	-894.031	-773.788	-638.434	41.1326
   	60   	-880.714	-778.906	-638.434	41.1766
   	60   	-859.361	-768.109	-638.434	38.5019
   	60   	-868.489	-754.746	-638.434	36.2314
   	60   	-882.968	-789.268	-638.434	43.3626
   	60   	-879.469	-769.382	-638.434	37.5565
   	60   	-883.502	-770.726	-638.434	35.99  
   	60   	-898.35 	-784.657	-638.434	41.9898
   	60   	-895.015	-793.579	-638.434	36.85  
   	60   	-880.076	-780.845	-638.434	25.6944
   	60   	-886.247	-797.586	-638.434	34.638 
   	60   	-864.871	-774.382	-638.434	31.1483
   	60   	-859.236	-774.028	-638.434	32.5008
   	60   	-859.736	-779.794	-638.434	39.3047
   	60   	-836.42 	-759.219	-638.434	32.9553
