ngen	time   	min     	avg     	max     	std    
0   	8.04905	-622.943	-568.561	-515.629	18.0636
1   	10.7151	-614.423	-558.231	-510.303	16.443 
2   	13.3482	-612.194	-555.18 	-510.303	14.892 
3   	16.1109	-605.553	-556.014	-510.303	15.9449
4   	18.6681	-624.203	-558.592	-507.693	21.5788
5   	21.2408	-599.521	-556.136	-507.693	17.5893
6   	23.9768	-621.685	-562.755	-507.693	24.083 
7   	26.6822	-608.359	-557.885	-507.693	19.0945
8   	29.3721	-611.483	-560.544	-507.693	17.3237
9   	32.1732	-646.079	-569.728	-507.693	23.1998
10  	34.8693	-623.663	-564.486	-507.693	17.8057
11  	37.4712	-649.448	-572.264	-507.693	22.9292
12  	40.0246	-636.476	-578.776	-507.693	21.0756
13  	42.5506	-638.337	-582.141	-507.693	21.411 
14  	45.3091	-636.052	-579.482	-507.693	21.7486
15  	47.9402	-643.12 	-580.652	-507.693	23.3124
16  	50.465 	-632.322	-577.366	-507.693	22.3274
17  	53.1848	-630.451	-578.977	-507.693	20.4692
18  	55.8254	-649.244	-595.415	-507.693	23.8561
19  	58.4237	-646.965	-584.661	-507.693	21.4658
20  	60.9653	-646.421	-589.277	-507.693	23.7981
21  	63.7426	-649.548	-582.457	-507.693	21.8955
22  	66.5249	-621.301	-566.418	-507.693	18.5355
23  	69.1289	-651.828	-599.365	-507.693	24.9522
24  	71.75  	-643.636	-595.107	-507.693	22.5543
25  	74.4121	-622.945	-577.386	-507.693	15.9174
26  	77.1105	-651.32 	-587.06 	-507.693	22.878 
27  	79.7645	-651.152	-596.16 	-507.693	22.96  
28  	82.2996	-642.708	-596.274	-507.693	19.9411
29  	85.0493	-641.117	-588.619	-507.693	21.6214
30  	87.3781	-644.152	-595.794	-507.693	25.305 
31  	90.0897	-615.708	-569.267	-507.693	16.1423
32  	92.672 	-630.755	-575.241	-507.693	19.7715
33  	95.345 	-632.808	-567.342	-507.693	20.7767
34  	97.7805	-628.926	-581.121	-507.693	19.6082
35  	100.505	-637.165	-584.813	-507.693	19.7659
36  	103.358	-635.369	-594.072	-507.693	17.8649
37  	106.065	-635.954	-584.36 	-507.693	15.7255
38  	108.745	-655.251	-594.963	-507.693	20.7809
39  	111.438	-639.401	-596.06 	-507.693	19.2663
40  	113.909	-627.836	-587.331	-507.693	15.2939
41  	116.325	-649.238	-594.576	-507.693	18.5215
42  	118.855	-644.143	-587.693	-507.693	21.0784
43  	121.514	-617.955	-569.834	-507.693	15.4423
44  	124.355	-620.814	-574.787	-507.693	18.3243
45  	126.966	-650.92 	-602.49 	-507.693	27.2486
46  	129.598	-644.453	-587.021	-507.693	21.3838
