ngen	time   	min     	avg     	max     	std    
0   	8.52754	-647.557	-590.914	-539.465	16.472 
1   	11.3221	-631.15 	-582.12 	-539.04 	16.2372
2   	14.1618	-633.663	-578.798	-539.04 	16.6607
3   	17.0701	-623.708	-577.918	-535.174	17.5589
4   	19.8912	-621.583	-572.499	-532.153	14.3975
5   	22.7145	-630.907	-581.799	-532.153	18.1831
6   	25.7677	-637.886	-580.575	-532.153	18.4701
7   	28.4735	-630.08 	-586.499	-532.153	18.1727
8   	31.5531	-636.205	-587.995	-532.153	17.3908
9   	34.4611	-642.628	-594.094	-532.153	17.8792
10  	37.4607	-636.973	-589.25 	-532.153	16.159 
11  	40.4995	-653.96 	-593.393	-532.153	19.9001
12  	43.2566	-633.717	-586.664	-532.153	19.2557
13  	46.0753	-650.491	-600.12 	-532.153	20.92  
14  	48.8439	-665.417	-594.176	-532.153	20.7654
15  	51.5895	-648.33 	-597.023	-532.153	18.7737
16  	54.5929	-650.422	-587.923	-532.153	21.1516
17  	57.5755	-628.533	-590.351	-532.153	17.2927
18  	60.4833	-631.387	-597.159	-532.153	16.2614
19  	63.385 	-654.282	-606.289	-532.153	19.8643
20  	66.2304	-635.76 	-593.598	-532.153	17.3486
21  	69.3327	-643.23 	-600.292	-532.153	17.3044
22  	72.2342	-647.447	-597.076	-532.153	18.0758
23  	75.0705	-685.329	-622.48 	-532.153	28.5729
24  	77.7743	-688.284	-607.367	-532.153	21.1082
25  	80.6443	-656.374	-603.491	-532.153	14.6875
26  	83.4586	-665.233	-611.391	-532.153	17.4246
27  	86.3051	-657.476	-614.578	-532.153	20.032 
28  	89.1031	-633.147	-588.325	-532.153	17.8625
29  	91.9411	-659.093	-604.659	-532.153	19.6249
30  	94.9658	-639.223	-590.389	-532.153	12.7869
31  	97.7826	-637.46 	-571.614	-521.174	16.6645
32  	100.765	-647.334	-596.153	-521.174	22.7319
33  	103.807	-643.847	-598.726	-521.174	15.4341
34  	106.525	-668.821	-597.049	-521.174	21.2287
35  	109.439	-654.606	-619.166	-521.174	21.0523
36  	112.294	-648.269	-611.878	-521.174	14.8591
37  	115.147	-640.79 	-596.185	-521.174	19.512 
38  	117.935	-670.482	-600.239	-521.174	22.5851
39  	120.73 	-652.557	-605.297	-521.174	18.7672
40  	123.395	-672.986	-620.807	-521.174	21.668 
41  	126.344	-663.599	-612.233	-521.174	15.2936
42  	129.236	-642.161	-602.407	-521.174	15.2281
43  	132.095	-672.804	-627.65 	-521.174	22.6044
44  	134.887	-651.86 	-615.823	-521.174	21.2889
45  	137.727	-662.94 	-610.184	-521.174	15.9304
46  	140.776	-666.434	-625.263	-521.174	17.7444
47  	143.749	-644.847	-596.133	-521.174	13.4357
48  	146.797	-636.696	-599.49 	-521.174	14.0956
49  	149.685	-679.923	-622.628	-521.174	23.1792
50  	152.65 	-636.513	-604.662	-521.174	13.187 
51  	155.656	-646.468	-612.135	-521.174	16.6203
52  	158.393	-657.018	-619.777	-521.174	16.8793
53  	161.292	-638.108	-609.324	-521.174	12.8274
54  	164.054	-649.292	-608.381	-521.174	14.6327
55  	166.748	-637.302	-604.191	-521.174	12.786 
56  	169.477	-647.888	-610.006	-521.174	19.6219
57  	172.378	-630.101	-580.189	-521.174	15.7858
58  	175.278	-626.235	-583.122	-521.174	13.3896
59  	178.138	-608.366	-580.601	-521.174	12.2321
60  	180.927	-635.752	-595.518	-521.174	14.9329
61  	183.91 	-639.401	-611.268	-521.174	15.8797
62  	186.742	-662.598	-626.549	-521.174	19.4885
63  	189.491	-644.69 	-600.244	-521.174	13.4725
64  	192.153	-636.49 	-601.586	-521.174	14.0437
65  	194.9  	-630.946	-598.719	-521.174	13.9059
66  	197.824	-667.36 	-636.165	-521.174	19.623 
67  	200.864	-651.467	-612.959	-521.174	15.3684
68  	203.889	-633.237	-603.263	-521.174	11.3953
69  	206.838	-613.79 	-576.846	-521.174	15.4447
70  	209.776	-643.942	-607.607	-521.174	18.7214
71  	212.905	-619.543	-587.424	-521.174	8.60011
72  	215.568	-622.437	-590.868	-521.174	13.7483
73  	218.488	-611.659	-581.605	-521.174	7.31127
74  	221.294	-623.153	-596.326	-521.174	12.0091
75  	224.141	-633.862	-609.093	-521.174	12.1448
76  	226.977	-617.584	-587.248	-521.174	9.95914
77  	229.952	-630.236	-599.685	-521.174	12.3799
78  	232.775	-625.752	-611.829	-521.174	9.50085
79  	235.686	-657.362	-629.56 	-521.174	16.1706
80  	238.5  	-650.062	-614.348	-521.174	13.7185
81  	241.319	-653.576	-621.585	-521.174	13.2026
82  	243.993	-630.319	-587.848	-521.174	10.5247
83  	246.887	-609.85 	-574.029	-521.174	7.82349
84  	249.723	-633.404	-612.591	-521.174	14.8895
85  	252.471	-658.655	-635.208	-521.174	14.6605
86  	255.168	-644.232	-594.045	-521.174	13.4394
87  	257.826	-619.036	-601.993	-521.174	8.05163
88  	260.708	-619.984	-604.779	-521.174	8.28165
89  	263.374	-610.634	-581.35 	-521.174	9.37766
90  	266.073	-617.31 	-596.922	-521.174	11.5825
91  	268.989	-633.568	-626.037	-521.174	11.7632
92  	271.866	-630.217	-608.521	-521.174	6.98709
93  	274.743	-653.891	-628.384	-521.174	17.9804
94  	277.411	-639.624	-585.282	-521.174	11.3814
95  	280.164	-630.971	-614.882	-521.174	14.3484
96  	282.993	-623.298	-607.747	-521.174	7.17539
97  	285.719	-610.462	-584.237	-521.174	9.91966
98  	288.757	-610.822	-600.356	-521.174	9.91755
99  	291.606	-611.613	-598.476	-521.174	9.9533 
