gen	depth	min     	avg     	max     	std    
   	60   	-698.674	-629.106	-573.266	21.1496
   	60   	-675.583	-618.661	-568.342	18.8445
   	60   	-689.667	-613.974	-568.342	18.3707
   	60   	-679.695	-615.129	-561.008	23.6649
   	60   	-690.62 	-612.04 	-561.008	22.2406
   	60   	-710.737	-622.032	-559.871	25.8697
   	60   	-708.251	-619.415	-559.871	25.6324
   	60   	-716.242	-622.772	-559.871	24.3333
   	60   	-692.448	-624.381	-559.871	19.0513
   	60   	-690.898	-626.903	-559.871	21.6976
   	60   	-700.182	-623.636	-559.871	22.5527
   	60   	-689.323	-624.845	-559.871	20.7378
   	60   	-710.736	-632.805	-559.871	26.4852
   	60   	-695.772	-616.165	-559.871	26.3919
   	60   	-687.471	-606.34 	-554.075	24.6582
   	60   	-689.311	-621.646	-554.075	24.2331
   	60   	-731.05 	-643.828	-554.075	30.6609
   	60   	-691.143	-633.035	-554.075	22.7263
   	60   	-748.182	-657.694	-554.075	34.3648
   	60   	-713.808	-645.39 	-554.075	26.2616
   	60   	-722.824	-654.234	-554.075	29.7742
   	60   	-709.347	-632.248	-554.075	23.2749
   	60   	-698.078	-629.525	-554.075	22.6625
   	60   	-695.438	-630.342	-554.075	20.9476
   	60   	-718.544	-651.139	-554.075	28.1269
   	60   	-693.012	-633.785	-554.075	22.8054
   	60   	-711.618	-660.43 	-554.075	26.405 
   	60   	-692.144	-642.725	-554.075	18.4813
   	60   	-698.842	-614.128	-554.075	22.5229
   	60   	-704.94 	-649.638	-554.075	21.94  
   	60   	-670.137	-630.828	-554.075	18.8535
   	60   	-716.852	-649.26 	-554.075	21.3608
   	60   	-713.042	-659.186	-554.075	17.0725
   	60   	-701.234	-641.054	-554.075	18.8646
   	60   	-705.633	-651.816	-554.075	14.4512
   	60   	-723.23 	-674.49 	-554.075	24.1005
   	60   	-687.916	-627.673	-554.075	18.9528
   	60   	-745.18 	-705.806	-554.075	33.4328
   	60   	-730.916	-688.327	-554.075	19.3915
   	60   	-703.197	-661.884	-554.075	13.4436
   	60   	-672.52 	-632.061	-554.075	17.5995
   	60   	-717.171	-665.696	-554.075	28.761 
   	60   	-682.943	-615.633	-554.075	18.0722
   	60   	-687.818	-630.384	-554.075	19.8914
   	60   	-729.186	-685.145	-554.075	27.0782
   	60   	-690.306	-638.671	-554.075	17.1029
   	60   	-686.546	-642.691	-554.075	17.86  
   	60   	-715.458	-670.148	-554.075	20.7692
   	60   	-679.332	-636.68 	-554.075	13.2275
   	60   	-747.323	-675.855	-554.075	30.4686
   	60   	-730.604	-677.94 	-554.075	28.3931
   	60   	-716.081	-671.547	-554.075	23.1782
   	60   	-723.892	-655.799	-554.075	25.8101
   	60   	-679.014	-612.326	-554.075	17.7554
   	60   	-691.323	-638.765	-554.075	15.8754
   	60   	-717.9  	-653.799	-554.075	26.4154
   	60   	-710.293	-667.627	-554.075	22.0354
   	60   	-679.547	-646.04 	-554.075	11.292 
   	60   	-727.039	-668.558	-554.075	21.4799
   	60   	-675.375	-634.114	-554.075	13.6942
   	60   	-687.955	-631.956	-554.075	18.2818
   	60   	-674.624	-622.391	-554.075	15.1915
   	60   	-716.598	-675.275	-554.075	18.3808
   	60   	-702.153	-644.732	-554.075	17.1097
   	60   	-706.209	-649.263	-554.075	16.7912
   	60   	-666.686	-634.887	-554.075	8.75648
   	60   	-665.862	-622.637	-554.075	11.8999
   	60   	-664.445	-603.349	-554.075	10.0701
   	60   	-670.892	-635.237	-554.075	16.1784
   	60   	-682.486	-645.576	-554.075	12.6391
   	60   	-653.587	-629.202	-554.075	7.99071
   	60   	-716.525	-669.408	-554.075	16.277 
   	60   	-669.797	-631.168	-554.075	12.0824
   	60   	-667.302	-635.333	-554.075	8.78967
   	60   	-673.948	-640.724	-554.075	11.2698
   	60   	-668.332	-655.725	-554.075	11.4634
   	60   	-724.59 	-702.921	-554.075	20.3722
   	60   	-712.65 	-650.272	-554.075	16.2196
   	60   	-675.497	-640.235	-554.075	10.3923
   	60   	-674.368	-650.105	-554.075	9.23161
   	60   	-654.436	-641.204	-554.075	6.22007
   	60   	-661.202	-653.995	-554.075	7.83029
   	60   	-657.08 	-641.999	-554.075	7.76913
   	60   	-693.945	-634.19 	-554.075	11.595 
   	60   	-666.557	-625.675	-554.075	7.49261
   	60   	-687.048	-669.849	-554.075	18.7499
   	60   	-698.114	-643.017	-554.075	11.0648
