ngen	time   	min     	avg     	max     	std    
0   	10.789 	-716.004	-673.375	-632.364	14.415 
1   	14.4209	-712.258	-666.328	-631.777	14.2038
2   	17.8418	-701.711	-663.004	-631.777	11.8718
3   	21.4831	-725.021	-668.419	-628.379	17.9697
4   	25.013 	-710.858	-666.75 	-628.379	15.8376
5   	28.5316	-708.518	-665.961	-627.709	14.2479
6   	32.1135	-711.587	-670.844	-627.709	14.8681
7   	35.6731	-718.041	-672.593	-627.709	14.4216
8   	38.9802	-725.428	-678.368	-624.212	16.9726
9   	42.5116	-722.073	-673.195	-624.212	16.3906
10  	45.9924	-724.044	-678.495	-624.212	18.1877
11  	49.5159	-727.25 	-683.604	-624.212	15.8077
12  	53.2526	-722.359	-685.89 	-624.212	14.1803
13  	56.5965	-740.957	-686.389	-624.212	17.0946
14  	60.1087	-725.282	-680.715	-624.212	15.2077
15  	63.5247	-723.043	-678.191	-624.212	16.1609
16  	66.9826	-722.105	-686.61 	-624.212	15.3169
17  	70.5146	-714.455	-680.717	-624.212	14.2684
18  	73.8505	-727.249	-678.631	-624.212	15.1394
19  	77.1699	-740.19 	-690.672	-624.212	20.8481
20  	80.7326	-720.179	-681.413	-624.212	15.4205
21  	84.2188	-715.245	-672.85 	-624.212	13.5261
22  	87.5628	-720.523	-667.359	-614.363	20.4699
23  	91.1807	-717.607	-680.057	-614.363	16.5759
24  	94.9301	-729.724	-681.236	-614.363	15.4089
25  	98.5494	-715.88 	-680.518	-614.363	12.795 
26  	102.021	-731.785	-691.078	-614.363	15.679 
27  	105.726	-718.972	-679.465	-614.363	15.6913
28  	109.305	-713.264	-670.141	-614.363	17.4337
29  	112.759	-713.361	-682.983	-614.363	14.882 
30  	116.363	-711.989	-671.259	-614.363	12.9474
31  	119.845	-709.036	-671.089	-614.363	13.7816
32  	123.243	-728.419	-686.895	-614.363	15.4594
33  	126.955	-710.86 	-678.158	-614.363	10.8902
34  	130.304	-714.714	-680.217	-614.363	12.7124
35  	133.847	-727.107	-688.484	-614.363	19.051 
36  	137.297	-710.694	-672.895	-614.363	12.0533
37  	140.945	-731.322	-676.259	-614.363	14.07  
38  	144.552	-717.753	-688.002	-614.363	16.1981
39  	147.885	-712.439	-690.437	-614.363	11.93  
40  	151.237	-725.55 	-699.303	-614.363	12.5886
41  	155.051	-727.857	-702    	-614.363	12.4782
42  	158.288	-726.313	-693.146	-614.363	14.1373
43  	161.973	-745.442	-704.772	-614.363	16.2254
44  	165.335	-714.853	-679.353	-614.363	11.4453
45  	169.106	-708.204	-673.741	-614.363	15.6542
46  	172.549	-721.604	-693.171	-614.363	15.5015
47  	176.249	-720.716	-694.161	-614.363	12.55  
48  	179.801	-721.671	-686.287	-614.363	8.06518
49  	183.282	-697.399	-667.22 	-614.363	9.83813
50  	186.822	-692.719	-665.331	-614.363	10.1383
51  	190.52 	-723.705	-698.386	-614.363	17.3868
52  	194.307	-708.532	-681.849	-614.363	7.67794
53  	197.739	-702.705	-676.068	-614.363	10.2627
54  	201.118	-702.451	-677.968	-614.363	10.7503
55  	204.383	-681.365	-661.926	-614.363	8.18276
56  	207.845	-700.207	-683.528	-614.363	10.9737
57  	211.109	-689.264	-660.756	-614.363	12.6478
58  	214.651	-707.934	-671.306	-614.363	11.7291
59  	217.9  	-705.887	-689.373	-614.363	12.5586
60  	221.43 	-719.035	-680.466	-614.363	14.4465
61  	224.726	-725.717	-684.163	-614.363	11.543 
62  	227.963	-705.327	-679.574	-614.363	8.44574
63  	231.65 	-729.541	-694.332	-614.363	9.29031
64  	235.386	-702.47 	-692.014	-614.363	6.71389
65  	239.089	-722.162	-692.681	-614.363	9.52552
66  	242.4  	-694.964	-660.643	-614.363	9.99497
67  	245.876	-703.245	-683.209	-614.363	11.7871
68  	249.474	-695.085	-677.986	-614.363	8.80699
69  	253.022	-716.201	-690.731	-614.363	13.3265
70  	256.541	-703.249	-684.734	-614.363	6.18674
71  	260.212	-692.076	-685.284	-614.363	4.91032
72  	263.338	-694.175	-684.878	-614.363	4.7765 
73  	266.576	-702.15 	-693.013	-614.363	6.76461
74  	269.84 	-698.226	-678.618	-614.363	7.51556
75  	273.394	-702.169	-690.79 	-614.363	7.44591
76  	277.009	-706.67 	-686.856	-614.363	5.7029 
77  	280.729	-709.908	-692.684	-614.363	10.5918
78  	284.186	-716.887	-702.685	-614.363	9.15513
79  	287.541	-703.272	-676.252	-614.363	8.09225
80  	291.008	-685.483	-660.952	-614.363	8.06546
81  	294.776	-692.18 	-675.924	-614.363	8.62841
82  	298.181	-676.589	-657.452	-614.363	6.89508
83  	301.576	-697.234	-668.263	-614.363	6.7287 
84  	305.165	-701.59 	-689.795	-614.363	9.19181
85  	308.833	-697.029	-692.661	-614.363	7.13354
86  	312.123	-714.661	-704.137	-614.363	8.01154
87  	315.419	-707.448	-670.123	-614.363	10.9078
88  	318.862	-671.735	-656.741	-614.363	4.75674
89  	322.336	-691.094	-682.934	-614.363	10.627 
90  	326.09 	-698.232	-687.279	-614.363	6.55746
91  	329.296	-689.161	-671.685	-614.363	6.04806
92  	332.585	-696.08 	-688.252	-614.363	7.55774
93  	335.932	-691.795	-648.058	-614.363	9.88042
94  	339.213	-702.688	-691.573	-614.363	17.4403
95  	342.448	-711.242	-705.678	-614.363	10.8187
96  	345.584	-711.242	-696.946	-614.363	8.66532
97  	349.032	-710.014	-704.804	-614.363	5.44813
98  	352.429	-707.938	-686.34 	-614.363	7.97175
99  	355.591	-707.268	-700.6  	-614.363	9.91377
ngen	time   	min     	avg     	max     	std    
0   	10.5667	-711.095	-670.55 	-629.537	14.294 
1   	13.927 	-703.161	-664.189	-627.671	12.4466
2   	17.29  	-708.846	-661.828	-627.671	13.1921
3   	20.6536	-721.27 	-666.019	-627.671	14.7166
4   	23.9724	-697.289	-661.95 	-627.671	12.1975
5   	27.6953	-705.594	-667.419	-627.671	13.8584
6   	31.114 	-709.08 	-669.103	-627.671	15.0568
7   	34.4588	-709.858	-668.248	-627.671	14.675 
8   	37.9125	-706.056	-670.032	-627.671	13.6789
9   	41.2961	-709.572	-670.747	-627.671	13.2778
10  	44.9882	-719.699	-673.481	-627.671	18.0188
11  	48.4701	-704.869	-667.419	-627.671	13.5679
12  	51.9729	-711.526	-673.942	-622.443	17.2458
13  	55.4928	-723.132	-680.032	-622.443	18.0043
14  	59.2209	-715.106	-674.906	-622.443	15.8329
15  	62.5602	-717.295	-678.082	-622.443	16.6401
16  	66.0067	-727.848	-682.554	-622.443	16.5291
17  	69.364 	-720.059	-674.164	-622.443	15.8309
18  	72.749 	-708.335	-670.298	-622.443	17.0287
19  	75.8958	-709.266	-672.942	-622.443	17.959 
20  	79.3815	-715.931	-680.311	-622.443	15.0219
21  	83.0305	-716.288	-677.971	-622.443	16.7721
22  	86.5866	-714.659	-679.741	-622.443	14.4947
23  	89.9532	-744.987	-692.811	-622.443	19.3073
24  	93.3691	-717.473	-679.24 	-622.443	13.7638
25  	96.8524	-722.45 	-686.334	-622.443	13.9842
26  	100.266	-731.765	-694.757	-622.443	18.2789
27  	103.535	-735.186	-692.209	-622.443	16.9085
28  	106.985	-726.035	-672.333	-622.443	17.1903
29  	110.425	-722.727	-686.544	-622.443	16.2611
30  	113.636	-733.702	-690.331	-622.443	15.9539
31  	117.282	-724.021	-694.886	-622.443	13.6849
32  	120.788	-726.264	-695.772	-622.443	14.2916
33  	124.03 	-717.674	-681.41 	-622.443	12.476 
34  	127.722	-708.564	-676.678	-622.443	12.9254
35  	130.969	-729.531	-691.797	-622.443	16.8812
36  	134.608	-726.922	-687.577	-622.443	14.533 
37  	138.346	-719.64 	-675.359	-622.443	13.4025
38  	141.903	-724.324	-691.963	-622.443	14.8566
39  	145.324	-721.757	-681.993	-622.443	14.5971
40  	149.013	-725.427	-693.707	-622.443	17.1447
41  	152.612	-721.218	-688.11 	-622.443	14.0704
42  	156.031	-716.267	-678.64 	-622.443	13.0851
43  	159.427	-743.512	-701.512	-622.443	18.8253
44  	162.942	-715.941	-678.363	-622.443	15.1094
45  	166.504	-718.304	-674.753	-622.443	18.2639
46  	170.318	-726.853	-690.461	-622.443	14.5594
47  	173.701	-715.685	-687.469	-622.443	12.7364
48  	177.199	-730.305	-682.56 	-622.443	15.5484
49  	180.552	-722.851	-690.616	-622.443	14.9116
50  	184.305	-713.649	-685.153	-622.443	11.4253
51  	187.965	-721.875	-681.021	-622.443	12.988 
52  	191.532	-734.09 	-700.815	-622.443	15.8034
53  	195.227	-737.15 	-686.874	-622.443	17.3531
54  	198.717	-732.638	-692.428	-622.443	12.9596
55  	202.49 	-697.469	-665.982	-622.443	13.3666
56  	205.849	-726.406	-685.381	-622.443	15.6267
57  	209.579	-719.258	-675.106	-622.443	19.4673
58  	212.955	-714.407	-687.473	-622.443	12.7388
59  	216.634	-698.844	-669.417	-622.443	9.91878
60  	219.931	-710.723	-693.04 	-622.443	12.334 
61  	223.274	-701.923	-678.097	-622.443	9.41133
62  	226.521	-699.99 	-674.219	-622.443	11.3975
63  	229.847	-698.693	-684.801	-622.443	9.55402
64  	233.295	-707.654	-695.608	-622.443	8.53392
65  	236.48 	-699.301	-672.235	-622.443	10.3484
66  	240.068	-711.955	-684.937	-622.443	11.43  
67  	243.36 	-716.888	-696.521	-622.443	10.0584
68  	246.81 	-703.261	-674.901	-622.443	10.6014
69  	250.287	-705.299	-678.96 	-622.443	10.6733
70  	253.715	-702.58 	-686.606	-622.443	11.739 
71  	257.12 	-698.078	-678.328	-622.443	6.94252
72  	260.521	-679.977	-657.828	-622.443	7.45794
73  	263.823	-687.958	-675.223	-622.443	8.36512
74  	266.865	-709.699	-663.29 	-622.443	9.52841
75  	270.16 	-698.948	-683.181	-622.443	9.05018
76  	273.586	-691.055	-668.204	-622.443	6.59685
77  	276.955	-703.565	-678.038	-622.443	6.93725
78  	280.648	-685.031	-678.132	-622.443	4.51464
79  	284.051	-692.736	-680.119	-622.443	4.99761
80  	287.661	-706.32 	-695.775	-622.443	7.52651
81  	291.081	-703.293	-690.906	-622.443	4.59734
82  	294.513	-702.448	-694.078	-622.443	5.4923 
83  	298.032	-699.212	-689.121	-622.443	5.93785
84  	301.338	-691.883	-658.667	-622.443	8.99192
85  	304.604	-696.269	-679.136	-622.443	11.798 
86  	308.023	-708.773	-688.288	-622.443	10.2775
87  	311.431	-697.83 	-675.574	-622.443	6.29697
88  	314.755	-699.943	-671.407	-622.443	7.72046
89  	318.043	-704.705	-689.745	-622.443	9.80052
90  	321.724	-693.316	-675.186	-622.443	5.17192
91  	325.063	-696.212	-688.007	-622.443	8.21243
92  	328.295	-695.012	-673.785	-622.443	9.11192
93  	331.658	-684.347	-671.843	-622.443	7.39811
94  	335.435	-713.957	-685.824	-622.443	8.99701
95  	338.627	-713.05 	-701.717	-622.443	11.1328
96  	342.026	-720.55 	-704.83 	-622.443	9.33499
97  	345.206	-721.756	-695.922	-622.443	7.19781
98  	348.538	-699.806	-684.701	-622.443	6.13517
99  	352.307	-688.579	-682.041	-622.443	3.93409
ngen	time   	min     	avg     	max     	std    
0   	10.5343	-705.574	-673.178	-636.937	12.8656
1   	14.2502	-702.786	-665.167	-634.152	12.1475
2   	17.4654	-712.048	-663.624	-625.385	13.4731
3   	21.047 	-704.601	-668.203	-625.385	18.0802
4   	24.454 	-707.721	-664.854	-625.385	14.4018
5   	27.9424	-706.405	-666.713	-625.385	13.6211
6   	31.4727	-703.447	-667.378	-625.385	14.0833
7   	34.9974	-704.925	-670.22 	-625.385	12.315 
8   	38.5951	-701.174	-669.2  	-625.385	12.9828
9   	42.2951	-713.883	-676.79 	-625.385	15.5294
10  	46.0279	-721.58 	-676.229	-625.385	17.249 
11  	49.3046	-716.598	-672.258	-625.385	14.025 
12  	52.8085	-714.29 	-671.81 	-625.385	13.844 
13  	56.2589	-717.544	-681.918	-625.385	18.4887
14  	59.8423	-725.132	-681.064	-625.385	18.5347
15  	63.3227	-717.435	-677.817	-625.385	14.9474
16  	67.0675	-712.478	-675.719	-625.385	14.0897
17  	70.4189	-731.591	-684.894	-625.385	18.146 
18  	73.7225	-727.231	-685.055	-625.385	14.1742
19  	77.3212	-728.053	-688.384	-625.385	14.3136
20  	80.9183	-723.62 	-688.255	-625.385	13.3988
21  	84.2086	-716.884	-687.369	-625.385	13.0909
22  	87.9112	-715.049	-685.157	-625.385	13.6925
23  	91.2563	-733.872	-684.871	-625.385	16.3817
24  	94.5411	-729.547	-679.556	-625.385	15.6105
25  	98.1496	-731.962	-685.301	-625.385	15.7506
26  	101.598	-713.41 	-683.707	-625.385	11.6148
27  	105.26 	-727.232	-681.305	-625.385	15.9743
28  	108.868	-728.26 	-693.597	-625.385	15.1294
29  	112.443	-736.319	-699.891	-625.385	17.9713
30  	115.938	-710.745	-677.699	-625.385	12.3165
31  	119.312	-731.33 	-689.784	-625.385	15.4299
32  	122.75 	-726.621	-689.073	-625.385	14.587 
33  	126.161	-751.319	-694.784	-625.385	19.8681
34  	129.718	-730.594	-682.009	-625.385	16.2692
35  	133.17 	-732.157	-693.936	-625.385	16.4252
36  	136.687	-720.104	-681.709	-625.385	13.4929
37  	140.101	-726.228	-665.058	-625.385	16.1778
38  	143.803	-721.843	-690.643	-625.385	16.9151
39  	147.154	-745.988	-698.414	-625.385	17.3302
