gen	depth	min     	avg     	max     	std    
   	60   	-676.913	-646.532	-614.258	11.8868
   	60   	-670.405	-641.267	-613.534	10.9141
   	60   	-677.386	-637.61 	-607.273	10.6908
   	60   	-664.48 	-636.952	-606.375	9.01546
   	60   	-666.829	-634.562	-604.688	10.8969
   	60   	-669.31 	-639.575	-604.688	11.5241
   	60   	-676.199	-641.761	-604.688	13.6062
   	60   	-692.743	-645.431	-604.688	13.0612
   	60   	-674.973	-645.836	-604.688	10.8506
   	60   	-687.225	-652.206	-604.688	13.795 
   	60   	-682.79 	-652.123	-604.688	14.1508
   	60   	-686.441	-651.006	-604.688	12.3351
   	60   	-681.89 	-653.625	-604.688	12.2013
   	60   	-694.278	-658.614	-604.688	15.2439
   	60   	-688.848	-659.212	-604.688	13.1858
   	60   	-695.943	-663.379	-604.688	15.1402
   	60   	-704.253	-664.758	-604.688	14.6624
   	60   	-695.113	-649.447	-604.688	14.0785
   	60   	-687.79 	-655.944	-604.688	13.4539
   	60   	-688.296	-654.829	-604.688	12.0856
   	60   	-687.97 	-654.346	-604.688	12.1442
   	60   	-679.538	-652.722	-604.688	10.0238
   	60   	-687.808	-655.526	-604.688	12.6603
   	60   	-707.651	-667.607	-604.688	18.7297
   	60   	-687.888	-650.501	-604.688	12.3009
   	60   	-675.805	-649.759	-604.688	10.9134
   	60   	-680.875	-648.456	-604.688	11.3372
   	60   	-684.608	-648.237	-604.688	14.1886
   	60   	-677.062	-646.377	-604.688	13.0061
   	60   	-691.152	-656.916	-604.688	14.6131
   	60   	-684.937	-649.502	-604.688	12.7117
   	60   	-669.811	-645.015	-604.688	8.68052
   	60   	-684.573	-648.982	-604.688	9.80918
   	60   	-678.208	-649.967	-604.688	13.1584
   	60   	-681.051	-658.254	-604.688	10.9587
   	60   	-691.396	-665.417	-604.688	10.7793
   	60   	-691.889	-669.346	-604.688	10.9634
   	60   	-694.16 	-665.912	-604.688	13.4462
   	60   	-702.291	-666.536	-604.688	18.087 
   	60   	-685.769	-658.068	-604.688	11.9062
