gen	depth	min     	avg     	max     	std    
   	100  	-384.455	-338.175	-298.27 	14.1841
   	100  	-374.831	-330.295	-291.34 	13.4923
   	100  	-371.084	-327.076	-290.616	12.0464
   	100  	-375.838	-329.276	-283.495	16.0176
   	100  	-391.479	-336.294	-283.495	16.8174
   	100  	-385.439	-340.055	-283.495	18.7266
   	100  	-384.163	-334.235	-283.074	18.1166
   	100  	-391.098	-334.768	-283.074	17.5628
   	100  	-396.706	-343.229	-283.074	19.0862
   	100  	-390.287	-337.623	-283.074	17.4903
   	100  	-400.045	-344.61 	-283.074	19.7389
   	100  	-396.601	-342.309	-283.074	16.6303
   	100  	-392.6  	-336.625	-283.074	16.3913
   	100  	-410.355	-337.571	-283.074	21.5065
   	100  	-402.749	-346.565	-283.074	16.9641
   	100  	-385.816	-344.439	-283.074	17.3449
   	100  	-399.973	-351.542	-283.074	16.7115
   	100  	-382.71 	-338.695	-283.074	16.4269
   	100  	-411.298	-342.953	-283.074	20.3788
   	100  	-391.159	-345.519	-283.074	16.6799
   	100  	-382.563	-339.647	-283.074	16.1192
   	100  	-398.149	-351.95 	-283.074	17.9183
   	100  	-413.004	-348.372	-283.074	20.0777
   	100  	-378.887	-335.317	-283.074	14.411 
   	100  	-413.679	-343.834	-283.074	17.1444
   	100  	-391.456	-345.049	-283.074	14.7857
   	100  	-394.389	-359.616	-283.074	16.5176
   	100  	-382.678	-339.988	-283.074	16.8555
   	100  	-407.756	-354.55 	-283.074	16.7543
   	100  	-395.038	-357.21 	-283.074	16.244 
   	100  	-385.647	-345.002	-283.074	12.6393
   	100  	-386.961	-351.671	-283.074	13.6577
   	100  	-379.791	-343.403	-283.074	15.7102
   	100  	-383.967	-343.565	-283.074	15.4442
   	100  	-411.989	-351.472	-283.074	15.6695
   	100  	-391.359	-353.373	-283.074	14.1768
   	100  	-433.2  	-362.882	-283.074	23.8441
   	100  	-401.97 	-349.155	-283.074	16.0043
   	100  	-412.044	-350.889	-283.074	15.4544
   	100  	-373.015	-340.442	-283.074	15.4271
   	100  	-378.406	-348.269	-283.074	12.3718
   	100  	-378.514	-347.748	-283.074	12.7889
   	100  	-361.085	-330.94 	-283.074	11.4093
   	100  	-375.974	-334.05 	-283.074	12.2823
   	100  	-393.943	-342.593	-283.074	14.2371
   	100  	-366.685	-331.249	-283.074	10.1993
   	100  	-398.078	-366.769	-283.074	19.7944
   	100  	-376.603	-349.704	-283.074	13.4279
   	100  	-393.691	-350.197	-283.074	12.9394
   	100  	-388.096	-354.878	-283.074	13.9044
   	100  	-398.099	-362.353	-283.074	11.7325
   	100  	-401.39 	-369.378	-283.074	10.8684
   	100  	-378.261	-332.936	-283.074	13.3384
   	100  	-402.054	-354.893	-283.074	19.3658
   	100  	-387.699	-358.171	-283.074	11.7096
   	100  	-365.259	-328.422	-283.074	12.2402
   	100  	-382.595	-351.153	-283.074	15.5528
   	100  	-396.454	-361.456	-283.074	14.2391
   	100  	-380.818	-347.649	-283.074	11.1392
   	100  	-373.037	-336.029	-283.074	10.9317
   	100  	-385.043	-357.63 	-283.074	12.4405
   	100  	-409.541	-389.785	-283.074	17.2371
   	100  	-396.059	-344.244	-283.074	15.1107
   	100  	-355.857	-337.745	-283.074	4.71563
   	100  	-370.112	-351.573	-283.074	8.90188
   	100  	-407.451	-383.844	-283.074	15.9018
   	100  	-393.556	-341.087	-283.074	13.2542
   	100  	-349.627	-336.236	-283.074	6.7441 
   	100  	-377.521	-362.596	-283.074	13.2725
   	100  	-421.125	-356.883	-283.074	12.503 
   	100  	-387.049	-360.28 	-283.074	8.12088
   	100  	-388.588	-364.047	-283.074	12.0398
   	100  	-443.245	-381.953	-283.074	22.1829
   	100  	-392.349	-345.111	-283.074	11.5924
   	100  	-371.861	-344.826	-283.074	8.1357 
   	100  	-375.766	-354.409	-283.074	8.33786
   	100  	-398.816	-353.839	-283.074	10.031 
   	100  	-357.23 	-348.085	-283.074	9.61161
   	100  	-368.103	-345.097	-283.074	11.4141
   	100  	-391.512	-350.999	-283.074	12.4478
   	100  	-364.279	-346.557	-283.074	8.90686
   	100  	-370.956	-350.63 	-283.074	13.0783
   	100  	-383.533	-344.465	-283.074	13.773 
   	100  	-370.046	-347.218	-283.074	10.627 
   	100  	-358.343	-345.104	-283.074	5.65502
