gen	depth	min     	avg     	max     	std    
0  	25   	-803.958	-717.755	-646.597	27.3783
1  	25   	-788.285	-704.1  	-634.934	27.3256
2  	25   	-797.534	-699.554	-634.934	29.5448
3  	25   	-801.753	-698.026	-634.934	33.4431
4  	25   	-792.926	-704.66 	-633.157	35.1081
5  	25   	-821.415	-715.147	-633.157	34.4176
6  	25   	-828.824	-704.471	-624.624	36.2556
7  	25   	-841.255	-710.59 	-618.91 	41.9379
8  	25   	-788.601	-702.237	-618.91 	32.1697
9  	25   	-808.583	-711.644	-618.91 	31.2188
10 	25   	-849.309	-719.52 	-618.91 	34.0265
11 	25   	-828.358	-728.774	-618.91 	35.4239
12 	25   	-831.377	-717.457	-618.91 	30.1617
13 	25   	-841.872	-726.482	-618.91 	31.8891
14 	25   	-833.738	-732.823	-618.91 	32.313 
15 	25   	-820.026	-735.254	-618.91 	35.0823
16 	25   	-805.373	-711.961	-618.91 	34.7293
17 	25   	-830.189	-734.819	-618.91 	31.4153
18 	25   	-798.586	-706.778	-618.91 	30.2175
19 	25   	-799.188	-702.772	-618.91 	26.4673
20 	25   	-848.102	-748.337	-618.91 	40.0567
21 	25   	-829.287	-737.401	-618.91 	30.2073
22 	25   	-810.19 	-731.149	-618.91 	24.5667
23 	25   	-791.016	-705.802	-618.91 	28.8665
24 	25   	-840.038	-738.469	-618.91 	37.0564
25 	25   	-830.384	-731.15 	-618.91 	29.3438
26 	25   	-811.723	-735.952	-618.91 	29.7935
27 	25   	-792.875	-716.631	-618.91 	28.9756
28 	25   	-844.234	-760.942	-618.91 	38.7184
29 	25   	-839.781	-740.2  	-618.91 	32.1005
30 	25   	-873.688	-787.146	-618.91 	35.8682
31 	25   	-833.506	-765.326	-618.91 	30.1918
32 	25   	-812.764	-745.502	-618.91 	24.8104
33 	25   	-826.415	-748.175	-618.91 	29.5309
34 	25   	-779.905	-702.217	-618.91 	24.4426
35 	25   	-779.396	-714.913	-618.91 	27.456 
36 	25   	-799.853	-741.719	-618.91 	33.7163
37 	25   	-811.61 	-733.56 	-618.91 	33.9252
38 	25   	-828.054	-729.225	-618.91 	34.6587
39 	25   	-858.835	-743.598	-618.91 	34.5238
40 	25   	-806.254	-734.473	-618.91 	23.6959
41 	25   	-780.862	-714.881	-618.91 	22.3594
42 	25   	-834.73 	-735.165	-618.91 	38.031 
43 	25   	-794.222	-724.588	-618.91 	30.8201
44 	25   	-805.388	-711.161	-618.91 	34.8616
45 	25   	-794.461	-723.302	-618.91 	24.9045
46 	25   	-839.028	-757.292	-618.91 	31.799 
47 	25   	-847.729	-774.214	-618.91 	29.5223
48 	25   	-806.585	-740.876	-618.91 	23.8995
49 	25   	-794.972	-711.169	-618.91 	32.5339
50 	25   	-834.696	-755.979	-618.91 	36.0015
51 	25   	-856.374	-747.506	-618.91 	34.1519
