gen	depth	min     	avg     	max     	std    
0  	25   	-662.35 	-607.726	-561.753	17.1359
1  	25   	-651.908	-600.548	-553.821	15.7331
2  	25   	-648.688	-595.997	-553.611	16.9702
3  	25   	-644.43 	-596.441	-553.611	16.3307
4  	25   	-643.453	-595.558	-553.611	15.5235
5  	25   	-648.479	-598.627	-539.552	20.8919
6  	25   	-660.069	-594.597	-539.552	19.1928
7  	25   	-652.862	-601.385	-539.552	21.4935
8  	25   	-652.934	-603.639	-539.552	18.7198
9  	25   	-652.012	-604.769	-539.552	18.3825
10 	25   	-685.061	-607.999	-539.552	19.3946
11 	25   	-666.782	-610.497	-539.552	17.7531
12 	25   	-656.119	-608.038	-539.552	16.8117
13 	25   	-668.302	-607.779	-539.552	22.8417
14 	25   	-668.667	-612.26 	-539.552	19.0948
15 	25   	-662.297	-609.616	-539.552	19.803 
16 	25   	-656.82 	-612.161	-539.552	17.595 
17 	25   	-678.21 	-612.639	-539.552	19.1631
18 	25   	-682.345	-622.782	-539.552	20.7803
19 	25   	-674.395	-619.379	-539.552	19.8928
20 	25   	-664.172	-617.837	-539.552	20.2405
21 	25   	-674.572	-613.536	-539.552	21.3216
22 	25   	-656.762	-608.73 	-539.552	16.9519
23 	25   	-666.701	-618.065	-539.552	20.3637
24 	25   	-664.073	-617.432	-539.552	19.0786
25 	25   	-657.269	-615.65 	-539.552	17.1165
26 	25   	-656.078	-614.993	-539.552	15.1412
27 	25   	-680.503	-619.473	-539.552	16.8912
28 	25   	-670.608	-618.848	-539.552	16.4237
29 	25   	-669.699	-627.381	-539.552	16.4754
30 	25   	-650.246	-606.192	-539.552	16.9082
31 	25   	-680.545	-640.442	-539.552	21.0786
32 	25   	-673.077	-618.357	-539.552	21.2886
33 	25   	-663.949	-609.781	-539.552	15.3194
34 	25   	-645.63 	-598.88 	-539.552	15.5769
35 	25   	-668.041	-593.003	-539.552	19.0107
36 	25   	-682.294	-641.054	-539.552	28.1738
37 	25   	-704.754	-665.588	-539.552	26.5061
38 	25   	-680.702	-612.215	-539.552	21.2345
39 	25   	-663.663	-624.782	-539.552	20.0191
40 	25   	-659.123	-629.775	-539.552	16.397 
41 	25   	-652.413	-609.531	-539.552	14.8458
42 	25   	-636.094	-601.92 	-539.552	13.5841
43 	25   	-635.692	-605.665	-539.552	12.5958
44 	25   	-672.248	-615.466	-539.552	18.4709
45 	25   	-655.243	-610.496	-539.552	17.7958
