gen	depth	min     	avg     	max     	std    
0  	60   	-1027.98	-935.485	-835.117	32.8513
1  	60   	-1017.33	-914.997	-829.559	30.5602
2  	60   	-1010.1 	-910.534	-829.559	30.5268
3  	60   	-1004.71	-911.583	-829.559	30.2529
4  	60   	-989.401	-908.816	-818.57 	33.4254
5  	60   	-1044.17	-914.79 	-814.973	36.1949
6  	60   	-1035.07	-943.33 	-814.973	40.8731
7  	60   	-1038.97	-930.386	-814.973	37.2763
8  	60   	-1066.96	-932.52 	-814.973	39.0435
9  	60   	-1022.34	-927.722	-814.973	36.4688
10 	60   	-1040.92	-946.459	-814.973	38.398 
11 	60   	-1049.29	-937.927	-814.973	34.7884
12 	60   	-1043.73	-954.567	-814.973	38.6216
13 	60   	-1028.36	-946.504	-814.973	36.805 
14 	60   	-1067.82	-940.072	-814.973	41.0112
15 	60   	-1033.18	-941.922	-814.973	32.0879
16 	60   	-1042.28	-946.384	-814.973	34.1068
17 	60   	-1081.66	-951.022	-814.973	44.558 
18 	60   	-1043.37	-935.774	-814.973	37.8569
19 	60   	-1121.13	-969.769	-814.973	52.8451
20 	60   	-1091.88	-970.252	-814.973	45.2709
21 	60   	-1022.21	-940.317	-814.973	29.7875
22 	60   	-1073.64	-956.606	-814.973	41.7349
23 	60   	-1042.89	-932.382	-814.973	36.4512
24 	60   	-1081.26	-955.691	-814.973	43.5121
25 	60   	-1093.67	-982.153	-814.973	40.6667
26 	60   	-1046.18	-947.648	-814.973	36.2215
27 	60   	-1120.55	-980.814	-814.973	53.5753
28 	60   	-1096.08	-940.237	-814.973	32.175 
29 	60   	-1051.27	-944.581	-814.973	35.868 
30 	60   	-1054.94	-966.149	-814.973	37.6724
31 	60   	-1094.77	-986.298	-814.973	46.5825
32 	60   	-1067.42	-953.543	-814.973	33.5218
33 	60   	-1081.4 	-994.843	-814.973	36.4497
34 	60   	-1069.7 	-977.824	-814.973	37.144 
35 	60   	-1061.67	-964.787	-814.973	31.1129
36 	60   	-1027.34	-962.163	-814.973	26.5399
37 	60   	-1063.28	-971.645	-814.973	36.4456
38 	60   	-1102.91	-1008.41	-814.973	38.8768
39 	60   	-1059.83	-972.759	-814.973	35.5362
40 	60   	-1064.51	-980.67 	-814.973	33.002 
41 	60   	-1065.37	-973.283	-814.973	30.8696
42 	60   	-1058.53	-977.656	-814.973	35.1941
43 	60   	-1040.82	-952.781	-814.973	30.7544
44 	60   	-1062.41	-963.719	-814.973	35.5304
45 	60   	-1032.32	-951.889	-814.973	29.6164
46 	60   	-1026.09	-944.43 	-814.973	28.3956
47 	60   	-1032.97	-929.319	-814.973	27.974 
48 	60   	-1032.49	-920.571	-814.973	34.2711
49 	60   	-1039.16	-977.871	-814.973	36.4498
50 	60   	-1054.75	-983.612	-814.973	40.4139
51 	60   	-1022.31	-957.937	-814.973	24.9658
52 	60   	-1046.53	-965.245	-814.973	38.2218
53 	60   	-1052.31	-975.349	-814.973	31.3801
54 	60   	-1076.51	-969.273	-814.973	41.3687
55 	60   	-1049.92	-960.034	-814.973	29.0041
56 	60   	-1066.35	-979.589	-814.973	27.3102
57 	60   	-1041.98	-952.16 	-814.973	26.2996
58 	60   	-1095.46	-965.873	-814.973	44.484 
59 	60   	-1019.48	-942.926	-814.973	25.5896
60 	60   	-1025.41	-950.999	-814.973	39.8991
61 	60   	-1061.05	-956.941	-814.973	45.4039
62 	60   	-1021.3 	-954.496	-814.973	29.9888
63 	60   	-1088.37	-1018.9 	-814.973	39.902 
64 	60   	-1055.89	-933.755	-814.973	29.4336
65 	60   	-1042.64	-975.3  	-814.973	34.8951
66 	60   	-1049.21	-958.361	-814.973	32.6002
67 	60   	-1051.5 	-993.643	-814.973	30.6189
68 	60   	-1016.02	-962.825	-814.973	25.2737
69 	60   	-1037.42	-931.9  	-814.973	25.9092
70 	60   	-1038.47	-970.932	-814.973	29.8127
71 	60   	-986.538	-897.91 	-814.973	22.25  
72 	60   	-1011.62	-976.918	-814.973	33.4183
73 	60   	-1032.49	-980.564	-814.973	30.4029
74 	60   	-1017.14	-942.458	-814.973	28.9104
75 	60   	-961.309	-889    	-814.973	17.7463
76 	60   	-1004.69	-941.213	-814.973	25.2186
77 	60   	-1056.95	-991.114	-814.973	33.4461
78 	60   	-1018.1 	-901.132	-814.973	27.1039
79 	60   	-1009.08	-957.334	-814.973	31.2564
80 	60   	-1011.56	-961.172	-814.973	14.8292
81 	60   	-965.046	-890.386	-814.973	20.8741
82 	60   	-1026.88	-953.381	-814.973	28.3932
83 	60   	-1041.01	-967.145	-814.973	18.8918
84 	60   	-1019.24	-995.426	-814.973	18.5284
85 	60   	-1070.24	-1025.75	-814.973	20.7899
86 	60   	-1039.27	-996.739	-814.973	15.1765
87 	60   	-1003.36	-911.217	-814.973	22.5355
88 	60   	-991.917	-958.179	-814.973	17.4578
89 	60   	-1022.25	-972.846	-814.973	15.6473
90 	60   	-998.624	-977.96 	-814.973	13.2465
91 	60   	-1008.03	-969.262	-814.973	14.7054
92 	60   	-1002.97	-955.219	-814.973	7.75494
93 	60   	-978.055	-942.907	-814.973	9.36313
94 	60   	-1040.13	-1021.52	-814.973	25.3522
95 	60   	-1062.69	-998.75 	-814.973	17.8321
96 	60   	-1000.89	-909.494	-814.973	30.8292
97 	60   	-970.344	-937.755	-814.973	20.9892
98 	60   	-1036.31	-976.744	-814.973	19.9838
99 	60   	-1001.5 	-982.791	-814.973	15.4572
gen	depth	min     	avg     	max     	std    
0  	60   	-1026.27	-934.674	-835.888	33.2514
1  	60   	-1029.49	-921.899	-815.012	34.5516
2  	60   	-994.784	-912.285	-815.012	29.1445
3  	60   	-1025.14	-910.203	-815.012	33.4595
4  	60   	-1023.32	-923.608	-815.012	33.9943
5  	60   	-1039.82	-921.871	-815.012	35.1623
6  	60   	-1027.34	-923.831	-815.012	34.9291
