gen	depth	min     	avg     	max     	std    
0  	60   	-299.356	-271.797	-239.541	9.70362
1  	60   	-297.554	-266.555	-239.541	8.85444
2  	60   	-303.594	-265.768	-239.011	10.079 
3  	60   	-298.715	-263.123	-239.011	11.2624
4  	60   	-300.259	-265.466	-239.011	10.3275
5  	60   	-296.459	-268.339	-239.011	12.0148
6  	60   	-304.193	-269.491	-237.725	13.1212
7  	60   	-302.349	-269.582	-237.725	10.8389
8  	60   	-307.251	-272.418	-237.725	13.55  
9  	60   	-306.124	-269.944	-237.725	11.5371
10 	60   	-312.818	-278.334	-237.725	14.6069
11 	60   	-308.6  	-277.201	-237.725	12.1602
12 	60   	-304.678	-274.348	-237.725	11.0658
13 	60   	-303.442	-269.954	-237.725	10.2564
14 	60   	-307.809	-273.489	-237.725	12.191 
15 	60   	-304.17 	-272.012	-237.725	12.3283
16 	60   	-303.21 	-271.045	-237.725	11.7539
17 	60   	-301.346	-268.843	-237.54 	11.995 
18 	60   	-305.854	-273.62 	-237.54 	12.7846
19 	60   	-308.969	-282.252	-237.54 	11.3498
20 	60   	-314.414	-282.796	-237.54 	12.4839
21 	60   	-313.38 	-278.806	-237.54 	11.1517
22 	60   	-308.614	-277.187	-237.54 	12.4311
23 	60   	-318.287	-283.039	-237.54 	12.167 
24 	60   	-305.465	-275.249	-237.54 	11.0473
25 	60   	-300.476	-274.377	-237.54 	10.9592
26 	60   	-310.862	-283.683	-237.54 	12.2945
27 	60   	-317.355	-285.03 	-237.54 	10.4957
28 	60   	-317.058	-284.104	-237.54 	12.4234
29 	60   	-315.912	-278.353	-237.54 	11.6699
30 	60   	-302.415	-275.487	-237.54 	10.5143
31 	60   	-317.562	-288.232	-237.54 	12.1112
32 	60   	-305.683	-278.918	-237.54 	11.4972
33 	60   	-302.53 	-283.864	-237.54 	8.75053
34 	60   	-315.122	-288.846	-237.54 	12.4473
35 	60   	-299.434	-274.966	-237.54 	10.6669
36 	60   	-314.537	-281.979	-237.54 	12.382 
37 	60   	-305.596	-277.891	-231.347	13.5134
38 	60   	-301.478	-271.248	-231.347	9.65187
39 	60   	-308.955	-266.557	-231.347	14.7196
40 	60   	-294.255	-272.12 	-231.347	10.5305
