gen	depth	min     	avg     	max     	std    
0  	60   	-17120.4	-7748.7 	-5149.92	1595.99
1  	60   	-43153.8	-6761.89	-4875.27	1867.07
2  	60   	-11779.7	-6068.56	-4661.51	734.495
3  	60   	-10860.3	-5643.11	-4649.33	551.313
4  	60   	-8283.04	-5345.02	-4511.44	404.093
5  	60   	-20672.7	-5166.17	-4460.75	835.016
6  	60   	-9362.27	-4936.57	-4314.56	404.022
7  	60   	-11313.1	-4807.25	-4105.9 	526.428
8  	60   	-9035.36	-4611.82	-4021.22	379.35 
9  	60   	-12233.8	-4494.18	-3953.54	481.837
10 	60   	-6588.52	-4340.43	-3938.34	260.672
11 	60   	-15691.6	-4266.89	-3881.24	611.745
12 	60   	-9374.75	-4165.23	-3871.01	405.926
13 	60   	-7350.93	-4055.79	-3707.54	245.5  
14 	60   	-9169.03	-4005.63	-3707.54	362.445
15 	60   	-7778.52	-3935.21	-3657.98	275.668
16 	60   	-4850.96	-3850.81	-3601.12	141.222
17 	60   	-9335.75	-3840.21	-3570.96	440.424
18 	60   	-5799.08	-3746.31	-3517.09	203.752
19 	60   	-9908.9 	-3738.36	-3475.3 	420.291
20 	60   	-5506.74	-3665.66	-3466.98	228.344
21 	60   	-6285.51	-3625.41	-3444.5 	228.492
22 	60   	-13282.7	-3639.75	-3406.3 	699.279
23 	60   	-7656.89	-3580.48	-3398.99	399.189
24 	60   	-5231.46	-3521.88	-3370.43	198.207
25 	60   	-5123.12	-3489.46	-3352.28	161.177
26 	60   	-5223.27	-3458.17	-3342.81	153.64 
27 	60   	-6067.96	-3462.78	-3311.29	255.888
28 	60   	-9433.77	-3473.72	-3282.09	500.444
29 	60   	-6719.05	-3397.25	-3259.76	236.428
30 	60   	-4550.35	-3369.05	-3259.76	143.184
31 	60   	-5504.64	-3343.9 	-3231.77	167.284
32 	60   	-8407.56	-3336.41	-3207.1 	270.221
33 	60   	-8309.51	-3323.36	-3198.86	295.254
34 	60   	-6099.03	-3304.78	-3169.27	252.652
35 	60   	-5674.59	-3269.18	-3148.72	191.096
36 	60   	-6970.47	-3245.01	-3142.71	215.342
37 	60   	-13153.4	-3252.72	-3126.64	507.518
38 	60   	-7599.79	-3206.36	-3117.56	233.453
39 	60   	-5044.8 	-3198.54	-3117.56	189.994
40 	60   	-7483.37	-3189.62	-3100.43	248.084
41 	60   	-8510.41	-3188.51	-3100.43	298.294
42 	60   	-4293.02	-3166.07	-3087.85	145.858
43 	60   	-4877.18	-3148.68	-3080.89	136.823
44 	60   	-6167.31	-3167.36	-3072.41	260.799
45 	60   	-6207.45	-3146.51	-3068.44	229.832
46 	60   	-23738.3	-3197.32	-3066.61	974.311
47 	60   	-4587.51	-3116.06	-3059.61	141.307
48 	60   	-5602.18	-3117.15	-3056.88	215.19 
49 	60   	-5836.17	-3111.64	-3037.36	179.41 
50 	60   	-4728.57	-3099.5 	-3037.36	150.23 
51 	60   	-5901.57	-3104.01	-3031.03	210.897
52 	60   	-12685.4	-3130.34	-3031.03	521.208
53 	60   	-15450.7	-3132.26	-3022.45	636.849
54 	60   	-22220.5	-3122.97	-3015.14	880.642
55 	60   	-4297.45	-3070.81	-3013.57	137.328
56 	60   	-6260.7 	-3084.66	-3010.04	296.669
57 	60   	-15404.6	-3095.88	-3009.62	621.2  
58 	60   	-5248.42	-3057.86	-3007.79	173.215
59 	60   	-9500.87	-3087.45	-3005.44	448.688
60 	60   	-4586.45	-3055.6 	-3005.44	179.676
61 	60   	-8441.52	-3058.58	-3005.44	296.879
62 	60   	-6485.04	-3055.64	-3004.5 	234.298
63 	60   	-4586.01	-3038.96	-3001.2 	125    
64 	60   	-14645.2	-3083.77	-3000.59	640.367
65 	60   	-8577.62	-3064.68	-2998.29	318.728
66 	60   	-7812.72	-3045.16	-2998.29	248.061
67 	60   	-5467.21	-3044.53	-2994.55	203.09 
68 	60   	-7514.01	-3045.07	-2994.55	270.545
