gen	depth	min     	avg     	max     	std      
0  	25   	-895.115	-809.129	-800.699	9.69051  
1  	25   	-818.678	-804.006	-800.699	2.32666  
2  	25   	-828.222	-802.433	-800.301	2.09968  
3  	25   	-807.092	-801.449	-800.301	0.701757 
4  	25   	-802.398	-800.938	-800.301	0.364808 
5  	25   	-814.097	-800.762	-800.301	0.743894 
6  	25   	-804.222	-800.657	-800.301	0.282409 
7  	25   	-816.745	-800.644	-800.301	0.931796 
8  	25   	-802.097	-800.424	-800.301	0.225053 
9  	25   	-812.824	-800.413	-800.301	0.86005  
10 	25   	-800.699	-800.306	-800.301	0.0433298
11 	25   	-803.301	-800.329	-800.301	0.227776 
12 	25   	-802.398	-800.311	-800.301	0.116613 
13 	25   	-801.824	-800.31 	-800.301	0.0995764
14 	25   	-803.301	-800.324	-800.301	0.191978 
15 	25   	-808.959	-800.371	-800.301	0.598521 
16 	25   	-804.523	-800.318	-800.301	0.199717 
17 	25   	-804.611	-800.323	-800.301	0.234762 
18 	25   	-827.523	-800.431	-800.301	1.35755  
19 	25   	-805.155	-800.327	-800.301	0.26768  
20 	25   	-805.495	-800.365	-800.301	0.454318 
21 	25   	-807.046	-800.327	-800.301	0.319834 
22 	25   	-803.745	-800.334	-800.301	0.257864 
23 	25   	-809.26 	-800.356	-800.301	0.49062  
24 	25   	-805.456	-800.327	-800.301	0.275714 
25 	25   	-814.77 	-800.352	-800.301	0.668934 
26 	25   	-805.155	-800.346	-800.301	0.342499 
27 	25   	-806.393	-800.37 	-800.301	0.480231 
28 	25   	-809.26 	-800.349	-800.301	0.487832 
29 	25   	-806.097	-800.342	-800.301	0.382005 
30 	25   	-810.073	-800.389	-800.301	0.761626 
31 	25   	-801.523	-800.31 	-800.301	0.0802411
32 	25   	-803.301	-800.335	-800.301	0.264193 
33 	25   	-819.959	-800.384	-800.301	1.01452  
34 	25   	-806.097	-800.345	-800.301	0.354982 
35 	25   	-806.097	-800.331	-800.301	0.302676 
36 	25   	-804.444	-800.33 	-800.301	0.251563 
37 	25   	-802.398	-800.325	-800.301	0.179945 
38 	25   	-805.155	-800.335	-800.301	0.287379 
39 	25   	-806.393	-800.351	-800.301	0.408579 
40 	25   	-803.301	-800.314	-800.301	0.16609  
41 	25   	-803.745	-800.329	-800.301	0.234812 
42 	25   	-802.398	-800.319	-800.301	0.160734 
43 	25   	-818.979	-800.384	-800.301	1.02921  
44 	25   	-802.097	-800.317	-800.301	0.13006  
45 	25   	-817.699	-800.42 	-800.301	1.16716  
46 	25   	-802.398	-800.319	-800.301	0.14493  
47 	25   	-810.073	-800.362	-800.301	0.63479  
48 	25   	-810.073	-800.351	-800.301	0.481712 
49 	25   	-812.155	-800.356	-800.301	0.616112 
50 	25   	-811.187	-800.362	-800.301	0.573982 
51 	25   	-802.398	-800.332	-800.301	0.203829 
52 	25   	-803.301	-800.316	-800.301	0.171645 
53 	25   	-808    	-800.346	-800.301	0.436472 
54 	25   	-805.495	-800.34 	-800.301	0.34668  
55 	25   	-813.796	-800.369	-800.301	0.732826 
56 	25   	-801.523	-800.31 	-800.301	0.0864673
57 	25   	-806.097	-800.363	-800.301	0.449214 
58 	25   	-806.398	-800.352	-800.301	0.361691 
59 	25   	-813.125	-800.378	-800.301	0.78214  
60 	25   	-803.301	-800.341	-800.301	0.250519 
61 	25   	-804.222	-800.341	-800.301	0.277474 
62 	25   	-812.824	-800.362	-800.301	0.741203 
63 	25   	-804.611	-800.329	-800.301	0.282888 
64 	25   	-802.699	-800.326	-800.301	0.176924 
65 	25   	-823.886	-800.389	-800.301	1.10917  
66 	25   	-808.959	-800.357	-800.301	0.461185 
67 	25   	-803.745	-800.327	-800.301	0.205391 
68 	25   	-808.959	-800.347	-800.301	0.534964 
69 	25   	-803.602	-800.328	-800.301	0.213397 
70 	25   	-804.611	-800.323	-800.301	0.254408 
71 	25   	-805.155	-800.333	-800.301	0.274263 
72 	25   	-804.222	-800.346	-800.301	0.309413 
73 	25   	-802.398	-800.315	-800.301	0.143537 
74 	25   	-802.398	-800.308	-800.301	0.0984931
75 	25   	-804.222	-800.324	-800.301	0.235417 
76 	25   	-804.222	-800.325	-800.301	0.226196 
77 	25   	-802.097	-800.315	-800.301	0.132587 
78 	25   	-813.125	-800.345	-800.301	0.59655  
79 	25   	-816.721	-800.352	-800.301	0.757693 
80 	25   	-806.097	-800.335	-800.301	0.338015 
81 	25   	-804.222	-800.326	-800.301	0.225062 
82 	25   	-808    	-800.36 	-800.301	0.513288 
83 	25   	-805.495	-800.351	-800.301	0.352859 
84 	25   	-806.398	-800.353	-800.301	0.402942 
85 	25   	-809.921	-800.335	-800.301	0.45072  
86 	25   	-804.222	-800.343	-800.301	0.316598 
87 	25   	-806.398	-800.322	-800.301	0.284186 
88 	25   	-802.699	-800.327	-800.301	0.204813 
89 	25   	-810.886	-800.368	-800.301	0.679276 
90 	25   	-808.301	-800.359	-800.301	0.489559 
91 	25   	-802.398	-800.313	-800.301	0.137908 
92 	25   	-806.398	-800.335	-800.301	0.315049 
