gen	depth	min     	avg     	max     	std     
0  	100  	-862.54 	-809.821	-800.699	7.32345 
1  	100  	-996.226	-805.776	-800.699	9.42681 
2  	100  	-835.818	-803.205	-800.699	2.07985 
3  	100  	-869.201	-802.385	-800.699	4.20434 
4  	100  	-817.42 	-801.433	-800.699	0.990603
5  	100  	-804.222	-800.917	-800.699	0.418943
6  	100  	-823.585	-800.836	-800.699	1.20773 
7  	100  	-811.854	-800.784	-800.699	0.734516
8  	100  	-894.013	-801.036	-800.699	4.39429 
9  	100  	-808    	-800.729	-800.699	0.360921
10 	100  	-814.77 	-800.77 	-800.699	0.73258 
11 	100  	-808    	-800.752	-800.301	0.453951
12 	100  	-813.796	-800.79 	-800.301	0.828904
13 	100  	-807.046	-800.739	-800.301	0.391373
14 	100  	-848    	-800.981	-800.301	2.66402 
15 	100  	-811.949	-800.748	-800.301	0.791766
16 	100  	-805.854	-800.608	-800.301	0.354602
17 	100  	-808    	-800.487	-800.301	0.475887
18 	100  	-802.398	-800.338	-800.301	0.192878
19 	100  	-815.745	-800.383	-800.301	0.912456
20 	100  	-815.071	-800.384	-800.301	0.780706
21 	100  	-803.301	-800.325	-800.301	0.215259
22 	100  	-810.886	-800.358	-800.301	0.547204
23 	100  	-808    	-800.37 	-800.301	0.523739
24 	100  	-805.155	-800.356	-800.301	0.379682
25 	100  	-804.611	-800.332	-800.301	0.276647
26 	100  	-805.155	-800.326	-800.301	0.272117
27 	100  	-807.046	-800.353	-800.301	0.392481
28 	100  	-810.886	-800.434	-800.301	0.871123
29 	100  	-808.959	-800.384	-800.301	0.654879
30 	100  	-805.155	-800.342	-800.301	0.329501
31 	100  	-803.745	-800.332	-800.301	0.230242
32 	100  	-806.097	-800.353	-800.301	0.398565
33 	100  	-856.53 	-800.474	-800.301	2.56056 
34 	100  	-804.222	-800.342	-800.301	0.281868
35 	100  	-807.046	-800.341	-800.301	0.431987
36 	100  	-815.071	-800.395	-800.301	0.794886
37 	100  	-803.301	-800.34 	-800.301	0.288499
38 	100  	-805.155	-800.349	-800.301	0.353461
39 	100  	-808.959	-800.335	-800.301	0.410721
40 	100  	-802.398	-800.323	-800.301	0.165728
41 	100  	-804.222	-800.33 	-800.301	0.274602
42 	100  	-802.699	-800.346	-800.301	0.269048
43 	100  	-806.398	-800.349	-800.301	0.392823
44 	100  	-819.201	-800.401	-800.301	1.02339 
45 	100  	-805.155	-800.351	-800.301	0.333391
46 	100  	-810.886	-800.391	-800.301	0.787888
47 	100  	-809.921	-800.37 	-800.301	0.571736
48 	100  	-803.301	-800.331	-800.301	0.205974
49 	100  	-804    	-800.326	-800.301	0.216647
50 	100  	-813.143	-800.403	-800.301	0.842566
51 	100  	-802.398	-800.321	-800.301	0.166396
52 	100  	-802.699	-800.324	-800.301	0.172606
53 	100  	-816.721	-800.442	-800.301	1.16929 
54 	100  	-805.155	-800.337	-800.301	0.299945
55 	100  	-806.097	-800.364	-800.301	0.439986
56 	100  	-812.155	-800.41 	-800.301	0.836072
57 	100  	-804.222	-800.342	-800.301	0.309588
58 	100  	-806.097	-800.375	-800.301	0.458497
59 	100  	-812.824	-800.421	-800.301	0.859792
60 	100  	-832.456	-800.434	-800.301	1.61786 
61 	100  	-806.097	-800.338	-800.301	0.321598
62 	100  	-806.097	-800.341	-800.301	0.369927
63 	100  	-806.678	-800.36 	-800.301	0.409215
64 	100  	-810.073	-800.372	-800.301	0.640677
65 	100  	-809.26 	-800.362	-800.301	0.587293
66 	100  	-823.585	-800.43 	-800.301	1.33518 
67 	100  	-809.26 	-800.353	-800.301	0.608922
68 	100  	-816.721	-800.391	-800.301	1.02788 
69 	100  	-808.301	-800.362	-800.301	0.490731
70 	100  	-808.301	-800.349	-800.301	0.48755 
71 	100  	-815.744	-800.41 	-800.301	0.955176
72 	100  	-808    	-800.353	-800.301	0.47153 
73 	100  	-831.469	-800.434	-800.301	1.57627 
74 	100  	-802.398	-800.321	-800.301	0.171884
75 	100  	-801.824	-800.315	-800.301	0.115275
