rank	gen	depth	min     	avg     	max     	std    
4   	0  	100  	-17172.4	-2872.02	-1995.07	1085.78
4   	1  	100  	-12137.3	-2476.24	-1978.42	598.976
4   	2  	100  	-6569.79	-2303.65	-1977.64	377.821
4   	3  	100  	-14561.7	-2252.15	-1958.03	695.199
4   	4  	100  	-13813  	-2175.99	-1885.31	662.984
4   	5  	100  	-4632.38	-2085.04	-1882.01	233.859
4   	6  	100  	-6672.1 	-2042.66	-1881.53	288.222
4   	7  	100  	-13110  	-2088.71	-1855.92	842.274
4   	8  	100  	-34844.4	-2088.82	-1852.49	1539.74
4   	9  	100  	-6308.42	-1982.44	-1832.27	313.107
4   	10 	100  	-12586.6	-2006.43	-1832.27	615.698
4   	11 	100  	-14202  	-1965.67	-1832.27	592.154
4   	12 	100  	-6327.13	-1931.05	-1832.06	292.354
4   	13 	100  	-4365.32	-1922.62	-1820.74	247.656
4   	14 	100  	-5630.46	-1944.56	-1819.37	386.718
4   	15 	100  	-5730.5 	-1907.38	-1807.27	263.166
4   	16 	100  	-5508.87	-1901.49	-1803.42	268.003
4   	17 	100  	-5039.03	-1870.18	-1797.08	190.329
4   	18 	100  	-9893.23	-1896.83	-1797.08	470.139
4   	19 	100  	-8948.56	-1881.14	-1794.38	415.069
4   	20 	100  	-10788.4	-1870.55	-1785.9 	424.643
4   	21 	100  	-3789.26	-1848.12	-1785.9 	168.058
4   	22 	100  	-4125.81	-1855.04	-1779.13	192.265
4   	23 	100  	-7419.61	-1851.48	-1777.67	301.51 
4   	24 	100  	-16844.2	-1905.32	-1773.81	811.047
4   	25 	100  	-2643.86	-1817.96	-1770.32	82.3203
4   	26 	100  	-3305.25	-1829.15	-1763.88	157.685
4   	27 	100  	-27802.7	-1910.23	-1762.07	1406.45
4   	28 	100  	-5312.96	-1813.26	-1759.71	190.266
4   	29 	100  	-3772.6 	-1808.63	-1759.62	154.631
4   	30 	100  	-4118.01	-1810.57	-1755.33	154.51 
4   	31 	100  	-4261.16	-1820.1 	-1749.04	230.248
4   	32 	100  	-6276.39	-1807.11	-1749.04	244.468
4   	33 	100  	-2734.62	-1786.71	-1748.21	88.2322
4   	34 	100  	-2973.75	-1793.89	-1745.39	126.057
4   	35 	100  	-10273.1	-1837.7 	-1744.89	490.654
4   	36 	100  	-6385.36	-1800.15	-1743.98	269.448
4   	37 	100  	-4443.85	-1801.65	-1743.98	216.744
4   	38 	100  	-3501.29	-1787   	-1741.98	136.147
4   	39 	100  	-21580.9	-1823.92	-1741.98	901.051
4   	40 	100  	-3223.49	-1779.9 	-1741.98	132.416
4   	41 	100  	-3483.22	-1780.32	-1739.98	136.371
4   	42 	100  	-7612.23	-1801.35	-1739.98	361.422
4   	43 	100  	-4113.44	-1779.34	-1739.98	169.069
4   	44 	100  	-3335.76	-1771.17	-1735.15	117.03 
4   	45 	100  	-7177.86	-1791.33	-1734.15	339.125
4   	46 	100  	-4335.29	-1774.99	-1732.63	167.723
4   	47 	100  	-7393.01	-1790.75	-1732.63	330.111
4   	48 	100  	-10000.5	-1790.61	-1732.3 	402.49 
4   	49 	100  	-2767.88	-1768.32	-1731.27	110.498
4   	50 	100  	-4273.37	-1780.76	-1730.64	176.144
4   	51 	100  	-13300.1	-1798.06	-1730.64	556.489
4   	52 	100  	-10026.5	-1791.51	-1730.64	418.588
