rank	gen	depth	min     	avg     	max     	std    
6   	0  	100  	-3548.91	-2303.32	-2090.04	176.325
6   	1  	100  	-7839.87	-2223.04	-2090.04	265.926
6   	2  	100  	-3514.57	-2182.59	-2090.04	116.636
6   	3  	100  	-18290.6	-2185.68	-2090.04	723.446
6   	4  	100  	-3584.78	-2140.83	-2090.04	87.2357
6   	5  	100  	-2701.86	-2124.17	-2080.17	43.2715
6   	6  	100  	-2638.25	-2114.15	-2080.17	39.3512
6   	7  	100  	-6867.19	-2121.87	-2070.63	220.72 
6   	8  	100  	-2454.47	-2100.11	-2070.26	27.3205
6   	9  	100  	-2453.08	-2094.57	-2065.43	32.5069
6   	10 	100  	-2442.1 	-2087.27	-2064.03	22.3773
6   	11 	100  	-2722.82	-2085.99	-2064.03	49.2381
6   	12 	100  	-2396.31	-2079.69	-2062.39	20.4248
6   	13 	100  	-2526.92	-2078.79	-2062.39	35.9424
6   	14 	100  	-3010.87	-2078.27	-2060.04	55.6007
6   	15 	100  	-2354.21	-2072.82	-2057.98	26.4556
6   	16 	100  	-2385.86	-2072.72	-2057.28	26.3927
6   	17 	100  	-2780.17	-2072.57	-2057.28	48.3654
6   	18 	100  	-2679   	-2071.45	-2056.47	43.6419
6   	19 	100  	-2321.59	-2068.02	-2056.02	25.9981
6   	20 	100  	-4372.95	-2072.77	-2052.98	114.231
6   	21 	100  	-2585.09	-2065.67	-2052.98	31.8415
6   	22 	100  	-2713.04	-2064.69	-2052.65	42.2694
6   	23 	100  	-2369.45	-2061.99	-2052.65	24.6093
6   	24 	100  	-2277.14	-2060.47	-2052.38	19.3643
6   	25 	100  	-2532.8 	-2060.38	-2050.95	26.1664
6   	26 	100  	-2821.8 	-2062.65	-2050.94	50.8179
6   	27 	100  	-2255.55	-2058.75	-2049.62	20.3586
6   	28 	100  	-2237.09	-2057.01	-2047.99	15.8306
6   	29 	100  	-2645.8 	-2057.17	-2047.99	32.6378
6   	30 	100  	-2388.99	-2055.77	-2047.99	22.515 
6   	31 	100  	-3341.66	-2060.33	-2047.99	77.5469
6   	32 	100  	-2217.86	-2053.6 	-2047.95	14.7797
6   	33 	100  	-2452.46	-2054.45	-2047.04	27.5677
6   	34 	100  	-2454.74	-2056.08	-2046.39	36.3386
6   	35 	100  	-2419.58	-2054.34	-2045.95	28.3681
6   	36 	100  	-2156.57	-2050.6 	-2045.76	10.0797
6   	37 	100  	-2413.21	-2052.75	-2045.36	26.8135
6   	38 	100  	-2372.73	-2051.89	-2045.21	20.5745
6   	39 	100  	-3267.94	-2055.81	-2044.89	69.4183
6   	40 	100  	-2847.48	-2052.49	-2044.86	42.6655
6   	41 	100  	-2795.08	-2050.84	-2043.58	37.414 
6   	42 	100  	-2495.52	-2050.11	-2043.58	29.0446
6   	43 	100  	-2486.85	-2051.87	-2043.38	31.8567
6   	44 	100  	-2663.46	-2050.33	-2042.98	32.6385
6   	45 	100  	-3381.35	-2054.11	-2042.56	78.3234
