rank	gen	depth	min     	avg     	max     	std    
8   	0  	100  	-7996.51	-1687.01	-1610.62	340.922
8   	1  	100  	-5710.55	-1657.29	-1610.62	211.623
8   	2  	100  	-2286.16	-1632.01	-1608.93	41.3961
8   	3  	100  	-3458.33	-1640.21	-1608.93	138.776
8   	4  	100  	-5127.25	-1633.7 	-1607.74	183.47 
8   	5  	100  	-2109.61	-1620.08	-1607.41	35.1139
8   	6  	100  	-4731.03	-1627.68	-1607.28	146.085
8   	7  	100  	-2760.33	-1623.9 	-1607.25	65.199 
8   	8  	100  	-1836.06	-1615.41	-1605.89	19.4396
8   	9  	100  	-2618.53	-1619.1 	-1605.89	57.7247
8   	10 	100  	-1826.32	-1614.51	-1605.89	21.4414
8   	11 	100  	-2179.42	-1612.61	-1605.72	31.3628
8   	12 	100  	-5139.84	-1624.61	-1605.67	178.248
8   	13 	100  	-1864.57	-1612.81	-1604.7 	21.3251
8   	14 	100  	-1829.73	-1613.04	-1604.62	20.0895
8   	15 	100  	-1923.81	-1611.88	-1604.62	22.1224
8   	16 	100  	-2280.16	-1613.37	-1604.49	41.4268
8   	17 	100  	-4600.52	-1619.73	-1604.49	137.653
8   	18 	100  	-2900.11	-1617.13	-1603.79	75.9972
8   	19 	100  	-1837.02	-1610.52	-1603.79	19.024 
8   	20 	100  	-2095.23	-1612.13	-1603.79	29.2699
8   	21 	100  	-2166.12	-1610.2 	-1603.79	29.0482
8   	22 	100  	-1791.62	-1609.66	-1603.79	16.1032
8   	23 	100  	-2061.33	-1611.67	-1603.79	37.7072
8   	24 	100  	-2065.73	-1610.67	-1603.57	30.9651
8   	25 	100  	-2051.74	-1609.92	-1603.57	30.7443
8   	26 	100  	-1879.8 	-1609.03	-1603.57	20.4869
8   	27 	100  	-2055.56	-1609.57	-1603.54	26.4088
8   	28 	100  	-1824.17	-1608.19	-1603.54	17.8331
8   	29 	100  	-1818.75	-1609.46	-1603.54	20.0138
8   	30 	100  	-1700.69	-1607.18	-1603.54	10.2852
8   	31 	100  	-2015.9 	-1609.86	-1603.54	29.5498
8   	32 	100  	-2279.84	-1610.79	-1603.54	44.9701
8   	33 	100  	-1787.82	-1607.93	-1603.54	15.9811
8   	34 	100  	-1911.36	-1609.11	-1603.54	22.441 
8   	35 	100  	-2149.99	-1609.1 	-1603.54	33.866 
8   	36 	100  	-2332.96	-1611.38	-1603.54	43.1599
8   	37 	100  	-6897.81	-1618.08	-1603.54	236.73 
8   	38 	100  	-1731.45	-1606.65	-1603.54	10.8519
8   	39 	100  	-2251.41	-1608.82	-1603.54	31.3392
8   	40 	100  	-1841.01	-1608.86	-1603.54	20.3303
8   	41 	100  	-2074.6 	-1609.2 	-1603.54	26.3886
8   	42 	100  	-1819.96	-1606.83	-1603.54	12.2992
8   	43 	100  	-2036.36	-1607.88	-1603.54	25.3985
8   	44 	100  	-1906.81	-1609.94	-1603.54	28.2272
8   	45 	100  	-1941.19	-1607.51	-1603.54	18.0769
8   	46 	100  	-1719.67	-1606.82	-1603.54	9.57486
8   	47 	100  	-1829.79	-1608.07	-1603.54	18.8459
8   	48 	100  	-2032.58	-1608.45	-1603.54	24.0464
