rank	gen	depth	min     	avg     	max     	std    
8   	0  	100  	-45751.4	-1200.86	-859.409	2045.64
8   	1  	100  	-17925.5	-1061.61	-859.409	881.165
8   	2  	100  	-6907.99	-983    	-858.409	393.965
8   	3  	100  	-3350.17	-942.278	-858.409	182.988
8   	4  	100  	-8212.13	-937.018	-855.522	352.644
8   	5  	100  	-2529.77	-915.653	-854.769	122.404
8   	6  	100  	-4630.09	-923.487	-850.752	276.927
8   	7  	100  	-23938.5	-1019.42	-847.623	1450.15
8   	8  	100  	-6014.45	-920.368	-847.623	358.84 
8   	9  	100  	-4175.84	-916.751	-846.347	239.743
8   	10 	100  	-3411.56	-902.882	-846.259	192.735
8   	11 	100  	-2037.94	-897.193	-843.723	144.43 
8   	12 	100  	-3321.26	-886.605	-842.547	171.136
8   	13 	100  	-2215.68	-879.929	-840.343	102.648
8   	14 	100  	-6914.98	-899.416	-838.839	370.754
8   	15 	100  	-2665.81	-884.336	-838.839	143.426
8   	16 	100  	-2355.82	-875.761	-838.839	115.295
8   	17 	100  	-2022.6 	-866.096	-837.176	79.7126
8   	18 	100  	-4052.15	-879.194	-837.176	191.852
8   	19 	100  	-1738.03	-862.45 	-836.683	66.4474
8   	20 	100  	-1834.12	-863.284	-836.176	74.7765
8   	21 	100  	-1735.19	-859.387	-834.443	75.9574
8   	22 	100  	-2437.4 	-867.643	-834.443	122.262
8   	23 	100  	-3172.19	-871.824	-833.249	153.397
8   	24 	100  	-3511.3 	-868.232	-832.55 	154.39 
8   	25 	100  	-4024.06	-861.799	-831.902	167.14 
8   	26 	100  	-1560.82	-857.39 	-831.504	67.8599
8   	27 	100  	-1600.91	-854.502	-831.504	67.5933
8   	28 	100  	-4683.78	-863.508	-831.504	189.418
8   	29 	100  	-1241.36	-853.143	-831.106	47.4338
8   	30 	100  	-2910.42	-858.518	-831.106	117.248
8   	31 	100  	-1972.7 	-853.619	-831.106	72.1762
8   	32 	100  	-2273.71	-859.266	-830.416	105.222
8   	33 	100  	-3116   	-857.185	-830.416	139.491
8   	34 	100  	-15033.2	-888.644	-830.416	647.578
8   	35 	100  	-2298.67	-865.065	-830.177	117.843
8   	36 	100  	-4369.39	-859.221	-830.177	174.962
8   	37 	100  	-1452   	-849.588	-830.177	58.6967
8   	38 	100  	-2392.22	-850.823	-829.684	88.0796
8   	39 	100  	-2338.16	-859.815	-829.66 	108.519
8   	40 	100  	-1561.61	-851.561	-829.587	65.2616
8   	41 	100  	-1859.86	-847.655	-829.458	70.1275
8   	42 	100  	-1623.03	-846.15 	-829.291	54.0631
8   	43 	100  	-2122.8 	-857.467	-829.291	112.722
8   	44 	100  	-2064.86	-850.67 	-829.291	90.0246
8   	45 	100  	-3622.56	-852.836	-829.291	141.901
8   	46 	100  	-1924.97	-846.573	-828.938	68.1235
8   	47 	100  	-18531.1	-898.159	-828.774	816.236
8   	48 	100  	-6384.74	-863.993	-828.774	264.807
8   	49 	100  	-1648.56	-847.562	-828.774	64.9151
8   	50 	100  	-1999.15	-849.686	-828.774	91.2327
8   	51 	100  	-2071.01	-850.829	-828.644	76.854 
8   	52 	100  	-2496.75	-846.566	-828.644	93.6021
8   	53 	100  	-1801.37	-849.652	-828.643	74.4728
8   	54 	100  	-3824.21	-851.49 	-828.643	161.007
8   	55 	100  	-2396.88	-847.657	-828.643	92.0647
8   	56 	100  	-1287.09	-842.267	-828.643	43.38  
8   	57 	100  	-1585.45	-843.575	-828.643	52.7844
8   	58 	100  	-2710.58	-851.994	-828.499	114.346
8   	59 	100  	-3909.93	-855.35 	-828.499	167.414
8   	60 	100  	-2121.5 	-849.646	-828.499	88.7643
8   	61 	100  	-3557.1 	-858.191	-828.456	158.491
8   	62 	100  	-5964.75	-864.211	-828.456	293.933
8   	63 	100  	-1337.69	-840.781	-828.456	38.695 
8   	64 	100  	-1184.34	-841.156	-828.456	37.0947
8   	65 	100  	-1944.42	-847.09 	-828.456	75.6626
8   	66 	100  	-1575.52	-841.397	-828.456	55.5623
8   	67 	100  	-1752.52	-842.546	-828.456	63.3646
8   	68 	100  	-10388.1	-872.45 	-828.456	440.645
8   	69 	100  	-2057.2 	-851.707	-828.456	103.791
8   	70 	100  	-1285.16	-841.226	-828.456	40.2664
8   	71 	100  	-1247.53	-841.824	-828.426	37.0486
8   	72 	100  	-5515.25	-861.412	-828.426	233.438
8   	73 	100  	-2955.21	-850.474	-828.426	134.958
8   	74 	100  	-2176.37	-848.271	-828.426	84.9968
8   	75 	100  	-3052.77	-844.701	-828.426	104.482
8   	76 	100  	-1747.18	-842.072	-828.426	52.0985
8   	77 	100  	-1254.36	-841.959	-828.426	42.1036
8   	78 	100  	-1949.48	-844.603	-828.426	71.5738
8   	79 	100  	-1498.73	-844.174	-828.426	54.5077
8   	80 	100  	-1870.74	-847.552	-828.426	80.9095
8   	81 	100  	-1408.76	-843.958	-828.426	50.6586
8   	82 	100  	-6742.77	-859.427	-828.426	278.348
8   	83 	100  	-2013.04	-849.4  	-828.426	93.3323
8   	84 	100  	-4228.31	-861.872	-828.426	220.522
8   	85 	100  	-1730.68	-842.044	-828.426	58.446 
8   	86 	100  	-2613.72	-850.359	-828.426	111.918
8   	87 	100  	-2363.22	-847.634	-828.426	96.1469
8   	88 	100  	-11601.2	-882.244	-828.426	524.315
8   	89 	100  	-3099.77	-852.151	-828.426	127.072
8   	90 	100  	-2062.43	-851.066	-828.426	95.0067
8   	91 	100  	-1794.41	-846.898	-828.426	67.4446
8   	92 	100  	-1889.36	-849.286	-828.426	90.9763
8   	93 	100  	-1691.24	-846.971	-828.426	73.3544
8   	94 	100  	-4352.42	-859.931	-828.426	204.435
8   	95 	100  	-4003.9 	-854.625	-828.426	166.807
8   	96 	100  	-1810.01	-845.187	-828.426	65.2293
8   	97 	100  	-1417.13	-844.508	-828.426	55.993 
8   	98 	100  	-1878.22	-846.683	-828.426	72.7218
8   	99 	100  	-2630.91	-846.551	-828.426	107.374
rank	gen	depth	min     	avg     	max     	std    
8   	0  	100  	-4472.61	-1069.36	-874.795	246.881
8   	1  	100  	-3258.38	-978.35 	-874.147	133.164
8   	2  	100  	-2012.19	-936.315	-863.203	73.7925
8   	3  	100  	-4766.3 	-936.974	-857.118	230.944
8   	4  	100  	-3071.55	-907.753	-857.118	126.205
8   	5  	100  	-3989.46	-902.534	-846.829	184.784
8   	6  	100  	-3344.33	-890.371	-846.829	166.278
8   	7  	100  	-3633.71	-879.992	-835.562	138.592
8   	8  	100  	-1332   	-863.278	-835.562	37.2763
8   	9  	100  	-1275.73	-857.291	-835.215	34.585 
8   	10 	100  	-1993.66	-856.116	-835.215	66.2019
8   	11 	100  	-1491.9 	-849.371	-834.817	35.7979
8   	12 	100  	-1268.79	-846.661	-833.929	31.7029
8   	13 	100  	-1307.67	-844.385	-833.929	36.2309
8   	14 	100  	-1747.18	-846.609	-832.374	61.1115
8   	15 	100  	-2453.91	-846.919	-832.374	91.9417
8   	16 	100  	-1579.54	-843.643	-832.032	45.2322
8   	17 	100  	-3180.4 	-849.119	-831.481	138.572
8   	18 	100  	-1892.34	-844.543	-831.481	66.5503
8   	19 	100  	-3634.99	-846.809	-831.152	138.366
8   	20 	100  	-1606.62	-841.515	-831.152	52.4557
8   	21 	100  	-1151.33	-837.343	-831.083	26.1457
8   	22 	100  	-4743.39	-848.063	-830.987	182.947
8   	23 	100  	-1222.51	-837.916	-830.593	30.635 
8   	24 	100  	-1728.59	-839.453	-830.589	52.9287
