gen	min     	avg     	max     	std    
0  	-25162.4	-7675.97	-5324.28	2204.98
1  	-10402.2	-6471.46	-5053.56	769.55 
2  	-18092.9	-5996.1 	-4929.73	939.216
3  	-19815.9	-5653.76	-4765.9 	1001.66
4  	-10149  	-5354.15	-4756.96	454.149
5  	-16448.1	-5178.24	-4633.1 	768.139
6  	-14247.6	-5103.82	-4492.29	890.024
7  	-11325.5	-4913.21	-4226.92	521.384
8  	-8296.19	-4752.58	-4226.92	358.536
9  	-6950.22	-4598.74	-4192.06	271.774
10 	-7512.29	-4499.93	-4135.46	286.988
11 	-5252.23	-4377.16	-3969.2 	164.852
12 	-5583.17	-4302   	-3897.98	231.332
13 	-99226.5	-4587.83	-3897.98	6001.1 
14 	-6062.66	-4149.22	-3851.56	265.904
15 	-15109.3	-4107.77	-3851.56	745.217
16 	-5070.91	-3988.36	-3838.91	181.585
17 	-7035.72	-3949.7 	-3776.72	273.858
18 	-6376.57	-3922.04	-3743   	222.517
19 	-8500.01	-3910.78	-3743   	354.347
20 	-4566.33	-3841.78	-3723.74	105.239
21 	-13096.1	-3864.83	-3689.14	632.394
22 	-4797.3 	-3788.53	-3665.46	136.615
23 	-5303.57	-3774.44	-3626.05	162.218
24 	-8503.82	-3810.31	-3626.05	474.505
25 	-5143.64	-3737.74	-3615.51	176.469
26 	-6070.77	-3707.88	-3587.87	197.155
27 	-5219.8 	-3692.91	-3584.97	176.814
28 	-8920.12	-3711.31	-3569.32	426.091
29 	-36160.1	-3771.28	-3558.31	2057.77
30 	-5165.86	-3649.03	-3524.78	199.571
31 	-4732.73	-3615.94	-3524.78	138.474
32 	-5862.99	-3613.25	-3495.19	229.809
33 	-5377.63	-3605.95	-3481.18	260.646
34 	-5320.65	-3580.27	-3451.28	212.976
35 	-7312.38	-3562.03	-3451.28	297.118
36 	-6079.7 	-3545.97	-3420.45	225.108
37 	-6213.97	-3532.74	-3419.75	249.353
38 	-5110.2 	-3504.61	-3417.62	154.086
39 	-5220.61	-3487.95	-3402.32	172.683
40 	-4367.16	-3473.56	-3388.05	132.481
41 	-7534.73	-3471.75	-3381.3 	288.387
42 	-4648.95	-3452.9 	-3370.13	165.238
43 	-4239.48	-3422.66	-3370.13	93.6111
44 	-5224.08	-3429.16	-3370.13	156.821
45 	-4276.33	-3421.86	-3367.95	121.897
46 	-4889.29	-3422.71	-3367.95	149.918
47 	-4471.72	-3413.95	-3363.02	136.999
48 	-4753.93	-3422.33	-3363.02	170.327
49 	-5578.08	-3419.9 	-3363.02	227.18 
50 	-5846.27	-3407.81	-3362.32	207.474
51 	-4489.54	-3391.01	-3361.02	116.445
52 	-7149.04	-3418.41	-3361.02	297.543
53 	-5413.7 	-3420.27	-3361.02	262.132
54 	-8129.62	-3433.22	-3360.32	435.444
55 	-5296.96	-3406.88	-3360.32	207.295
56 	-5764.5 	-3407.17	-3360.32	224.579
57 	-4962.8 	-3403.3 	-3360.32	182.37 
58 	-6031.6 	-3422.05	-3360.32	267.504
59 	-5126.67	-3388.17	-3360.32	151.354
60 	-6408.96	-3428.79	-3360.32	317.342
61 	-5372.36	-3402.17	-3360.32	186.762
62 	-4066.41	-3386.01	-3360.32	108.883
63 	-5231.7 	-3406.09	-3360.32	215.245
64 	-6516.88	-3393.76	-3360.32	240.519
65 	-4910.32	-3397.45	-3360.32	187.014
66 	-5201.6 	-3390.97	-3360.32	152.527
67 	-6014.31	-3440.43	-3360.32	320.979
68 	-3785.04	-3375.05	-3360.32	62.5   
