gen	min     	avg     	max     	std    
0  	-23096.8	-7749.77	-4972.76	2044.9 
1  	-15558.8	-6503.38	-4783.81	1020.26
2  	-9964.24	-5858.31	-4709.33	561.768
3  	-10389.6	-5560.86	-4565.91	568.776
4  	-9693.78	-5274.84	-4510.35	432.06 
5  	-13490.8	-5062.5 	-4346.21	541.797
6  	-20600.4	-4924.08	-4270.48	949.064
7  	-7191.54	-4676.27	-4074.13	302.859
8  	-8875.17	-4571.64	-4037.32	458.146
9  	-16706.8	-4466.39	-3938.62	688.472
10 	-7321.8 	-4307.83	-3913.97	298.925
11 	-5355.5 	-4191.67	-3866.53	182.235
12 	-10014.6	-4138.58	-3788.55	369.202
13 	-7742.46	-4058.45	-3788.55	273.488
14 	-8863.75	-4003.47	-3648.23	331.514
15 	-9874.48	-3941.54	-3636.94	348.542
16 	-12597  	-3903.11	-3624.93	539.938
17 	-6343.69	-3839.01	-3580.28	286.058
18 	-9771.33	-3827.05	-3574.38	520.228
19 	-5763.13	-3734.38	-3543.09	234.319
20 	-6308.12	-3702.98	-3543.09	262.803
21 	-7813.54	-3663.95	-3516.46	284.22 
22 	-5683.99	-3637.13	-3474.4 	178.745
23 	-5380.33	-3615.8 	-3472.7 	200.527
24 	-5729.66	-3611.68	-3465.87	244.171
25 	-5677.23	-3576.32	-3432.74	185.676
26 	-6848.03	-3556.3 	-3409.64	224.773
27 	-22057.5	-3595.43	-3407.11	924.176
28 	-12440.5	-3559.49	-3404.18	629.826
29 	-7634.37	-3518.95	-3391.41	356.759
30 	-4953.89	-3467.27	-3366.81	144.25 
31 	-4749.51	-3449.26	-3366.81	138.088
32 	-13327.8	-3465.83	-3329.09	488.94 
33 	-5691.73	-3433.81	-3322.25	207.21 
34 	-21666.6	-3488.35	-3299.97	1021.95
35 	-9475.2 	-3409.21	-3290.49	329.298
36 	-5169.26	-3382.25	-3274.47	177.36 
37 	-5378.23	-3355.04	-3242   	152.229
38 	-6942.28	-3354.93	-3242   	285.455
39 	-52546.2	-3443.14	-3218.82	2212   
40 	-9569.33	-3340.05	-3218.82	423.182
41 	-8034.89	-3312.09	-3209.89	328.313
42 	-7909.7 	-3305.16	-3204.2 	332.885
43 	-4334.81	-3264.21	-3193.06	122.192
44 	-7881.22	-3288.91	-3188.36	328.736
45 	-5330.59	-3254.09	-3183.41	166.206
46 	-11073.6	-3290.34	-3175.85	485.616
47 	-10178.1	-3240.37	-3163.88	331.731
48 	-57941.8	-3373.45	-3152.38	2545.6 
49 	-9494.1 	-3236.78	-3152.38	345.159
50 	-6925.95	-3230.88	-3141.1 	260.899
51 	-7705.15	-3225.41	-3137.89	313.07 
52 	-7636.87	-3240.9 	-3126.85	363.304
53 	-13288.1	-3229.18	-3119.29	559.11 
54 	-5210.38	-3194.72	-3117.27	219.812
55 	-4338.63	-3163.52	-3096.69	105.468
56 	-5530.24	-3170.83	-3090.98	188.323
57 	-5494.51	-3162.52	-3081.14	187.087
58 	-22325.9	-3227.94	-3078.65	971.713
59 	-7521.9 	-3157.07	-3073.19	298.87 
60 	-7473.1 	-3148.4 	-3068.82	324.289
61 	-35564.4	-3187.35	-3067.22	1462.18
62 	-16671.7	-3143.6 	-3066.05	627.279
63 	-8360.89	-3131.71	-3063.64	334.533
64 	-6625.14	-3129.88	-3054.39	299.045
65 	-7126.96	-3122.31	-3051.86	306.518
66 	-5181.07	-3111.06	-3050.27	187.333
67 	-4279.9 	-3094.92	-3048.89	135.271
68 	-5936.45	-3092.69	-3048.24	179.991
69 	-5659.48	-3090.37	-3047.94	172.698
70 	-4391.3 	-3080.84	-3044.41	129.284
71 	-4643.76	-3086.08	-3044.41	155.206
72 	-5800.61	-3086.47	-3043.02	167.631
73 	-4948.43	-3102.26	-3041.71	218.959
74 	-4813.45	-3072.93	-3041.41	138.382
75 	-6092.9 	-3089.17	-3040.66	237.708
76 	-4663.65	-3071.95	-3040.66	121.859
77 	-7152.29	-3097.65	-3040.01	285.589
78 	-5631.1 	-3086.79	-3040.01	222.013
79 	-6211.76	-3088.15	-3038.32	266.196
80 	-4449.28	-3077.61	-3038.02	144.911
81 	-6229.86	-3087.62	-3038.02	242.917
82 	-6188.61	-3079.74	-3037.31	213.956
83 	-5710.85	-3081.08	-3012.67	215.713
84 	-6934.51	-3078.27	-3012.67	241.084
85 	-8459.24	-3089.76	-3008.03	313.709
86 	-29665.9	-3131.17	-3006.5 	1207.76
87 	-6187.62	-3082.43	-3006.03	240.705
88 	-6380.88	-3071.66	-3005.63	224.831
89 	-4357.58	-3045.38	-3003.17	112.998
90 	-4976.12	-3057.21	-2982.8 	181.752
91 	-7066.18	-3047.18	-2973.53	228.434
92 	-5036.16	-3042.55	-2970.64	194.482
93 	-7261.6 	-3037.27	-2970.64	245.349
94 	-4639.4 	-3029.84	-2969.64	173.104
95 	-43836.9	-3104.61	-2964.89	1835.43
96 	-6508.71	-3028.09	-2959.79	277.692
97 	-5328.55	-3007.68	-2959.4 	176.35 
98 	-5026.89	-2998.41	-2959.4 	130.189
99 	-6653.45	-3004.4 	-2954.17	202.046
