gen	min     	avg     	max     	std    
0  	-3325.98	-2107   	-1791.47	193.471
1  	-2517.04	-1988.19	-1773.68	97.5792
2  	-6073.44	-1939.66	-1740.38	253.284
3  	-2686.55	-1884.86	-1719.68	70.3509
4  	-3122.31	-1852.4 	-1719.68	84.7515
5  	-2710.79	-1816.17	-1719.68	61.9358
6  	-3240.95	-1797.9 	-1713.46	114.733
7  	-2380.85	-1766   	-1712.36	44.7971
8  	-2061.64	-1747.47	-1708.23	26.0834
9  	-2342.19	-1737.36	-1706.36	39.0081
10 	-1911.07	-1723.9 	-1702.49	18.553 
11 	-2274.63	-1721.5 	-1701.09	41.7242
12 	-1997.6 	-1715.09	-1694.44	22.7302
13 	-2031.72	-1713.95	-1685.85	33.6028
14 	-2210.88	-1708.49	-1685.85	32.3035
15 	-2352.79	-1703.5 	-1681.84	36.2038
16 	-4111.02	-1704.25	-1676.93	117.752
17 	-2113.94	-1695.02	-1675.62	28.7855
18 	-3051.2 	-1691.72	-1666.62	63.3838
19 	-2137.11	-1688.42	-1666.62	37.9996
20 	-2632.56	-1684.28	-1665.35	49.6708
21 	-1934.74	-1678.37	-1663.74	18.2343
22 	-1862.28	-1676.12	-1662.7 	20.5109
23 	-1974.75	-1672.89	-1659.05	22.4822
24 	-1906.62	-1669.58	-1657.52	17.7508
25 	-2044.42	-1667.88	-1657.52	23.2903
26 	-2053.5 	-1665.83	-1656.82	21.8617
27 	-1974.65	-1664.12	-1654.96	19.7124
28 	-2017.75	-1662.86	-1653.96	20.1437
29 	-1799.07	-1660.28	-1651.12	12.4876
30 	-2055.24	-1660.77	-1651.12	25.8378
31 	-1945.5 	-1659.35	-1648.33	21.2555
32 	-1988.6 	-1659.2 	-1648.03	28.4565
33 	-2219.31	-1656.98	-1646.51	31.828 
34 	-1792.52	-1653.34	-1646.51	10.9655
35 	-2243.04	-1656.55	-1645.34	44.4522
36 	-1775.77	-1651.01	-1645.34	11.6418
37 	-2073.43	-1650.6 	-1645.34	21.305 
38 	-1987.09	-1650.39	-1644.68	23.632 
39 	-1794.65	-1649.14	-1643.98	13.7956
40 	-1810.2 	-1647.79	-1642.68	12.0497
41 	-1939.11	-1648.14	-1642.68	16.9591
42 	-2606.38	-1654.42	-1641.98	66.8676
43 	-2045.79	-1647.81	-1641.68	24.3253
44 	-1860.04	-1647.86	-1640.83	19.0535
45 	-1789.95	-1646.97	-1640.83	17.4192
46 	-4291.95	-1651.46	-1639.24	120.543
47 	-1811.15	-1644.02	-1638.28	10.5253
48 	-1843.34	-1644.42	-1637.54	18.4076
49 	-2112.77	-1645.78	-1634.98	29.9872
50 	-1801.18	-1642.87	-1634.76	16.7862
51 	-1772.54	-1641.5 	-1633.58	12.9157
52 	-1816.64	-1639.84	-1633.58	13.9938
53 	-1819.89	-1639.12	-1632.76	15.1374
54 	-1752.84	-1637.6 	-1632.76	11.5394
55 	-1830.16	-1637.36	-1632.36	15.0256
56 	-1959.28	-1636.74	-1631.76	22.0661
57 	-1751.64	-1636.25	-1631.66	13.305 
58 	-1962.76	-1635.73	-1631.36	21.5448
59 	-1809.46	-1635.8 	-1631.06	14.4329
60 	-1908.7 	-1634.77	-1630.66	15.5465
61 	-1853.16	-1636.04	-1630.66	20.456 
62 	-2101.02	-1637.47	-1630.66	35.7294
63 	-1944.76	-1634.37	-1629.96	20.1821
64 	-2129.12	-1635.14	-1629.96	29.304 
65 	-4402.58	-1645.33	-1629.96	144.409
66 	-2199.06	-1634.8 	-1629.96	29.4281
67 	-1933.06	-1633.35	-1629.96	21.0531
68 	-1835.36	-1632.16	-1629.96	11.9144
69 	-1736.96	-1632.54	-1629.96	11.0888
70 	-1720.31	-1632.58	-1629.96	9.96552
71 	-1817.33	-1633.13	-1629.96	15.8725
72 	-1718.48	-1632.54	-1629.96	10.0902
73 	-2314.45	-1634.4 	-1629.08	35.2441
74 	-1745.54	-1633.48	-1628.96	14.4033
75 	-1790.98	-1632.47	-1627.38	11.5839
76 	-1861.66	-1633.68	-1626.97	18.7895
77 	-1965.76	-1632.57	-1626.97	19.6217
78 	-2135.78	-1633.41	-1626.97	27.9127
79 	-2068.05	-1634.78	-1626.38	30.9027
80 	-1757.11	-1629.66	-1626.38	10.4867
81 	-2105.06	-1630.87	-1625.38	25.4643
82 	-2133.36	-1633.66	-1625.38	39.2123
83 	-1812.36	-1629.32	-1625.38	12.4089
84 	-1800.96	-1630.04	-1625.26	14.9087
85 	-1777.01	-1628.03	-1625.08	10.3876
86 	-1723.66	-1628.35	-1625.08	9.54957
87 	-1779.28	-1628.55	-1624.19	12.9019
88 	-1745.97	-1627.8 	-1624.19	10.5277
89 	-1867.08	-1628.24	-1624.19	16.4579
90 	-1833.03	-1627.72	-1623.38	16.0345
91 	-1778.07	-1628.09	-1623.38	14.077 
92 	-1792.18	-1626.61	-1623.38	10.3054
93 	-1914.23	-1626.73	-1623.38	16.4396
94 	-1794.82	-1626.1 	-1623.38	12.2878
95 	-1732.79	-1626.38	-1623.38	12.8375
96 	-2081.79	-1626.79	-1623.38	23.6966
97 	-2393.58	-1626.84	-1623.38	35.3836
98 	-1832.79	-1626.26	-1623.38	12.6474
99 	-2841.79	-1629.24	-1623.38	56.9674
